symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MCX,2026-01-27,2026-02-01,2413.4109999999996,2245.0,59,stop,NIFTY MS FIN SERV,-9936.248999999976,-6.97813178111808,5,ha_ema21_touch,2245.0,initial
SHRIRAMFIN,2026-01-29,2026-02-01,1021.8708499999999,973.65,198,stop,NIFTY FINSEREXBNK,-9547.728299999986,-4.718879102970785,3,ha_ema21_touch,973.65,initial
TORNTPHARM,2026-02-03,2026-02-16,4022.5184999999997,4259.755499999999,48,target,NIFTY PHARMA,11387.375999999982,5.897723030981705,13,ha_ema21_touch,3903.9,n/a
PETRONET,2026-02-03,2026-02-25,291.7915,313.37449999999995,671,target,NIFTY OIL AND GAS,14482.19299999998,7.396719918160732,22,ha_ema21_touch,281.0,n/a
ONGC,2026-02-04,2026-02-27,256.256,281.5679999999999,766,target,NIFTY OIL AND GAS,19388.991999999966,9.877622377622352,23,ha_ema21_touch,243.6,n/a
NAM-INDIA,2026-02-18,2026-03-02,955.9549999999999,899.95,180,stop,NIFTY CAPITAL MKT,-10080.89999999998,-5.8585393663927565,12,ha_ema21_touch,899.95,initial
AXISBANK,2026-02-03,2026-03-09,1354.0527,1282.2,144,stop,NIFTY PVT BANK,-10346.788799999988,-5.306492132839436,34,ha_ema21_touch,1302.9,initial
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,116,target,NIFTY PHARMA,8806.07039999996,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,26,stop,NIFTY HEALTHCARE,-7045.797167367038,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
BEL,2026-02-03,2026-03-23,441.79134999999997,420.25,443,stop,NIFTY IND DEFENCE,-9542.818049999985,-4.875910313771414,48,ha_ema21_touch,420.25,initial
ASTRAL,2026-03-06,2026-03-23,1677.8762,1586.6,117,stop,NIFTY MULTI MFG,-10679.315400000001,-5.439984189536751,17,ha_ema21_touch,1590.5,initial
AUROPHARMA,2026-03-10,2026-04-21,1253.0517999999997,1394.9553999999994,143,target,NIFTY MIDSML HLTH,20292.21479999995,11.324639571963392,42,ha_ema21_touch,1182.1,n/a
CAMS,2026-05-05,2026-05-08,763.2308708767207,839.6926126301621,263,target,NIFTY MS FIN SERV,20109.438081155087,10.018166805230244,3,ha_ema21_touch,725.0,n/a
DELHIVERY,2026-05-15,2026-05-18,483.08259999999996,462.8,425,stop,NIFTY MULTI INFRA,-8620.104999999976,-4.1985780485573105,3,ha_ema21_touch,462.8,initial
NAM-INDIA,2026-06-05,2026-06-08,1144.1429999999998,1055.0,114,stop,NIFTY CAPITAL MKT,-10162.301999999978,-7.791246373923522,3,ha_ema21_touch,1055.0,initial
MANAPPURAM,2026-05-19,2026-06-10,308.8085,295.75,658,stop,NIFTY MS FIN SERV,-8592.492999999988,-4.228672462059812,22,ha_ema21_touch,295.75,initial
HINDALCO,2026-05-21,2026-06-10,1091.09,1038.4,188,stop,NIFTY METAL,-9905.719999999968,-4.829115838290132,20,ha_ema21_touch,1038.4,initial
SIEMENS,2026-05-29,2026-06-11,3913.8098999999997,3543.3,28,stop,NIFTY ENERGY,-10374.277199999988,-9.466732147619117,13,ha_ema21_touch,3543.3,initial
GVT&D,2026-06-17,2026-06-19,5017.012,5571.035999999999,35,target,NIFTY ENERGY,19390.839999999982,11.042907611143837,2,ha_ema21_touch,4740.0,n/a
BHEL,2026-06-30,2026-07-03,416.81639999999993,393.85,443,stop,NIFTY ENERGY,-10174.115199999958,-5.509955942232581,3,ha_ema21_touch,393.85,initial
LAURUSLABS,2026-06-22,2026-07-03,1426.0245999999997,1550.4737999999993,141,target,NIFTY MIDSML HLTH,17547.33719999994,8.72700232520529,11,ha_ema21_touch,1363.8,n/a
HDFCAMC,2026-07-15,2026-07-16,2760.9581999999996,2681.0,72,stop,NIFTY FINSEREXBNK,-5756.99039999997,-2.8960308055369866,1,ha_ema21_touch,2681.0,initial
TVSMOTOR,2026-07-22,2026-07-31,3813.8099999999995,4287.829999999998,42,target,NIFTY AUTO,19908.839999999942,12.429040775497423,9,ha_ema21_touch,3576.8,n/a
