symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MUTHOOTFIN,2026-01-16,2026-01-22,3958.6546999999996,3806.7,50,stop,NIFTY FINSEREXBNK,-7597.734999999989,-3.8385439376664943,6,ha_ema21_touch,3806.7,initial
MCX,2026-01-27,2026-01-28,2362.221443155772,2542.6643294673154,84,target,NIFTY MS FIN SERV,15157.202450169661,7.638694790209155,1,ha_ema21_touch,2272.0,n/a
ONGC,2026-02-04,2026-02-27,256.256,281.5679999999999,784,target,NIFTY OIL AND GAS,19844.607999999964,9.877622377622352,23,ha_ema21_touch,243.6,n/a
NAM-INDIA,2026-02-18,2026-03-02,955.9549999999999,899.95,181,stop,NIFTY CAPITAL MKT,-10136.904999999979,-5.8585393663927565,12,ha_ema21_touch,899.95,initial
AXISBANK,2026-02-03,2026-03-09,1354.0527,1282.2,148,stop,NIFTY PVT BANK,-10634.199599999987,-5.306492132839436,34,ha_ema21_touch,1302.9,initial
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,115,target,NIFTY PHARMA,8730.15599999996,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,26,stop,NIFTY HEALTHCARE,-7045.797167367038,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
ASTRAL,2026-03-06,2026-03-23,1677.8762,1586.6,116,stop,NIFTY MULTI MFG,-10588.039200000003,-5.439984189536751,17,ha_ema21_touch,1590.5,initial
ADANIPOWER,2026-05-14,2026-05-26,221.08388889526552,245.45166668579654,818,target,NIFTY COMMODITIES,19932.842232654377,11.021959995499643,12,ha_ema21_touch,208.9,n/a
NAM-INDIA,2026-06-04,2026-06-08,1098.097,1061.6,185,stop,NIFTY CAPITAL MKT,-6751.945000000013,-3.323659021015457,4,ha_ema21_touch,1061.6,initial
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,26,stop,NIFTY ENERGY,-10146.929846905932,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
CGPOWER,2026-06-29,2026-07-03,958.8755581736185,911.4,214,stop,NIFTY ENERGY,-10159.769449154366,-4.951169916568299,4,ha_ema21_touch,912.0,initial
LAURUSLABS,2026-06-19,2026-07-03,1407.406,1536.4179999999997,145,target,NIFTY MIDSML HLTH,18706.739999999958,9.166651271914406,14,ha_ema21_touch,1342.9,n/a
ZYDUSLIFE,2026-06-23,2026-07-08,1093.41336610187,1172.64009830561,188,target,NIFTY PHARMA,14894.625654303136,7.2458170587571535,15,ha_ema21_touch,1053.8,n/a
NAM-INDIA,2026-07-09,2026-07-16,1220.0187999999998,1158.8,166,stop,NIFTY CAPITAL MKT,-10162.32079999998,-5.0178571018741565,7,ha_ema21_touch,1158.8,initial
FEDERALBNK,2026-07-17,2026-07-20,330.27994999999993,342.8398499999998,614,target,NIFTY MS FIN SERV,7711.778599999912,3.802804257418546,3,ha_ema21_touch,324.0,n/a
ADANIGREEN,2026-07-01,2026-07-22,1526.433398392084,1469.3,134,stop,NIFTY COMMODITIES,-7655.875384539258,-3.7429342447739433,21,ha_ema21_touch,1469.3,initial
ADANIENT,2026-07-10,2026-07-23,3129.0129606321125,3026.8,65,stop,NIFTY METAL,-6643.842441087299,-3.2666199187447176,13,ha_ema21_touch,3026.8,initial
PAYTM,2026-07-30,2026-08-10,1341.6689973601676,1503.2069920805027,124,target,NIFTY MS FIN SERV,20030.71134532155,12.04007806979015,11,ha_ema21_touch,1260.9,n/a
