symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
INDIANB,2026-01-22,2026-02-02,878.05,814.3,156,stop,NIFTY PSU BANK,-9945.0,-7.26040658276863,11,ha_ema21_touch,814.3,initial
INDUSTOWER,2026-02-03,2026-02-17,438.55,476.75000000000006,451,target,NIFTY MS IT TELCM,17228.20000000002,8.710523315471441,14,ha_ema21_touch,419.45,n/a
IOC,2026-02-03,2026-02-26,167.58,184.64000000000001,1160,target,NIFTY OIL AND GAS,19789.600000000002,10.180212435851544,23,ha_ema21_touch,159.05,n/a
ICICIGI,2026-02-26,2026-02-27,1946.5,1898.0,108,stop,NIFTY MS FIN SERV,-5238.0,-2.491651682507068,1,ha_ema21_touch,1898.0,initial
PETRONET,2026-02-03,2026-03-04,297.4,281.0,603,stop,NIFTY OIL AND GAS,-9889.199999999986,-5.514458641560182,29,ha_ema21_touch,281.0,initial
ASHOKLEY,2026-02-03,2026-03-09,199.87,185.52,689,stop,NIFTY AUTO,-9887.149999999996,-7.1796667834092105,34,ha_ema21_touch,185.52,initial
BAJAJ-AUTO,2026-02-03,2026-03-12,9595.5,9250.5,20,stop,NIFTY AUTO,-6900.0,-3.59543536032515,37,ha_ema21_touch,9250.5,initial
BEL,2026-02-17,2026-03-16,446.85,429.1,459,stop,NIFTY IND DEFENCE,-8147.25,-3.9722501958151524,27,ha_ema21_touch,429.1,initial
MCX,2026-03-02,2026-03-23,2501.2,2377.5,83,stop,NIFTY MS FIN SERV,-10267.099999999984,-4.9456260994722445,21,ha_ema21_touch,2377.5,initial
BSE,2026-03-17,2026-03-23,2973.6,2770.0,50,stop,NIFTY MS FIN SERV,-10179.999999999996,-6.846919558783959,6,ha_ema21_touch,2777.0,initial
SUNPHARMA,2026-03-05,2026-04-01,1784.5,1721.0,115,stop,NIFTY PHARMA,-7302.5,-3.5584197254132865,27,ha_ema21_touch,1721.0,initial
AUROPHARMA,2026-03-10,2026-05-07,1285.9,1493.5000000000005,98,target,NIFTY MIDSML HLTH,20344.800000000036,16.144334707208998,58,ha_ema21_touch,1182.1,n/a
LTF,2026-05-05,2026-05-12,290.45,280.0,668,stop,NIFTY MS FIN SERV,-6980.599999999992,-3.5978653813048656,7,ha_ema21_touch,280.0,initial
LAURUSLABS,2026-05-04,2026-05-19,1166.4,1339.2000000000003,111,target,NIFTY MIDSML HLTH,19180.80000000002,14.814814814814836,15,ha_ema21_touch,1080.0,n/a
HINDALCO,2026-05-13,2026-05-29,1073.1,1169.2999999999997,181,target,NIFTY METAL,17412.199999999968,8.9646817631162,16,ha_ema21_touch,1025.0,n/a
MANAPPURAM,2026-05-19,2026-06-10,315.3,295.75,497,stop,NIFTY MS FIN SERV,-9716.350000000006,-6.200444021566764,22,ha_ema21_touch,295.75,initial
GVT&D,2026-06-17,2026-06-29,5152.5,4780.0,27,stop,NIFTY ENERGY,-10057.5,-7.229500242600684,12,ha_ema21_touch,4780.0,initial
CGPOWER,2026-06-29,2026-07-03,956.25,911.4,214,stop,NIFTY ENERGY,-9597.900000000005,-4.6901960784313745,4,ha_ema21_touch,919.45,initial
FEDERALBNK,2026-06-03,2026-07-03,301.05,333.45,622,target,NIFTY MS FIN SERV,20152.799999999985,10.762331838565009,30,ha_ema21_touch,284.85,n/a
ADANIENT,2026-07-10,2026-07-23,3157.3,3026.8,64,stop,NIFTY METAL,-8352.0,-4.133278434105092,13,ha_ema21_touch,3026.8,initial
BIOCON,2026-07-27,2026-07-30,436.25,426.7,462,stop,NIFTY MIDSML HLTH,-4412.100000000005,-2.1891117478510025,3,ha_ema21_touch,426.7,initial
