symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MCX,2026-01-27,2026-01-28,2362.221443155772,2542.6643294673154,84,target,NIFTY MS FIN SERV,15157.202450169661,7.638694790209155,1,ha_ema21_touch,2272.0,n/a
ASHOKLEY,2026-02-03,2026-02-11,195.19499999999996,214.54499999999987,1040,target,NIFTY AUTO,20123.999999999905,9.913163759317566,8,ha_ema21_touch,185.52,n/a
CHOLAFIN,2026-02-17,2026-02-19,1725.0938171536802,1683.8,121,stop,NIFTY FINSEREXBNK,-4996.551875595313,-2.393714286322879,2,ha_ema21_touch,1683.8,initial
BAJAJ-AUTO,2026-02-03,2026-02-25,9541.805230576225,10124.415691728675,21,target,NIFTY AUTO,12234.819684201444,6.1058724955473265,22,ha_ema21_touch,9250.5,n/a
ADANIPORTS,2026-02-23,2026-03-02,1541.3267955029942,1462.0,135,stop,NIFTY MOBILITY,-10709.117392904212,-5.146656486764501,7,ha_ema21_touch,1505.2,initial
BAJAJ-AUTO,2026-02-25,2026-03-02,9884.874999999998,9660.0,21,stop,NIFTY AUTO,-4722.374999999962,-2.2749402496237803,5,ha_ema21_touch,9660.0,initial
AXISBANK,2026-02-03,2026-03-09,1354.0527,1282.2,150,stop,NIFTY PVT BANK,-10777.904999999988,-5.306492132839436,34,ha_ema21_touch,1302.9,initial
FEDERALBNK,2026-02-18,2026-03-09,291.34105,280.0,720,stop,NIFTY MS FIN SERV,-8165.555999999997,-3.892705816773845,19,ha_ema21_touch,282.6,initial
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,117,target,NIFTY PHARMA,8881.98479999996,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
GLENMARK,2026-03-10,2026-03-11,2126.9248,2280.3743999999997,96,target,NIFTY MIDSML HLTH,14731.161599999992,7.214622726670927,1,ha_ema21_touch,2050.2,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,26,stop,NIFTY HEALTHCARE,-7045.797167367038,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
MCX,2026-03-17,2026-03-20,2579.5769999999998,2440.8,74,stop,NIFTY MS FIN SERV,-10269.49799999997,-5.379835531174281,3,ha_ema21_touch,2440.8,initial
BEL,2026-02-03,2026-03-23,441.79134999999997,420.25,462,stop,NIFTY IND DEFENCE,-9952.103699999985,-4.875910313771414,48,ha_ema21_touch,420.25,initial
AUROPHARMA,2026-03-10,2026-04-21,1253.0517999999997,1394.9553999999994,144,target,NIFTY MIDSML HLTH,20434.11839999995,11.324639571963392,42,ha_ema21_touch,1182.1,n/a
BHARATFORG,2026-05-06,2026-05-08,1887.9340730916038,2027.2022192748113,108,target,NIFTY AUTO,15040.95978778642,7.376748381639597,2,ha_ema21_touch,1818.3,n/a
HINDALCO,2026-05-12,2026-05-21,1049.9615103127455,1105.6845309382365,197,target,NIFTY METAL,10977.43506322173,5.307148888619073,9,ha_ema21_touch,1022.1,n/a
FEDERALBNK,2026-06-03,2026-06-09,294.0938,312.5813999999999,716,target,NIFTY MS FIN SERV,13237.12159999995,6.286293692692579,6,ha_ema21_touch,284.85,n/a
MANAPPURAM,2026-05-13,2026-06-10,310.84619183833985,292.05,552,stop,NIFTY MS FIN SERV,-10375.49789476359,-6.046782084470593,28,ha_ema21_touch,292.05,initial
RBLBANK,2026-06-03,2026-06-15,346.34599999999995,373.03799999999984,611,target,NIFTY MS FIN SERV,16308.811999999934,7.706744122929066,12,ha_ema21_touch,333.0,n/a
MOTHERSON,2026-06-25,2026-06-29,145.30515999999997,151.77547999999993,1479,target,NIFTY AUTO,9569.603279999938,4.452918258374283,4,ha_ema21_touch,142.07,n/a
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,26,stop,NIFTY ENERGY,-10146.929846905932,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
BHEL,2026-06-30,2026-07-03,416.81639999999993,393.85,472,stop,NIFTY ENERGY,-10840.140799999957,-5.509955942232581,3,ha_ema21_touch,393.85,initial
UNIONBANK,2026-07-02,2026-07-03,170.28011,166.26,1259,stop,NIFTY PSU BANK,-5061.3184900000215,-2.3608805514631293,1,ha_ema21_touch,166.26,initial
AUBANK,2026-07-10,2026-07-14,1058.687921103393,1035.1,199,stop,NIFTY MS FIN SERV,-4693.996299575207,-2.2280334585105144,4,ha_ema21_touch,1035.1,initial
HDFCAMC,2026-07-10,2026-07-14,2747.6449,2662.3,77,stop,NIFTY FINSEREXBNK,-6571.5572999999695,-3.1061109825363364,4,ha_ema21_touch,2662.3,initial
