symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MCX,2026-01-27,2026-01-28,2362.221443155772,2542.6643294673154,84,target,NIFTY MS FIN SERV,15157.202450169661,7.638694790209155,1,ha_ema21_touch,2272.0,n/a
AXISBANK,2026-02-03,2026-03-09,1354.0527,1282.2,149,stop,NIFTY PVT BANK,-10706.052299999987,-5.306492132839436,34,ha_ema21_touch,1302.9,initial
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,116,target,NIFTY PHARMA,8806.07039999996,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
GLENMARK,2026-03-06,2026-03-11,2121.0189,2278.6567,96,target,NIFTY MIDSML HLTH,15133.228799999997,7.4321732823785736,5,ha_ema21_touch,2042.2,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,26,stop,NIFTY HEALTHCARE,-7045.797167367038,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
BEL,2026-02-03,2026-03-23,441.79134999999997,420.25,459,stop,NIFTY IND DEFENCE,-9887.479649999985,-4.875910313771414,48,ha_ema21_touch,420.25,initial
AUROPHARMA,2026-03-10,2026-04-21,1253.0517999999997,1394.9553999999994,145,target,NIFTY MIDSML HLTH,20576.021999999946,11.324639571963392,42,ha_ema21_touch,1182.1,n/a
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,26,stop,NIFTY ENERGY,-10146.929846905932,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
BHEL,2026-06-30,2026-07-03,416.81639999999993,393.85,452,stop,NIFTY ENERGY,-10380.812799999958,-5.509955942232581,3,ha_ema21_touch,393.85,initial
HDFCAMC,2026-07-10,2026-07-14,2747.6449,2662.3,73,stop,NIFTY FINSEREXBNK,-6230.177699999971,-3.1061109825363364,4,ha_ema21_touch,2662.3,initial
