symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
ASHOKLEY,2026-02-03,2026-02-11,195.19499999999996,214.54499999999987,1024,target,NIFTY AUTO,19814.399999999907,9.913163759317566,8,ha_ema21_touch,185.52,n/a
CHOLAFIN,2026-02-17,2026-02-19,1725.0938171536802,1683.8,119,stop,NIFTY FINSEREXBNK,-4913.964241287951,-2.393714286322879,2,ha_ema21_touch,1683.8,initial
AUBANK,2026-02-13,2026-02-23,1003.95295,980.3,203,stop,NIFTY MS FIN SERV,-4801.5488500000065,-2.3559819212643385,10,ha_ema21_touch,980.3,initial
BAJAJ-AUTO,2026-02-03,2026-02-25,9541.805230576225,10124.415691728675,21,target,NIFTY AUTO,12234.819684201444,6.1058724955473265,22,ha_ema21_touch,9250.5,n/a
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,117,target,NIFTY PHARMA,8881.98479999996,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
GLENMARK,2026-03-06,2026-03-11,2121.0189,2278.6567,97,target,NIFTY MIDSML HLTH,15290.866599999998,7.4321732823785736,5,ha_ema21_touch,2042.2,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,26,stop,NIFTY HEALTHCARE,-7045.797167367038,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
MCX,2026-03-17,2026-03-20,2579.5769999999998,2440.8,75,stop,NIFTY MS FIN SERV,-10408.274999999969,-5.379835531174281,3,ha_ema21_touch,2440.8,initial
BEL,2026-02-03,2026-03-23,441.79134999999997,420.25,455,stop,NIFTY IND DEFENCE,-9801.314249999985,-4.875910313771414,48,ha_ema21_touch,420.25,initial
AUROPHARMA,2026-03-10,2026-04-21,1253.0517999999997,1394.9553999999994,147,target,NIFTY MIDSML HLTH,20859.82919999995,11.324639571963392,42,ha_ema21_touch,1182.1,n/a
BHARATFORG,2026-05-06,2026-05-08,1887.9340730916038,2027.2022192748113,110,target,NIFTY AUTO,15319.496080152836,7.376748381639597,2,ha_ema21_touch,1818.3,n/a
FEDERALBNK,2026-06-03,2026-06-09,294.0938,312.5813999999999,718,target,NIFTY MS FIN SERV,13274.096799999948,6.286293692692579,6,ha_ema21_touch,284.85,n/a
RBLBANK,2026-06-03,2026-06-15,346.34599999999995,373.03799999999984,613,target,NIFTY MS FIN SERV,16362.195999999934,7.706744122929066,12,ha_ema21_touch,333.0,n/a
MOTHERSON,2026-06-25,2026-06-29,145.30515999999997,151.77547999999993,1500,target,NIFTY AUTO,9705.479999999938,4.452918258374283,4,ha_ema21_touch,142.07,n/a
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,27,stop,NIFTY ENERGY,-10537.196379479237,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
BHEL,2026-06-30,2026-07-03,416.81639999999993,393.85,479,stop,NIFTY ENERGY,-11000.905599999956,-5.509955942232581,3,ha_ema21_touch,393.85,initial
UNIONBANK,2026-07-02,2026-07-03,170.28011,166.26,1276,stop,NIFTY PSU BANK,-5129.660360000022,-2.3608805514631293,1,ha_ema21_touch,166.26,initial
AUBANK,2026-07-10,2026-07-14,1058.687921103393,1035.1,201,stop,NIFTY MS FIN SERV,-4741.172141781994,-2.2280334585105144,4,ha_ema21_touch,1035.1,initial
HDFCAMC,2026-07-10,2026-07-14,2747.6449,2662.3,77,stop,NIFTY FINSEREXBNK,-6571.5572999999695,-3.1061109825363364,4,ha_ema21_touch,2662.3,initial
MANAPPURAM,2026-07-15,2026-07-17,335.4163351929961,322.75,629,stop,NIFTY MS FIN SERV,-7967.124836394539,-3.776302422989619,2,ha_ema21_touch,322.75,initial
BHARATFORG,2026-07-17,2026-07-21,2128.8266999999996,2222.480099999999,98,target,NIFTY AUTO,9178.033199999925,4.399296570265632,4,ha_ema21_touch,2082.0,n/a
IDFCFIRSTB,2026-07-27,2026-07-28,81.17108999999999,85.75326999999999,2588,target,NIFTY MS FIN SERV,11858.681839999985,5.645088663956588,1,ha_ema21_touch,78.88,n/a
BHEL,2026-07-27,2026-07-29,418.41799999999995,402.15,502,stop,NIFTY ENERGY,-8166.535999999986,-3.88797805065747,2,ha_ema21_touch,402.15,initial
BIOCON,2026-07-27,2026-07-30,435.874224189797,426.7,481,stop,NIFTY MIDSML HLTH,-4412.801835292372,-2.1047870419156123,3,ha_ema21_touch,426.7,initial
SIEMENS,2026-07-31,2026-08-03,3668.6649999999995,3840.7949999999987,57,target,NIFTY ENERGY,9811.409999999954,4.69189746133809,3,ha_ema21_touch,3582.6,n/a
UNIONBANK,2026-07-27,2026-08-07,171.67149999999998,183.39449999999994,1235,target,NIFTY PSU BANK,14477.904999999946,6.828739773346171,11,ha_ema21_touch,165.81,n/a
