symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
ASHOKLEY,2026-02-03,2026-02-11,195.19499999999996,214.54499999999987,1024,target,NIFTY AUTO,19814.399999999907,9.913163759317566,8,ha_ema21_touch,185.52,n/a
BPCL,2026-02-18,2026-02-19,376.76956700821285,366.55,549,stop,NIFTY OIL AND GAS,-5610.542287508846,-2.71241838595474,1,ha_ema21_touch,366.55,initial
AUBANK,2026-02-13,2026-02-23,1003.95295,980.3,203,stop,NIFTY MS FIN SERV,-4801.5488500000065,-2.3559819212643385,10,ha_ema21_touch,980.3,initial
BAJAJ-AUTO,2026-02-03,2026-02-25,9541.805230576225,10124.415691728675,21,target,NIFTY AUTO,12234.819684201444,6.1058724955473265,22,ha_ema21_touch,9250.5,n/a
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,117,target,NIFTY PHARMA,8881.98479999996,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
GLENMARK,2026-03-06,2026-03-11,2121.0189,2278.6567,97,target,NIFTY MIDSML HLTH,15290.866599999998,7.4321732823785736,5,ha_ema21_touch,2042.2,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,26,stop,NIFTY HEALTHCARE,-7045.797167367038,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
MCX,2026-03-17,2026-03-20,2579.5769999999998,2440.8,75,stop,NIFTY MS FIN SERV,-10408.274999999969,-5.379835531174281,3,ha_ema21_touch,2440.8,initial
BEL,2026-02-03,2026-03-23,441.79134999999997,420.25,455,stop,NIFTY IND DEFENCE,-9801.314249999985,-4.875910313771414,48,ha_ema21_touch,420.25,initial
AUROPHARMA,2026-03-10,2026-04-21,1253.0517999999997,1394.9553999999994,147,target,NIFTY MIDSML HLTH,20859.82919999995,11.324639571963392,42,ha_ema21_touch,1182.1,n/a
LAURUSLABS,2026-05-04,2026-05-06,1114.06295,1182.18885,186,target,NIFTY MIDSML HLTH,12671.4174,6.115085327987968,2,ha_ema21_touch,1080.0,n/a
LTF,2026-05-05,2026-05-07,288.08779999999996,304.2633999999999,728,target,NIFTY MS FIN SERV,11775.83679999994,5.614816038721493,2,ha_ema21_touch,280.0,n/a
BHARATFORG,2026-05-06,2026-05-08,1887.9340730916038,2027.2022192748113,112,target,NIFTY AUTO,15598.03237251925,7.376748381639597,2,ha_ema21_touch,1818.3,n/a
HINDALCO,2026-05-13,2026-05-25,1055.6545999999998,1116.9637999999995,203,target,NIFTY METAL,12445.767599999937,5.807695054802942,12,ha_ema21_touch,1025.0,n/a
ADANIPOWER,2026-05-14,2026-05-26,221.08388889526552,245.45166668579654,893,target,NIFTY COMMODITIES,21760.425566944203,11.021959995499643,12,ha_ema21_touch,208.9,n/a
FEDERALBNK,2026-06-03,2026-06-09,294.0938,312.5813999999999,758,target,NIFTY MS FIN SERV,14013.600799999946,6.286293692692579,6,ha_ema21_touch,284.85,n/a
RBLBANK,2026-06-03,2026-06-15,346.34599999999995,373.03799999999984,647,target,NIFTY MS FIN SERV,17269.723999999933,7.706744122929066,12,ha_ema21_touch,333.0,n/a
MOTHERSON,2026-06-25,2026-06-29,145.30515999999997,151.77547999999993,1583,target,NIFTY AUTO,10242.516559999935,4.452918258374283,4,ha_ema21_touch,142.07,n/a
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,28,stop,NIFTY ENERGY,-10927.462912052542,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
CGPOWER,2026-06-29,2026-07-03,949.8989499999999,911.4,244,stop,NIFTY ENERGY,-9393.743799999982,-4.052952158753298,4,ha_ema21_touch,919.45,initial
BHEL,2026-06-30,2026-07-03,416.81639999999993,393.85,506,stop,NIFTY ENERGY,-11620.998399999953,-5.509955942232581,3,ha_ema21_touch,393.85,initial
HDFCAMC,2026-07-01,2026-07-03,2672.2695999999996,2805.608799999999,86,target,NIFTY FINSEREXBNK,11467.171199999952,4.989736065552641,2,ha_ema21_touch,2605.6,n/a
AUBANK,2026-07-10,2026-07-14,1058.687921103393,1035.1,214,stop,NIFTY MS FIN SERV,-5047.815116126102,-2.2280334585105144,4,ha_ema21_touch,1035.1,initial
HDFCAMC,2026-07-10,2026-07-14,2747.6449,2662.3,82,stop,NIFTY FINSEREXBNK,-6998.281799999967,-3.1061109825363364,4,ha_ema21_touch,2662.3,initial
SHRIRAMFIN,2026-07-10,2026-07-14,1051.4561318930016,1015.0,217,stop,NIFTY FINSEREXBNK,-7910.98062078135,-3.4672042691279326,4,ha_ema21_touch,1015.0,initial
MANAPPURAM,2026-07-15,2026-07-17,335.4163351929961,322.75,664,stop,NIFTY MS FIN SERV,-8410.446568149402,-3.776302422989619,2,ha_ema21_touch,322.75,initial
BHARATFORG,2026-07-17,2026-07-21,2128.8266999999996,2222.480099999999,103,target,NIFTY AUTO,9646.300199999921,4.399296570265632,4,ha_ema21_touch,2082.0,n/a
LUPIN,2026-07-21,2026-07-22,2497.2948,2424.0,89,stop,NIFTY MIDSML HLTH,-6523.2372000000105,-2.934967870032812,1,ha_ema21_touch,2424.0,initial
ADANIENT,2026-07-10,2026-07-23,3129.0129606321125,3026.8,72,stop,NIFTY METAL,-7359.3331655120855,-3.2666199187447176,13,ha_ema21_touch,3026.8,initial
BHEL,2026-07-27,2026-07-29,418.41799999999995,402.15,523,stop,NIFTY ENERGY,-8508.163999999986,-3.88797805065747,2,ha_ema21_touch,402.15,initial
SIEMENS,2026-07-31,2026-08-03,3668.6649999999995,3840.7949999999987,59,target,NIFTY ENERGY,10155.669999999953,4.69189746133809,3,ha_ema21_touch,3582.6,n/a
ALKEM,2026-07-24,2026-08-07,5642.637,5511.5,38,stop,NIFTY MIDSML HLTH,-4983.205999999989,-2.324037502323817,14,ha_ema21_touch,5511.5,initial
NAM-INDIA,2026-08-13,2026-08-14,1184.1829999999998,1167.6,187,stop,NIFTY CAPITAL MKT,-3101.0209999999734,-1.4003747731558214,1,ha_ema21_touch,1167.6,initial
