symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
ASHOKLEY,2026-02-03,2026-02-11,195.19499999999996,214.54499999999987,1024,target,NIFTY AUTO,19814.399999999907,9.913163759317566,8,ha_ema21_touch,185.52,n/a
BANKINDIA,2026-02-05,2026-02-18,156.59643999999997,167.26931999999994,1285,target,NIFTY PSU BANK,13714.650799999954,6.8155316940793575,13,ha_ema21_touch,151.26,n/a
AUBANK,2026-02-13,2026-02-23,1003.95295,980.3,203,stop,NIFTY MS FIN SERV,-4801.5488500000065,-2.3559819212643385,10,ha_ema21_touch,980.3,initial
BAJAJ-AUTO,2026-02-23,2026-02-24,9858.399279974705,9670.5,20,stop,NIFTY AUTO,-3757.9855994940954,-1.9059816369619287,1,ha_ema21_touch,9670.5,initial
SUPREMEIND,2026-03-06,2026-03-09,3968.3643999999995,3825.0,51,stop,NIFTY MULTI MFG,-7311.584399999973,-3.612682343385587,3,ha_ema21_touch,3825.0,initial
CGPOWER,2026-03-06,2026-03-13,703.5528499999999,743.8585499999998,291,target,NIFTY ENERGY,11728.958699999966,5.728880211344456,7,ha_ema21_touch,683.4,n/a
DRREDDY,2026-03-10,2026-03-16,1301.7669410509468,1273.6,157,stop,NIFTY PHARMA,-4422.209744998661,-2.1637468399840487,6,ha_ema21_touch,1273.6,initial
MCX,2026-03-17,2026-03-20,2579.5769999999998,2440.8,73,stop,NIFTY MS FIN SERV,-10130.72099999997,-5.379835531174281,3,ha_ema21_touch,2440.8,initial
RBLBANK,2026-05-15,2026-05-19,338.78844999999995,322.6,600,stop,NIFTY MS FIN SERV,-9713.06999999996,-4.778335861213668,4,ha_ema21_touch,322.6,initial
HINDALCO,2026-05-13,2026-05-25,1055.6545999999998,1116.9637999999995,192,target,NIFTY METAL,11771.36639999994,5.807695054802942,12,ha_ema21_touch,1025.0,n/a
ADANIPOWER,2026-05-14,2026-05-26,221.08388889526552,245.45166668579654,840,target,NIFTY COMMODITIES,20468.933344046058,11.021959995499643,12,ha_ema21_touch,208.9,n/a
NAM-INDIA,2026-06-05,2026-06-08,1144.1429999999998,1055.0,116,stop,NIFTY CAPITAL MKT,-10340.587999999978,-7.791246373923522,3,ha_ema21_touch,1055.0,initial
SIEMENS,2026-05-29,2026-06-11,3913.8098999999997,3543.3,28,stop,NIFTY ENERGY,-10374.277199999988,-9.466732147619117,13,ha_ema21_touch,3543.3,initial
RBLBANK,2026-06-03,2026-06-15,346.34599999999995,373.03799999999984,596,target,NIFTY MS FIN SERV,15908.431999999937,7.706744122929066,12,ha_ema21_touch,333.0,n/a
MOTHERSON,2026-06-25,2026-06-29,145.30515999999997,151.77547999999993,1435,target,NIFTY AUTO,9284.90919999994,4.452918258374283,4,ha_ema21_touch,142.07,n/a
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,26,stop,NIFTY ENERGY,-10146.929846905932,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
CGPOWER,2026-06-29,2026-07-03,949.8989499999999,911.4,224,stop,NIFTY ENERGY,-8623.764799999983,-4.052952158753298,4,ha_ema21_touch,919.45,initial
LAURUSLABS,2026-06-22,2026-07-03,1426.0245999999997,1550.4737999999993,148,target,NIFTY MIDSML HLTH,18418.481599999934,8.72700232520529,11,ha_ema21_touch,1363.8,n/a
ZYDUSLIFE,2026-06-23,2026-07-03,1089.2882,1138.6646,195,target,NIFTY PHARMA,9628.39800000002,4.532905065895343,10,ha_ema21_touch,1064.6,n/a
ADANIENSOL,2026-07-03,2026-07-16,1571.8702999999998,1723.8108999999993,134,target,NIFTY COMMODITIES,20360.040399999925,9.666230095447403,13,ha_ema21_touch,1495.9,n/a
MAXHEALTH,2026-07-13,2026-07-17,1115.5144,1085.0,190,stop,NIFTY HEALTHCARE,-5797.736000000004,-2.735455499274597,4,ha_ema21_touch,1085.0,initial
KEI,2026-05-15,2026-07-20,5185.179999999999,4870.0,32,stop,NIFTY EV,-10085.75999999998,-6.078477507048929,66,ha_ema21_touch,4871.0,initial
BHARATFORG,2026-07-17,2026-07-21,2128.8266999999996,2222.480099999999,99,target,NIFTY AUTO,9271.686599999925,4.399296570265632,4,ha_ema21_touch,2082.0,n/a
ADANIGREEN,2026-07-13,2026-07-22,1548.3467999999998,1495.7,137,stop,NIFTY COMMODITIES,-7212.6115999999665,-3.400194323390582,9,ha_ema21_touch,1495.7,initial
