symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
ADANIPOWER,2026-05-14,2026-05-26,221.08388889526552,245.45166668579654,820,target,NIFTY COMMODITIES,19981.577788235438,11.021959995499643,12,ha_ema21_touch,208.9,n/a
MANAPPURAM,2026-05-19,2026-06-10,308.8085,295.75,645,stop,NIFTY MS FIN SERV,-8422.732499999987,-4.228672462059812,22,ha_ema21_touch,295.75,initial
HINDALCO,2026-05-21,2026-06-10,1091.09,1038.4,185,stop,NIFTY METAL,-9747.649999999969,-4.829115838290132,20,ha_ema21_touch,1038.4,initial
SIEMENS,2026-05-29,2026-06-11,3913.8098999999997,3543.3,28,stop,NIFTY ENERGY,-10374.277199999988,-9.466732147619117,13,ha_ema21_touch,3543.3,initial
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,26,stop,NIFTY ENERGY,-10146.929846905932,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
BHEL,2026-06-30,2026-07-03,416.81639999999993,393.85,439,stop,NIFTY ENERGY,-10082.24959999996,-5.509955942232581,3,ha_ema21_touch,393.85,initial
LAURUSLABS,2026-06-22,2026-07-03,1426.0245999999997,1550.4737999999993,142,target,NIFTY MIDSML HLTH,17671.78639999994,8.72700232520529,11,ha_ema21_touch,1363.8,n/a
GMRAIRPORT,2026-07-21,2026-07-22,111.81169999999999,109.69,1765,stop,NIFTY IND TOURISM,-3744.800499999982,-1.8975652816297317,1,ha_ema21_touch,109.69,initial
PAYTM,2026-07-27,2026-08-03,1297.9967,1420.9900999999998,151,target,NIFTY MS FIN SERV,18572.003399999976,9.475632719251115,7,ha_ema21_touch,1236.5,n/a
GODREJPROP,2026-07-28,2026-08-04,2088.5865,2025.1,93,stop,NIFTY REALTY,-5904.244499999998,-3.0396873675090808,7,ha_ema21_touch,2025.1,initial
