symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
INDIANB,2026-01-22,2026-01-29,839.9390999999999,891.2172999999999,238,target,NIFTY PSU BANK,12204.211599999993,6.104990230839347,7,ha_ema21_touch,814.3,n/a
ASHOKLEY,2026-02-03,2026-02-11,195.19499999999996,214.54499999999987,1037,target,NIFTY AUTO,20065.949999999906,9.913163759317566,8,ha_ema21_touch,185.52,n/a
INDUSTOWER,2026-02-03,2026-02-11,434.50133456206004,464.60400368618014,468,target,NIFTY MS IT TELCM,14088.049150088205,6.92809589513943,8,ha_ema21_touch,419.45,n/a
RBLBANK,2026-02-12,2026-02-17,310.05974999999995,324.67924999999985,682,target,NIFTY MS FIN SERV,9970.498999999934,4.715058952347051,5,ha_ema21_touch,302.75,n/a
BPCL,2026-02-18,2026-02-19,376.76956700821285,366.55,573,stop,NIFTY OIL AND GAS,-5855.811895705954,-2.71241838595474,1,ha_ema21_touch,366.55,initial
AUBANK,2026-02-13,2026-02-23,1003.95295,980.3,209,stop,NIFTY MS FIN SERV,-4943.4665500000065,-2.3559819212643385,10,ha_ema21_touch,980.3,initial
BAJAJ-AUTO,2026-02-03,2026-02-25,9541.805230576225,10124.415691728675,21,target,NIFTY AUTO,12234.819684201444,6.1058724955473265,22,ha_ema21_touch,9250.5,n/a
PETRONET,2026-02-03,2026-02-25,291.7915,313.37449999999995,695,target,NIFTY OIL AND GAS,15000.18499999998,7.396719918160732,22,ha_ema21_touch,281.0,n/a
ICICIGI,2026-02-26,2026-02-27,1946.1441999999997,1898.0,110,stop,NIFTY MS FIN SERV,-5295.86199999997,-2.473824909788269,1,ha_ema21_touch,1898.0,initial
CHOLAFIN,2026-02-26,2026-03-02,1758.7569999999998,1661.0,122,stop,NIFTY FINSEREXBNK,-11926.35399999998,-5.558300549763262,4,ha_ema21_touch,1697.5213,initial
SUNPHARMA,2026-03-05,2026-03-11,1758.9571999999998,1834.8715999999995,120,target,NIFTY PHARMA,9109.72799999996,4.315875337955899,6,ha_ema21_touch,1721.0,n/a
GLENMARK,2026-03-06,2026-03-11,2121.0189,2278.6567,101,target,NIFTY MIDSML HLTH,15921.417799999997,7.4321732823785736,5,ha_ema21_touch,2042.2,n/a
CGPOWER,2026-03-06,2026-03-13,703.5528499999999,743.8585499999998,304,target,NIFTY ENERGY,12252.932799999966,5.728880211344456,7,ha_ema21_touch,683.4,n/a
APOLLOHOSP,2026-03-05,2026-03-16,7746.992198744886,7476.0,27,stop,NIFTY HEALTHCARE,-7316.789366111924,-3.498031129924084,11,ha_ema21_touch,7476.0,initial
MCX,2026-03-17,2026-03-20,2579.5769999999998,2440.8,78,stop,NIFTY MS FIN SERV,-10824.605999999967,-5.379835531174281,3,ha_ema21_touch,2440.8,initial
BEL,2026-02-03,2026-03-23,441.79134999999997,420.25,460,stop,NIFTY IND DEFENCE,-9909.020999999984,-4.875910313771414,48,ha_ema21_touch,420.25,initial
BSE,2026-03-17,2026-03-23,2890.8879999999995,2770.0,75,stop,NIFTY MS FIN SERV,-9066.59999999996,-4.181690885291978,6,ha_ema21_touch,2777.0,initial
LAURUSLABS,2026-05-04,2026-05-06,1114.06295,1182.18885,189,target,NIFTY MIDSML HLTH,12875.7951,6.115085327987968,2,ha_ema21_touch,1080.0,n/a
LTF,2026-05-05,2026-05-07,288.08779999999996,304.2633999999999,741,target,NIFTY MS FIN SERV,11986.119599999938,5.614816038721493,2,ha_ema21_touch,280.0,n/a
BHARATFORG,2026-05-06,2026-05-08,1887.9340730916038,2027.2022192748113,114,target,NIFTY AUTO,15876.568664885664,7.376748381639597,2,ha_ema21_touch,1818.3,n/a
HINDALCO,2026-05-13,2026-05-25,1055.6545999999998,1116.9637999999995,206,target,NIFTY METAL,12629.695199999936,5.807695054802942,12,ha_ema21_touch,1025.0,n/a
ADANIPOWER,2026-05-14,2026-05-26,221.08388889526552,245.45166668579654,912,target,NIFTY COMMODITIES,22223.41334496429,11.021959995499643,12,ha_ema21_touch,208.9,n/a
MANAPPURAM,2026-05-19,2026-06-10,308.8085,295.75,705,stop,NIFTY MS FIN SERV,-9206.242499999986,-4.228672462059812,22,ha_ema21_touch,295.75,initial
SIEMENS,2026-05-29,2026-06-11,3913.8098999999997,3543.3,31,stop,NIFTY ENERGY,-11485.806899999987,-9.466732147619117,13,ha_ema21_touch,3543.3,initial
RBLBANK,2026-04-29,2026-06-11,328.27795,364.8338499999999,577,target,NIFTY MS FIN SERV,21092.75429999997,11.135655014295033,43,ha_ema21_touch,310.0,n/a
MOTHERSON,2026-06-25,2026-06-29,145.30515999999997,151.77547999999993,1573,target,NIFTY AUTO,10177.813359999935,4.452918258374283,4,ha_ema21_touch,142.07,n/a
GVT&D,2026-06-03,2026-07-03,4971.266532573305,4581.0,29,stop,NIFTY ENERGY,-11317.729444625847,-7.85044475117469,30,ha_ema21_touch,4581.0,initial
CGPOWER,2026-06-29,2026-07-03,949.8989499999999,911.4,245,stop,NIFTY ENERGY,-9432.242749999981,-4.052952158753298,4,ha_ema21_touch,919.45,initial
LAURUSLABS,2026-06-22,2026-07-03,1426.0245999999997,1550.4737999999993,162,target,NIFTY MIDSML HLTH,20160.77039999993,8.72700232520529,11,ha_ema21_touch,1363.8,n/a
ZYDUSLIFE,2026-06-23,2026-07-03,1089.2882,1138.6646,213,target,NIFTY PHARMA,10517.173200000023,4.532905065895343,10,ha_ema21_touch,1064.6,n/a
AUBANK,2026-07-10,2026-07-14,1058.687921103393,1035.1,220,stop,NIFTY MS FIN SERV,-5189.34264274646,-2.2280334585105144,4,ha_ema21_touch,1035.1,initial
HDFCAMC,2026-07-10,2026-07-14,2747.6449,2662.3,85,stop,NIFTY FINSEREXBNK,-7254.316499999966,-3.1061109825363364,4,ha_ema21_touch,2662.3,initial
ADANIENSOL,2026-07-03,2026-07-16,1571.8702999999998,1723.8108999999993,146,target,NIFTY COMMODITIES,22183.32759999992,9.666230095447403,13,ha_ema21_touch,1495.9,n/a
MANAPPURAM,2026-07-15,2026-07-17,335.4163351929961,322.75,688,stop,NIFTY MS FIN SERV,-8714.438612781309,-3.776302422989619,2,ha_ema21_touch,322.75,initial
BHARATFORG,2026-07-17,2026-07-21,2128.8266999999996,2222.480099999999,107,target,NIFTY AUTO,10020.913799999918,4.399296570265632,4,ha_ema21_touch,2082.0,n/a
LUPIN,2026-07-21,2026-07-22,2497.2948,2424.0,93,stop,NIFTY MIDSML HLTH,-6816.416400000011,-2.934967870032812,1,ha_ema21_touch,2424.0,initial
HAL,2026-07-17,2026-07-22,4464.459999999999,4605.379999999997,51,target,NIFTY IND DEFENCE,7186.919999999911,3.1564847708345,5,ha_ema21_touch,4394.0,n/a
ADANIENT,2026-07-10,2026-07-23,3129.0129606321125,3026.8,74,stop,NIFTY METAL,-7563.75908677631,-3.2666199187447176,13,ha_ema21_touch,3026.8,initial
BHARTIARTL,2026-07-15,2026-07-24,1943.0410999999997,1885.0,118,stop,NIFTY INFRA,-6848.849799999964,-2.987126726243705,9,ha_ema21_touch,1885.0,initial
IDFCFIRSTB,2026-07-27,2026-07-28,81.17108999999999,85.75326999999999,2818,target,NIFTY MS FIN SERV,12912.583239999984,5.645088663956588,1,ha_ema21_touch,78.88,n/a
