symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
BANKINDIA,2026-01-14,2026-01-22,148.03,162.86999999999998,1347,target,NIFTY PSU BANK,19989.479999999967,10.024994933459407,8,ha_ema21_touch,140.61,n/a
BANKBARODA,2026-01-14,2026-01-23,298.05,286.45,671,stop,NIFTY PSU BANK,-7783.600000000015,-3.891964435497408,9,ha_ema21_touch,286.45,initial
PNB,2026-01-14,2026-01-23,125.04,118.9,1599,stop,NIFTY PSU BANK,-9817.86,-4.910428662827893,9,ha_ema21_touch,118.9,initial
APLAPOLLO,2026-01-14,2026-01-29,1934.7,2110.1000000000004,103,target,NIFTY METAL,18066.200000000033,9.066005065384841,15,ha_ema21_touch,1847.0,n/a
HINDZINC,2026-01-14,2026-02-01,654.2,575.0,151,stop,NIFTY METAL,-11959.200000000006,-12.10638948333843,18,ha_ema21_touch,588.35,initial
MCX,2026-01-27,2026-02-01,2418.0,2245.0,59,stop,NIFTY MS FIN SERV,-10207.0,-7.154673283705537,5,ha_ema21_touch,2245.0,initial
INDIANB,2026-01-22,2026-02-02,878.05,814.3,159,stop,NIFTY PSU BANK,-10136.25,-7.26040658276863,11,ha_ema21_touch,814.3,initial
NAM-INDIA,2026-02-18,2026-03-02,978.55,899.95,127,stop,NIFTY CAPITAL MKT,-9982.199999999988,-8.032292677941843,12,ha_ema21_touch,899.95,initial
ASHOKLEY,2026-02-03,2026-03-09,199.87,185.52,688,stop,NIFTY AUTO,-9872.799999999996,-7.1796667834092105,34,ha_ema21_touch,185.52,initial
AXISBANK,2026-02-03,2026-03-09,1356.2,1282.2,145,stop,NIFTY PVT BANK,-10730.0,-5.456422356584579,34,ha_ema21_touch,1302.9,initial
BAJAJ-AUTO,2026-02-10,2026-03-09,9774.0,9471.5,20,stop,NIFTY AUTO,-6050.0,-3.094945774503788,27,ha_ema21_touch,9471.5,initial
BIOCON,2026-03-10,2026-03-16,395.8,379.4,484,stop,NIFTY MIDSML HLTH,-7937.600000000017,-4.1435068216270965,6,ha_ema21_touch,379.4,initial
TORNTPHARM,2026-03-10,2026-03-23,4427.8,4175.2,37,stop,NIFTY PHARMA,-9346.200000000013,-5.704864718370306,13,ha_ema21_touch,4175.2,initial
SUNPHARMA,2026-03-05,2026-04-02,1784.5,1665.0,110,stop,NIFTY PHARMA,-13145.0,-6.696553656486415,28,ha_ema21_touch,1712.0,initial
GLENMARK,2026-03-10,2026-04-02,2225.8,2050.2,54,stop,NIFTY MIDSML HLTH,-9482.40000000002,-7.889298229849961,23,ha_ema21_touch,2050.2,initial
ADANIPOWER,2026-03-25,2026-04-08,153.65,171.65,1041,target,NIFTY COMMODITIES,18738.0,11.714936544093725,14,ha_ema21_touch,144.65,n/a
ONGC,2026-02-04,2026-04-28,260.8,298.6,521,target,NIFTY OIL AND GAS,19693.800000000007,14.493865030674847,83,ha_ema21_touch,241.9,n/a
HINDALCO,2026-05-13,2026-05-29,1073.1,1175.0999999999997,177,target,NIFTY METAL,18053.99999999996,9.505171931786393,16,ha_ema21_touch,1022.1,n/a
NAM-INDIA,2026-06-04,2026-06-08,1129.1,1061.6,144,stop,NIFTY CAPITAL MKT,-9720.0,-5.978212735807276,4,ha_ema21_touch,1061.6,initial
RBLBANK,2026-06-03,2026-06-19,348.2,378.59999999999997,557,target,NIFTY MS FIN SERV,16932.79999999999,8.730614589316477,16,ha_ema21_touch,333.0,n/a
GVT&D,2026-06-04,2026-07-03,5086.5,4581.0,19,stop,NIFTY ENERGY,-9604.5,-9.938071365378942,29,ha_ema21_touch,4581.0,initial
LAURUSLABS,2026-06-19,2026-07-03,1412.9,1552.9,141,target,NIFTY MIDSML HLTH,19740.0,9.90869842168589,14,ha_ema21_touch,1342.9,n/a
ADANIENT,2026-07-13,2026-07-23,3177.5,3028.0,61,stop,NIFTY METAL,-9119.5,-4.7049567269866195,10,ha_ema21_touch,3028.0,initial
KEI,2026-05-14,2026-07-24,5144.7,4822.6,29,stop,NIFTY EV,-9340.899999999983,-6.260812097887136,71,ha_ema21_touch,4822.6,initial
LAURUSLABS,2026-07-10,2026-07-27,1537.8,1716.9999999999998,110,target,NIFTY MIDSML HLTH,19711.999999999978,11.653010794641695,17,ha_ema21_touch,1448.2,n/a
ADANIPOWER,2026-05-25,2026-07-28,233.38,208.03,378,stop,NIFTY COMMODITIES,-9582.299999999997,-10.862113291627384,64,ha_ema21_touch,208.03,initial
NYKAA,2026-07-27,2026-08-05,326.75,346.15,599,target,NIFTY INTERNET,11620.599999999986,5.93726090283091,9,ha_ema21_touch,317.05,n/a
APOLLOHOSP,2026-07-28,2026-08-11,8903.0,8744.0,21,stop,NIFTY HEALTHCARE,-3339.0,-1.7859148601594987,14,ha_ema21_touch,8744.0,initial
