symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
CGPOWER,2021-01-01,2021-01-06,44.65,43.25,2687,rebalance,NIFTY ENERGY,-3761.799999999996,-3.135498320268759,5
LAURUSLABS,2021-01-01,2021-01-11,353.5154506437768,350.1,233,rebalance,NIFTY MIDSML HLTH,-795.7999999999829,-0.9661390011545423,10
SAIL,2021-01-11,2021-01-14,74.85,67.84006357972231,1092,stop,NIFTY METAL,-7654.850570943229,-9.365312518741064,3
TATASTEEL,2021-01-01,2021-01-18,59.32,61.61,1367,rebalance,NIFTY METAL,3130.429999999999,3.8604180714767455,17
JSWSTEEL,2021-01-01,2021-01-18,389.7,383.1,208,rebalance,NIFTY METAL,-1372.799999999993,-1.6936104695919885,17
LTM,2021-01-06,2021-01-19,3956.9,4091.35,29,rebalance,NIFTY IT,3899.0499999999947,3.3978619626475304,13
TATASTEEL,2021-01-19,2021-01-21,63.03,61.61,1882,rebalance,NIFTY METAL,-2672.4400000000032,-2.252895446612724,2
DIXON,2021-01-01,2021-01-22,2724.4,2765.3903905608463,29,stop,NIFTY CONSR DURBL,1188.72132626454,1.5045657965367054,21
VEDL,2021-01-14,2021-01-22,74.55,69.3,994,rebalance,NIFTY METAL,-5218.5,-7.042253521126762,8
KPITTECH,2021-01-01,2021-01-25,143.9,127.12076423815654,833,stop,NIFTY MS IT TELCM,-13977.103389615608,-11.660344518306786,24
PERSISTENT,2021-01-18,2021-01-25,796.2,769.5,100,rebalance,NIFTY MS IT TELCM,-2670.0000000000045,-3.3534287867370116,7
DLF,2021-01-21,2021-01-27,282.7,257.20004252922155,410,stop,NIFTY REALTY,-10454.98256301916,-9.020147672719647,6
MPHASIS,2021-01-01,2021-01-27,1408.2,1461.6,56,rebalance,NIFTY MS IT TELCM,2990.3999999999924,3.7920749893481043,26
KPITTECH,2021-01-25,2021-01-28,133.65,132.95,612,rebalance,NIFTY MS IT TELCM,-428.40000000001044,-0.5237560793116436,3
WIPRO,2021-01-22,2021-01-29,212.55,199.04750555654957,393,stop,NIFTY IT,-5306.4803162760245,-6.352620298024203,7
ADANIENT,2021-01-01,2021-01-29,476.2,491.2,251,rebalance,NIFTY METAL,3765.0,3.1499370012599837,28
APLAPOLLO,2021-01-01,2021-01-29,429.9,453.3,279,rebalance,NIFTY METAL,6528.6000000000095,5.443126308443835,28
ASHOKLEY,2021-01-18,2021-01-29,54.7,52.9,1541,rebalance,NIFTY AUTO,-2773.8000000000065,-3.290676416819016,11
DLF,2021-01-28,2021-01-29,261.0,255.45,311,rebalance,NIFTY REALTY,-1726.0500000000036,-2.126436781609198,1
IDFCFIRSTB,2021-01-22,2021-02-01,49.48467016491755,44.40836761775664,1334,stop,NIFTY MS FIN SERV,-6771.787597912659,-10.258333601584335,10
CROMPTON,2021-01-29,2021-02-01,427.75,416.45,191,rebalance,NIFTY CONSR DURBL,-2158.300000000002,-2.641729982466401,3
RVNL,2021-01-29,2021-02-02,31.3,29.65,3859,rebalance,,-6367.350000000009,-5.271565495207675,4
KPITTECH,2021-01-29,2021-02-04,142.8,136.5,859,rebalance,NIFTY MS IT TELCM,-5411.70000000001,-4.4117647058823595,6
ASHOKLEY,2021-02-02,2021-02-16,63.7,61.9,1799,rebalance,NIFTY AUTO,-3238.2000000000075,-2.8257456828885474,14
HAVELLS,2021-01-29,2021-02-19,1044.75,1139.0,78,rebalance,NIFTY CONSR DURBL,7351.5,9.02129696099545,21
TATAELXSI,2021-01-01,2021-02-22,1867.95,2666.8,64,rebalance,NIFTY MS IT TELCM,51126.40000000001,42.76613399716267,52
TMPV,2021-01-27,2021-02-22,184.15,209.65,567,rebalance,NIFTY AUTO,14458.5,13.847407005158828,26
UNOMINDA,2021-01-27,2021-02-22,237.99097421203436,269.55,349,rebalance,NIFTY AUTO,11014.100000000013,13.260597756891656,26
