symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
PFC,2023-08-24,2023-09-01,216.55,204.26149367211661,554,stop,NIFTY FINSEREXBNK,-6807.832505647402,-5.674673898814775,8
DIXON,2023-08-24,2023-09-06,4947.1,4998.15,16,rebalance,NIFTY CONSR DURBL,816.7999999999884,1.0319176891512072,13
KEI,2023-08-24,2023-09-07,2618.1322580645165,2547.8,31,rebalance,NIFTY EV,-2180.3000000000047,-2.686352373829659,14
SUPREMEIND,2023-08-24,2023-09-15,4449.4,4136.661155961864,18,stop,NIFTY MULTI MFG,-5629.29919268644,-7.028786893471828,22
KALYANKJIL,2023-08-24,2023-09-21,216.75,213.1,553,rebalance,NIFTY CONSR DURBL,-2018.4500000000032,-1.6839677047289503,28
RVNL,2023-09-15,2023-09-21,170.15,158.8,437,rebalance,,-4959.949999999997,-6.670584778136934,6
COFORGE,2023-08-24,2023-09-22,1078.0,1058.5,78,rebalance,NIFTY MS IT TELCM,-1521.0,-1.8089053803339472,29
IRFC,2023-08-24,2023-10-09,48.6,70.49708274906867,2469,stop,NIFTY FINSEREXBNK,54063.897307450534,45.05572582112893,46
ADANIPOWER,2023-09-06,2023-10-09,69.51898788927335,69.21369376641273,1156,stop,NIFTY COMMODITIES,-352.92000602687193,-0.43915213976772893,33
RVNL,2023-09-22,2023-10-11,166.85,165.2,494,rebalance,,-815.1000000000029,-0.9889121965837577,19
UNIONBANK,2023-09-21,2023-10-18,87.19266924564798,92.59,1034,rebalance,NIFTY PSU BANK,5580.839999999996,6.190119881691114,27
MAZDOCK,2023-08-24,2023-10-23,929.3,978.5015999690982,129,stop,NIFTY IND DEFENCE,6347.006396013668,5.294479712589917,60
IRFC,2023-10-11,2023-10-25,75.5968547641073,68.33475597662242,1081,stop,NIFTY FINSEREXBNK,-7850.328789271164,-9.606350436331734,14
POLYCAB,2023-08-24,2023-10-25,5026.85,5023.15,15,rebalance,,-55.500000000010914,-0.07360474253261806,62
KAYNES,2023-09-21,2023-10-26,2067.85,2242.7470985371583,47,stop,NIFTY MULTI INFRA,8220.163631246445,8.45791999115788,35
DIXON,2023-10-25,2023-10-30,5445.6,5191.198028182435,18,stop,NIFTY CONSR DURBL,-4579.2354927161705,-4.671697734272895,5
IRFC,2023-10-30,2023-11-15,72.75,73.5,1284,rebalance,NIFTY FINSEREXBNK,963.0,1.0309278350515427,16
NBCC,2023-10-25,2023-11-17,42.38765441751367,44.7,1279,rebalance,NIFTY MULTI INFRA,2957.490000000016,5.455233638809043,23
MOTILALOFS,2023-11-15,2023-11-22,305.95,279.05794856449216,308,stop,NIFTY CAPITAL MKT,-8282.75184213641,-8.789688326689927,7
IRFC,2023-11-22,2023-12-06,76.7,75.8,1121,rebalance,NIFTY FINSEREXBNK,-1008.9000000000063,-1.1734028683181297,14
PHOENIXLTD,2023-11-17,2023-12-08,1142.85,1104.5,50,rebalance,NIFTY REALTY,-1917.4999999999955,-3.3556459727873245,21
ADANIPOWER,2023-12-08,2023-12-13,106.75,101.15,520,rebalance,NIFTY COMMODITIES,-2911.9999999999973,-5.245901639344252,5
PFC,2023-09-07,2023-12-21,217.5625,369.30541361511484,364,stop,NIFTY FINSEREXBNK,55234.4205559018,69.74681464641877,105
MCX,2023-10-09,2024-01-01,416.0,634.0,274,rebalance,NIFTY MS FIN SERV,59732.0,52.403846153846146,84
BSE,2023-08-24,2024-01-15,301.5,737.8060262761217,398,stop,NIFTY MS FIN SERV,173649.79845789642,144.71178317615974,144
ANGELONE,2023-10-18,2024-01-16,216.1,332.13266787821595,443,stop,NIFTY MS FIN SERV,51402.47187004967,53.69396940222859,90
KALYANKJIL,2023-10-09,2024-01-16,251.25,367.9,556,rebalance,NIFTY CONSR DURBL,64857.39999999999,46.427860696517406,99
COALINDIA,2023-12-06,2024-01-17,345.19999999999993,356.5,488,rebalance,NIFTY ENERGY,5514.400000000033,3.2734646581692006,42
ANGELONE,2024-01-17,2024-01-20,333.3,324.6,527,rebalance,NIFTY MS FIN SERV,-4584.899999999994,-2.6102610261026116,3
PRESTIGE,2023-10-23,2024-01-23,746.4,1128.0420328237103,169,stop,NIFTY REALTY,64497.503547207045,51.131033336509965,92
BSE,2024-01-15,2024-01-23,746.0,704.0,281,rebalance,NIFTY MS FIN SERV,-11802.0,-5.630026809651478,8
TRENT,2024-01-16,2024-01-30,2110.7,2020.1278019722959,68,stop,NIFTY NONCYC CONS,-6158.909465883869,-4.2910976466434825,14
RVNL,2024-01-23,2024-02-09,288.75,252.82818301626367,693,stop,,-24893.81916972928,-12.440456098263663,17
IRFC,2023-12-13,2024-02-12,89.21788321167884,140.45641488095634,685,stop,NIFTY FINSEREXBNK,35098.39419345509,57.43078609891326,61
NHPC,2024-01-30,2024-02-12,87.6,81.29742044358045,1568,stop,NIFTY COMMODITIES,-9882.444744465847,-7.194725521026879,13
NBCC,2024-01-20,2024-02-12,67.83,88.77,2524,rebalance,NIFTY MULTI INFRA,52852.56,30.87129588677575,23
MOTILALOFS,2024-02-12,2024-02-14,453.95,450.3,313,rebalance,NIFTY CAPITAL MKT,-1142.449999999993,-0.8040533098358837,2
OFSS,2024-01-23,2024-02-20,5887.0,7117.5,31,rebalance,NIFTY MS IT TELCM,38145.5,20.901987429930347,28
PFC,2023-12-21,2024-02-21,388.85,412.4,345,rebalance,NIFTY FINSEREXBNK,8124.7499999999845,6.0563199177060545,62
BHEL,2024-01-01,2024-02-21,198.15,221.9,876,rebalance,NIFTY ENERGY,20805.0,11.98586929094121,51
RECLTD,2023-09-01,2024-02-22,238.8,461.55,475,rebalance,NIFTY FINSEREXBNK,105806.25,93.2788944723618,174
MAXHEALTH,2024-02-12,2024-02-23,875.9,851.9,186,rebalance,NIFTY HEALTHCARE,-4464.0,-2.7400388172165724,11
NBCC,2024-02-22,2024-02-26,97.33,93.13,2253,rebalance,NIFTY MULTI INFRA,-9462.600000000006,-4.315216274529954,4
IRFC,2024-02-14,2024-02-28,154.28658008658007,147.4,924,rebalance,NIFTY FINSEREXBNK,-6363.1999999999825,-4.463499082496725,14
NHPC,2024-02-20,2024-02-28,94.8,88.05,2327,rebalance,NIFTY COMMODITIES,-15707.25,-7.120253164556967,8
MAXHEALTH,2024-02-28,2024-02-29,851.55,788.7484247840142,171,stop,NIFTY HEALTHCARE,-10739.069361933562,-7.3749721350461765,1
ADANIGREEN,2024-02-26,2024-03-05,1970.45,1947.4,106,rebalance,NIFTY COMMODITIES,-2443.299999999995,-1.1697835519805078,8
IOC,2024-02-12,2024-03-13,159.92048152295632,150.36776261231608,893,stop,NIFTY OIL AND GAS,-8530.577987201732,-5.973418051063684,30
GODFRYPHLP,2024-03-05,2024-03-13,1029.0,1015.5901998086533,200,stop,,-2681.960038269335,-1.3031875793339864,8
COALINDIA,2024-02-23,2024-03-13,416.85,391.65,380,rebalance,NIFTY ENERGY,-9576.000000000018,-6.045340050377845,19
BANKBARODA,2024-02-21,2024-03-14,250.5,232.82599643596816,748,stop,NIFTY PSU BANK,-13220.154665895812,-7.055490444723289,22
IOC,2024-03-14,2024-03-15,155.14,142.1016629629628,1122,stop,NIFTY OIL AND GAS,-14629.014155555733,-8.404239420547377,1
PHOENIXLTD,2024-03-15,2024-03-20,1362.5,1281.7,117,rebalance,NIFTY REALTY,-9453.599999999995,-5.930275229357795,5
CGPOWER,2024-03-20,2024-04-01,502.25,514.25,298,rebalance,NIFTY ENERGY,3576.0,2.3892483822797406,12
UNIONBANK,2024-02-29,2024-04-02,133.9690891658677,143.93,1043,rebalance,NIFTY PSU BANK,10389.229999999996,7.435230691013861,33
HEROMOTOCO,2024-03-13,2024-04-02,4401.65,4449.15,32,rebalance,NIFTY AUTO,1520.0,1.0791407767541727,20
GODFRYPHLP,2024-04-02,2024-04-09,1117.0,1042.0,124,rebalance,,-9300.0,-6.714413607878244,7
OFSS,2024-03-13,2024-04-16,7340.5,7209.968044033692,27,stop,NIFTY MS IT TELCM,-3524.3628110903046,-1.7782433889558913,34
ZYDUSLIFE,2024-03-13,2024-04-19,968.65,918.6034829366893,148,stop,NIFTY PHARMA,-7406.884525369986,-5.166625413029546,37
ABB,2024-02-28,2024-04-19,5428.6,6292.6,36,rebalance,NIFTY ENERGY,31104.0,15.915705706812066,51
BSE,2024-04-02,2024-04-29,919.0,883.1449643224144,167,stop,NIFTY MS FIN SERV,-5987.790958156803,-3.901527277212802,27
BEL,2024-04-16,2024-05-03,233.45,234.1,835,rebalance,NIFTY IND DEFENCE,542.7500000000048,0.2784322124651961,17
RECLTD,2024-05-03,2024-05-06,557.8,519.59170029558,351,stop,NIFTY FINSEREXBNK,-13411.11319625139,-6.849820671283602,3
BAJAJ-AUTO,2023-10-26,2024-05-07,5129.5,8463.5,20,rebalance,NIFTY AUTO,66680.0,64.99658836143874,194
MOTILALOFS,2024-04-09,2024-05-09,526.0492094861661,542.723187151901,253,stop,NIFTY CAPITAL MKT,4218.516349430935,3.1696611961496313,30
BLUESTARCO,2024-04-19,2024-05-09,1422.45,1387.5,149,rebalance,NIFTY CONSR DURBL,-5207.550000000007,-2.457028366550673,20
JINDALSTEL,2024-04-19,2024-05-14,927.1066265060242,978.45,166,rebalance,NIFTY METAL,8522.999999999989,5.53802249127191,25
NAM-INDIA,2024-04-29,2024-05-14,587.0023809523808,560.85,252,rebalance,NIFTY CAPITAL MKT,-6590.399999999957,-4.4552427385302735,15
KFINTECH,2024-05-06,2024-05-16,780.4,740.1,233,rebalance,NIFTY MS FIN SERV,-9389.899999999989,-5.164018452075858,10
OFSS,2024-05-07,2024-05-18,7222.5,7336.0,23,rebalance,NIFTY MS IT TELCM,2610.5,1.5714780200761558,11
OIL,2024-01-16,2024-05-21,259.55,442.65,796,rebalance,NIFTY OIL AND GAS,145747.59999999998,70.54517434020417,126
ZYDUSLIFE,2024-05-18,2024-05-29,1103.95,1036.2256755890269,153,stop,NIFTY PHARMA,-10361.821634878896,-6.1347275158270875,11
CUMMINSIND,2024-02-21,2024-05-31,2607.9,3471.945939207274,57,stop,,49250.61853481462,33.13186622214326,100
SUPREMEIND,2024-05-09,2024-05-31,5464.0988372093025,5277.6,43,rebalance,NIFTY MULTI MFG,-8019.449999999991,-3.4131673449844357,22
GODFRYPHLP,2024-05-14,2024-06-03,1202.0,1248.0,129,rebalance,,5934.0,3.8269550748752046,20
TRENT,2024-02-09,2024-06-04,2506.4,2802.933948566994,69,stop,NIFTY NONCYC CONS,20460.84245112257,11.831070402449484,116
HAL,2024-04-01,2024-06-04,3403.35,4463.388823296536,45,stop,NIFTY IND DEFENCE,47701.74704834414,31.14692356932247,64
ABB,2024-05-09,2024-06-04,6985.1,7818.070576444159,27,stop,NIFTY ENERGY,22490.205563992284,11.924962798587835,26
MOTILALOFS,2024-05-14,2024-06-04,567.8942244224422,511.62540472034567,303,stop,NIFTY CAPITAL MKT,-17049.452369735256,-9.908327516329795,21
RECLTD,2024-05-16,2024-06-04,541.1,503.14572492765217,319,stop,NIFTY FINSEREXBNK,-12107.413748078965,-7.014281107438158,19
ADANIPOWER,2024-05-21,2024-06-04,136.0,143.86309410763513,1802,stop,NIFTY COMMODITIES,14169.295581958513,5.781686843849365,14
SIEMENS,2024-06-03,2024-06-04,5541.35,5241.291619580895,29,stop,NIFTY ENERGY,-8701.69303215406,-5.41489673850426,1
BDL,2024-05-29,2024-06-05,1540.8,1361.2616894654007,102,stop,NIFTY IND DEFENCE,-18312.907674529128,-11.652278721092891,7
COCHINSHIP,2024-05-31,2024-06-05,1947.65,1701.7793195079328,124,stop,NIFTY IND DEFENCE,-30487.964381016347,-12.623966343648362,5
PHOENIXLTD,2024-06-04,2024-06-06,1628.85,1603.85,93,rebalance,NIFTY REALTY,-2325.0,-1.5348251834116144,2
OBEROIRLTY,2024-06-04,2024-06-14,1745.25,1907.8,119,rebalance,NIFTY REALTY,19343.449999999993,9.313851883684276,10
MOTILALOFS,2024-06-05,2024-07-02,561.0129562043795,565.2438953993915,274,stop,NIFTY CAPITAL MKT,1159.277339433276,0.7541606924084343,27
ABB,2024-06-04,2024-07-12,7666.75,8209.25,29,rebalance,NIFTY ENERGY,15732.5,7.076010043369085,38
SIEMENS,2024-06-04,2024-07-18,4854.3,5424.95,46,rebalance,NIFTY ENERGY,26249.899999999983,11.755556928908373,44
TRENT,2024-06-04,2024-07-19,3025.4,3423.3797715405935,50,stop,NIFTY NONCYC CONS,19898.98857702967,13.1546166305478,45
DIXON,2024-06-04,2024-07-19,8851.4,11359.550986665581,17,stop,NIFTY CONSR DURBL,42638.56677331489,28.336206551117126,45
CUMMINSIND,2024-06-05,2024-07-19,3404.1,3629.332891604817,58,stop,,13063.507713079402,6.616518069528432,44
NBCC,2024-07-12,2024-07-19,126.53,114.33790271811878,1890,stop,NIFTY MULTI INFRA,-23043.0638627555,-9.635736411824247,7
CAMS,2024-07-19,2024-07-23,825.8,764.1662554739172,223,stop,NIFTY MS FIN SERV,-13744.325029316453,-7.463519559951893,4
