symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
TATASTEEL,2021-08-26,2021-09-20,130.8557422512235,123.91895591748295,613,stop,NIFTY METAL,-4252.250022582953,-5.301094330597234,25
APOLLOHOSP,2021-08-26,2021-09-27,4700.4,4520.587146433302,17,stop,NIFTY HEALTHCARE,-3056.818510633856,-3.8254798222852826,32
OFSS,2021-08-26,2021-09-29,4238.0,3946.507949226019,28,stop,NIFTY MS IT TELCM,-8161.777421671473,-6.878056884709327,34
COFORGE,2021-08-26,2021-09-29,994.0,1004.0039041531818,85,stop,NIFTY MS IT TELCM,850.3318530204524,1.0064289892536937,34
TECHM,2021-08-26,2021-09-29,1360.6,1290.9083207962938,59,stop,NIFTY IT,-4111.809073018662,-5.122128414207417,34
CAMS,2021-09-27,2021-10-01,651.3,600.4949869921986,118,stop,NIFTY MS FIN SERV,-5994.991534920558,-7.800554737878295,4
KPITTECH,2021-08-26,2021-10-01,318.55,338.05,376,rebalance,NIFTY MS IT TELCM,7332.0,6.121487992465857,36
MAXHEALTH,2021-09-20,2021-10-12,372.90024038461536,336.6294483865076,208,stop,NIFTY HEALTHCARE,-7544.324735606416,-9.72667434075598,22
SRF,2021-08-26,2021-10-20,1812.65,2191.8879245162216,66,stop,,25029.703018070617,20.921740243081754,55
PRESTIGE,2021-10-01,2021-10-20,480.95,429.56172956075403,185,stop,NIFTY REALTY,-9506.830031260502,-10.684742788074841,19
OIL,2021-10-01,2021-10-20,166.6894589552239,151.44805916158137,536,stop,NIFTY OIL AND GAS,-8169.390289392395,-9.143589456209511,19
ANGELONE,2021-10-01,2021-10-21,143.9,129.94544512467937,791,stop,NIFTY MS FIN SERV,-11038.052906378625,-9.697397411619624,20
KEI,2021-10-20,2021-10-22,942.55,849.9928689532858,131,stop,NIFTY EV,-12124.984167119557,-9.819864309237092,2
IEX,2021-10-01,2021-10-29,206.8,224.95,431,stop,NIFTY MS FIN SERV,7822.6499999999905,8.776595744680836,28
INDHOTEL,2021-10-12,2021-10-29,209.42441860465115,187.40996402699912,559,stop,NIFTY IND TOURISM,-12306.080108907485,-10.511885254035558,17
JSWENERGY,2021-08-26,2021-11-02,237.95,334.54295102399124,504,stop,NIFTY COMMODITIES,48682.84731609159,40.59380164908226,68
UNITDSPR,2021-11-02,2021-11-18,975.15,905.0654880565119,132,stop,NIFTY FMCG,-9251.15557654043,-7.187049371223719,16
GODREJPROP,2021-10-01,2021-11-22,2258.3275862068967,2070.7664912508308,58,stop,NIFTY REALTY,-10878.543507451826,-8.305309473329991,52
BANKBARODA,2021-11-01,2021-11-22,85.50098684210526,77.89478081704188,1064,stop,NIFTY PSU BANK,-8093.0032106674425,-8.896044719471806,21
UNIONBANK,2021-11-01,2021-11-22,40.45,37.69072994719213,2114,stop,NIFTY PSU BANK,-5833.096891635839,-6.821433999525017,21
TATAELXSI,2021-08-26,2021-11-23,4861.6,5815.920091617478,24,stop,NIFTY MS IT TELCM,22903.682198819457,19.6297534066455,89
