symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
APOLLOHOSP,2021-08-26,2021-09-27,4700.4,4520.587146433302,17,stop,NIFTY HEALTHCARE,-3056.818510633856,-3.8254798222852826,32
OFSS,2021-08-26,2021-09-29,4238.0,3946.507949226019,28,stop,NIFTY MS IT TELCM,-8161.777421671473,-6.878056884709327,34
COFORGE,2021-08-26,2021-09-29,994.0,1004.0039041531818,120,stop,NIFTY MS IT TELCM,1200.4684983818152,1.0064289892536937,34
WIPRO,2021-08-26,2021-09-29,300.78248175182483,301.1,274,stop,NIFTY IT,87.00000000000216,0.10556407618087515,34
TECHM,2021-09-27,2021-09-29,1374.9,1298.5117064465212,56,stop,NIFTY IT,-4277.744438994818,-5.555916325076648,2
MAXHEALTH,2021-08-26,2021-10-12,333.3,341.3710442733736,242,stop,NIFTY HEALTHCARE,1953.1927141564151,2.4215554375558446,47
SRF,2021-08-26,2021-10-20,1812.65,2191.8879245162216,66,stop,,25029.703018070617,20.921740243081754,55
PRESTIGE,2021-10-01,2021-10-20,480.95,429.56172956075403,187,stop,NIFTY REALTY,-9609.606572138993,-10.684742788074841,19
OIL,2021-10-01,2021-10-20,166.66464088397788,151.44805916158137,543,stop,NIFTY OIL AND GAS,-8262.603875261306,-9.130060006542962,19
ANGELONE,2021-10-01,2021-10-21,143.9,129.94544512467937,806,stop,NIFTY MS FIN SERV,-11247.371229508435,-9.697397411619624,20
KEI,2021-10-20,2021-10-22,942.55,849.9928689532858,131,stop,NIFTY EV,-12124.984167119557,-9.819864309237092,2
KPITTECH,2021-08-26,2021-10-25,318.55,311.35,376,stop,NIFTY MS IT TELCM,-2707.1999999999957,-2.2602417202950864,60
IEX,2021-10-01,2021-10-29,206.8,224.95,435,stop,NIFTY MS FIN SERV,7895.24999999999,8.776595744680836,28
INDHOTEL,2021-10-12,2021-10-29,209.35093167701862,187.40996402699912,644,stop,NIFTY IND TOURISM,-14129.98316661256,-10.480472895085791,17
JSWENERGY,2021-08-26,2021-11-02,237.95,334.54295102399124,504,stop,NIFTY COMMODITIES,48682.84731609159,40.59380164908226,68
BANKBARODA,2021-11-01,2021-11-22,85.65,77.89478081704188,996,stop,NIFTY PSU BANK,-7724.198306226296,-9.054546623418712,21
UNIONBANK,2021-11-01,2021-11-22,40.45,37.69072994719213,2103,stop,NIFTY PSU BANK,-5802.744921054952,-6.821433999525017,21
GMRAIRPORT,2021-11-01,2021-11-22,42.1785046728972,38.181878000358054,2247,stop,NIFTY IND TOURISM,-8980.420133195455,-9.475505837709964,21
TATAELXSI,2021-09-01,2021-11-23,4848.5,5815.920091617478,16,stop,NIFTY MS IT TELCM,15478.721465879644,19.95297703655723,83
OBEROIRLTY,2021-10-20,2021-11-26,882.2,859.4694956146146,104,stop,NIFTY REALTY,-2363.9724560800832,-2.5765704358859054,37
