symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
KALYANKJIL,2023-08-24,2023-08-25,216.75,211.0,369,rebalance,NIFTY CONSR DURBL,-2121.75,-2.6528258362168433,1
GODFRYPHLP,2023-08-24,2023-08-28,731.0,711.0,119,rebalance,,-2380.0,-2.735978112175108,4
RECLTD,2023-08-25,2023-08-28,239.3,243.25,325,rebalance,NIFTY FINSEREXBNK,1283.7499999999964,1.6506477225240346,3
DRREDDY,2023-08-24,2023-08-30,1181.45,1142.8352721343633,67,stop,NIFTY PHARMA,-2587.1867669976605,-3.268418288174424,6
BSE,2023-08-30,2023-08-31,322.5,354.0,238,rebalance,NIFTY MS FIN SERV,7497.0,9.76744186046512,1
PFC,2023-08-24,2023-09-01,216.55,204.26149367211661,554,stop,NIFTY FINSEREXBNK,-6807.832505647402,-5.674673898814775,8
IRFC,2023-08-24,2023-09-01,48.6,55.75,1666,rebalance,NIFTY FINSEREXBNK,11911.899999999998,14.711934156378593,8
KEI,2023-08-24,2023-09-08,2618.25,2518.45,45,rebalance,NIFTY EV,-4491.000000000008,-3.8117062923708644,15
MAZDOCK,2023-08-24,2023-09-11,929.3,1136.1,129,rebalance,NIFTY IND DEFENCE,26677.199999999993,22.253308942214556,18
ANGELONE,2023-09-01,2023-09-12,191.4919540229885,179.1654815580231,435,stop,NIFTY MS FIN SERV,-5362.0155222599515,-6.437070699840275,11
KALYANKJIL,2023-09-08,2023-09-12,246.5,223.4484284020775,459,stop,NIFTY CONSR DURBL,-10580.671363446429,-9.351550343984794,4
MANAPPURAM,2023-08-28,2023-09-12,144.2006814310051,138.35,587,rebalance,NIFTY MS FIN SERV,-3434.350000000002,-4.057318851023917,15
TRENT,2023-08-28,2023-09-15,1337.2,1380.2,59,rebalance,NIFTY NONCYC CONS,2537.0,3.2156745438229217,18
ADANIPOWER,2023-09-12,2023-09-20,77.25,73.7,1064,rebalance,NIFTY COMMODITIES,-3777.199999999997,-4.595469255663431,8
JINDALSTEL,2023-09-11,2023-09-21,713.55,679.5567923218904,181,stop,NIFTY METAL,-6152.770589737832,-4.7639559495633925,10
BSE,2023-09-12,2023-09-22,432.5,385.5058087387164,190,stop,NIFTY MS FIN SERV,-8928.896339643887,-10.865708962146503,10
COFORGE,2023-08-24,2023-09-22,1078.0,1058.5,111,rebalance,NIFTY MS IT TELCM,-2164.5,-1.8089053803339472,29
SHRIRAMFIN,2023-08-24,2023-09-22,377.8992217898833,378.2,257,rebalance,NIFTY FINSEREXBNK,77.29999999998557,0.07959217504922567,29
CGPOWER,2023-09-22,2023-10-04,440.5,432.0,186,rebalance,NIFTY ENERGY,-1581.0,-1.9296254256526701,12
IRFC,2023-09-15,2023-10-09,79.0241833030853,71.15,1102,rebalance,NIFTY FINSEREXBNK,-8677.349999999988,-9.964270396677243,24
KAYNES,2023-10-04,2023-10-09,2392.05,2631.15,33,rebalance,NIFTY MULTI INFRA,7890.299999999997,9.995610459647587,5
BANKBARODA,2023-09-22,2023-10-13,194.5183720930233,183.51503525090314,430,stop,NIFTY PSU BANK,-4731.434842111664,-5.65670827065018,21
UNIONBANK,2023-09-20,2023-10-18,90.19,92.59,869,rebalance,NIFTY PSU BANK,2085.600000000005,2.661048896773477,28
KALYANKJIL,2023-10-18,2023-10-19,301.2,276.33779099237233,267,stop,NIFTY CONSR DURBL,-6638.209805036584,-8.254385460699753,1
BSE,2023-09-22,2023-10-20,399.0,529.5,308,rebalance,NIFTY MS FIN SERV,40194.0,32.70676691729324,28
MAZDOCK,2023-09-12,2023-10-23,1035.9,977.4015999690982,94,stop,NIFTY IND DEFENCE,-5498.849602904774,-5.6471087972682525,41
BAJFINANCE,2023-10-09,2023-10-25,803.0,771.3349133842418,103,stop,NIFTY FINSEREXBNK,-3261.5039214230987,-3.943348270953706,16
IRFC,2023-10-13,2023-10-25,76.73622795115334,69.61313142882238,1474,stop,NIFTY FINSEREXBNK,-10499.444273915826,-9.282573189374366,12
POLYCAB,2023-08-24,2023-10-25,5026.85,5023.15,23,rebalance,,-85.10000000001673,-0.07360474253261806,62
BAJFINANCE,2023-10-25,2023-10-26,769.5,742.0,122,rebalance,NIFTY FINSEREXBNK,-3355.0,-3.573749187784281,1
ANGELONE,2023-10-20,2023-11-01,234.3,263.0,551,rebalance,NIFTY MS FIN SERV,15813.699999999993,12.249253094323521,12
MCX,2023-10-23,2023-11-03,443.0,509.0,207,rebalance,NIFTY MS FIN SERV,13662.0,14.89841986455982,11
BSE,2023-11-01,2023-11-07,598.0,672.0,212,rebalance,NIFTY MS FIN SERV,15688.0,12.374581939799324,6
KALYANKJIL,2023-10-19,2023-11-08,302.9008250825083,347.9,303,rebalance,NIFTY CONSR DURBL,13634.749999999985,14.85607538547782,20
OIL,2023-10-09,2023-11-09,207.48232323232324,201.55,396,rebalance,NIFTY OIL AND GAS,-2349.199999999998,-2.859194527950537,31
NBCC,2023-10-26,2023-11-09,42.53,44.67,2129,rebalance,NIFTY MULTI INFRA,4556.060000000001,5.031742299553255,14
PFC,2023-09-01,2023-11-13,205.9,307.5,597,rebalance,NIFTY FINSEREXBNK,60655.2,49.34434191355026,73
BSE,2023-11-09,2023-11-13,654.5,774.0,126,rebalance,NIFTY MS FIN SERV,15057.0,18.25821237585943,4
MCX,2023-11-13,2023-11-16,555.0,593.0,261,rebalance,NIFTY MS FIN SERV,9918.0,6.8468468468468435,3
RBLBANK,2023-11-16,2023-11-17,254.55,238.511262122956,585,stop,NIFTY MS FIN SERV,-9382.661658070749,-6.300820222763315,1
SHRIRAMFIN,2023-11-03,2023-11-22,402.7,395.4,261,rebalance,NIFTY FINSEREXBNK,-1905.300000000003,-1.812763844052645,19
BAJAJ-AUTO,2023-09-21,2023-11-23,4959.5,5779.0,24,rebalance,NIFTY AUTO,19668.0,16.523843129347714,63
LTM,2023-11-13,2023-11-30,5261.1,5536.7,25,rebalance,NIFTY IT,6889.999999999986,5.238448233259185,17
PFC,2023-11-23,2023-12-01,320.75,365.15,433,rebalance,NIFTY FINSEREXBNK,19225.19999999999,13.842556508183934,8
RECLTD,2023-08-31,2023-12-04,238.65,389.8,354,rebalance,NIFTY FINSEREXBNK,53507.1,63.33542845170752,95
PHOENIXLTD,2023-11-08,2023-12-08,1046.4,1104.5,100,rebalance,NIFTY REALTY,5809.999999999991,5.552370030581022,30
MAZDOCK,2023-12-04,2023-12-08,1010.0,1029.7,136,rebalance,NIFTY IND DEFENCE,2679.200000000006,1.9504950495049522,4
KALYANKJIL,2023-11-09,2023-12-11,334.82532258064515,318.25,310,rebalance,NIFTY CONSR DURBL,-5138.349999999997,-4.950438769950816,32
ADANIPOWER,2023-12-08,2023-12-12,106.75,103.4,1015,rebalance,NIFTY COMMODITIES,-3400.249999999994,-3.1381733021077274,4
TIINDIA,2023-12-11,2023-12-14,3895.85,3711.55,25,rebalance,NIFTY AUTO,-4607.499999999993,-4.73067494898417,3
JINDALSTEL,2023-12-12,2023-12-18,747.85,712.2762610433883,140,stop,NIFTY METAL,-4980.323453925637,-4.756801358108131,6
UNIONBANK,2023-12-14,2023-12-19,112.78936969696971,111.47,825,rebalance,NIFTY PSU BANK,-1088.4800000000155,-1.1697642255776852,5
RECLTD,2023-12-18,2023-12-20,435.1,404.6664462431879,229,stop,NIFTY FINSEREXBNK,-6969.283810309971,-6.994611297819375,2
PFC,2023-12-19,2023-12-20,408.75,381.8527068075574,225,stop,NIFTY FINSEREXBNK,-6051.890968299583,-6.5803775394355,1
MCX,2023-11-17,2023-12-22,574.0,633.0,243,rebalance,NIFTY MS FIN SERV,14337.0,10.278745644599297,35
MANAPPURAM,2023-11-30,2023-12-28,164.4,172.5,841,rebalance,NIFTY MS FIN SERV,6812.099999999995,4.92700729927007,28
HEROMOTOCO,2023-12-01,2023-12-28,3570.4,3973.55,44,rebalance,NIFTY AUTO,17738.600000000006,11.291451938158193,27
TATAELXSI,2023-10-25,2024-01-04,7545.25,8639.65,16,rebalance,NIFTY MS IT TELCM,17510.399999999994,14.504489579536784,71
IRFC,2023-12-22,2024-01-12,97.75,113.4,1573,rebalance,NIFTY FINSEREXBNK,24617.450000000008,16.01023017902814,21
BSE,2023-11-22,2024-01-15,696.0,737.8060262761217,148,stop,NIFTY MS FIN SERV,6187.291888866005,6.006612970707126,54
ANGELONE,2023-11-07,2024-01-16,253.7,332.13266787821595,536,stop,NIFTY MS FIN SERV,42039.90998272376,30.91551749239889,70
PRESTIGE,2024-01-04,2024-01-17,1355.35,1288.9,102,rebalance,NIFTY REALTY,-6777.899999999981,-4.902792636588327,13
COALINDIA,2023-10-25,2024-01-19,290.0222570532916,359.9,319,rebalance,NIFTY ENERGY,22290.999999999978,24.09392425832626,86
BSE,2024-01-17,2024-01-20,762.5,747.0,172,rebalance,NIFTY MS FIN SERV,-2666.0,-2.0327868852458963,3
PHOENIXLTD,2024-01-19,2024-01-23,1281.7,1172.481735457377,89,stop,NIFTY REALTY,-9720.425544293452,-8.521359486823988,4
HEROMOTOCO,2024-01-12,2024-01-29,4178.3,4383.5,41,rebalance,NIFTY AUTO,8413.199999999993,4.911088241629358,17
NBCC,2024-01-20,2024-01-29,67.83,84.67,1895,rebalance,NIFTY MULTI INFRA,31911.800000000007,24.82677281438892,9
TRENT,2024-01-16,2024-01-30,2110.7,2020.1278019722959,79,stop,NIFTY NONCYC CONS,-7155.203644188613,-4.2910976466434825,14
WIPRO,2024-01-15,2024-02-01,236.38021505376344,225.3,465,rebalance,NIFTY IT,-5152.299999999993,-4.68745451104835,17
NHPC,2024-01-29,2024-02-02,86.95,100.65,2044,rebalance,NIFTY COMMODITIES,28002.800000000007,15.756181713628514,4
HAL,2023-12-28,2024-02-05,2805.8,2932.5,56,rebalance,NIFTY IND DEFENCE,7095.19999999999,4.515646161522557,39
OIL,2023-12-28,2024-02-07,255.15,325.05,638,rebalance,NIFTY OIL AND GAS,44596.200000000004,27.395649617871843,41
CUMMINSIND,2024-02-05,2024-02-08,2350.2,2585.25,69,rebalance,,16218.450000000012,10.001276487107491,3
IRFC,2024-01-23,2024-02-12,162.65988593155893,139.8172640518726,789,stop,NIFTY FINSEREXBNK,-18022.828663072516,-14.043180805682864,20
NBCC,2024-02-07,2024-02-12,105.37,91.85487940712511,1777,stop,NIFTY MULTI INFRA,-24016.369293538686,-12.826345822221597,5
JINDALSTEL,2024-02-02,2024-02-13,776.0,728.6818860677272,235,stop,NIFTY METAL,-11119.75677408411,-6.0976950943650525,11
BAJAJ-AUTO,2023-12-08,2024-02-14,5925.5,7883.5,24,rebalance,NIFTY AUTO,46992.0,33.04362501054763,68
CUMMINSIND,2024-02-14,2024-02-15,2563.1,2633.35,72,rebalance,,5058.0,2.7408216612695657,1
TRENT,2024-02-08,2024-02-19,2561.3,2698.1,69,rebalance,NIFTY NONCYC CONS,9439.19999999998,5.341037754265399,11
OIL,2024-02-12,2024-02-20,312.6,403.15,491,rebalance,NIFTY OIL AND GAS,44460.04999999998,28.966730646193195,8
HCLTECH,2024-02-12,2024-02-20,1666.95,1663.05,72,rebalance,NIFTY IT,-280.80000000000655,-0.23396022676145378,8
PFC,2023-12-20,2024-02-22,381.8889090909091,401.9868079398958,275,stop,NIFTY FINSEREXBNK,5526.922183471339,5.262760549090029,64
CUMMINSIND,2024-02-19,2024-02-23,2658.75,2810.95,70,rebalance,,10653.999999999987,5.724494593323914,4
NBCC,2024-02-23,2024-02-26,95.6,93.13,1981,rebalance,NIFTY MULTI INFRA,-4893.069999999998,-2.5836820083682044,3
RECLTD,2023-12-20,2024-02-27,425.8287313432836,443.2,268,rebalance,NIFTY FINSEREXBNK,4655.49999999999,4.079402674854382,69
IRFC,2024-02-13,2024-02-28,153.45,147.4,1117,rebalance,NIFTY FINSEREXBNK,-6757.849999999981,-3.9426523297490967,15
NHPC,2024-02-15,2024-02-28,92.6,88.05,2050,rebalance,NIFTY COMMODITIES,-9327.499999999995,-4.9136069114470775,13
MAXHEALTH,2024-02-01,2024-02-29,806.7598540145985,774.3191876261586,137,stop,NIFTY HEALTHCARE,-4444.37129521627,-4.021105689259164,28
BAJAJ-AUTO,2024-02-20,2024-02-29,8090.0,7726.643116288888,23,stop,NIFTY AUTO,-8357.208325355565,-4.491432431534137,9
TRENT,2024-02-20,2024-03-06,2683.9,2503.3718280298076,49,stop,NIFTY NONCYC CONS,-8845.880426539432,-6.726337492834777,15
GODFRYPHLP,2024-02-27,2024-03-06,936.0,1055.0,127,rebalance,,15113.0,12.713675213675213,8
COALINDIA,2024-01-29,2024-03-13,387.65,400.2403722725692,419,stop,NIFTY ENERGY,5275.365982206494,3.247871087983789,44
INDHOTEL,2024-02-28,2024-03-14,570.9,536.8843383817575,322,stop,NIFTY IND TOURISM,-10953.043041074072,-5.958252166446398,15
OIL,2024-02-22,2024-03-15,397.58742138364784,351.3257294890769,318,stop,NIFTY OIL AND GAS,-14711.218022473564,-11.635602488020169,22
