symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
TATASTEEL,2021-08-26,2021-09-20,130.85143556280588,123.91895591748295,613,stop,NIFTY METAL,-4249.610022582955,-5.297977523521691,25
APOLLOHOSP,2021-08-26,2021-09-27,4700.4,4520.587146433302,17,stop,NIFTY HEALTHCARE,-3056.818510633856,-3.8254798222852826,32
OFSS,2021-08-26,2021-09-29,4238.0,3946.507949226019,28,stop,NIFTY MS IT TELCM,-8161.777421671473,-6.878056884709327,34
COFORGE,2021-08-26,2021-09-29,994.0,1004.0039041531818,85,stop,NIFTY MS IT TELCM,850.3318530204524,1.0064289892536937,34
TECHM,2021-08-26,2021-09-29,1360.6,1290.9083207962938,59,stop,NIFTY IT,-4111.809073018662,-5.122128414207417,34
KPITTECH,2021-08-26,2021-10-01,318.55,338.05,376,rebalance,NIFTY MS IT TELCM,7332.0,6.121487992465857,36
CAMS,2021-09-29,2021-10-01,626.9,597.1,147,rebalance,NIFTY MS FIN SERV,-4380.599999999993,-4.753549210400376,2
FORTIS,2021-09-29,2021-10-01,263.2,265.7,342,rebalance,NIFTY MIDSML HLTH,855.0,0.9498480243161023,2
SRF,2021-08-26,2021-10-20,1812.65,2191.8879245162216,66,stop,,25029.703018070617,20.921740243081754,55
PRESTIGE,2021-10-01,2021-10-20,480.95,429.56172956075403,259,stop,NIFTY REALTY,-13309.562043764703,-10.684742788074841,19
OIL,2021-10-01,2021-10-20,166.7,151.44805916158137,544,stop,NIFTY OIL AND GAS,-8297.055816099728,-9.149334636123951,19
ANGELONE,2021-09-20,2021-10-21,122.67030497592295,128.33883673709067,623,stop,NIFTY MS FIN SERV,3531.4952872074946,4.620948616929188,31
KEI,2021-10-20,2021-10-22,942.55,849.9928689532858,98,stop,NIFTY EV,-9070.598842577989,-9.819864309237092,2
MAXHEALTH,2021-09-27,2021-10-25,358.82813953488375,325.09311676267987,215,stop,NIFTY HEALTHCARE,-7253.029896023833,-9.401442934751858,28
IEX,2021-10-01,2021-10-29,206.8,224.95,437,stop,NIFTY MS FIN SERV,7931.54999999999,8.776595744680836,28
INDHOTEL,2021-10-20,2021-10-29,212.75,189.47619913480355,504,stop,NIFTY IND TOURISM,-11729.995636059011,-10.939506869657556,9
WIPRO,2021-09-29,2021-11-01,306.25,313.2,293,rebalance,NIFTY IT,2036.3499999999967,2.269387755102037,33
DLF,2021-10-22,2021-11-01,413.65,408.85,201,rebalance,NIFTY REALTY,-964.7999999999909,-1.1604013054514528,10
OFSS,2021-10-29,2021-11-01,3941.5,3927.5,27,rebalance,NIFTY MS IT TELCM,-378.0,-0.3551947228212615,3
BAJAJFINSV,2021-10-29,2021-11-01,1782.1,1756.55,49,rebalance,NIFTY FINSEREXBNK,-1251.9499999999978,-1.4337018124684353,3
