symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
KALYANKJIL,2023-08-24,2023-08-25,216.75,211.0,369,rebalance,NIFTY CONSR DURBL,-2121.75,-2.6528258362168433,1
GODFRYPHLP,2023-08-24,2023-08-28,731.0,711.0,119,rebalance,,-2380.0,-2.735978112175108,4
DRREDDY,2023-08-24,2023-08-30,1181.45,1142.8352721343633,67,stop,NIFTY PHARMA,-2587.1867669976605,-3.268418288174424,6
PFC,2023-08-24,2023-09-01,216.55,204.26149367211661,554,stop,NIFTY FINSEREXBNK,-6807.832505647402,-5.674673898814775,8
KEI,2023-08-24,2023-09-08,2618.25,2518.45,45,rebalance,NIFTY EV,-4491.000000000008,-3.8117062923708644,15
KALYANKJIL,2023-09-08,2023-09-12,246.5,223.4484284020775,460,stop,NIFTY CONSR DURBL,-10603.722935044352,-9.351550343984794,4
MANAPPURAM,2023-08-28,2023-09-12,144.2,138.35,587,rebalance,NIFTY MS FIN SERV,-3433.9499999999966,-4.056865464632454,15
ADANIPOWER,2023-09-12,2023-09-20,77.25,73.7,1264,rebalance,NIFTY COMMODITIES,-4487.199999999996,-4.595469255663431,8
COFORGE,2023-08-24,2023-09-22,1078.0,1058.5,111,rebalance,NIFTY MS IT TELCM,-2164.5,-1.8089053803339472,29
SHRIRAMFIN,2023-08-24,2023-09-22,375.1,378.2,213,rebalance,NIFTY FINSEREXBNK,660.2999999999927,0.8264462809917328,29
CGPOWER,2023-09-12,2023-10-04,440.1948275862068,432.0,203,rebalance,NIFTY ENERGY,-1663.5499999999859,-1.8616365010790559,22
IRFC,2023-08-24,2023-10-09,48.6,70.49708274906867,1666,stop,NIFTY FINSEREXBNK,36480.539859948396,45.05572582112893,46
BANKBARODA,2023-09-22,2023-10-13,194.55,183.51503525090314,574,stop,NIFTY PSU BANK,-6334.069765981604,-5.672045617628818,21
UNIONBANK,2023-09-20,2023-10-18,90.19,92.59,1034,rebalance,NIFTY PSU BANK,2481.600000000006,2.661048896773477,28
KALYANKJIL,2023-10-18,2023-10-19,301.2,276.33779099237233,317,stop,NIFTY CONSR DURBL,-7881.320255417967,-8.254385460699753,1
MAZDOCK,2023-08-24,2023-10-23,929.3,978.5015999690982,129,stop,NIFTY IND DEFENCE,6347.006396013668,5.294479712589917,60
IRFC,2023-10-13,2023-10-25,76.6,69.61313142882238,1377,stop,NIFTY FINSEREXBNK,-9620.918022511569,-9.1212383435739,12
POLYCAB,2023-08-24,2023-10-25,5026.85,5023.15,23,rebalance,,-85.10000000001673,-0.07360474253261806,62
KAYNES,2023-10-04,2023-10-26,2392.05,2242.7470985371583,36,stop,NIFTY MULTI INFRA,-5374.904452662307,-6.24162962575372,22
OIL,2023-10-09,2023-11-09,207.5,201.55,575,rebalance,NIFTY OIL AND GAS,-3421.2499999999936,-2.8674698795180698,31
PHOENIXLTD,2023-11-09,2023-12-08,1032.1,1104.5,112,rebalance,NIFTY REALTY,8108.80000000001,7.014824144947207,29
KALYANKJIL,2023-10-19,2023-12-11,304.2634948096886,318.25,289,rebalance,NIFTY CONSR DURBL,4042.099999999992,4.59683972244509,53
TIINDIA,2023-12-11,2023-12-14,3895.85,3711.55,23,rebalance,NIFTY AUTO,-4238.899999999994,-4.73067494898417,3
JINDALSTEL,2023-12-14,2023-12-20,735.35,697.7047863078195,116,stop,NIFTY METAL,-4366.844788292939,-5.11935999077725,6
PFC,2023-09-01,2023-12-21,205.9,369.30541361511484,549,stop,NIFTY FINSEREXBNK,89709.57207469805,79.36154133808392,111
MCX,2023-10-25,2023-12-22,446.0,633.0,203,rebalance,NIFTY MS FIN SERV,37961.0,41.92825112107623,58
MANAPPURAM,2023-12-08,2023-12-28,163.85,172.5,755,rebalance,NIFTY MS FIN SERV,6530.750000000005,5.279218797680807,20
TATAELXSI,2023-10-25,2024-01-04,7545.25,8639.65,16,rebalance,NIFTY MS IT TELCM,17510.399999999994,14.504489579536784,71
BSE,2023-08-30,2024-01-15,322.5,737.8060262761217,237,stop,NIFTY MS FIN SERV,98427.52822744084,128.77706241120052,138
ANGELONE,2023-10-23,2024-01-16,223.5,332.13266787821595,565,stop,NIFTY MS FIN SERV,61377.45735119202,48.60522052716598,85
PRESTIGE,2024-01-04,2024-01-17,1355.35,1288.9,102,rebalance,NIFTY REALTY,-6777.899999999981,-4.902792636588327,13
COALINDIA,2023-10-26,2024-01-19,292.78446153846147,359.9,325,rebalance,NIFTY ENERGY,21812.550000000014,22.923190017965457,85
BSE,2024-01-17,2024-01-20,762.5,747.0,172,rebalance,NIFTY MS FIN SERV,-2666.0,-2.0327868852458963,3
PHOENIXLTD,2024-01-19,2024-01-23,1281.7,1172.481735457377,91,stop,NIFTY REALTY,-9938.862073378697,-8.521359486823988,4
TRENT,2024-01-16,2024-01-30,2110.7,2020.1278019722959,84,stop,NIFTY NONCYC CONS,-7608.064634327133,-4.2910976466434825,14
WIPRO,2024-01-15,2024-02-01,236.4,225.3,740,rebalance,NIFTY IT,-8213.999999999996,-4.6954314720812125,17
HAL,2023-12-28,2024-02-05,2805.8,2932.5,46,rebalance,NIFTY IND DEFENCE,5828.199999999992,4.515646161522557,39
IRFC,2023-12-20,2024-02-12,94.32354838709678,140.45641488095634,1240,stop,NIFTY FINSEREXBNK,57204.75445238586,48.90917197530964,54
NHPC,2024-01-30,2024-02-12,87.6,81.29742044358045,1945,stop,NIFTY COMMODITIES,-12258.517237236014,-7.194725521026879,13
NBCC,2024-01-20,2024-02-12,67.83,88.77,1900,rebalance,NIFTY MULTI INFRA,39785.99999999999,30.87129588677575,23
HCLTECH,2024-02-12,2024-02-20,1666.95,1663.05,78,rebalance,NIFTY IT,-304.2000000000071,-0.23396022676145378,8
PFC,2023-12-21,2024-02-22,388.85,401.9868079398958,429,stop,NIFTY FINSEREXBNK,5635.690606215294,3.378374164818254,63
NBCC,2024-02-22,2024-02-26,97.33,93.13,1771,rebalance,NIFTY MULTI INFRA,-7438.200000000005,-4.315216274529954,4
RECLTD,2023-08-25,2024-02-27,239.2980061349693,443.2,326,rebalance,NIFTY FINSEREXBNK,66472.05,85.20839649203992,186
HEROMOTOCO,2024-01-23,2024-02-27,4237.85,4321.6,25,rebalance,NIFTY AUTO,2093.75,1.9762379508477146,35
IRFC,2024-02-20,2024-02-28,158.43049219687873,147.4,833,rebalance,NIFTY FINSEREXBNK,-9188.399999999978,-6.962354306878837,8
MAXHEALTH,2024-02-05,2024-02-29,789.55,774.3191876261586,170,stop,NIFTY HEALTHCARE,-2589.238103553026,-1.9290497592098443,24
COALINDIA,2024-02-12,2024-03-13,406.4,400.2403722725692,457,stop,NIFTY ENERGY,-2814.9498714358765,-1.5156564289937946,30
GODFRYPHLP,2024-02-27,2024-03-13,936.0,1015.5901998086533,134,stop,,10665.086774359545,8.503226475283476,15
INDHOTEL,2024-02-27,2024-03-13,588.8329545454545,556.263902872662,220,stop,NIFTY IND TOURISM,-7165.1913680143525,-5.531119041721089,15
BANKBARODA,2024-02-01,2024-03-15,232.55,230.75,717,rebalance,NIFTY PSU BANK,-1290.600000000008,-0.7740270909481928,43
TCS,2024-03-13,2024-03-19,4149.0,3982.975694242616,30,stop,NIFTY IT,-4980.729172721517,-4.001549909794743,6
UNIONBANK,2024-02-29,2024-04-01,134.06,143.88,986,rebalance,NIFTY PSU BANK,9682.519999999993,7.325078323138889,32
HEROMOTOCO,2024-03-13,2024-04-03,4401.65,4445.65,29,rebalance,NIFTY AUTO,1276.0,0.99962514057228,21
OFSS,2024-03-15,2024-04-10,7736.5,7621.0,21,rebalance,NIFTY MS IT TELCM,-2425.5,-1.4929231564660972,26
GODFRYPHLP,2024-04-03,2024-04-10,1099.0,1031.0,118,rebalance,,-8024.0,-6.187443130118286,7
ZYDUSLIFE,2024-03-13,2024-04-19,968.65,918.6034829366893,192,stop,NIFTY PHARMA,-9608.931276155658,-5.166625413029546,37
ABB,2024-02-28,2024-04-19,5436.771739130435,6292.6,23,rebalance,NIFTY ENERGY,19684.050000000003,15.74147861882551,51
BEL,2024-04-10,2024-04-30,228.76144578313253,233.75,581,rebalance,NIFTY IND DEFENCE,2898.3500000000004,2.1806796157411323,20
MOTILALOFS,2024-04-19,2024-04-30,558.0,594.2,340,rebalance,NIFTY CAPITAL MKT,12308.000000000015,6.48745519713263,11
BLUESTARCO,2024-04-10,2024-05-07,1419.6,1444.35,105,rebalance,NIFTY CONSR DURBL,2598.75,1.743448858833485,27
PHOENIXLTD,2024-04-19,2024-05-08,1560.9,1466.2,84,rebalance,NIFTY REALTY,-7954.800000000004,-6.067012620923828,19
MOTILALOFS,2024-05-07,2024-05-09,595.25,540.1547930817928,255,stop,NIFTY CAPITAL MKT,-14049.277764142827,-9.255809646065883,2
JINDALSTEL,2024-03-19,2024-05-14,795.2186274509804,978.45,153,rebalance,NIFTY METAL,28034.4,23.041634869187533,56
BAJAJ-AUTO,2023-09-22,2024-05-17,4877.5,8563.5,17,rebalance,NIFTY AUTO,62662.0,75.57150179395182,238
OIL,2023-12-22,2024-05-21,248.85,442.65,516,rebalance,NIFTY OIL AND GAS,100000.79999999999,77.87823990355636,151
KFINTECH,2024-04-30,2024-05-30,749.95,707.8253057236066,268,stop,NIFTY MS FIN SERV,-11289.418066073453,-5.617000370210478,30
CUMMINSIND,2024-02-26,2024-05-31,2733.55,3471.945939207274,60,stop,,44303.75635243643,27.012344358335262,95
SUPREMEIND,2024-05-09,2024-05-31,5400.75,5277.6,25,rebalance,NIFTY MULTI MFG,-3078.749999999991,-2.280238855714478,22
GODFRYPHLP,2024-05-21,2024-06-03,1311.0,1248.0,163,rebalance,,-10269.0,-4.8054919908466776,13
TRENT,2024-02-12,2024-06-04,2534.7,2802.933948566994,73,stop,NIFTY NONCYC CONS,19581.078245390567,10.582473214463018,113
HAL,2024-04-01,2024-06-04,3403.35,4463.388823296536,41,stop,NIFTY IND DEFENCE,43461.591755158,31.14692356932247,64
NAM-INDIA,2024-04-30,2024-06-04,588.65,547.2182037504556,232,stop,NIFTY CAPITAL MKT,-9612.176729894298,-7.038443259924298,35
RECLTD,2024-05-08,2024-06-04,533.1628,503.14572492765217,250,stop,NIFTY FINSEREXBNK,-7504.268768086945,-5.630001769130888,27
ABB,2024-05-14,2024-06-04,8080.85,7818.070576444159,18,stop,NIFTY ENERGY,-4730.029624005143,-3.251878497383831,21
MOTILALOFS,2024-05-17,2024-06-04,588.4053308823529,537.5442785053197,272,stop,NIFTY CAPITAL MKT,-13834.20624655305,-8.64388028245151,18
CUMMINSIND,2024-05-31,2024-06-04,3551.3,3308.2875406788157,56,stop,,-13608.69772198633,-6.8429155329368,4
SIEMENS,2024-05-31,2024-06-04,5308.2,5029.237128779425,26,stop,NIFTY ENERGY,-7253.034651734948,-5.255319528664614,4
OBEROIRLTY,2024-06-03,2024-06-04,1883.95,1758.5342506629438,108,stop,NIFTY REALTY,-13544.900928402074,-6.6570635811489804,1
COCHINSHIP,2024-05-30,2024-06-05,1957.15,1709.1354210085428,97,stop,NIFTY IND DEFENCE,-24057.414162171353,-12.672231509667487,6
PHOENIXLTD,2024-06-04,2024-06-06,1628.85,1603.85,81,rebalance,NIFTY REALTY,-2025.0,-1.5348251834116144,2
BAJAJ-AUTO,2024-06-04,2024-06-12,9018.0,9659.5,14,rebalance,NIFTY AUTO,8981.0,7.113550676424918,8
ZYDUSLIFE,2024-06-04,2024-06-18,1003.6,1078.95,128,rebalance,NIFTY PHARMA,9644.800000000003,7.507971303308092,14
OBEROIRLTY,2024-06-04,2024-06-19,1745.25,1863.85,88,rebalance,NIFTY REALTY,10436.799999999992,6.795588024638288,15
RVNL,2024-06-04,2024-06-20,351.53850267379676,387.3,374,rebalance,,13374.800000000017,10.172853628891797,16
MOTILALOFS,2024-06-12,2024-07-01,670.9852380952381,597.5074343080009,210,stop,NIFTY CAPITAL MKT,-15430.338795319796,-10.950733282273472,19
GVT&D,2024-06-04,2024-07-09,1347.75,1654.85,143,rebalance,NIFTY ENERGY,43915.29999999999,22.786125023186777,35
ABB,2024-06-04,2024-07-12,7666.75,8209.25,25,rebalance,NIFTY ENERGY,13562.5,7.076010043369085,38
HAL,2024-06-19,2024-07-16,5311.95,5329.4,30,rebalance,NIFTY IND DEFENCE,523.4999999999945,0.32850459812310273,27
SIEMENS,2024-06-04,2024-07-18,4854.3,5424.95,39,rebalance,NIFTY ENERGY,22255.349999999984,11.755556928908373,44
TRENT,2024-06-04,2024-07-19,3025.4,3423.3797715405935,63,stop,NIFTY NONCYC CONS,25072.725607057386,13.1546166305478,45
CUMMINSIND,2024-06-05,2024-07-19,3404.1,3629.332891604817,48,stop,,10811.178797031229,6.616518069528432,44
BEL,2024-06-18,2024-07-23,318.5938596491227,293.37271359009424,456,stop,NIFTY IND DEFENCE,-11500.842602916975,-7.916394272885641,35
CDSL,2024-07-12,2024-07-23,1209.45,1120.1474753257205,169,stop,NIFTY MS FIN SERV,-15092.126669953243,-7.383730181014469,11
