symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
LUPIN,2021-01-01,2021-01-06,1000.9,1011.7212604691076,199,stop,NIFTY MIDSML HLTH,2153.430833352421,1.0811530092024846,5,heikin_ashi_trend,1011.7213,trailing
GODREJPROP,2021-01-06,2021-01-14,1460.6,1419.6590454931948,137,stop,NIFTY REALTY,-5608.910767432306,-2.803023038943253,8,heikin_ashi_trend,1419.659,trailing
PERSISTENT,2021-01-08,2021-01-15,785.45,806.9007519867027,256,stop,NIFTY MS IT TELCM,5491.392508595891,2.731014321306602,7,heikin_ashi_trend,806.9008,trailing
LTM,2021-01-08,2021-01-15,4092.2,4237.398134794054,49,stop,NIFTY IT,7114.708604908674,3.5481680952557104,7,heikin_ashi_trend,4237.3981,trailing
NHPC,2021-01-04,2021-01-18,24.6,24.430100941237562,8172,stop,NIFTY COMMODITIES,-1388.4151082066546,-0.6906465803351192,14,heikin_ashi_trend,24.4301,trailing
LUPIN,2021-01-08,2021-01-18,1038.8,1072.9744826413057,191,stop,NIFTY MIDSML HLTH,6527.3261844894,3.2898038738261137,10,heikin_ashi_trend,1072.9745,trailing
MPHASIS,2021-01-14,2021-01-18,1567.0,1504.6263569569162,124,stop,NIFTY MS IT TELCM,-7734.3317373423915,-3.9804494603116636,4,heikin_ashi_trend,1504.6264,trailing
APOLLOHOSP,2021-01-15,2021-01-21,2592.35,2602.6786390452685,78,stop,NIFTY HEALTHCARE,805.6338455309487,0.3984276446185264,6,heikin_ashi_trend,2602.6786,trailing
HDFCBANK,2021-01-18,2021-01-21,741.6,736.5412147919601,271,stop,NIFTY PVT BANK,-1370.9307913788189,-0.6821447152157378,3,heikin_ashi_trend,736.5412,trailing
HINDZINC,2021-01-19,2021-01-21,298.8,283.7107894364809,671,stop,NIFTY METAL,-10124.860288121308,-5.049936600909999,2,heikin_ashi_trend,283.7108,initial
CHOLAFIN,2021-01-19,2021-01-21,437.95,437.99380844394926,457,stop,NIFTY FINSEREXBNK,20.020458884818254,0.010003069745234683,2,heikin_ashi_trend,437.9938,trailing
DLF,2021-01-19,2021-01-22,289.0,278.1615613618885,701,stop,NIFTY REALTY,-7597.74548531615,-3.7503247882738733,3,heikin_ashi_trend,278.1616,trailing
APOLLOHOSP,2021-01-25,2021-01-27,2686.9,2608.04780247174,73,stop,NIFTY HEALTHCARE,-5756.210419562991,-2.9346904435691767,2,heikin_ashi_trend,2608.0478,initial
UNITDSPR,2021-01-27,2021-01-28,644.9,621.6,304,stop,NIFTY FMCG,-7083.199999999986,-3.6129632501162856,1,heikin_ashi_trend,625.1926,initial
TVSMOTOR,2021-01-29,2021-02-05,560.7,628.6248242985707,348,stop,NIFTY AUTO,23637.8388559026,12.114290047899168,7,heikin_ashi_trend,628.6248,trailing
TMPV,2021-02-01,2021-02-05,192.5,215.58805930738023,917,stop,NIFTY AUTO,21171.750384867675,11.99379704279493,4,heikin_ashi_trend,215.5881,trailing
UNOMINDA,2021-02-02,2021-02-10,246.3,281.40215542740225,841,stop,NIFTY AUTO,29520.912714445283,14.25178864287544,8,heikin_ashi_trend,281.4022,trailing
APLAPOLLO,2021-02-08,2021-02-10,481.55,463.78707373707294,445,stop,NIFTY METAL,-7904.502187002545,-3.6886982167847693,2,heikin_ashi_trend,463.7871,trailing
TATAELXSI,2021-01-27,2021-02-12,2658.55,2818.378065856677,64,stop,NIFTY MS IT TELCM,10228.996214827319,6.011851041232141,16,heikin_ashi_trend,2818.3781,trailing
