symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
GMRAIRPORT,2026-06-29,2026-07-03,109.42,110.52128800950763,1827,stop,NIFTY IND TOURISM,2012.0531933704344,1.0064778006832586,4,heikin_ashi_trend,110.5213,trailing
ADANIENT,2026-07-01,2026-07-07,3143.6,3123.222701989202,64,stop,NIFTY METAL,-1304.147072691063,-0.6482153585315564,6,heikin_ashi_trend,3123.2227,trailing
AUROPHARMA,2026-07-03,2026-07-07,1620.5,1580.5076729273837,124,stop,NIFTY MIDSML HLTH,-4959.048557004417,-2.4679004673012206,4,heikin_ashi_trend,1580.5077,initial
PNBHOUSING,2026-07-10,2026-07-14,1110.6,1089.9966160373651,179,stop,NIFTY MS FIN SERV,-3688.0057293116256,-1.855157929284601,4,heikin_ashi_trend,1089.9966,trailing
INDHOTEL,2026-07-10,2026-07-14,752.3,735.9716937176061,264,stop,NIFTY IND TOURISM,-4310.672858551989,-2.170451453196054,4,heikin_ashi_trend,735.9717,trailing
PRESTIGE,2026-07-10,2026-07-16,1733.2,1680.4236145343439,115,stop,NIFTY REALTY,-6069.2843285504605,-3.0450257019187688,6,heikin_ashi_trend,1680.4236,trailing
OFSS,2026-07-10,2026-07-17,11651.0,11403.51446876196,17,stop,NIFTY MS IT TELCM,-4207.254031046688,-2.1241569928593274,7,heikin_ashi_trend,11403.5145,trailing
SONACOMS,2026-07-02,2026-07-23,662.3,714.5090868649484,303,stop,NIFTY AUTO,15819.353320079366,7.882996657851193,21,heikin_ashi_trend,714.5091,trailing
BHARATFORG,2026-07-17,2026-07-24,2190.5,2152.8658407254743,90,stop,NIFTY AUTO,-3387.074334707313,-1.71806250967933,7,heikin_ashi_trend,2152.8658,trailing
SUNPHARMA,2026-07-27,2026-07-31,1973.7,1970.0948046439817,100,stop,NIFTY PHARMA,-360.51953560183847,-0.18266177007744133,4,heikin_ashi_trend,1970.0948,trailing
DIVISLAB,2026-07-27,2026-08-04,7414.0,8385.338485927028,26,stop,NIFTY PHARMA,25254.800634102732,13.10140930573278,8,heikin_ashi_trend,8385.3385,trailing
SONACOMS,2026-07-30,2026-08-06,763.75,792.835698460481,262,stop,NIFTY AUTO,7620.452996646025,3.8082747575097997,7,heikin_ashi_trend,792.8357,trailing
HAL,2026-08-06,2026-08-12,4920.0,4829.338621631625,41,stop,NIFTY IND DEFENCE,-3717.1165131033813,-1.842710942446646,6,heikin_ashi_trend,4829.3386,trailing
