symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MANAPPURAM,2026-01-07,2026-01-08,319.9,311.5627431240342,625,stop,NIFTY MS FIN SERV,-5210.785547478594,-2.6062072134935166,1,heikin_ashi_trend,311.5627,initial
NMDC,2026-01-07,2026-01-08,83.62,81.721503654312,2391,stop,NIFTY METAL,-4539.304762540014,-2.27038548874432,1,heikin_ashi_trend,81.7215,initial
ASHOKLEY,2026-01-09,2026-01-12,187.76,183.47608259348004,1054,stop,NIFTY AUTO,-4515.248946472025,-2.281592142373212,3,heikin_ashi_trend,183.4761,initial
NATIONALUM,2026-01-09,2026-01-16,348.05,361.7374514600502,569,stop,NIFTY METAL,7788.159880768547,3.932610676641346,7,heikin_ashi_trend,361.7375,trailing
HINDALCO,2026-01-13,2026-01-16,936.3,934.8413812948949,211,stop,NIFTY METAL,-307.7685467771752,-0.1557854005238779,3,heikin_ashi_trend,934.8414,trailing
UNIONBANK,2026-01-13,2026-01-19,161.42,169.59732005936687,1227,stop,NIFTY PSU BANK,10033.571712843159,5.065865480960774,6,heikin_ashi_trend,169.5973,trailing
MCX,2026-01-13,2026-01-20,2293.0,2373.3570744757267,86,stop,NIFTY MS FIN SERV,6910.708404912494,3.5044515689370614,7,heikin_ashi_trend,2373.3571,trailing
SHRIRAMFIN,2026-01-16,2026-01-20,995.45,986.2591687256327,204,stop,NIFTY FINSEREXBNK,-1874.9295799709462,-0.9232840699550326,4,heikin_ashi_trend,986.2592,trailing
SBIN,2026-01-22,2026-01-23,1048.35,1032.7862321575392,192,stop,NIFTY PSU BANK,-2988.2434257524583,-1.4845965414661877,1,heikin_ashi_trend,1032.7862,initial
INDIANB,2026-01-22,2026-01-27,878.05,852.8247497639173,229,stop,NIFTY PSU BANK,-5776.582304062919,-2.8728717312320073,5,heikin_ashi_trend,852.8247,initial
HINDALCO,2026-01-22,2026-01-30,944.45,999.8443388924188,213,stop,NIFTY METAL,11798.994184085199,5.865248440088799,8,heikin_ashi_trend,999.8443,trailing
MCX,2026-01-27,2026-01-30,2418.0,2587.696271616305,83,stop,NIFTY MS FIN SERV,14084.790544153297,7.018042664032453,3,heikin_ashi_trend,2587.6963,trailing
BANKINDIA,2026-01-28,2026-01-30,162.05,157.0572823418188,1272,stop,NIFTY PSU BANK,-6350.736861206513,-3.0809735625925483,2,heikin_ashi_trend,157.0573,initial
UNIONBANK,2026-01-28,2026-01-30,176.71,171.53812406930982,1075,stop,NIFTY PSU BANK,-5559.766625491956,-2.9267590576029567,2,heikin_ashi_trend,171.5381,trailing
ASHOKLEY,2026-01-22,2026-02-01,190.28,191.02153604473904,1059,stop,NIFTY AUTO,785.2866713786386,0.3897078225452155,10,heikin_ashi_trend,191.0215,trailing
AXISBANK,2026-02-03,2026-02-13,1356.2,1324.350459804981,149,stop,NIFTY PVT BANK,-4745.581489057833,-2.3484397725275774,10,heikin_ashi_trend,1324.3505,trailing
FEDERALBNK,2026-02-11,2026-02-17,290.5,283.2539255797646,708,stop,NIFTY MS FIN SERV,-5130.2206895266645,-2.4943457556748427,6,heikin_ashi_trend,283.2539,trailing
MOTHERSON,2026-02-09,2026-02-19,124.41,129.6726526635926,1626,stop,NIFTY AUTO,8557.073231001574,4.23008814692758,10,heikin_ashi_trend,129.6727,trailing
SBIN,2026-02-09,2026-02-25,1146.0,1203.3770513354818,176,stop,NIFTY PSU BANK,10098.361035044803,5.0067235022235534,16,heikin_ashi_trend,1203.3771,trailing
TORNTPHARM,2026-02-23,2026-02-27,4307.6,4323.928741811182,47,stop,NIFTY PHARMA,767.4508651255219,0.37906820064959046,4,heikin_ashi_trend,4323.9287,trailing
MFSL,2026-02-23,2026-02-27,1870.0,1830.261309727117,109,stop,NIFTY MS FIN SERV,-4331.517239744258,-2.125063650956316,4,heikin_ashi_trend,1830.2613,trailing
AXISBANK,2026-02-23,2026-03-02,1386.7,1369.1,148,stop,NIFTY PVT BANK,-2604.80000000002,-1.269200259609149,7,heikin_ashi_trend,1376.0911,trailing
BAJAJ-AUTO,2026-02-25,2026-03-02,10097.0,9725.5,20,stop,NIFTY AUTO,-7430.0,-3.679310686342474,5,heikin_ashi_trend,9900.0963,trailing
BHARATFORG,2026-03-05,2026-03-09,1898.4,1868.1318501847259,106,stop,NIFTY AUTO,-3208.423880419068,-1.5944031718960305,4,heikin_ashi_trend,1868.1319,trailing
LUPIN,2026-03-05,2026-03-09,2332.9,2297.233554515644,86,stop,NIFTY MIDSML HLTH,-3067.314311654637,-1.5288458778497271,4,heikin_ashi_trend,2297.2336,trailing
LUPIN,2026-03-10,2026-03-13,2337.4,2309.217954772004,85,stop,NIFTY MIDSML HLTH,-2395.4738443796805,-1.2057005744843141,3,heikin_ashi_trend,2309.218,trailing
GLENMARK,2026-03-10,2026-03-13,2225.8,2211.5346963064626,90,stop,NIFTY MIDSML HLTH,-1283.877332418383,-0.6409068062511292,3,heikin_ashi_trend,2211.5347,trailing
TORNTPHARM,2026-03-10,2026-03-16,4427.8,4350.593972572032,45,stop,NIFTY PHARMA,-3474.2712342585764,-1.7436656449697052,6,heikin_ashi_trend,4350.594,trailing
COALINDIA,2026-03-20,2026-03-23,468.15,455.25173038173347,425,stop,NIFTY ENERGY,-5481.764587763267,-2.7551574534372514,3,heikin_ashi_trend,455.2517,initial
NMDC,2026-04-24,2026-05-04,89.29,89.24508786564964,2212,stop,NIFTY METAL,-99.34564118301648,-0.050299176111956445,10,heikin_ashi_trend,89.2451,trailing
ONGC,2026-04-28,2026-05-04,301.3,294.46879041219694,663,stop,NIFTY OIL AND GAS,-4529.091956713438,-2.267245133688378,6,heikin_ashi_trend,294.4688,trailing
GLENMARK,2026-04-23,2026-05-08,2335.0,2348.131586264632,84,stop,NIFTY MIDSML HLTH,1103.0532462290885,0.5623805680784688,15,heikin_ashi_trend,2348.1316,trailing
ADANIPOWER,2026-05-04,2026-05-11,227.3,222.22103949653624,871,stop,NIFTY COMMODITIES,-4423.774598516949,-2.2344744845859132,7,heikin_ashi_trend,222.221,trailing
GVT&D,2026-05-05,2026-05-11,4578.9,4589.971226745928,43,stop,NIFTY ENERGY,476.0627500749242,0.24178791294695579,6,heikin_ashi_trend,4589.9712,trailing
BSE,2026-05-14,2026-05-27,4037.6,4284.667553254243,48,stop,NIFTY MS FIN SERV,11859.242556203673,6.1191686460829064,13,heikin_ashi_trend,4284.6676,trailing
ADANIPOWER,2026-05-25,2026-06-01,233.38,240.06760620911027,852,stop,NIFTY COMMODITIES,5697.840490161951,2.8655438379939557,7,heikin_ashi_trend,240.0676,trailing
SAIL,2026-05-19,2026-06-04,199.05,199.71449124929433,995,stop,NIFTY METAL,661.1687930478433,0.33383132343347555,16,heikin_ashi_trend,199.7145,trailing
GVT&D,2026-06-04,2026-06-08,5086.5,4858.581754181457,39,stop,NIFTY ENERGY,-8888.811586923188,-4.480846275799532,4,heikin_ashi_trend,4858.5818,trailing
AUROPHARMA,2026-07-03,2026-07-07,1620.5,1580.5076729273837,122,stop,NIFTY MIDSML HLTH,-4879.063902859184,-2.4679004673012206,4,heikin_ashi_trend,1580.5077,initial
DELHIVERY,2026-07-10,2026-07-14,520.3,505.26765557005325,380,stop,NIFTY MULTI INFRA,-5712.290883379747,-2.8891686392363503,4,heikin_ashi_trend,505.2677,trailing
SONACOMS,2026-07-02,2026-07-23,662.3,714.5090868649484,299,stop,NIFTY AUTO,15610.516972619573,7.882996657851193,21,heikin_ashi_trend,714.5091,trailing
BHARATFORG,2026-07-17,2026-07-24,2190.5,2152.8658407254743,90,stop,NIFTY AUTO,-3387.074334707313,-1.71806250967933,7,heikin_ashi_trend,2152.8658,trailing
TORNTPHARM,2026-07-20,2026-07-28,5005.4,4931.173871339787,39,stop,NIFTY PHARMA,-2894.8190177482857,-1.4829210185042685,8,heikin_ashi_trend,4931.1739,trailing
SUNPHARMA,2026-07-27,2026-07-31,1973.7,1970.0948046439817,101,stop,NIFTY PHARMA,-364.12473095785685,-0.18266177007744133,4,heikin_ashi_trend,1970.0948,trailing
FEDERALBNK,2026-07-17,2026-08-04,349.0,364.55,569,stop,NIFTY MS FIN SERV,8847.950000000006,4.455587392550142,18,heikin_ashi_trend,364.5711,trailing
DIVISLAB,2026-07-27,2026-08-04,7414.0,8385.338485927028,26,stop,NIFTY PHARMA,25254.800634102732,13.10140930573278,8,heikin_ashi_trend,8385.3385,trailing
SONACOMS,2026-07-30,2026-08-06,763.75,792.835698460481,263,stop,NIFTY AUTO,7649.538695106507,3.8082747575097997,7,heikin_ashi_trend,792.8357,trailing
SIEMENS,2026-08-11,2026-08-19,4011.0,3919.2134670544096,51,stop,NIFTY ENERGY,-4681.1131802251075,-2.2883703053001803,8,heikin_ashi_trend,3919.2135,trailing
