symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
NMDC,2026-01-07,2026-01-08,83.62,79.6348895065455,2391,stop,NIFTY METAL,-9528.399189849708,-4.76573845187096,1,heikin_ashi_trend,79.6349,initial
MANAPPURAM,2026-01-07,2026-01-09,319.9,309.5,625,stop,NIFTY MS FIN SERV,-6499.999999999985,-3.251015942482016,2,heikin_ashi_trend,311.1725,trailing
UNIONBANK,2026-01-13,2026-01-14,161.42,174.29496822554339,1220,target,NIFTY PSU BANK,15707.461235162946,7.976067541533505,1,heikin_ashi_trend,169.5973,n/a
NATIONALUM,2026-01-09,2026-01-16,348.05,361.7374514600502,365,stop,NIFTY METAL,4995.919782918312,3.932610676641346,7,heikin_ashi_trend,361.7375,trailing
HINDALCO,2026-01-13,2026-01-16,936.3,934.8413812948949,210,stop,NIFTY METAL,-306.3099280720701,-0.1557854005238779,3,heikin_ashi_trend,934.8414,trailing
ASHOKLEY,2026-01-09,2026-01-19,187.76,183.1,1048,stop,NIFTY AUTO,-4883.679999999997,-2.481891776736256,10,heikin_ashi_trend,183.518,trailing
INDUSTOWER,2026-01-14,2026-01-19,438.4,426.60685429764834,466,stop,NIFTY MS IT TELCM,-5495.605897295863,-2.690042359113054,5,heikin_ashi_trend,426.6069,trailing
MCX,2026-01-13,2026-01-20,2293.0,2373.3570744757267,85,stop,NIFTY MS FIN SERV,6830.351330436768,3.5044515689370614,7,heikin_ashi_trend,2373.3571,trailing
SHRIRAMFIN,2026-01-16,2026-01-20,995.45,986.2591687256327,203,stop,NIFTY FINSEREXBNK,-1865.7387486965788,-0.9232840699550326,4,heikin_ashi_trend,986.2592,trailing
INDIANB,2026-01-22,2026-01-27,878.05,852.2944104950661,150,stop,NIFTY PSU BANK,-3863.3384257400735,-2.933271397407189,5,heikin_ashi_trend,852.2944,trailing
SBIN,2026-01-22,2026-01-27,1048.35,1031.9407870034293,190,stop,NIFTY PSU BANK,-3117.750469348425,-1.5652418559231829,5,heikin_ashi_trend,1031.9408,trailing
HINDALCO,2026-01-22,2026-01-28,944.45,986.1084000000001,211,target,NIFTY METAL,8789.922400000007,4.4108634655090295,6,heikin_ashi_trend,974.5631,n/a
MCX,2026-01-27,2026-01-30,2418.0,2587.696271616305,65,stop,NIFTY MS FIN SERV,11030.257655059811,7.018042664032453,3,heikin_ashi_trend,2587.6963,trailing
BANKINDIA,2026-01-28,2026-01-30,162.05,156.94461931740315,1035,stop,NIFTY PSU BANK,-5284.069006487749,-3.1504971814852567,2,heikin_ashi_trend,156.9446,trailing
UNIONBANK,2026-01-28,2026-01-30,176.71,171.53812406930982,976,stop,NIFTY PSU BANK,-5047.750908353627,-2.9267590576029567,2,heikin_ashi_trend,171.5381,trailing
ASHOKLEY,2026-01-22,2026-02-01,190.28,191.02153604473904,714,stop,NIFTY AUTO,529.4567359436714,0.3897078225452155,10,heikin_ashi_trend,191.0215,trailing
OIL,2026-02-04,2026-02-09,507.1,488.29429763852596,299,stop,NIFTY OIL AND GAS,-5622.905006080744,-3.7084800555066133,5,heikin_ashi_trend,488.2943,trailing
AXISBANK,2026-02-03,2026-02-13,1356.2,1324.350459804981,147,stop,NIFTY PVT BANK,-4681.882408667796,-2.3484397725275774,10,heikin_ashi_trend,1324.3505,trailing
FEDERALBNK,2026-02-11,2026-02-17,290.5,283.2539255797646,692,stop,NIFTY MS FIN SERV,-5014.283498802898,-2.4943457556748427,6,heikin_ashi_trend,283.2539,trailing
MOTHERSON,2026-02-09,2026-02-19,124.41,129.6726526635926,1141,stop,NIFTY AUTO,6004.686689159162,4.23008814692758,10,heikin_ashi_trend,129.6727,trailing
SBIN,2026-02-09,2026-02-25,1146.0,1203.3770513354818,101,stop,NIFTY PSU BANK,5795.082184883666,5.0067235022235534,16,heikin_ashi_trend,1203.3771,trailing
ONGC,2026-02-19,2026-03-06,274.65,274.7262575552327,727,stop,NIFTY OIL AND GAS,55.43924265417343,0.027765357812747915,15,heikin_ashi_trend,274.7263,trailing
BHARATFORG,2026-03-05,2026-03-09,1898.4,1868.1318501847259,105,stop,NIFTY AUTO,-3178.155730603794,-1.5944031718960305,4,heikin_ashi_trend,1868.1319,trailing
LUPIN,2026-03-05,2026-03-09,2332.9,2297.233554515644,85,stop,NIFTY MIDSML HLTH,-3031.647866170281,-1.5288458778497271,4,heikin_ashi_trend,2297.2336,trailing
APOLLOHOSP,2026-03-05,2026-03-09,7775.0,7588.0,25,stop,NIFTY HEALTHCARE,-4675.0,-2.4051446945337673,4,heikin_ashi_trend,7629.2129,trailing
LUPIN,2026-03-10,2026-03-13,2337.4,2309.217954772004,84,stop,NIFTY MIDSML HLTH,-2367.2917991516842,-1.2057005744843141,3,heikin_ashi_trend,2309.218,trailing
GLENMARK,2026-03-10,2026-03-13,2225.8,2211.5346963064626,54,stop,NIFTY MIDSML HLTH,-770.3263994510298,-0.6409068062511292,3,heikin_ashi_trend,2211.5347,trailing
TORNTPHARM,2026-03-10,2026-03-16,4427.8,4350.593972572032,44,stop,NIFTY PHARMA,-3397.065206830608,-1.7436656449697052,6,heikin_ashi_trend,4350.594,trailing
COALINDIA,2026-03-20,2026-03-24,468.15,454.9230353544668,419,stop,NIFTY ENERGY,-5542.098186478411,-2.825368929944083,4,heikin_ashi_trend,454.923,trailing
ADANIPOWER,2026-04-01,2026-04-08,157.11,173.82520000000005,1167,target,NIFTY COMMODITIES,19506.638400000043,10.63917000827448,7,heikin_ashi_trend,162.8886,n/a
HINDZINC,2026-04-27,2026-04-29,628.0,606.6430753983846,175,stop,NIFTY METAL,-3737.461805282703,-3.4007841722317633,2,heikin_ashi_trend,606.6431,trailing
NMDC,2026-04-24,2026-05-04,89.29,89.24508786564964,2228,stop,NIFTY METAL,-100.06423533262239,-0.050299176111956445,10,heikin_ashi_trend,89.2451,trailing
ADANIPOWER,2026-05-04,2026-05-11,227.3,222.22103949653624,507,stop,NIFTY COMMODITIES,-2575.0329752561343,-2.2344744845859132,7,heikin_ashi_trend,222.221,trailing
GVT&D,2026-05-05,2026-05-11,4578.9,4589.971226745928,43,stop,NIFTY ENERGY,476.0627500749242,0.24178791294695579,6,heikin_ashi_trend,4589.9712,trailing
NAM-INDIA,2026-05-05,2026-05-11,1052.8,1065.8041876282325,140,stop,NIFTY CAPITAL MKT,1820.586267952558,1.2352001926512646,6,heikin_ashi_trend,1065.8042,trailing
ADANIGREEN,2026-05-04,2026-05-12,1290.7,1339.280244368124,87,stop,NIFTY COMMODITIES,4226.481260026778,3.7638680071375052,8,heikin_ashi_trend,1339.2802,trailing
CGPOWER,2026-05-07,2026-05-12,859.1,845.9399911084646,150,stop,NIFTY ENERGY,-1974.001333730314,-1.5318366769334735,5,heikin_ashi_trend,845.94,trailing
HINDZINC,2026-05-12,2026-05-15,641.9,648.8243981246803,309,stop,NIFTY METAL,2139.6390205262287,1.0787347133011993,3,heikin_ashi_trend,648.8244,trailing
DIVISLAB,2026-05-13,2026-05-15,6796.0,6783.074314290829,29,stop,NIFTY PHARMA,-374.8448855659699,-0.19019549307197625,2,heikin_ashi_trend,6783.0743,trailing
BHEL,2026-05-14,2026-05-18,413.15,395.6,288,stop,NIFTY ENERGY,-5054.399999999987,-4.247851869780939,4,heikin_ashi_trend,397.6957,trailing
ADANIGREEN,2026-05-14,2026-05-18,1414.9,1356.656079742763,78,stop,NIFTY COMMODITIES,-4543.02578006449,-4.116469026591075,4,heikin_ashi_trend,1356.6561,trailing
DIVISLAB,2026-05-19,2026-05-25,6912.0,6750.0,28,stop,NIFTY PHARMA,-4536.0,-2.34375,6,heikin_ashi_trend,6767.8674,trailing
BSE,2026-05-14,2026-05-27,4037.6,4284.667553254243,37,stop,NIFTY MS FIN SERV,9141.499470406998,6.1191686460829064,13,heikin_ashi_trend,4284.6676,trailing
ADANIPOWER,2026-05-25,2026-06-01,233.38,240.06760620911027,658,stop,NIFTY COMMODITIES,4400.444885594558,2.8655438379939557,7,heikin_ashi_trend,240.0676,trailing
BIOCON,2026-05-26,2026-06-01,436.15,425.155163943407,461,stop,NIFTY MIDSML HLTH,-5068.619422089368,-2.5208841124826242,6,heikin_ashi_trend,425.1552,trailing
