symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
MANAPPURAM,2026-01-07,2026-01-08,319.9,311.5627431240342,625,stop,NIFTY MS FIN SERV,-5210.785547478594,-2.6062072134935166,1,heikin_ashi_trend,311.5627,initial
NMDC,2026-01-07,2026-01-08,83.62,81.721503654312,2391,stop,NIFTY METAL,-4539.304762540014,-2.27038548874432,1,heikin_ashi_trend,81.7215,initial
ASHOKLEY,2026-01-09,2026-01-12,187.76,183.47608259348004,1054,stop,NIFTY AUTO,-4515.248946472025,-2.281592142373212,3,heikin_ashi_trend,183.4761,initial
NATIONALUM,2026-01-09,2026-01-13,348.05,359.45930049777985,569,target,NIFTY METAL,6491.891983236728,3.2780636396436913,4,heikin_ashi_trend,336.6407,n/a
ICICIBANK,2026-01-13,2026-01-14,1437.0,1415.7709901445435,138,stop,NIFTY PVT BANK,-2929.6033600530004,-1.4773145341305916,1,heikin_ashi_trend,1415.771,initial
UNIONBANK,2026-01-13,2026-01-14,161.42,165.11365532068183,1229,target,NIFTY PSU BANK,4539.5023891179835,2.2882265646647415,1,heikin_ashi_trend,157.7263,n/a
HINDALCO,2026-01-13,2026-01-14,936.3,956.6400509131902,211,target,NIFTY METAL,4291.750742683138,2.172386084929001,1,heikin_ashi_trend,915.9599,n/a
MCX,2026-01-13,2026-01-14,2293.0,2358.4852925073305,86,target,NIFTY MS FIN SERV,5631.735155630427,2.855878434685155,1,heikin_ashi_trend,2227.5147,n/a
INDUSTOWER,2026-01-14,2026-01-19,438.4,426.4266123205444,457,stop,NIFTY MS IT TELCM,-5471.838169511202,-2.731155948780928,5,heikin_ashi_trend,426.4266,initial
SBIN,2026-01-22,2026-01-23,1048.35,1032.7862321575392,190,stop,NIFTY PSU BANK,-2957.115890067537,-1.4845965414661877,1,heikin_ashi_trend,1032.7862,initial
SHRIRAMFIN,2026-01-16,2026-01-23,995.45,1019.6016644493187,201,target,NIFTY FINSEREXBNK,4854.484554313053,2.426205680779403,7,heikin_ashi_trend,971.2983,n/a
ASHOKLEY,2026-01-22,2026-01-23,190.28,195.56844090320655,1051,target,NIFTY AUTO,5558.151389270083,2.779294147155009,1,heikin_ashi_trend,184.9916,n/a
INDIANB,2026-01-22,2026-01-27,878.05,852.8247497639173,227,stop,NIFTY PSU BANK,-5726.131803590753,-2.8728717312320073,5,heikin_ashi_trend,852.8247,initial
HINDALCO,2026-01-22,2026-01-27,944.45,965.4929266170246,211,target,NIFTY METAL,4440.057516192189,2.228061476735088,5,heikin_ashi_trend,923.4071,n/a
MCX,2026-01-27,2026-01-28,2418.0,2508.3463358769486,83,target,NIFTY MS FIN SERV,7498.745877786735,3.7364076045057315,1,heikin_ashi_trend,2327.6537,n/a
BANKINDIA,2026-01-28,2026-01-30,162.05,157.0572823418188,1248,stop,NIFTY PSU BANK,-6230.911637410163,-3.0809735625925483,2,heikin_ashi_trend,157.0573,initial
UNIONBANK,2026-01-28,2026-01-30,176.71,171.5202874592567,1145,stop,NIFTY PSU BANK,-5942.22085915108,-2.9368527761548857,2,heikin_ashi_trend,171.5203,initial
OIL,2026-02-04,2026-02-09,507.1,487.8223806932017,393,stop,NIFTY OIL AND GAS,-7576.104387571743,-3.8015419654502725,5,heikin_ashi_trend,487.8224,initial
MOTHERSON,2026-02-09,2026-02-10,124.41,128.5508719728909,1591,target,NIFTY AUTO,6588.127308869409,3.3284076624796155,1,heikin_ashi_trend,120.2691,n/a
SBIN,2026-02-09,2026-02-11,1146.0,1175.3899022509988,172,target,NIFTY PSU BANK,5055.063187171799,2.564563896247707,2,heikin_ashi_trend,1116.6101,n/a
AXISBANK,2026-02-03,2026-02-13,1356.2,1316.2870822007508,147,stop,NIFTY PVT BANK,-5867.198916489643,-2.942996445896573,10,heikin_ashi_trend,1316.2871,initial
FEDERALBNK,2026-02-11,2026-02-17,290.5,282.8399962634839,690,stop,NIFTY MS FIN SERV,-5285.402578196111,-2.6368343327077826,6,heikin_ashi_trend,282.84,initial
ONGC,2026-02-19,2026-02-27,274.65,282.14448352773735,722,target,NIFTY OIL AND GAS,5411.017107026383,2.728739678768388,8,heikin_ashi_trend,267.1555,n/a
BHARATFORG,2026-03-05,2026-03-09,1898.4,1842.618915583551,105,stop,NIFTY AUTO,-5857.013863727163,-2.938320923748905,4,heikin_ashi_trend,1842.6189,initial
LUPIN,2026-03-05,2026-03-09,2332.9,2286.1899817860776,85,stop,NIFTY MIDSML HLTH,-3970.3515481834097,-2.0022297661246746,4,heikin_ashi_trend,2286.19,initial
APOLLOHOSP,2026-03-05,2026-03-09,7775.0,7588.0,25,stop,NIFTY HEALTHCARE,-4675.0,-2.4051446945337673,4,heikin_ashi_trend,7626.6139,initial
GLENMARK,2026-03-10,2026-03-11,2225.8,2286.402955762919,88,target,NIFTY MIDSML HLTH,5333.060107136873,2.722749382824996,1,heikin_ashi_trend,2165.197,n/a
TORNTPHARM,2026-03-10,2026-03-16,4427.8,4326.214903101291,44,stop,NIFTY PHARMA,-4469.744263543187,-2.2942566714555523,6,heikin_ashi_trend,4326.2149,initial
LUPIN,2026-03-10,2026-03-16,2337.4,2289.3870954752233,84,stop,NIFTY MIDSML HLTH,-4033.08398008125,-2.0541158776750557,6,heikin_ashi_trend,2289.3871,initial
COALINDIA,2026-03-20,2026-03-23,468.15,455.25173038173347,418,stop,NIFTY ENERGY,-5391.476700435402,-2.7551574534372514,3,heikin_ashi_trend,455.2517,initial
ADANIPOWER,2026-04-01,2026-04-02,157.11,151.06435300981542,1241,stop,NIFTY COMMODITIES,-7502.64791481908,-3.8480344918748632,1,heikin_ashi_trend,151.0644,initial
HINDZINC,2026-04-27,2026-04-29,628.0,606.4079273521064,308,stop,NIFTY METAL,-6650.3583755512245,-3.438228128645471,2,heikin_ashi_trend,606.4079,initial
NMDC,2026-04-24,2026-04-29,89.29,91.88986255919625,2167,target,NIFTY METAL,5633.9021657782505,2.911706304397166,5,heikin_ashi_trend,86.6901,n/a
ADANIGREEN,2026-05-04,2026-05-06,1290.7,1340.2144208292593,149,target,NIFTY COMMODITIES,7377.648703559633,3.8362455124552053,2,heikin_ashi_trend,1241.1856,n/a
NAM-INDIA,2026-05-05,2026-05-06,1052.8,1097.000322780214,185,target,NIFTY CAPITAL MKT,8177.059714339597,4.19835892669207,1,heikin_ashi_trend,1008.5997,n/a
GVT&D,2026-05-05,2026-05-07,4578.9,4756.609701525432,42,target,NIFTY ENERGY,7463.80746406815,3.8810566189572127,2,heikin_ashi_trend,4401.1903,n/a
ADANIPOWER,2026-05-04,2026-05-11,227.3,218.9016740765007,850,stop,NIFTY COMMODITIES,-7138.577034974405,-3.694820027936341,7,heikin_ashi_trend,218.9017,initial
CGPOWER,2026-05-07,2026-05-13,859.1,830.0,230,stop,NIFTY ENERGY,-6693.0000000000055,-3.3872657432196474,6,heikin_ashi_trend,831.1969,initial
HINDZINC,2026-05-12,2026-05-13,641.9,661.7237749559921,304,target,NIFTY METAL,6026.427586621605,3.0882964567677362,1,heikin_ashi_trend,622.0762,n/a
DIVISLAB,2026-05-13,2026-05-14,6796.0,6933.3815076868,28,target,NIFTY PHARMA,3846.682215230412,2.0215054103413843,1,heikin_ashi_trend,6658.6185,n/a
BHEL,2026-05-14,2026-05-15,413.15,397.94148955347754,477,stop,NIFTY ENERGY,-7254.459482991203,-3.681111084720423,1,heikin_ashi_trend,397.9415,initial
ADANIGREEN,2026-05-14,2026-05-15,1414.9,1469.8626833539477,139,target,NIFTY COMMODITIES,7639.812986198712,3.884563103678529,1,heikin_ashi_trend,1359.9373,n/a
BSE,2026-05-14,2026-05-19,4037.6,4149.631377809776,48,target,NIFTY MS FIN SERV,5377.5061348692325,2.7747022441493963,5,heikin_ashi_trend,3925.5686,n/a
DIVISLAB,2026-05-19,2026-05-25,6912.0,6750.0,28,stop,NIFTY PHARMA,-4536.0,-2.34375,6,heikin_ashi_trend,6765.0622,initial
ADANIPOWER,2026-05-25,2026-05-26,233.38,242.01472889357626,845,target,NIFTY COMMODITIES,7296.345915071945,3.6998581256218577,1,heikin_ashi_trend,224.7453,n/a
SAIL,2026-05-19,2026-05-27,199.05,206.40369926428014,996,target,NIFTY METAL,7324.284467223003,3.6943980227481132,8,heikin_ashi_trend,191.6963,n/a
GVT&D,2026-06-04,2026-06-08,5086.5,4850.011119887723,39,stop,NIFTY ENERGY,-9223.066324378804,-4.649343951878048,4,heikin_ashi_trend,4850.0111,initial
CGPOWER,2026-06-04,2026-06-08,937.9,907.8337676681712,213,stop,NIFTY ENERGY,-6404.107486679537,-3.2056970180007305,4,heikin_ashi_trend,907.8338,initial
ADANIENSOL,2026-06-05,2026-06-11,1579.0,1513.4320654758715,126,stop,NIFTY COMMODITIES,-8261.559750040195,-4.152497436613589,6,heikin_ashi_trend,1513.4321,initial
ADANIGREEN,2026-06-05,2026-06-11,1525.7,1467.916285599159,131,stop,NIFTY COMMODITIES,-7569.6665865101795,-3.787357567073546,6,heikin_ashi_trend,1467.9163,initial
ADANIENT,2026-07-01,2026-07-06,3143.6,3233.0617686580017,61,target,NIFTY METAL,5457.16788813811,2.8458381682784584,5,heikin_ashi_trend,3054.1382,n/a
AUROPHARMA,2026-07-03,2026-07-07,1620.5,1580.5076729273837,120,stop,NIFTY MIDSML HLTH,-4799.0792487139515,-2.4679004673012206,4,heikin_ashi_trend,1580.5077,initial
PNBHOUSING,2026-07-10,2026-07-17,1110.6,1078.4809711171624,174,stop,NIFTY MS FIN SERV,-5588.711025613722,-2.8920429392074065,7,heikin_ashi_trend,1078.481,initial
