symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
FORTIS,2021-08-27,2021-09-02,294.5,281.3438176650107,678,stop,NIFTY MIDSML HLTH,-8919.891623122743,-4.467294511032016,6,heikin_ashi_trend,281.3438,initial
APOLLOHOSP,2021-08-31,2021-09-07,4969.55,4895.695137250804,40,stop,NIFTY HEALTHCARE,-2954.194509967856,-1.4861478956685548,7,heikin_ashi_trend,4895.6951,trailing
MPHASIS,2021-08-27,2021-09-13,2711.5,2742.4468671640784,73,stop,NIFTY MS IT TELCM,2259.121302977724,1.1413190914282945,17,heikin_ashi_trend,2742.4469,trailing
ADANIENSOL,2021-09-09,2021-09-17,1806.75,1820.35,110,stop,NIFTY COMMODITIES,1495.99999999999,0.7527328075273232,8,heikin_ashi_trend,1861.2273,trailing
PERSISTENT,2021-09-13,2021-09-17,1793.85,1802.16448520641,112,stop,NIFTY MS IT TELCM,931.2223431179373,0.4634994679828308,4,heikin_ashi_trend,1802.1645,trailing
HINDALCO,2021-09-13,2021-09-17,478.35,473.0775863348465,405,stop,NIFTY METAL,-2135.3275343871765,-1.1022083547932549,4,heikin_ashi_trend,473.0776,trailing
TATACONSUM,2021-08-26,2021-09-20,842.8,854.8366844229572,237,stop,NIFTY FMCG,2852.6942082408686,1.4281780283527779,25,heikin_ashi_trend,854.8367,trailing
TATAELXSI,2021-09-07,2021-09-21,4919.5,5641.211874728203,40,stop,NIFTY MS IT TELCM,28868.474989128117,14.6704314407603,14,heikin_ashi_trend,5641.2119,trailing
BEL,2021-09-28,2021-09-29,70.1,68.21488451916703,2916,stop,NIFTY IND DEFENCE,-5496.996742108927,-2.689180429148308,1,heikin_ashi_trend,68.2149,initial
INDHOTEL,2021-10-04,2021-10-06,182.1,179.24685853605746,1124,stop,NIFTY IND TOURISM,-3206.931005471409,-1.5667992663056185,2,heikin_ashi_trend,179.2469,trailing
KEI,2021-10-01,2021-10-07,965.45,985.3518942934566,210,stop,NIFTY EV,4179.397801625866,2.061411185815576,6,heikin_ashi_trend,985.3519,trailing
BAJAJHLDNG,2021-10-04,2021-10-07,4915.4,4742.189722389111,41,stop,NIFTY FINSEREXBNK,-7101.621382046434,-3.5238287344038888,3,heikin_ashi_trend,4742.1897,trailing
GODREJPROP,2021-10-07,2021-10-08,2476.8,2366.875176867385,81,stop,NIFTY REALTY,-8903.91067374182,-4.438179228545502,1,heikin_ashi_trend,2366.8752,initial
COALINDIA,2021-10-11,2021-10-13,183.25,176.45033305558485,1092,stop,NIFTY ENERGY,-7425.236303301344,-3.71059587689776,2,heikin_ashi_trend,176.4503,initial
GMRAIRPORT,2021-10-11,2021-10-19,43.05,42.47155170409717,4649,stop,NIFTY IND TOURISM,-2689.206127652228,-1.343666192573345,8,heikin_ashi_trend,42.4716,trailing
BAJAJFINSV,2021-10-04,2021-10-20,1780.6,1853.65697285416,114,stop,NIFTY FINSEREXBNK,8328.494905374238,4.102941303726837,16,heikin_ashi_trend,1853.657,trailing
TMPV,2021-10-21,2021-10-25,349.75,332.81591779025155,571,stop,NIFTY AUTO,-9669.360941766367,-4.841767608219715,4,heikin_ashi_trend,332.8159,trailing
TVSMOTOR,2021-10-22,2021-10-25,619.8,600.0653543655488,322,stop,NIFTY AUTO,-6354.5558942932585,-3.1840344682883326,3,heikin_ashi_trend,600.0654,initial
ONGC,2021-10-25,2021-10-27,145.85,142.63297968033257,1374,stop,NIFTY OIL AND GAS,-4420.185919223044,-2.2057047100907945,2,heikin_ashi_trend,142.633,trailing
BANKBARODA,2021-10-21,2021-10-28,82.25,85.29218902183953,2431,stop,NIFTY PSU BANK,7395.561512091906,3.6987100569477516,7,heikin_ashi_trend,85.2922,trailing
INDIANB,2021-10-21,2021-10-28,166.3,172.52390785479486,1202,stop,NIFTY PSU BANK,7481.137241463404,3.742578385324613,7,heikin_ashi_trend,172.5239,trailing
BHEL,2021-10-26,2021-10-28,71.65,67.99030396660177,2546,stop,NIFTY ENERGY,-9317.586101031904,-5.107740451358311,2,heikin_ashi_trend,67.9903,trailing
TECHM,2021-10-26,2021-10-29,1469.6,1420.869944556904,137,stop,NIFTY IT,-6676.017595704126,-3.3158720361388005,3,heikin_ashi_trend,1420.8699,trailing
MANAPPURAM,2021-10-29,2021-11-01,207.8,200.48122149914187,941,stop,NIFTY MS FIN SERV,-6886.970569307514,-3.5220300774100766,3,heikin_ashi_trend,200.4812,initial
BANKBARODA,2021-11-02,2021-11-10,88.7,88.74598149571415,2194,stop,NIFTY PSU BANK,100.88340159683341,0.05183934127863665,8,heikin_ashi_trend,88.746,trailing
BAJAJHLDNG,2021-10-29,2021-11-11,4829.7,4932.759318571332,40,stop,NIFTY FINSEREXBNK,4122.372742853295,2.1338658420053447,13,heikin_ashi_trend,4932.7593,trailing
MOTILALOFS,2021-11-09,2021-11-11,247.5,238.88687759154328,813,stop,NIFTY CAPITAL MKT,-7002.468518075311,-3.4800494579623087,2,heikin_ashi_trend,238.8869,initial
MANAPPURAM,2021-11-03,2021-11-15,202.8,207.0,959,stop,NIFTY MS FIN SERV,4027.7999999999893,2.071005917159763,12,heikin_ashi_trend,214.488,trailing
INDIGO,2021-11-12,2021-11-18,2306.25,2280.1672530543633,85,stop,NIFTY IND TOURISM,-2217.0334903791195,-1.130959217154981,6,heikin_ashi_trend,2280.1673,trailing
TECHM,2021-11-12,2021-11-18,1490.4,1478.5826675496269,132,stop,NIFTY IT,-1559.8878834492643,-0.7928967022526323,6,heikin_ashi_trend,1478.5827,trailing
TMPV,2021-11-16,2021-11-18,357.35,351.71405262890875,548,stop,NIFTY AUTO,-3088.49915935802,-1.5771505166059296,2,heikin_ashi_trend,351.7141,trailing
ADANIENT,2021-11-24,2021-11-26,1701.6,1646.27842369389,113,stop,NIFTY METAL,-6251.3381225904095,-3.251150464627983,2,heikin_ashi_trend,1646.2784,trailing
