symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
TATAELXSI,2021-09-07,2021-09-08,4919.5,4846.815799999999,40,stop,NIFTY MS IT TELCM,-2907.368000000024,-1.4774712877325014,1,heikin_ashi_trend,4846.8158,initial
APOLLOHOSP,2021-08-31,2021-09-09,4969.55,4751.8017,40,stop,NIFTY HEALTHCARE,-8709.932000000008,-4.3816502500226395,9,heikin_ashi_trend,4751.8017,initial
FORTIS,2021-08-27,2021-09-17,294.5,268.5918,385,stop,NIFTY MIDSML HLTH,-9974.657000000008,-8.797351443123947,21,heikin_ashi_trend,268.5918,initial
ADANIENSOL,2021-09-09,2021-09-21,1806.75,1642.9,97,stop,NIFTY COMMODITIES,-15893.449999999992,-9.068769890687689,12,heikin_ashi_trend,1705.4183,initial
TATACONSUM,2021-08-26,2021-09-27,842.8,821.8271,237,stop,NIFTY FMCG,-4970.577299999995,-2.488478879924061,32,heikin_ashi_trend,821.8271,initial
PERSISTENT,2021-09-13,2021-09-28,1793.85,1747.6413,111,stop,NIFTY MS IT TELCM,-5129.16569999999,-2.5759511664854906,15,heikin_ashi_trend,1747.6413,initial
BEL,2021-09-28,2021-09-30,70.1,67.84585,2823,stop,NIFTY IND DEFENCE,-6363.465449999988,-3.215620542082731,2,heikin_ashi_trend,67.8458,initial
KEI,2021-10-01,2021-10-21,965.45,911.0586,182,stop,NIFTY EV,-9899.234800000017,-5.633787353047815,20,heikin_ashi_trend,911.0586,initial
OIL,2021-09-21,2021-10-22,139.25,139.65,1318,close_below_ema50,NIFTY OIL AND GAS,527.2000000000075,0.2872531418312452,31,heikin_ashi_trend,131.8034,n/a
TVSMOTOR,2021-10-22,2021-10-25,619.8,597.1531500000001,297,stop,NIFTY AUTO,-6726.114449999958,-3.6538964181993983,3,heikin_ashi_trend,597.1532,initial
ONGC,2021-10-25,2021-10-27,145.85,143.1692,1216,stop,NIFTY OIL AND GAS,-3259.852800000006,-1.8380527939664049,2,heikin_ashi_trend,143.1692,initial
BAJAJFINSV,2021-10-04,2021-10-29,1780.6,1724.9097,111,stop,NIFTY FINSEREXBNK,-6181.6232999999975,-3.1276142873188806,25,heikin_ashi_trend,1724.9097,initial
MANAPPURAM,2021-10-29,2021-11-01,207.8,194.415,713,stop,NIFTY MS FIN SERV,-9543.505000000014,-6.441289701636199,3,heikin_ashi_trend,194.415,initial
MANAPPURAM,2021-11-03,2021-11-15,202.8,198.85164999999998,826,stop,NIFTY MS FIN SERV,-3261.3371000000275,-1.946918145956622,12,heikin_ashi_trend,198.8516,initial
TMPV,2021-11-16,2021-11-18,357.35,347.4545,460,stop,NIFTY AUTO,-4551.930000000012,-2.7691339023366512,2,heikin_ashi_trend,347.4545,initial
BANKBARODA,2021-10-21,2021-11-22,82.25,78.21465,2224,stop,NIFTY PSU BANK,-8974.618399999987,-4.906200607902733,32,heikin_ashi_trend,78.2147,initial
INDHOTEL,2021-10-04,2021-11-26,182.1,186.0402,1090,stop,NIFTY IND TOURISM,4294.818000000005,2.1637561779242143,53,heikin_ashi_trend,186.0402,trailing
ADANIENT,2021-11-24,2021-11-26,1701.6,1655.2194,110,stop,NIFTY METAL,-5101.865999999995,-2.725705218617769,2,heikin_ashi_trend,1655.2194,initial
MPHASIS,2021-08-27,2021-11-26,2711.5,2868.4,64,close_below_ema50,NIFTY MS IT TELCM,10041.600000000006,5.786465056241941,91,heikin_ashi_trend,2751.6203,n/a
APOLLOHOSP,2021-11-25,2021-12-06,5701.05,5309.07485,24,stop,NIFTY HEALTHCARE,-9407.403600000005,-6.875490479823898,11,heikin_ashi_trend,5309.0748,initial
BAJAJHLDNG,2021-10-29,2021-12-20,4829.7,4991.85,39,close_below_ema50,NIFTY FINSEREXBNK,6323.850000000021,3.3573513882849904,52,heikin_ashi_trend,4775.2312,n/a
POWERGRID,2021-11-30,2021-12-22,151.5,146.21005,1202,stop,NIFTY ENERGY,-6358.519900000006,-3.491716171617165,22,heikin_ashi_trend,146.21,initial
GMRAIRPORT,2022-01-03,2022-01-07,47.4,45.3635,4018,stop,NIFTY IND TOURISM,-8182.6569999999865,-4.296413502109697,4,heikin_ashi_trend,45.3635,initial
TCS,2022-01-07,2022-01-21,3853.5,3785.0108,49,stop,NIFTY IT,-3355.970799999999,-1.7773245101855406,14,heikin_ashi_trend,3785.0108,initial
