symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
ASHOKLEY,2026-01-09,2026-01-20,187.76,180.88164513140435,1065,stop,NIFTY AUTO,-7325.4479350543525,-3.6633760484638067,11,heikin_ashi_trend,180.8816,initial
MCX,2026-01-13,2026-02-01,2293.0,2186.421,87,stop,NIFTY MS FIN SERV,-9272.373000000016,-4.648015699956398,19,heikin_ashi_trend,2186.421,initial
SBIN,2026-01-22,2026-02-01,1048.35,1018.7533824966038,191,stop,NIFTY PSU BANK,-5652.953943148664,-2.8231618737440844,10,heikin_ashi_trend,1018.7534,initial
SHRIRAMFIN,2026-01-16,2026-02-02,995.45,966.2924,203,stop,NIFTY FINSEREXBNK,-5918.9928,-2.9290873474308143,17,heikin_ashi_trend,966.2924,initial
ASHOKLEY,2026-01-22,2026-03-09,190.28,186.94,717,close_below_ema50,NIFTY AUTO,-2394.7800000000025,-1.755307967206221,46,heikin_ashi_trend,176.2995,n/a
SBIN,2026-02-09,2026-03-09,1146.0,1098.5,100,close_below_ema50,NIFTY PSU BANK,-4750.0,-4.144851657940663,28,heikin_ashi_trend,1047.847,n/a
LUPIN,2026-03-05,2026-03-16,2332.9,2254.5161000000003,86,stop,NIFTY MIDSML HLTH,-6741.015399999984,-3.359933987740571,11,heikin_ashi_trend,2254.5161,initial
NATIONALUM,2026-01-09,2026-03-23,348.05,349.75,371,close_below_ema50,NIFTY METAL,630.6999999999957,0.4884355696020748,73,heikin_ashi_trend,333.347,n/a
TORNTPHARM,2026-02-23,2026-04-01,4307.6,4143.483066641182,46,stop,NIFTY PHARMA,-7549.3789345056575,-3.8099390230944996,37,heikin_ashi_trend,4143.4831,initial
BHARATFORG,2026-07-17,2026-08-10,2190.5,2075.754,83,stop,NIFTY AUTO,-9523.918000000009,-5.238347409267297,24,heikin_ashi_trend,2075.754,initial
