symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
NMDC,2026-01-07,2026-01-08,83.62,79.6348895065455,2391,stop,NIFTY METAL,-9528.399189849708,-4.76573845187096,1,heikin_ashi_trend,79.6349,initial
MANAPPURAM,2026-01-07,2026-01-09,319.9,304.085,625,stop,NIFTY MS FIN SERV,-9884.374999999998,-4.94373241638012,2,heikin_ashi_trend,304.085,initial
ASHOKLEY,2026-01-09,2026-01-20,187.76,180.88164513140435,1044,stop,NIFTY AUTO,-7181.002482813844,-3.6633760484638067,11,heikin_ashi_trend,180.8816,initial
HINDALCO,2026-01-13,2026-02-01,936.3,894.309,209,stop,NIFTY METAL,-8776.118999999997,-4.484780519064402,19,heikin_ashi_trend,894.309,initial
MCX,2026-01-13,2026-02-01,2293.0,2186.421,85,stop,NIFTY MS FIN SERV,-9059.215000000015,-4.648015699956398,19,heikin_ashi_trend,2186.421,initial
INDIANB,2026-01-22,2026-02-02,878.05,811.8571,150,stop,NIFTY PSU BANK,-9928.935000000001,-7.538625363020335,11,heikin_ashi_trend,811.8571,initial
MOTHERSON,2026-02-09,2026-03-06,124.41,122.77,1109,close_below_ema50,NIFTY AUTO,-1818.7600000000007,-1.318222007877179,25,heikin_ashi_trend,115.7018,n/a
AXISBANK,2026-02-03,2026-03-06,1356.2,1315.8,142,close_below_ema50,NIFTY PVT BANK,-5736.800000000013,-2.978911664946182,31,heikin_ashi_trend,1298.9913,n/a
SBIN,2026-02-09,2026-03-09,1146.0,1098.5,98,close_below_ema50,NIFTY PSU BANK,-4655.0,-4.144851657940663,28,heikin_ashi_trend,1047.847,n/a
UNIONBANK,2026-01-13,2026-03-13,161.42,168.89,1216,close_below_ema50,NIFTY PSU BANK,9083.519999999999,4.627679345805968,59,heikin_ashi_trend,159.8889,n/a
TORNTPHARM,2026-03-10,2026-03-16,4427.8,4246.4223999999995,43,stop,NIFTY PHARMA,-7799.236800000031,-4.09633678124578,6,heikin_ashi_trend,4246.4224,initial
LUPIN,2026-03-10,2026-03-16,2337.4,2277.5468,83,stop,NIFTY MIDSML HLTH,-4967.815600000002,-2.5606742534439952,6,heikin_ashi_trend,2277.5468,initial
NATIONALUM,2026-01-09,2026-03-23,348.05,349.75,364,close_below_ema50,NIFTY METAL,618.7999999999959,0.4884355696020748,73,heikin_ashi_trend,333.347,n/a
COALINDIA,2026-03-20,2026-03-24,468.15,449.29805,399,stop,NIFTY ENERGY,-7521.928049999995,-4.026903770159129,4,heikin_ashi_trend,449.298,initial
GLENMARK,2026-03-10,2026-04-02,2225.8,2044.0493999999999,53,stop,NIFTY MIDSML HLTH,-9632.781800000015,-8.165630335160401,23,heikin_ashi_trend,2044.0494,initial
ONGC,2026-04-28,2026-05-06,301.3,283.3474,513,stop,NIFTY OIL AND GAS,-9209.68380000001,-5.9583803518088345,8,heikin_ashi_trend,283.3474,initial
GVT&D,2026-05-05,2026-05-12,4578.9,4375.951640818954,39,stop,NIFTY ENERGY,-7914.986008060787,-4.432251396209697,7,heikin_ashi_trend,4375.9516,initial
GLENMARK,2026-04-23,2026-06-01,2335.0,2198.1856000000002,66,stop,NIFTY MIDSML HLTH,-9029.750399999983,-5.859289079229113,39,heikin_ashi_trend,2198.1856,initial
SAIL,2026-05-19,2026-06-08,199.05,187.37,790,stop,NIFTY METAL,-9227.200000000006,-5.867872393870888,20,heikin_ashi_trend,187.6454,initial
NMDC,2026-04-24,2026-06-16,89.29,88.09,2040,close_below_ema50,NIFTY METAL,-2448.000000000006,-1.3439354910964263,53,heikin_ashi_trend,86.1209,n/a
GVT&D,2026-06-04,2026-07-03,5086.5,4567.257,17,stop,NIFTY ENERGY,-8827.131000000007,-10.208257151282819,29,heikin_ashi_trend,4567.257,initial
BSE,2026-05-14,2026-07-03,4037.6,3816.6,33,close_below_ema50,NIFTY MS FIN SERV,-7293.0,-5.473548642758075,50,heikin_ashi_trend,3773.4456,n/a
ADANIPOWER,2026-05-04,2026-07-08,227.3,216.48,466,close_below_ema50,NIFTY COMMODITIES,-5042.12000000001,-4.760228772547304,65,heikin_ashi_trend,214.1556,n/a
DELHIVERY,2026-07-10,2026-07-15,520.3,496.48324733516307,326,stop,NIFTY MULTI INFRA,-7764.261368736824,-4.577503875617317,5,heikin_ashi_trend,496.4832,initial
AUROPHARMA,2026-07-03,2026-07-17,1620.5,1526.4200677345646,91,stop,NIFTY MIDSML HLTH,-8561.273836154625,-5.8056113709000545,14,heikin_ashi_trend,1526.4201,initial
BHARATFORG,2026-07-17,2026-08-10,2190.5,2075.754,73,stop,NIFTY AUTO,-8376.458000000006,-5.238347409267297,24,heikin_ashi_trend,2075.754,initial
SUNPHARMA,2026-07-27,2026-08-14,1973.7,1921.0195999999999,86,stop,NIFTY PHARMA,-4530.514400000016,-2.6691189137153626,18,heikin_ashi_trend,1921.0196,initial
