symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
TATAELXSI,2021-09-07,2021-09-08,4919.5,4846.815799999999,40,stop,NIFTY MS IT TELCM,-2907.368000000024,-1.4774712877325014,1,heikin_ashi_trend,4846.8158,initial
PERSISTENT,2021-09-13,2021-09-28,1793.85,1747.6413,111,stop,NIFTY MS IT TELCM,-5129.16569999999,-2.5759511664854906,15,heikin_ashi_trend,1747.6413,initial
GODREJPROP,2021-10-07,2021-10-20,2476.8,2301.52465,56,stop,NIFTY REALTY,-9815.41960000002,-7.076685642764868,13,heikin_ashi_trend,2301.5246,initial
GMRAIRPORT,2021-10-11,2021-10-25,43.05,39.4812,2762,stop,NIFTY IND TOURISM,-9857.025599999988,-8.289895470383268,14,heikin_ashi_trend,39.4812,initial
ONGC,2021-10-25,2021-10-27,145.85,143.1692,1333,stop,NIFTY OIL AND GAS,-3573.5064000000066,-1.8380527939664049,2,heikin_ashi_trend,143.1692,initial
TECHM,2021-10-26,2021-10-27,1469.6,1445.7496999999998,132,stop,NIFTY IT,-3148.239600000008,-1.6229109961894417,1,heikin_ashi_trend,1445.7497,initial
BANKBARODA,2021-11-02,2021-11-15,88.7,85.1438,2177,stop,NIFTY PSU BANK,-7741.847400000009,-4.009244644870358,13,heikin_ashi_trend,85.1438,initial
INDIGO,2021-11-12,2021-11-22,2306.25,2153.52,63,stop,NIFTY IND TOURISM,-9621.990000000002,-6.622439024390248,10,heikin_ashi_trend,2153.52,initial
UNOMINDA,2021-12-21,2022-01-24,553.5,523.425,283,stop,NIFTY AUTO,-8511.225000000013,-5.4336043360433735,34,heikin_ashi_trend,523.425,trailing
TATAELXSI,2022-02-07,2022-02-11,7640.05,7402.725,26,stop,NIFTY MS IT TELCM,-6170.449999999995,-3.106327838168599,4,heikin_ashi_trend,7402.725,initial
PGEL,2021-12-08,2022-02-11,64.9,71.35,1766,close_below_ema50,NIFTY CONSR DURBL,11390.69999999998,9.938366718027725,65,heikin_ashi_trend,69.9894,n/a
MARUTI,2022-02-09,2022-02-14,8949.45,8500.0,22,stop,NIFTY AUTO,-9887.900000000016,-5.022096329942071,5,heikin_ashi_trend,8596.134,initial
BSE,2021-12-01,2022-02-24,183.5,206.8775,823,stop,NIFTY MS FIN SERV,19239.6825,12.739782016348776,85,heikin_ashi_trend,206.8775,trailing
VBL,2022-05-02,2022-05-05,147.3,143.568,1320,stop,NIFTY FMCG,-4926.239999999999,-2.533604887983709,3,heikin_ashi_trend,143.568,initial
POWERGRID,2022-05-04,2022-05-06,174.65,170.05,1102,stop,NIFTY ENERGY,-5069.199999999993,-2.6338391067849964,2,heikin_ashi_trend,170.5867,initial
NTPC,2022-05-04,2022-05-06,158.65,156.45,1213,stop,NIFTY COMMODITIES,-2668.600000000021,-1.3867002836432496,2,heikin_ashi_trend,156.8281,initial
ADANIENSOL,2022-04-26,2022-05-09,2812.55,2647.08485,59,stop,NIFTY COMMODITIES,-9762.44385,-5.883100744875646,13,heikin_ashi_trend,2647.0849,initial
BDL,2022-04-07,2022-06-20,310.4,358.65,401,close_below_ema50,NIFTY IND DEFENCE,19348.25,15.544458762886592,74,heikin_ashi_trend,303.2874,n/a
EICHERMOT,2022-08-23,2022-08-29,3464.75,3289.0,58,stop,NIFTY AUTO,-10193.5,-5.072516054549392,6,heikin_ashi_trend,3328.1355,initial
HAL,2022-08-26,2022-08-29,1136.6,1107.7667,148,stop,NIFTY IND DEFENCE,-4267.328400000001,-2.536802745029032,3,heikin_ashi_trend,1107.7667,initial
EICHERMOT,2022-09-15,2022-09-16,3622.25,3542.68995,57,stop,NIFTY AUTO,-4534.922850000003,-2.196426254399886,1,heikin_ashi_trend,3542.6899,initial
TIINDIA,2022-09-20,2022-09-27,2718.85,2564.7825,66,stop,NIFTY AUTO,-10168.455000000007,-5.666642146495771,7,heikin_ashi_trend,2564.7825,initial
BEL,2022-08-10,2022-09-27,95.8,99.75,2041,close_below_ema50,NIFTY IND DEFENCE,8061.950000000006,4.123173277661807,48,heikin_ashi_trend,93.3192,n/a
ADANIPOWER,2022-08-10,2022-10-03,67.95,70.95,2878,close_below_ema50,NIFTY COMMODITIES,8634.0,4.415011037527594,54,heikin_ashi_trend,65.6026,n/a
VBL,2022-07-19,2022-10-14,175.8,205.3,1082,close_below_ema50,NIFTY FMCG,31919.0,16.78043230944255,87,heikin_ashi_trend,181.0552,n/a
COCHINSHIP,2022-09-19,2022-12-22,200.3,272.1,847,close_below_ema50,NIFTY IND DEFENCE,60814.60000000001,35.846230654018974,94,heikin_ashi_trend,188.0841,n/a
IDFCFIRSTB,2022-10-12,2022-12-22,55.1,56.95,3751,close_below_ema50,NIFTY MS FIN SERV,6939.350000000005,3.3575317604355837,71,heikin_ashi_trend,54.6356,n/a
UNIONBANK,2022-11-16,2022-12-23,58.67,60.08,3767,close_below_ema50,NIFTY PSU BANK,5311.4699999999875,2.4032725413328793,37,heikin_ashi_trend,55.7822,n/a
BANKINDIA,2022-11-21,2022-12-23,72.05,72.33,2242,close_below_ema50,NIFTY PSU BANK,627.7600000000025,0.38861901457321046,32,heikin_ashi_trend,69.5507,n/a
HINDZINC,2023-01-25,2023-01-27,358.0,351.4425,602,stop,NIFTY METAL,-3947.6150000000025,-1.8317039106145239,2,heikin_ashi_trend,351.4425,initial
INDIANB,2022-11-03,2023-02-13,240.3,269.55,881,close_below_ema50,NIFTY PSU BANK,25769.25,12.172284644194754,102,heikin_ashi_trend,243.2181,n/a
ITC,2023-02-23,2023-02-24,319.65,315.00215,667,stop,NIFTY FMCG,-3100.1159500000035,-1.4540434850617845,1,heikin_ashi_trend,315.0021,initial
KEI,2023-05-19,2023-08-01,2024.95,2270.35,105,close_below_ema50,NIFTY EV,25766.999999999985,12.118817748586386,74,heikin_ashi_trend,1924.2598,n/a
BAJAJ-AUTO,2023-04-20,2023-08-04,4207.5,4595.5,50,close_below_ema50,NIFTY AUTO,19400.0,9.221628045157448,106,heikin_ashi_trend,4442.632,n/a
OBEROIRLTY,2023-08-04,2023-08-07,1121.9,1087.727,208,stop,NIFTY REALTY,-7107.984,-3.0459934040467096,3,heikin_ashi_trend,1087.727,initial
NAUKRI,2023-08-04,2023-08-11,977.5,905.276,162,stop,NIFTY INTERNET,-11700.288000000008,-7.388644501278774,7,heikin_ashi_trend,905.276,initial
HAL,2023-06-30,2023-09-25,1896.25,1927.5,108,close_below_ema50,NIFTY IND DEFENCE,3375.0,1.6479894528675043,87,heikin_ashi_trend,1845.2476,n/a
COFORGE,2023-05-26,2023-09-28,892.0,1024.5,241,close_below_ema50,NIFTY MS IT TELCM,31932.5,14.85426008968609,125,heikin_ashi_trend,937.6785,n/a
