symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
GODREJPROP,2021-10-07,2021-11-18,2476.8,2179.7411,35,stop,NIFTY REALTY,-10397.0615,-11.993657138242897,42,heikin_ashi_trend,2179.7411,trailing
GMRAIRPORT,2021-10-11,2021-11-22,43.05,38.6836,2386,stop,NIFTY IND TOURISM,-10418.230399999997,-10.142624854819971,42,heikin_ashi_trend,38.6836,trailing
BANKBARODA,2021-10-21,2021-11-22,82.25,77.95,1280,close_below_ema50,NIFTY PSU BANK,-5503.999999999996,-5.227963525835866,32,heikin_ashi_trend,74.0272,n/a
TATAELXSI,2021-09-07,2021-11-26,4919.5,5838.2,40,close_below_ema50,NIFTY MS IT TELCM,36747.99999999999,18.674662059152357,80,heikin_ashi_trend,5682.9,n/a
PERSISTENT,2021-09-13,2022-01-17,1793.85,2188.9,106,close_below_ema50,NIFTY MS IT TELCM,41875.30000000002,22.02246564651449,126,heikin_ashi_trend,1869.375,n/a
UNOMINDA,2021-12-21,2022-01-24,553.5,523.425,161,stop,NIFTY AUTO,-4842.075000000007,-5.4336043360433735,34,heikin_ashi_trend,523.425,trailing
PGEL,2021-12-08,2022-02-11,64.9,71.35,1463,close_below_ema50,NIFTY CONSR DURBL,9436.349999999984,9.938366718027725,65,heikin_ashi_trend,69.9894,n/a
POWERGRID,2021-11-30,2022-02-14,151.5,147.85,1344,close_below_ema50,NIFTY ENERGY,-4905.600000000008,-2.409240924092415,76,heikin_ashi_trend,146.8082,n/a
TATAELXSI,2022-01-28,2022-02-15,7183.15,6759.690751070601,25,stop,NIFTY MS IT TELCM,-10586.481223234954,-5.895174803942538,18,heikin_ashi_trend,6759.6908,initial
BSE,2021-12-01,2022-02-24,183.5,206.8775,409,stop,NIFTY MS FIN SERV,9561.3975,12.739782016348776,85,heikin_ashi_trend,206.8775,trailing
BANKBARODA,2022-01-25,2022-03-04,85.1,87.05,1447,close_below_ema50,NIFTY PSU BANK,2821.650000000004,2.291421856639242,38,heikin_ashi_trend,77.5666,n/a
BEL,2022-03-09,2022-03-15,74.15,68.64344999999999,1913,stop,NIFTY IND DEFENCE,-10534.030150000035,-7.426230613621065,6,heikin_ashi_trend,68.6434,initial
TATASTEEL,2022-03-10,2022-03-15,124.35,117.26369987696297,1481,stop,NIFTY METAL,-10494.810482217827,-5.698673199064752,5,heikin_ashi_trend,117.2637,initial
JINDALSTEL,2022-03-17,2022-05-06,477.15,503.8,401,close_below_ema50,NIFTY METAL,10686.650000000014,5.585245729854349,50,heikin_ashi_trend,451.2308,n/a
ADANIENSOL,2022-03-16,2022-05-10,2305.4,2482.55,89,close_below_ema50,NIFTY COMMODITIES,15766.350000000008,7.684132905352659,55,heikin_ashi_trend,2193.4,n/a
VBL,2022-05-02,2022-05-11,147.3,139.58,1486,stop,NIFTY FMCG,-11471.919999999998,-5.241004752206379,9,heikin_ashi_trend,139.58,initial
POWERGRID,2022-05-04,2022-05-19,174.65,163.7,1213,stop,NIFTY ENERGY,-13282.35000000002,-6.269682221586037,15,heikin_ashi_trend,165.3525,initial
BEL,2022-06-07,2022-06-13,81.95,79.0321847647774,2724,stop,NIFTY IND DEFENCE,-7948.128700746376,-3.560482288252109,6,heikin_ashi_trend,79.0322,initial
BDL,2022-04-01,2022-06-20,284.3,358.65,660,close_below_ema50,NIFTY IND DEFENCE,49070.99999999998,26.15195216320787,80,heikin_ashi_trend,303.2874,n/a
BDL,2022-08-08,2022-08-23,431.9,396.5,316,stop,NIFTY IND DEFENCE,-11186.399999999992,-8.196341745774482,15,heikin_ashi_trend,396.7688,initial
EICHERMOT,2022-08-23,2022-08-29,3464.75,3270.9851545067672,56,stop,NIFTY AUTO,-10850.831347621035,-5.592462529568731,6,heikin_ashi_trend,3270.9852,initial
