symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
NMDC,2026-01-07,2026-01-08,83.62,79.6348895065455,2391,stop,NIFTY METAL,-9528.399189849708,-4.76573845187096,1,heikin_ashi_trend,79.6349,initial
MANAPPURAM,2026-01-07,2026-01-09,319.9,304.085,625,stop,NIFTY MS FIN SERV,-9884.374999999998,-4.94373241638012,2,heikin_ashi_trend,304.085,initial
ASHOKLEY,2026-01-09,2026-01-20,187.76,180.88164513140435,1044,stop,NIFTY AUTO,-7181.002482813844,-3.6633760484638067,11,heikin_ashi_trend,180.8816,initial
HINDALCO,2026-01-13,2026-02-01,936.3,894.309,209,stop,NIFTY METAL,-8776.118999999997,-4.484780519064402,19,heikin_ashi_trend,894.309,initial
MCX,2026-01-13,2026-02-01,2293.0,2186.421,85,stop,NIFTY MS FIN SERV,-9059.215000000015,-4.648015699956398,19,heikin_ashi_trend,2186.421,initial
INDIANB,2026-01-22,2026-02-02,878.05,811.8571,150,stop,NIFTY PSU BANK,-9928.935000000001,-7.538625363020335,11,heikin_ashi_trend,811.8571,initial
OIL,2026-02-04,2026-02-11,507.1,473.74297148195524,289,stop,NIFTY OIL AND GAS,-9640.181241714943,-6.577998130160678,7,heikin_ashi_trend,473.743,initial
AXISBANK,2026-02-03,2026-03-06,1356.2,1315.8,142,close_below_ema50,NIFTY PVT BANK,-5736.800000000013,-2.978911664946182,31,heikin_ashi_trend,1298.9913,n/a
FEDERALBNK,2026-02-11,2026-03-09,290.5,278.81104999999997,662,stop,NIFTY MS FIN SERV,-7738.084900000023,-4.023734939759049,26,heikin_ashi_trend,278.811,initial
SBIN,2026-02-09,2026-03-09,1146.0,1098.5,97,close_below_ema50,NIFTY PSU BANK,-4607.5,-4.144851657940663,28,heikin_ashi_trend,1047.847,n/a
UNIONBANK,2026-01-13,2026-03-13,161.42,168.89,1216,close_below_ema50,NIFTY PSU BANK,9083.519999999999,4.627679345805968,59,heikin_ashi_trend,159.8889,n/a
TORNTPHARM,2026-03-10,2026-03-16,4427.8,4246.4223999999995,43,stop,NIFTY PHARMA,-7799.236800000031,-4.09633678124578,6,heikin_ashi_trend,4246.4224,initial
LUPIN,2026-03-10,2026-03-16,2337.4,2277.5468,81,stop,NIFTY MIDSML HLTH,-4848.109200000001,-2.5606742534439952,6,heikin_ashi_trend,2277.5468,initial
NATIONALUM,2026-01-09,2026-03-23,348.05,349.75,364,close_below_ema50,NIFTY METAL,618.7999999999959,0.4884355696020748,73,heikin_ashi_trend,333.347,n/a
COALINDIA,2026-03-20,2026-03-24,468.15,449.29805,392,stop,NIFTY ENERGY,-7389.964399999995,-4.026903770159129,4,heikin_ashi_trend,449.298,initial
GLENMARK,2026-03-10,2026-04-02,2225.8,2044.0493999999999,52,stop,NIFTY MIDSML HLTH,-9451.031200000016,-8.165630335160401,23,heikin_ashi_trend,2044.0494,initial
TATAPOWER,2026-04-27,2026-05-12,453.2,422.20188931117093,311,stop,NIFTY COMMODITIES,-9640.412424225837,-6.83983024907967,15,heikin_ashi_trend,422.2019,initial
DIVISLAB,2026-05-13,2026-06-01,6796.0,6569.701934242375,28,stop,NIFTY PHARMA,-6336.345841213511,-3.3298714796589968,19,heikin_ashi_trend,6569.7019,initial
HINDZINC,2026-04-27,2026-06-04,628.0,603.85,169,close_below_ema50,NIFTY METAL,-4081.3499999999963,-3.8455414012738776,38,heikin_ashi_trend,571.0816,n/a
NMDC,2026-04-24,2026-06-16,89.29,88.09,2146,close_below_ema50,NIFTY METAL,-2575.200000000006,-1.3439354910964263,53,heikin_ashi_trend,86.1209,n/a
GVT&D,2026-06-04,2026-07-03,5086.5,4567.257,18,stop,NIFTY ENERGY,-9346.374000000007,-10.208257151282819,29,heikin_ashi_trend,4567.257,initial
ADANIPOWER,2026-04-01,2026-07-08,157.11,216.48,1078,close_below_ema50,NIFTY COMMODITIES,64000.85999999997,37.78881038762649,98,heikin_ashi_trend,214.1556,n/a
AUROPHARMA,2026-07-03,2026-07-17,1620.5,1526.4200677345646,101,stop,NIFTY MIDSML HLTH,-9502.07315880898,-5.8056113709000545,14,heikin_ashi_trend,1526.4201,initial
CGPOWER,2026-06-04,2026-07-23,937.9,884.4387,170,stop,NIFTY ENERGY,-9088.42099999999,-5.70010662117496,49,heikin_ashi_trend,884.4387,trailing
ADANIGREEN,2026-05-04,2026-07-23,1290.7,1379.9,85,close_below_ema50,NIFTY COMMODITIES,7582.000000000004,6.910978538777401,80,heikin_ashi_trend,1177.1193,n/a
SHRIRAMFIN,2026-06-24,2026-07-24,1019.0,1005.1,190,close_below_ema50,NIFTY FINSEREXBNK,-2640.9999999999955,-1.3640824337585844,30,heikin_ashi_trend,974.3484,n/a
SUNPHARMA,2026-07-09,2026-08-18,1938.7,1869.4747,97,stop,NIFTY PHARMA,-6714.854100000006,-3.5707071749110253,40,heikin_ashi_trend,1869.4747,initial
