symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
ONGC,2021-10-25,2021-10-28,145.85,135.55,1430,stop,NIFTY OIL AND GAS,-14728.999999999976,-7.062050051422686,3,heikin_ashi_trend,139.1812,initial
GODREJPROP,2021-10-07,2021-11-18,2476.8,2179.7411,35,stop,NIFTY REALTY,-10397.0615,-11.993657138242897,42,heikin_ashi_trend,2179.7411,trailing
GMRAIRPORT,2021-10-11,2021-11-22,43.05,38.6836,2386,stop,NIFTY IND TOURISM,-10418.230399999997,-10.142624854819971,42,heikin_ashi_trend,38.6836,trailing
BANKBARODA,2021-11-02,2021-11-22,88.7,79.71015,1168,stop,NIFTY PSU BANK,-10500.144800000005,-10.135118376550178,20,heikin_ashi_trend,79.7101,initial
TATAELXSI,2021-09-07,2021-11-26,4919.5,5838.2,40,close_below_ema50,NIFTY MS IT TELCM,36747.99999999999,18.674662059152357,80,heikin_ashi_trend,5682.9,n/a
PERSISTENT,2021-09-13,2022-01-17,1793.85,2188.9,106,close_below_ema50,NIFTY MS IT TELCM,41875.30000000002,22.02246564651449,126,heikin_ashi_trend,1869.375,n/a
UNOMINDA,2021-12-21,2022-01-24,553.5,523.425,158,stop,NIFTY AUTO,-4751.850000000008,-5.4336043360433735,34,heikin_ashi_trend,523.425,trailing
PGEL,2021-12-08,2022-02-11,64.9,71.35,1438,close_below_ema50,NIFTY CONSR DURBL,9275.099999999984,9.938366718027725,65,heikin_ashi_trend,69.9894,n/a
TATAELXSI,2022-02-07,2022-02-14,7640.05,7020.0,23,stop,NIFTY MS IT TELCM,-14261.150000000005,-8.115784582561636,7,heikin_ashi_trend,7183.6841,initial
MARUTI,2022-02-09,2022-02-14,8949.45,8374.8,18,stop,NIFTY AUTO,-10343.700000000026,-6.4210649816469285,5,heikin_ashi_trend,8374.8,initial
BSE,2021-12-01,2022-02-24,183.5,206.8775,401,stop,NIFTY MS FIN SERV,9374.377499999999,12.739782016348776,85,heikin_ashi_trend,206.8775,trailing
ADANIENSOL,2022-04-26,2022-05-10,2812.55,2540.40585,38,stop,NIFTY COMMODITIES,-10341.477700000003,-9.676064425521325,14,heikin_ashi_trend,2540.4059,initial
VBL,2022-05-02,2022-05-11,147.3,139.58,1343,stop,NIFTY FMCG,-10367.96,-5.241004752206379,9,heikin_ashi_trend,139.58,initial
NTPC,2022-05-04,2022-05-11,158.65,152.541,1296,stop,NIFTY COMMODITIES,-7917.264000000012,-3.850614560352983,7,heikin_ashi_trend,152.541,initial
POWERGRID,2022-05-04,2022-05-19,174.65,163.7,1106,stop,NIFTY ENERGY,-12110.700000000019,-6.269682221586037,15,heikin_ashi_trend,165.3525,initial
BDL,2022-04-07,2022-06-20,310.4,358.65,336,close_below_ema50,NIFTY IND DEFENCE,16212.0,15.544458762886592,74,heikin_ashi_trend,303.2874,n/a
EICHERMOT,2022-08-23,2022-08-29,3464.75,3270.9851545067672,54,stop,NIFTY AUTO,-10463.301656634569,-5.592462529568731,6,heikin_ashi_trend,3270.9852,initial
BEL,2022-08-10,2022-09-27,95.8,99.75,2122,close_below_ema50,NIFTY IND DEFENCE,8381.900000000007,4.123173277661807,48,heikin_ashi_trend,91.1436,n/a
ADANIPOWER,2022-08-10,2022-10-03,67.95,70.95,2603,close_below_ema50,NIFTY COMMODITIES,7809.0,4.415011037527594,54,heikin_ashi_trend,64.0451,n/a
EICHERMOT,2022-09-15,2022-10-11,3622.25,3441.644,61,stop,NIFTY AUTO,-11016.966000000013,-4.986016978397412,26,heikin_ashi_trend,3441.644,initial
VBL,2022-07-19,2022-10-14,175.8,205.3,782,close_below_ema50,NIFTY FMCG,23069.0,16.78043230944255,87,heikin_ashi_trend,181.0552,n/a
HAL,2022-08-26,2022-12-16,1136.6,1293.2,183,close_below_ema50,NIFTY IND DEFENCE,28657.800000000025,13.777934189688557,112,heikin_ashi_trend,1117.1385,n/a
