symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
OIL,2024-01-02,2024-01-08,255.55,248.7515,782,stop,NIFTY OIL AND GAS,-5316.427000000014,-2.6603404421835286,6,heikin_ashi_trend,248.7515,initial
RBLBANK,2024-01-11,2024-01-17,295.0,283.69635,688,stop,NIFTY MS FIN SERV,-7776.911200000003,-3.831745762711869,6,heikin_ashi_trend,283.6963,initial
BEL,2024-01-04,2024-01-18,186.9,181.9525,1070,stop,NIFTY IND DEFENCE,-5293.825000000021,-2.64713750668808,14,heikin_ashi_trend,181.9525,initial
MOTILALOFS,2024-01-19,2024-01-24,397.55,380.7543,509,stop,NIFTY CAPITAL MKT,-8549.011300000006,-4.2248019117092195,5,heikin_ashi_trend,380.7543,initial
GODREJPROP,2024-01-25,2024-02-08,2326.9,2259.6008,88,stop,NIFTY REALTY,-5922.329599999994,-2.8922257080235436,14,heikin_ashi_trend,2259.6008,initial
MOTILALOFS,2024-02-08,2024-02-12,476.1,447.70285,400,stop,NIFTY CAPITAL MKT,-11358.860000000004,-5.964534761604712,4,heikin_ashi_trend,447.7029,initial
COALINDIA,2024-02-14,2024-02-20,437.95,414.752,469,stop,NIFTY ENERGY,-10879.86199999999,-5.296951706815845,6,heikin_ashi_trend,414.752,initial
POWERGRID,2024-02-20,2024-02-22,287.9,276.8669,800,stop,NIFTY ENERGY,-8826.479999999992,-3.832268148662732,2,heikin_ashi_trend,276.8669,initial
POWERGRID,2024-02-26,2024-02-28,287.8,281.20385,785,stop,NIFTY ENERGY,-5177.977750000018,-2.2919214732453175,2,heikin_ashi_trend,281.2038,initial
NBCC,2024-01-03,2024-03-11,58.67,80.7,1769,close_below_ema50,NIFTY MULTI INFRA,38971.07,37.549002897562644,68,heikin_ashi_trend,80.2585,n/a
SIEMENS,2024-03-12,2024-03-13,3643.25,3569.70865,48,stop,NIFTY ENERGY,-3529.9847999999984,-2.018564468537709,1,heikin_ashi_trend,3569.7087,initial
HAL,2024-01-03,2024-03-20,2870.0,2980.5,69,close_below_ema50,NIFTY IND DEFENCE,7624.5,3.8501742160278685,77,heikin_ashi_trend,2816.3755,n/a
