symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
BEL,2024-01-04,2024-02-05,186.9,179.46,943,stop,NIFTY IND DEFENCE,-7015.919999999998,-3.9807383627608384,32,heikin_ashi_trend,179.46,trailing
MOTILALOFS,2024-02-08,2024-02-21,476.1,422.3797354527839,214,stop,NIFTY CAPITAL MKT,-11496.136613104249,-11.283399400801542,13,heikin_ashi_trend,422.3797,initial
NBCC,2024-01-03,2024-03-11,58.67,80.7,1625,close_below_ema50,NIFTY MULTI INFRA,35798.75,37.549002897562644,68,heikin_ashi_trend,80.2585,n/a
POWERGRID,2024-02-26,2024-03-13,287.8,272.43025,754,stop,NIFTY ENERGY,-11588.791500000008,-5.3404273801250906,16,heikin_ashi_trend,272.4303,initial
SIEMENS,2024-03-12,2024-03-14,3643.25,3507.8841507779475,64,stop,NIFTY ENERGY,-8663.414350211358,-3.715524578935081,2,heikin_ashi_trend,3507.8842,initial
HAL,2024-01-03,2024-03-20,2870.0,2980.5,69,close_below_ema50,NIFTY IND DEFENCE,7624.5,3.8501742160278685,77,heikin_ashi_trend,2816.3755,n/a
DMART,2024-03-20,2024-05-28,4056.35,4474.45,55,close_below_ema50,NIFTY NONCYC CONS,22995.499999999996,10.30729596805009,69,heikin_ashi_trend,4436.65,n/a
OIL,2024-01-02,2024-06-04,255.55,391.52189999999996,647,stop,NIFTY OIL AND GAS,87973.81929999997,53.20755233809429,154,heikin_ashi_trend,391.5219,trailing
MAZDOCK,2024-05-29,2024-06-04,1678.7,1398.9216304049655,45,stop,NIFTY IND DEFENCE,-12590.026631776553,-16.66637097724635,6,heikin_ashi_trend,1398.9216,initial
BAJAJ-AUTO,2024-01-03,2024-07-18,6814.0,9106.598,20,stop,NIFTY AUTO,45851.96,33.64540651599648,197,heikin_ashi_trend,9106.598,trailing
SIEMENS,2024-03-21,2024-07-18,3765.1,5424.95,37,close_below_ema50,NIFTY ENERGY,61414.45,44.08515046081114,119,heikin_ashi_trend,4419.7509,n/a
BAJAJHLDNG,2024-07-22,2024-07-23,9979.0,9531.433457891346,25,stop,NIFTY FINSEREXBNK,-11189.163552716354,-4.4850840976916935,1,heikin_ashi_trend,9531.4335,initial
