date,equity,open_positions,holdings_cost_basis,trades_closed_today,wins_today,losses_today,daily_realized_pnl,cumulative_realized_pnl,closed_trade_detail
2021-08-23,1000000.0,0,0.0,0,0,0,0.0,0.0,
2021-08-24,1002499.77,1,198081.73,0,0,0,0.0,0.0,
2021-08-25,1008306.27,1,198081.73,0,0,0,0.0,0.0,
2021-08-26,1009580.27,1,198081.73,0,0,0,0.0,0.0,
2021-08-27,1010707.27,1,198081.73,0,0,0,0.0,0.0,
2021-08-30,1008428.77,1,198081.73,0,0,0,0.0,0.0,
2021-08-31,1007742.77,1,198081.73,0,0,0,0.0,0.0,
2021-09-01,1005635.77,1,198081.73,0,0,0,0.0,0.0,
2021-09-02,1008575.77,1,198081.73,0,0,0,0.0,0.0,
2021-09-03,1010045.77,1,198081.73,0,0,0,0.0,0.0,
2021-09-06,1013230.77,1,198081.73,0,0,0,0.0,0.0,
2021-09-07,1009751.77,1,198081.73,0,0,0,0.0,0.0,
2021-09-08,1008306.27,1,198081.73,0,0,0,0.0,0.0,
2021-09-09,1010903.27,1,198081.73,0,0,0,0.0,0.0,
2021-09-13,1014970.27,1,198081.73,0,0,0,0.0,0.0,
2021-09-14,1013892.27,1,198081.73,0,0,0,0.0,0.0,
2021-09-15,1015460.27,1,198081.73,0,0,0,0.0,0.0,
2021-09-16,1014312.96,2,396595.79,0,0,0,0.0,0.0,
2021-09-17,1014680.96,2,396595.79,0,0,0,0.0,0.0,
2021-09-20,1009034.81,2,396595.79,0,0,0,0.0,0.0,
2021-09-21,1008387.81,2,396595.79,0,0,0,0.0,0.0,
2021-09-22,1009890.24,3,522494.76,0,0,0,0.0,0.0,
2021-09-23,1025875.34,3,522494.76,0,0,0,0.0,0.0,
2021-09-24,1030491.11,2,323980.71,1,1,0,13157.41,13157.41,APOLLOHOSP:WIN(+13157)
2021-09-27,1035734.13,1,198081.73,1,1,0,20125.95,33283.36,PRESTIGE:WIN(+20126)
2021-09-28,1035440.13,1,198081.73,0,0,0,0.0,33283.36,
2021-09-29,1033382.13,1,198081.73,0,0,0,0.0,33283.36,
2021-09-30,1034411.13,1,198081.73,0,0,0,0.0,33283.36,
2021-10-01,1032377.63,1,198081.73,0,0,0,0.0,33283.36,
2021-10-04,1038055.39,2,404025.07,0,0,0,0.0,33283.36,
2021-10-05,1042285.29,2,404025.07,0,0,0,0.0,33283.36,
2021-10-06,1037621.19,2,404025.07,0,0,0,0.0,33283.36,
2021-10-07,1039743.79,2,404025.07,0,0,0,0.0,33283.36,
2021-10-08,1061973.74,3,542408.32,0,0,0,0.0,33283.36,
2021-10-11,1063524.68,2,404025.07,1,1,0,20852.49,54135.85,PGEL:WIN(+20852)
2021-10-12,1069080.28,2,404025.07,0,0,0,0.0,54135.85,
2021-10-13,1068974.08,2,404025.07,0,0,0,0.0,54135.85,
2021-10-14,1074033.68,2,404025.07,0,0,0,0.0,54135.85,
2021-10-18,1073996.58,2,404025.07,0,0,0,0.0,54135.85,
2021-10-19,1089521.99,0,0.0,2,2,0,35386.14,89521.99,OFSS:WIN(+19059); BAJAJFINSV:WIN(+16327)
2021-10-20,1089521.99,0,0.0,0,0,0,0.0,89521.99,
2021-10-21,1089521.99,0,0.0,0,0,0,0.0,89521.99,
2021-10-22,1089521.99,0,0.0,0,0,0,0.0,89521.99,
2021-10-25,1093537.14,1,217870.15,0,0,0,0.0,89521.99,
2021-10-26,1106013.36,2,404821.74,1,1,0,8131.3,97653.3,BLUESTARCO:WIN(+8131)
2021-10-27,1102913.87,4,820274.03,0,0,0,0.0,97653.3,
2021-10-28,1076680.67,2,383300.17,2,0,2,-19332.66,78320.64,JINDALSTEL:LOSS(-10154); GODREJPROP:LOSS(-9178)
2021-10-29,1086972.5,3,598840.49,0,0,0,0.0,78320.64,
