date,equity,open_positions,holdings_cost_basis,trades_closed_today,wins_today,losses_today,daily_realized_pnl,cumulative_realized_pnl,closed_trade_detail
2026-01-16,1000000.0,0,0.0,0,0,0,0.0,0.0,
2026-01-19,1000000.0,0,0.0,0,0,0,0.0,0.0,
2026-01-20,1000000.0,0,0.0,0,0,0,0.0,0.0,
2026-01-21,1000000.0,0,0.0,0,0,0,0.0,0.0,
2026-01-22,1000000.0,0,0.0,0,0,0,0.0,0.0,
2026-01-23,1000000.0,0,0.0,0,0,0,0.0,0.0,
2026-01-27,1004685.4,1,198426.6,0,0,0,0.0,0.0,
2026-01-28,1015157.2,0,0.0,1,1,0,15157.2,15157.2,MCX:WIN(+15157)
2026-01-29,1015157.2,0,0.0,0,0,0,0.0,15157.2,
2026-01-30,1015157.2,0,0.0,0,0,0,0.0,15157.2,
2026-02-01,1015157.2,0,0.0,0,0,0,0.0,15157.2,
2026-02-02,1015157.2,0,0.0,0,0,0,0.0,15157.2,
2026-02-03,1019224.95,4,808457.1,0,0,0,0.0,15157.2,
2026-02-04,1019995.1,5,1011668.11,0,0,0,0.0,15157.2,
2026-02-05,1015529.35,5,1011668.11,0,0,0,0.0,15157.2,
2026-02-06,1011523.35,5,1011668.11,0,0,0,0.0,15157.2,
2026-02-09,1018975.25,5,1011668.11,0,0,0,0.0,15157.2,
2026-02-10,1032268.3,5,1011668.11,0,0,0,0.0,15157.2,
2026-02-11,1031879.65,5,1011668.11,0,0,0,0.0,15157.2,
2026-02-12,1031388.45,5,1011668.11,0,0,0,0.0,15157.2,
2026-02-13,1014818.5,5,1011668.11,0,0,0,0.0,15157.2,
2026-02-16,1035104.97,4,810542.18,1,1,0,11861.85,27019.05,TORNTPHARM:WIN(+11862)
2026-02-17,1040596.37,4,810542.18,0,0,0,0.0,27019.05,
2026-02-18,1048251.97,4,810542.18,0,0,0,0.0,27019.05,
2026-02-19,1045984.37,4,810542.18,0,0,0,0.0,27019.05,
2026-02-20,1056932.62,4,810542.18,0,0,0,0.0,27019.05,
2026-02-23,1056513.62,4,810542.18,0,0,0,0.0,27019.05,
2026-02-24,1056206.97,4,810542.18,0,0,0,0.0,27019.05,
2026-02-25,1064975.7,3,607747.09,1,1,0,15000.18,42019.24,PETRONET:WIN(+15000)
2026-02-26,1070434.9,3,607747.09,0,0,0,0.0,42019.24,
2026-02-27,1067873.97,2,404536.08,1,1,0,20072.42,62091.65,ONGC:WIN(+20072)
2026-03-02,1070391.32,2,404536.08,0,0,0,0.0,62091.65,
2026-03-04,1064003.42,2,404536.08,0,0,0,0.0,62091.65,
2026-03-05,1073558.36,4,826538.69,0,0,0,0.0,62091.65,
2026-03-06,1073256.1,5,1040761.6,0,0,0,0.0,62091.65,
2026-03-09,1064907.5,4,839007.75,1,0,1,-10706.05,51385.6,AXISBANK:LOSS(-10706)
2026-03-10,1084884.03,5,1029471.62,0,0,0,0.0,51385.6,
2026-03-11,1088307.27,3,602414.89,2,2,0,25107.06,76492.66,SUNPHARMA:WIN(+9186); GLENMARK:WIN(+15921)
2026-03-12,1086177.52,3,602414.89,0,0,0,0.0,76492.66,
2026-03-13,1076680.37,3,602414.89,0,0,0,0.0,76492.66,
2026-03-16,1067569.47,2,393246.1,1,0,1,-7316.79,69175.87,APOLLOHOSP:LOSS(-7317)
2026-03-17,1073063.42,2,393246.1,0,0,0,0.0,69175.87,
2026-03-18,1071971.17,2,393246.1,0,0,0,0.0,69175.87,
2026-03-19,1063286.97,2,393246.1,0,0,0,0.0,69175.87,
2026-03-20,1067802.47,2,393246.1,0,0,0,0.0,69175.87,
2026-03-23,1063186.92,1,190463.87,1,0,1,-9887.48,59288.39,BEL:LOSS(-9887)
2026-03-24,1063627.72,1,190463.87,0,0,0,0.0,59288.39,
2026-03-25,1067610.12,1,190463.87,0,0,0,0.0,59288.39,
2026-03-27,1068582.92,1,190463.87,0,0,0,0.0,59288.39,
2026-03-30,1067093.32,1,190463.87,0,0,0,0.0,59288.39,
2026-04-01,1072823.72,1,190463.87,0,0,0,0.0,59288.39,
2026-04-02,1071546.92,1,190463.87,0,0,0,0.0,59288.39,
2026-04-06,1072565.32,1,190463.87,0,0,0,0.0,59288.39,
2026-04-07,1070984.52,1,190463.87,0,0,0,0.0,59288.39,
2026-04-08,1071850.92,1,190463.87,0,0,0,0.0,59288.39,
2026-04-09,1072565.32,1,190463.87,0,0,0,0.0,59288.39,
2026-04-10,1073933.32,1,190463.87,0,0,0,0.0,59288.39,
2026-04-13,1072474.12,1,190463.87,0,0,0,0.0,59288.39,
2026-04-15,1077657.32,1,190463.87,0,0,0,0.0,59288.39,
2026-04-16,1079572.52,1,190463.87,0,0,0,0.0,59288.39,
2026-04-17,1079496.52,1,190463.87,0,0,0,0.0,59288.39,
2026-04-20,1076730.12,1,190463.87,0,0,0,0.0,59288.39,
2026-04-21,1080857.74,0,0.0,1,1,0,21569.35,80857.74,AUROPHARMA:WIN(+21569)
2026-04-22,1080857.74,0,0.0,0,0,0,0.0,80857.74,
2026-04-23,1080857.74,0,0.0,0,0,0,0.0,80857.74,
2026-04-24,1080857.74,0,0.0,0,0,0,0.0,80857.74,
2026-04-27,1080857.74,0,0.0,0,0,0,0.0,80857.74,
2026-04-28,1080857.74,0,0.0,0,0,0,0.0,80857.74,
2026-04-29,1080857.74,0,0.0,0,0,0,0.0,80857.74,
2026-04-30,1080857.74,0,0.0,0,0,0,0.0,80857.74,
2026-05-04,1091011.13,1,216128.21,0,0,0,0.0,80857.74,
2026-05-05,1090564.93,1,216128.21,0,0,0,0.0,80857.74,
2026-05-06,1094260.76,0,0.0,1,1,0,13216.42,94074.16,LAURUSLABS:WIN(+13216)
2026-05-07,1093300.76,0,0.0,0,0,0,0.0,94074.16,
2026-05-08,1093035.76,0,0.0,0,0,0,0.0,94074.16,
2026-05-11,1093545.76,0,0.0,0,0,0,0.0,94074.16,
2026-05-12,1090473.26,0,0.0,0,0,0,0.0,94074.16,
2026-05-13,1088533.26,0,0.0,0,0,0,0.0,94074.16,
2026-05-14,1097221.95,1,198533.33,0,0,0,0.0,94074.16,
2026-05-15,1093704.27,1,198533.33,0,0,0,0.0,94074.16,
2026-05-18,1091146.33,1,198533.33,0,0,0,0.0,94074.16,
2026-05-19,1095398.25,2,416552.13,0,0,0,0.0,94074.16,
2026-05-20,1100084.05,2,416552.13,0,0,0,0.0,94074.16,
2026-05-21,1106149.79,3,636952.31,0,0,0,0.0,94074.16,
2026-05-22,1109928.31,3,636952.31,0,0,0,0.0,94074.16,
2026-05-25,1122234.29,3,636952.31,0,0,0,0.0,94074.16,
2026-05-26,1137770.65,2,438418.98,1,1,0,21882.26,115956.43,ADANIPOWER:WIN(+21882)
2026-05-27,1149500.95,2,438418.98,0,0,0,0.0,115956.43,
2026-05-29,1135928.05,3,555833.28,0,0,0,0.0,115956.43,
2026-06-01,1125957.65,3,555833.28,0,0,0,0.0,115956.43,
2026-06-02,1127942.15,3,555833.28,0,0,0,0.0,115956.43,
2026-06-03,1123537.79,4,695028.74,0,0,0,0.0,115956.43,
2026-06-04,1124694.89,4,695028.74,0,0,0,0.0,115956.43,
2026-06-05,1116981.19,4,695028.74,0,0,0,0.0,115956.43,
2026-06-08,1088491.29,4,695028.74,0,0,0,0.0,115956.43,
2026-06-09,1105498.19,4,695028.74,0,0,0,0.0,115956.43,
2026-06-10,1083847.09,2,256609.76,2,0,2,-19862.68,96093.75,MANAPPURAM:LOSS(-9219); HINDALCO:LOSS(-10643)
2026-06-11,1079372.09,1,139195.46,1,0,1,-11115.3,84978.45,SIEMENS:LOSS(-11115)
2026-06-12,1089882.09,1,139195.46,0,0,0,0.0,84978.45,
2026-06-15,1088321.09,1,139195.46,0,0,0,0.0,84978.45,
2026-06-16,1088347.09,1,139195.46,0,0,0,0.0,84978.45,
2026-06-17,1102612.09,1,139195.46,0,0,0,0.0,84978.45,
2026-06-18,1105017.09,1,139195.46,0,0,0,0.0,84978.45,
2026-06-19,1112967.59,1,139195.46,0,0,0,0.0,84978.45,
2026-06-22,1114153.65,2,361655.3,0,0,0,0.0,84978.45,
2026-06-23,1116542.75,2,361655.3,0,0,0,0.0,84978.45,
2026-06-24,1098594.95,2,361655.3,0,0,0,0.0,84978.45,
2026-06-25,1093898.75,2,361655.3,0,0,0,0.0,84978.45,
2026-06-29,1103923.55,2,361655.3,0,0,0,0.0,84978.45,
2026-06-30,1104322.06,3,562143.99,0,0,0,0.0,84978.45,
2026-07-01,1094637.91,3,562143.99,0,0,0,0.0,84978.45,
2026-07-02,1092962.91,3,562143.99,0,0,0,0.0,84978.45,
2026-07-03,1085652.32,0,0.0,3,1,2,-2560.23,82418.22,GVT&D:LOSS(-10927); BHEL:LOSS(-11047); LAURUSLABS:WIN(+19414)
2026-07-06,1085164.82,0,0.0,0,0,0,0.0,82418.22,
2026-07-07,1081539.82,0,0.0,0,0,0,0.0,82418.22,
2026-07-08,1079652.32,0,0.0,0,0,0,0.0,82418.22,
2026-07-09,1079077.32,0,0.0,0,0,0,0.0,82418.22,
2026-07-10,1083684.62,1,214316.3,0,0,0,0.0,82418.22,
2026-07-13,1081795.52,1,214316.3,0,0,0,0.0,82418.22,
2026-07-14,1075245.42,0,0.0,1,0,1,-6656.9,75761.32,HDFCAMC:LOSS(-6657)
2026-07-15,1072589.25,1,213885.17,0,0,0,0.0,75761.32,
2026-07-16,1070237.25,1,213885.17,0,0,0,0.0,75761.32,
2026-07-17,1068164.75,1,213885.17,0,0,0,0.0,75761.32,
2026-07-20,1068587.67,1,213885.17,0,0,0,0.0,75761.32,
2026-07-21,1076672.03,2,429346.32,0,0,0,0.0,75761.32,
2026-07-22,1075477.15,2,385506.62,1,0,1,-4088.52,71672.81,GMRAIRPORT:LOSS(-4089)
2026-07-23,1068975.95,2,385506.62,0,0,0,0.0,71672.81,
2026-07-24,1058484.75,1,171621.45,1,0,1,-7450.17,64222.63,SHRIRAMFIN:LOSS(-7450)
2026-07-27,1060357.89,2,383194.91,0,0,0,0.0,64222.63,
2026-07-28,1063937.39,2,383194.91,0,0,0,0.0,64222.63,
2026-07-29,1071529.49,2,383194.91,0,0,0,0.0,64222.63,
2026-07-30,1074428.99,2,383194.91,0,0,0,0.0,64222.63,
2026-07-31,1095272.24,1,211573.46,1,1,0,21330.9,85553.53,TVSMOTOR:WIN(+21331)
2026-08-03,1110952.83,0,0.0,1,1,0,20047.92,105601.46,PAYTM:WIN(+20048)
2026-08-04,1116359.11,0,0.0,0,0,0,0.0,105601.46,
