date,rank,symbol,score,price,sector,rsi,pct_52w_high
2026-05-14,1,NATIONALUM,4.345,416.45,NIFTY METAL,53.5,0.943
2026-05-14,2,HINDZINC,3.629,669.25,NIFTY METAL,70.9,0.92
2026-05-14,3,HINDALCO,3.041,1103.3,NIFTY METAL,67.8,1.0
2026-05-14,4,NMDC,2.828,93.21,NIFTY METAL,66.0,1.0
2026-05-14,5,JSWSTEEL,2.705,1296.9,NIFTY METAL,62.2,1.0
2026-05-14,6,PNBHOUSING,2.579,1069.7,NIFTY MS FIN SERV,68.4,0.95
2026-05-14,7,JINDALSTEL,2.327,1252.8,NIFTY METAL,54.5,0.972
2026-05-14,8,COALINDIA,2.219,454.05,NIFTY ENERGY,47.3,0.943
2026-05-14,9,AUROPHARMA,2.21,1510.9,NIFTY PHARMA,73.7,1.0
2026-05-14,10,CGPOWER,2.153,848.25,NIFTY ENERGY,62.6,0.971
2026-05-15,1,NATIONALUM,3.786,403.6,NIFTY METAL,47.6,0.914
2026-05-15,2,BSE,3.244,4000.6,NIFTY MS FIN SERV,73.5,0.991
2026-05-15,3,HINDZINC,3.227,637.8,NIFTY METAL,58.1,0.877
2026-05-15,4,SAIL,3.097,192.4,NIFTY METAL,61.6,0.956
2026-05-15,5,BHEL,3.085,398.3,NIFTY ENERGY,69.3,0.964
2026-05-15,6,HINDALCO,2.776,1067.5,NIFTY METAL,58.2,0.968
2026-05-15,7,NMDC,2.632,91.41,NIFTY METAL,59.9,0.981
2026-05-15,8,PNBHOUSING,2.626,1069.4,NIFTY MS FIN SERV,68.3,0.95
2026-05-15,9,JSWSTEEL,2.577,1278.8,NIFTY METAL,56.9,0.986
2026-05-15,10,COALINDIA,2.396,462.2,NIFTY ENERGY,52.7,0.96
2026-05-18,1,NATIONALUM,3.602,400.45,NIFTY METAL,46.2,0.907
2026-05-18,2,HINDZINC,3.229,636.5,NIFTY METAL,57.7,0.875
2026-05-18,3,SAIL,3.065,192.73,NIFTY METAL,61.9,0.957
2026-05-18,4,BHEL,2.916,395.25,NIFTY ENERGY,67.5,0.957
2026-05-18,5,ADANIENT,2.709,2689.8,NIFTY METAL,72.7,0.99
2026-05-18,6,HINDALCO,2.636,1053.1,NIFTY METAL,54.8,0.955
2026-05-18,7,PNBHOUSING,2.633,1045.2,NIFTY MS FIN SERV,60.9,0.928
2026-05-18,8,JSWSTEEL,2.593,1292.8,NIFTY METAL,59.8,0.997
2026-05-18,9,AUROPHARMA,2.499,1500.5,NIFTY PHARMA,69.6,0.993
2026-05-18,10,NMDC,2.457,90.14,NIFTY METAL,56.0,0.967
2026-05-19,1,NATIONALUM,3.622,398.95,NIFTY METAL,45.5,0.904
2026-05-19,2,SAIL,3.346,199.05,NIFTY METAL,66.1,0.989
2026-05-19,3,HINDZINC,3.246,632.6,NIFTY METAL,56.2,0.87
2026-05-19,4,BHEL,3.074,401.1,NIFTY ENERGY,69.2,0.971
2026-05-19,5,PNBHOUSING,2.739,1064.5,NIFTY MS FIN SERV,64.2,0.945
2026-05-19,6,ADANIENT,2.733,2725.0,NIFTY METAL,74.1,1.0
2026-05-19,7,HINDALCO,2.667,1048.3,NIFTY METAL,53.7,0.95
2026-05-19,8,JSWSTEEL,2.563,1285.2,NIFTY METAL,57.5,0.991
2026-05-19,9,AUROPHARMA,2.459,1512.8,NIFTY PHARMA,71.5,1.0
2026-05-19,10,NMDC,2.361,89.02,NIFTY METAL,52.7,0.955
2026-05-20,1,NATIONALUM,3.51,402.4,NIFTY METAL,47.4,0.911
2026-05-20,2,BHEL,3.305,408.4,NIFTY ENERGY,71.1,0.989
2026-05-20,3,SAIL,3.191,199.04,NIFTY METAL,66.1,0.989
2026-05-20,4,HINDZINC,3.044,630.45,NIFTY METAL,55.4,0.867
2026-05-20,5,HINDALCO,2.725,1085.5,NIFTY METAL,60.4,0.984
2026-05-20,6,ADANIENT,2.565,2704.8,NIFTY METAL,71.8,0.993
2026-05-20,7,GVT&D,2.52,4679.4,,63.8,0.981
2026-05-20,8,COALINDIA,2.462,458.7,NIFTY ENERGY,50.2,0.953
2026-05-20,9,JSWSTEEL,2.403,1283.2,NIFTY METAL,56.9,0.989
2026-05-20,10,AUROPHARMA,2.314,1517.5,NIFTY MIDSML HLTH,72.2,1.0
2026-05-21,1,NATIONALUM,3.828,406.4,NIFTY METAL,49.6,0.92
2026-05-21,2,BHEL,3.304,408.15,NIFTY ENERGY,71.0,0.988
2026-05-21,3,SAIL,3.272,196.53,NIFTY METAL,62.9,0.976
2026-05-21,4,HINDZINC,3.248,628.05,NIFTY METAL,54.5,0.864
2026-05-21,5,HINDALCO,3.039,1099.3,NIFTY METAL,62.6,0.996
2026-05-21,6,MCX,2.989,3322.8,NIFTY MS FIN SERV,67.5,0.965
2026-05-21,7,GVT&D,2.791,4794.6,,66.9,1.0
2026-05-21,8,ADANIENT,2.661,2697.6,NIFTY METAL,71.0,0.99
2026-05-21,9,JSWSTEEL,2.574,1281.3,NIFTY METAL,56.3,0.988
