date,equity
2025-08-18,1000000.0
2025-08-19,999311.6
2025-08-20,1000935.2
2025-08-21,1003659.2999999999
2025-08-22,999226.2
2025-08-25,998317.1633488778
2025-08-26,990735.4140050227
2025-08-28,988205.416438
2025-08-29,990812.816438
2025-09-01,993818.616438
2025-09-02,987116.016438
2025-09-03,991327.9303889256
2025-09-04,991059.1303889257
2025-09-05,1003367.4303889256
2025-09-08,1010954.9903889257
2025-09-09,1011129.3903889257
2025-09-10,1003453.8403889256
2025-09-11,1000441.8803889257
2025-09-12,1003538.5903889256
2025-09-15,1003953.1303889257
2025-09-16,1019772.4903889257
2025-09-17,1013771.5837232466
2025-09-18,1017970.0537232466
2025-09-19,1016100.4354320902
2025-09-22,1019893.6754320902
2025-09-23,1020274.8648225857
2025-09-24,1013754.8165301774
2025-09-25,1007552.5409097128
2025-09-26,995083.4019934392
2025-09-29,1001125.5819934392
2025-09-30,1003357.3419934392
2025-10-01,1007382.3119934392
2025-10-03,1008143.0019934392
2025-10-06,1010154.0819934392
2025-10-07,1011226.7919934392
2025-10-08,1010052.4404681749
2025-10-09,1013472.1404681749
2025-10-10,1005190.9804681749
2025-10-13,1012682.6259409209
2025-10-14,1010024.6459409209
2025-10-15,1023716.185940921
2025-10-16,1016888.453634971
2025-10-17,1012888.5969761758
2025-10-20,1015154.0369761758
2025-10-21,1016288.2569761758
2025-10-23,1006330.3969761758
2025-10-24,1002717.9469761759
2025-10-27,1012152.1069761758
2025-10-28,1012523.4569761759
2025-10-29,1009117.7769761758
2025-10-30,1007616.0469761759
2025-10-31,995922.4708576926
2025-11-03,1005005.3308576928
2025-11-04,997801.2308576927
2025-11-06,994057.8908576928
2025-11-07,999733.8208576927
2025-11-10,1007265.1908576926
2025-11-11,1010481.6208576928
2025-11-12,1012037.9842152095
2025-11-13,1009631.5542152093
2025-11-14,1007696.0142152094
2025-11-17,1010767.2442152095
2025-11-18,1004564.7142152095
2025-11-19,1007523.6642152094
2025-11-20,1011433.0139867093
2025-11-21,1008820.8739867093
2025-11-24,1004567.8939867092
2025-11-25,1006112.0139867093
2025-11-26,1014449.2939867092
2025-11-27,1012169.6339867093
2025-11-28,1015518.7651239928
2025-12-01,1021250.784617102
2025-12-02,1017605.044617102
2025-12-03,1010117.164617102
2025-12-04,1011874.304617102
2025-12-05,1013899.1642154177
2025-12-08,1004801.9842154176
2025-12-09,998821.6042154176
2025-12-10,996250.5342154177
2025-12-11,1000805.8942154177
2025-12-12,1005964.2442154177
2025-12-15,1003635.2742154177
2025-12-16,1002785.6542154177
2025-12-17,1000391.7642154177
2025-12-18,991793.5843131859
2025-12-19,997321.9843131858
2025-12-22,1003461.4343131859
2025-12-23,1005415.3498802264
2025-12-24,1010459.1133443211
2025-12-26,1007546.139870181
2025-12-29,1001263.3398701809
2025-12-30,1008999.177342074
2025-12-31,1013254.777342074
2026-01-01,1018673.9773420739
2026-01-02,1027755.9273420739
2026-01-05,1029263.127342074
2026-01-06,1028415.4173420739
2026-01-07,1032632.427342074
2026-01-08,1010577.2834283224
2026-01-09,1002190.4245124978
2026-01-12,999070.6551986615
2026-01-13,998090.0051986615
2026-01-14,999424.0551986615
2026-01-16,997197.4051986616
2026-01-19,993538.1551986616
2026-01-20,978724.5051986615
2026-01-21,971447.4554272217
2026-01-22,974130.1054272216
2026-01-23,967986.6054272217
2026-01-27,967422.8353045494
2026-01-28,976071.7853045495
2026-01-29,980957.9744527501
2026-01-30,973694.6243865377
2026-02-01,961438.0854345716
2026-02-02,963378.4854345716
2026-02-03,965444.8854345717
2026-02-04,966923.2854345716
2026-02-05,967231.0854345716
2026-02-06,966649.6854345717
2026-02-09,973315.0457771348
2026-02-10,974756.2457771348
2026-02-11,975988.662086067
2026-02-12,982558.872086067
2026-02-13,970475.4740114405
2026-02-16,969277.7659381856
2026-02-17,970335.7159381856
2026-02-18,973205.6959381856
2026-02-19,965187.7759381856
2026-02-20,967541.3959381856
2026-02-23,972801.7754299933
2026-02-24,974618.996275384
2026-02-25,983459.1762753839
2026-02-26,991048.216275384
2026-02-27,981222.306275384
2026-03-02,963709.789694709
2026-03-04,941911.7731435751
2026-03-05,947369.5531435751
2026-03-06,942764.9431435751
2026-03-09,933611.6666647319
2026-03-10,937271.6666647319
2026-03-11,936938.0666647318
2026-03-12,938459.2196410624
2026-03-13,930487.6196410626
2026-03-16,928405.6196410626
2026-03-17,930907.6196410625
2026-03-18,930608.2796410625
2026-03-19,920659.3996410625
2026-03-20,926663.2923685885
