symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pnl,ret_pct,holding_days
SBIN,2025-08-19,2025-08-25,830.4,815.658444573983,120,stop,-1768.9866511220316,-1.775235480011672,6
NAM-INDIA,2025-08-20,2025-08-26,866.15,823.638266575172,115,stop,-4888.849343855218,-4.908126008754598,6
INDIGO,2025-08-18,2025-08-28,6096.5,5900.040777061084,16,stop,-3143.3475670226617,-3.222491969800978,10
ABCAPITAL,2025-08-19,2025-09-03,287.35,273.38462233696146,347,stop,-4845.986049074382,-4.860058348021079,15
LTF,2025-08-19,2025-09-17,217.03,242.49281159634992,460,target,11712.893334320965,11.732392570773587,29
POLYCAB,2025-08-19,2025-09-19,7117.0,7526.47369348883,14,target,5732.631708843615,5.753459231260782,31
MUTHOOTFIN,2025-09-04,2025-09-23,2826.3,3071.900554014159,35,target,8596.019390495552,8.689826062843963,19
HDFCAMC,2025-09-23,2025-09-24,2879.0,2824.9860487883298,35,stop,-1890.4882924084586,-1.8761358531319994,1
MOTILALOFS,2025-09-23,2025-09-25,958.35,927.3104186748626,106,stop,-3290.1956204645667,-3.2388565059881524,2
GODFRYPHLP,2025-08-20,2025-09-26,3688.0,3299.1115216194967,27,stop,-10499.988916273589,-10.544698437649224,37
RBLBANK,2025-09-03,2025-10-08,270.0,289.00664434532894,367,target,6975.43847473572,7.039497905677394,35
ABCAPITAL,2025-10-03,2025-10-13,303.95,291.1119500687191,331,stop,-4249.394527253966,-4.223737434209863,10
ETERNAL,2025-10-08,2025-10-16,341.65,361.401281612911,295,target,5826.628075808758,5.781144918165104,8
KEI,2025-10-08,2025-10-16,4254.9,4116.080852967014,23,stop,-3192.8403817586714,-3.262571318550045,8
POLYCAB,2025-10-09,2025-10-17,7631.0,7465.721026246526,13,stop,-2148.6266587951623,-2.16588879247116,8
MANAPPURAM,2025-09-02,2025-10-31,281.0,267.2234218773396,351,stop,-4835.578921053799,-4.90269684080441,59
MOTILALOFS,2025-10-13,2025-10-31,1003.95,943.699528025707,100,stop,-6025.047197429308,-6.001341896936408,18
FORTIS,2025-10-06,2025-11-12,1053.9,975.9411932370173,95,stop,-7406.0866424833675,-7.397173048959371,37
MCX,2025-10-09,2025-11-20,1741.0,1977.3536167499979,58,target,13708.509771499876,13.575739043652945,42
EICHERMOT,2025-11-24,2025-11-28,7258.5,6964.037779791039,13,stop,-3828.008862716497,-4.05679162649254,4
CUMMINSIND,2025-10-24,2025-12-01,4183.2,4541.052586656925,23,target,8230.609493109281,8.554517753321033,38
360ONE,2025-11-27,2025-12-05,1166.6,1120.539181375764,86,stop,-3961.2304016842904,-3.948295784693634,8
HEROMOTOCO,2025-11-19,2025-12-18,5876.5,5595.515888104013,17,stop,-4776.729902231773,-4.781487482276637,29
NMDC,2025-09-05,2025-12-23,72.33,77.82726428770054,1387,target,7624.705567040657,7.600254787364236,109
MANAPPURAM,2025-12-22,2025-12-24,294.1,312.48420370702263,341,target,6269.013464094709,6.251004320646936,2
SBIN,2025-12-19,2025-12-26,980.3,966.945312137225,101,stop,-1348.8234741402744,-1.3623062187876123,7
EICHERMOT,2025-12-24,2025-12-30,7312.5,7187.741343991772,13,stop,-1621.8625281069662,-1.706101278744998,6
BAJAJ-AUTO,2025-12-31,2026-01-08,9343.0,9827.484580594137,10,target,4844.845805941368,5.185535487468007,8
INDIANB,2026-01-07,2026-01-08,846.55,810.85727504386,121,stop,-4318.819719692934,-4.216257156238845,1
360ONE,2025-12-24,2026-01-09,1196.0,1150.8181081449466,84,stop,-3795.2789158244886,-3.7777501551047976,16
BANKINDIA,2026-01-02,2026-01-12,144.5,138.57711770205856,711,stop,-4211.169313836365,-4.098880483004463,10
UNOMINDA,2025-08-18,2026-01-21,1220.3,1109.5895787138836,81,stop,-8967.544124175423,-9.072393779080256,156
TVSMOTOR,2025-12-02,2026-01-21,3670.7,3528.992895470925,27,stop,-3826.091822285024,-3.8604926724895794,50
NMDC,2025-12-23,2026-01-21,79.12,74.88952983587848,1270,stop,-5372.6971084343395,-5.3469036452496566,29
CANBK,2026-01-16,2026-01-21,152.11,147.43776073809929,655,stop,-3060.3167165449768,-3.071618737690307,5
M&M,2025-09-05,2026-01-27,3561.3,3347.522495618852,28,stop,-5985.770122672144,-6.002794046588267,144
APLAPOLLO,2026-01-23,2026-01-29,2000.1,2150.2083735759675,48,target,7205.201931646443,7.505043426627056,6
JINDALSTEL,2026-01-27,2026-01-29,1080.7,1143.1476091747652,89,target,5557.837216554099,5.778440749029801,2
MUTHOOTFIN,2026-01-29,2026-01-30,4091.7,3911.1826058168517,23,stop,-4151.900066212406,-4.41179446643567,1
BANKBARODA,2026-01-01,2026-02-01,291.35,282.19100811260046,349,stop,-3196.4881687024485,-3.1436388836106333,31
INDIANB,2026-01-22,2026-02-01,878.05,828.9618110612395,110,stop,-5399.700783263653,-5.590591531092814,10
SBIN,2026-02-04,2026-02-09,1068.2,1117.4062260284802,90,target,4428.560342563214,4.606461901187053,5
INDIANB,2026-02-10,2026-02-11,887.15,858.891250540662,109,stop,-3080.203691067841,-3.1853406367962522,1
NAM-INDIA,2026-02-11,2026-02-13,950.25,901.5170776997408,102,stop,-4970.758074626443,-5.128431707472691,2
BSE,2026-02-10,2026-02-16,3174.2,2871.4613975581674,30,stop,-9082.158073254974,-9.537477236526758,6
AUBANK,2026-02-20,2026-02-23,1029.65,1003.3564461484699,93,stop,-2445.300508192308,-2.553639960329257,3
BHARATFORG,2026-02-04,2026-02-24,1591.0,1847.8938474231763,60,target,15413.63084539058,16.14669059856546,20
CANBK,2026-02-24,2026-03-02,152.02,145.8408165668099,641,stop,-3960.856580674857,-4.064717427437248,6
