symbol,pct_above_ema50_24m,pct_above_ema50_36m,crossunders_24m,new_12m_highs_24m
360ONE,100.0,100.0,0,1
MCX,100.0,100.0,0,9
M&M,100.0,100.0,0,6
MANAPPURAM,100.0,100.0,0,8
MARICO,100.0,100.0,0,10
MARUTI,100.0,100.0,0,5
MAXHEALTH,100.0,100.0,0,4
MAZDOCK,100.0,100.0,0,3
MFSL,100.0,100.0,0,7
NTPC,100.0,100.0,0,3
MOTILALOFS,100.0,100.0,0,4
MUTHOOTFIN,100.0,100.0,0,11
NAM-INDIA,100.0,100.0,0,14
NATIONALUM,100.0,100.0,0,9
NESTLEIND,100.0,100.0,0,6
NHPC,100.0,100.0,0,0
LUPIN,100.0,100.0,0,6
LTF,100.0,100.0,0,7
LT,100.0,100.0,0,4
LAURUSLABS,100.0,100.0,0,12
KEI,100.0,100.0,0,5
JSWSTEEL,100.0,100.0,0,7
JSWENERGY,100.0,100.0,0,2
JINDALSTEL,100.0,100.0,0,4
ABB,100.0,100.0,0,4
INDUSTOWER,100.0,88.9,0,2
INDIGO,100.0,100.0,0,4
INDIANB,100.0,100.0,0,8
INDHOTEL,100.0,100.0,0,3
ICICIBANK,100.0,100.0,0,9
HINDZINC,100.0,97.2,0,4
HINDPETRO,100.0,94.4,0,4
HINDALCO,100.0,100.0,0,7
NMDC,100.0,100.0,0,4
OBEROIRLTY,100.0,100.0,0,6
HDFCAMC,100.0,100.0,0,3
TORNTPHARM,100.0,100.0,0,7
SUNPHARMA,100.0,100.0,0,3
TATACONSUM,100.0,100.0,0,2
TATAPOWER,100.0,100.0,0,2
TATASTEEL,100.0,100.0,0,4
TECHM,100.0,100.0,0,2
TITAN,100.0,100.0,0,9
TVSMOTOR,100.0,100.0,0,10
OFSS,100.0,100.0,0,8
ULTRACEMCO,100.0,100.0,0,4
UNIONBANK,100.0,100.0,0,7
UNITDSPR,100.0,100.0,0,4
UNOMINDA,100.0,100.0,0,3
VEDL,100.0,91.7,0,7
VOLTAS,100.0,94.4,0,2
SRF,100.0,100.0,0,4
SHRIRAMFIN,100.0,100.0,0,7
SBIN,100.0,100.0,0,6
SBILIFE,100.0,100.0,0,4
SAIL,100.0,100.0,0,7
RELIANCE,100.0,100.0,0,2
RADICO,100.0,100.0,0,16
POWERGRID,100.0,100.0,0,2
POLYCAB,100.0,100.0,0,6
PNBHOUSING,100.0,100.0,0,6
PNB,100.0,100.0,0,5
PHOENIXLTD,100.0,100.0,0,4
PGEL,100.0,100.0,0,3
PFC,100.0,100.0,0,1
PERSISTENT,100.0,100.0,0,3
ONGC,100.0,100.0,0,4
OIL,100.0,100.0,0,1
HEROMOTOCO,100.0,100.0,0,4
IOC,100.0,100.0,0,4
ZYDUSLIFE,100.0,100.0,0,4
FEDERALBNK,100.0,100.0,0,10
ETERNAL,100.0,100.0,0,5
CDSL,100.0,100.0,0,5
BAJFINANCE,100.0,100.0,0,9
BANKBARODA,100.0,100.0,0,7
BANKINDIA,100.0,100.0,0,5
BDL,100.0,100.0,0,1
BEL,100.0,100.0,0,4
DIVISLAB,100.0,100.0,0,7
BHARTIARTL,100.0,100.0,0,7
BHEL,100.0,100.0,0,4
CUMMINSIND,100.0,100.0,0,7
BLUESTARCO,100.0,100.0,0,2
BPCL,100.0,94.4,0,6
BRITANNIA,100.0,100.0,0,3
COCHINSHIP,100.0,100.0,0,0
COALINDIA,100.0,100.0,0,4
BSE,100.0,100.0,0,11
CANBK,100.0,100.0,0,6
CHOLAFIN,100.0,100.0,0,7
BAJAJ-AUTO,100.0,100.0,0,10
EICHERMOT,100.0,100.0,0,12
AXISBANK,100.0,100.0,0,4
APOLLOHOSP,100.0,100.0,0,9
HAL,100.0,100.0,0,1
GVT&D,100.0,100.0,0,13
GRASIM,100.0,100.0,0,5
ADANIPORTS,100.0,100.0,0,6
ADANIPOWER,100.0,100.0,0,4
ALKEM,100.0,100.0,0,2
GODFRYPHLP,100.0,100.0,0,6
AMBER,100.0,100.0,0,6
AUROPHARMA,100.0,100.0,0,6
APLAPOLLO,100.0,100.0,0,5
ANGELONE,100.0,100.0,0,2
CGPOWER,100.0,100.0,0,5
GMRAIRPORT,100.0,100.0,0,3
GLENMARK,100.0,100.0,0,4
ASHOKLEY,100.0,100.0,0,6
FORTIS,100.0,100.0,0,9
SUZLON,95.8,97.2,1,1
BAJAJFINSV,95.8,97.2,1,6
NBCC,95.8,97.2,1,0
ABCAPITAL,95.8,97.2,1,8
VBL,95.8,97.2,1,1
PIDILITIND,95.8,97.2,1,4
RECLTD,95.8,97.2,1,0
BHARATFORG,95.8,97.2,1,6
PRESTIGE,95.8,97.2,1,1
BIOCON,95.8,77.8,1,6
TRENT,95.8,97.2,1,1
PETRONET,95.8,91.7,1,1
BAJAJHLDNG,95.8,97.2,1,5
CAMS,95.8,97.2,1,3
CIPLA,95.8,97.2,1,0
GAIL,95.8,97.2,1,1
MOTHERSON,95.8,97.2,1,8
DRREDDY,95.8,97.2,1,3
KOTAKBANK,95.8,88.9,1,4
DIXON,95.8,97.2,1,4
KALYANKJIL,91.7,94.4,2,3
ICICIGI,91.7,94.4,1,1
LODHA,87.5,91.7,1,1
COFORGE,87.5,91.7,1,4
AUBANK,83.3,83.3,2,8
DLF,83.3,88.9,1,0
IRFC,79.2,86.1,2,0
RVNL,79.2,86.1,2,0
NAUKRI,79.2,86.1,1,3
ADANIENT,79.2,86.1,3,3
HCLTECH,79.2,86.1,1,3
LICHSGFIN,79.2,86.1,4,0
MPHASIS,75.0,83.3,2,0
DALBHARAT,75.0,83.3,3,5
PATANJALI,75.0,83.3,1,0
DMART,75.0,83.3,2,1
AMBUJACEM,75.0,83.3,1,0
HDFCLIFE,75.0,77.8,1,3
IDFCFIRSTB,75.0,83.3,2,3
HDFCBANK,75.0,80.6,1,8
GODREJCP,70.8,80.6,2,0
ICICIPRULI,70.8,80.6,2,2
UPL,70.8,47.2,3,10
TIINDIA,70.8,80.6,3,3
WIPRO,70.8,77.8,1,5
HAVELLS,70.8,80.6,2,1
INOXWIND,66.7,77.8,1,1
GODREJPROP,66.7,77.8,2,0
SUPREMEIND,66.7,77.8,3,0
KPITTECH,66.7,77.8,1,0
SIEMENS,66.7,77.8,4,3
ITC,66.7,77.8,1,1
RBLBANK,62.5,69.4,0,9
JUBLFOOD,62.5,66.7,1,2
COLPAL,58.3,72.2,3,1
