symbol,date,score,grade,entry_level,stop,target,rrr
TIINDIA,2025-09-01,65.0,B,3161.7582109769974,2944.1,3597.0746329309923,2.0
TATACONSUM,2025-09-01,0.0,F,1079.1192769764737,1054.886,1109.7,1.2619309824756664
HEROMOTOCO,2025-09-01,50.0,B,5272.339057596204,5099.281,5618.455172788612,2.0
TMPV,2025-09-08,50.0,B,498.19466809814037,476.89430000000004,540.795404294421,2.0
BHARATFORG,2025-09-08,70.0,A,1218.2012109439902,1138.3188,1377.9660328319706,2.0
BHARTIARTL,2025-09-16,65.0,B,1944.8272565763803,1898.695,2045.8,2.1887666226871216
FORTIS,2025-09-29,85.0,A+,976.9662503904623,932.0322,1066.834351171387,2.0000000000000027
AXISBANK,2025-10-01,65.0,B,1166.7357326786582,1128.738,1242.7311980359746,2.0
DELHIVERY,2025-10-06,0.0,F,465.9923694776707,439.12,489.1,0.8599029773511542
NATIONALUM,2025-10-08,70.0,A,226.87057800329515,217.6139,245.38393400988545,2.0
GODREJPROP,2025-10-10,0.0,F,2108.9149721931344,2031.9279999999999,2154.4,0.5908146081230338
IDFCFIRSTB,2025-10-20,85.0,A+,77.26401551607128,72.46478,86.86248654821384,2.0
PHOENIXLTD,2025-10-23,65.0,B,1710.98393570792,1648.696,1835.55980712376,2.0
IOC,2025-10-27,0.0,F,151.0278741138367,146.34671999999998,152.53,0.32088793695624335
POLYCAB,2025-10-27,0.0,F,7719.031145459493,7468.533,7794.5,0.30127510286382875
INDHOTEL,2025-10-27,55.0,B,749.2273645206972,733.3803,792.55,2.733795613864073
RELIANCE,2025-10-27,60.0,B,1487.2258192191243,1455.084,1551.5094576573729,2.0
HINDPETRO,2025-10-27,0.0,F,455.71276248999555,437.124,465.2,0.510374884563212
BPCL,2025-10-27,0.0,F,327.8737802663072,314.8191,334.3,0.4922540883883762
BEL,2025-10-31,85.0,A+,428.07722334773155,407.33369999999996,469.5642700431947,2.0
NYKAA,2025-11-10,0.0,F,265.97039634017324,249.1008,268.25,0.13513089547958626
INDIGO,2025-11-11,0.0,F,5811.260424277834,5585.806,5950.0,0.615377481132029
CUMMINSIND,2025-11-20,80.0,A,4404.925282835161,4269.444,4675.887848505482,2.0
PGEL,2025-11-26,55.0,B,609.2617955440825,568.1614,691.4625866322475,2.0
INDIGO,2025-11-26,0.0,F,5934.444550197592,5769.438,5950.0,0.09427171093377928
VOLTAS,2025-11-26,0.0,F,1396.339483089166,1348.3978,1463.8,1.4071370165574977
SBIN,2025-12-05,85.0,A+,974.8284745812825,944.8066,1034.8722237438476,2.0
CHOLAFIN,2025-12-05,0.0,F,1738.9514006243812,1667.658,1782.0,0.6038230607405867
GMRAIRPORT,2025-12-12,90.0,A+,105.04475258317774,98.03354,119.06717774953322,2.0
POLYCAB,2025-12-19,0.0,F,7473.127244167142,7072.826,7903.0,1.0738731445295466
NBCC,2025-12-19,0.0,F,114.36937814710987,108.23310000000001,119.64,0.8589281200319366
CUMMINSIND,2025-12-22,65.0,B,4542.419976124406,4396.2898000000005,4834.680328373218,2.0
DMART,2026-01-07,70.0,A,3857.58966520017,3654.676,4949.5,5.381157221336878
ASHOKLEY,2026-01-22,60.0,B,191.96884409032066,184.16094,207.58465227096195,2.0
COLPAL,2026-01-22,0.0,F,2188.419519796668,2115.76,2193.8,0.07405058853112761
GAIL,2026-01-28,0.0,F,163.93252372749632,155.91754,170.75,0.8505914053344306
BHARATFORG,2026-01-28,0.0,F,1472.7827986595548,1411.5712,1506.5,0.5508302687530304
NHPC,2026-01-28,0.0,F,79.30064938069525,75.12944,84.68,1.2896381189112458
INDIANB,2026-01-28,50.0,B,884.3105584828235,853.0903999999999,946.7508754484705,2.0
IRFC,2026-01-28,65.0,B,121.27738955926543,114.94964,137.17,2.51157386870088
MAZDOCK,2026-01-28,0.0,F,2522.0730599974854,2345.3,2635.9,0.6439156509715562
LICI,2026-02-03,0.0,F,412.72067227538804,400.8966,421.9,0.7763254072557396
BAJAJHLDNG,2026-02-23,50.0,B,11660.192954567485,11127.7,12725.178863702453,2.0
DIXON,2026-04-27,0.0,F,11388.84504016706,10833.29,11847.0,0.8246796927540612
BLUESTARCO,2026-04-27,0.0,F,1927.3655528573577,1836.32,1984.0,0.6220451781030125
CUMMINSIND,2026-05-14,65.0,B,5396.892626193971,5218.542,5753.5938785819135,2.0
SAIL,2026-05-19,60.0,B,201.025369926428,190.8675,221.34110977928398,2.0
ANGELONE,2026-06-12,0.0,F,341.59655132325406,324.3999,351.0,0.5468185927588232
MFSL,2026-06-15,65.0,B,1650.2630163940921,1591.7102,1748.0,1.669210631100733
SBICARD,2026-06-25,70.0,A,640.4350803700918,608.8798,700.4,1.9003133208330885
NYKAA,2026-06-30,60.0,B,313.73007709386025,300.897,339.39623128158075,2.0
ANGELONE,2026-07-09,0.0,F,344.13619744980025,330.68730000000005,360.45,1.213021558911664
SBICARD,2026-07-10,0.0,F,616.0988242658872,588.4208,638.8,0.8201877242405518
HYUNDAI,2026-07-10,0.0,F,2001.195722617806,1927.2377999999999,2059.0,0.7815833021826516
BIOCON,2026-07-10,0.0,F,420.98987720224306,403.192,432.15,0.6270479715609234
CAMS,2026-07-27,0.0,F,792.1034214085001,760.476,836.0,1.3879278371932744
LTF,2026-08-18,0.0,F,326.5330260646174,306.9349,338.6,0.6157208038970859
