symbol,entry_date,signal_date,ret_pct,win,fall_5d_pct
ICICIGI,2025-08-20,2025-08-19,-2.608817705030353,False,2.350528474522795
RADICO,2025-08-18,2025-08-14,-3.770721822183043,False,-0.4617553753965442
LT,2025-09-04,2025-09-03,-1.9327058433851296,False,0.9488041114844803
HINDUNILVR,2025-09-10,2025-09-09,-1.715126197437267,False,-1.983563690698542
CUMMINSIND,2025-09-04,2025-09-03,6.254624551442145,True,-0.2632607845692636
RADICO,2025-09-25,2025-09-24,-2.445365631291652,False,-1.770234813510918
UNOMINDA,2025-10-01,2025-09-30,-3.698770581796951,False,-2.414395262318725
POLYCAB,2025-10-06,2025-10-03,3.6021141301016524,True,-0.7627404657441827
TVSMOTOR,2025-10-10,2025-10-09,-1.739060217770294,False,0.7287870900572591
RBLBANK,2025-10-01,2025-09-30,7.39917716602303,True,3.290574456218631
ALKEM,2025-10-07,2025-10-06,-3.210313374875817,False,0.1656543346217454
ZYDUSLIFE,2025-10-27,2025-10-24,-2.4154802427112543,False,2.4781637213081353
AMBER,2025-10-10,2025-10-09,-4.378178144392441,False,-0.030334283807553764
BHARATFORG,2025-11-10,2025-11-07,3.752282729844469,True,0.18979653811115327
MANAPPURAM,2025-11-20,2025-11-19,-2.664786875154146,False,2.298850574712641
NESTLEIND,2025-11-12,2025-11-11,-1.5551852057392068,False,-0.29999210547090316
PNB,2025-11-12,2025-11-11,-2.483725850630991,False,-0.9580938098808667
CHOLAFIN,2025-12-30,2025-12-29,3.188067024747676,True,3.0277288999454033
MARICO,2025-12-15,2025-12-12,4.8930921052631415,True,-1.6222086472544528
NMDC,2026-01-14,2026-01-13,-2.1296933618621283,False,-2.518427518427535
PETRONET,2026-01-14,2026-01-13,-2.700689198734896,False,-3.047748052827637
UNIONBANK,2026-02-09,2026-02-06,4.704749530179941,True,5.051364658683366
MARICO,2026-02-09,2026-02-06,2.902374670184704,True,3.8368139873725005
RBLBANK,2026-02-12,2026-02-11,5.747799383406194,True,0.29431000654021044
SBILIFE,2026-02-13,2026-02-12,3.462481608631673,True,0.42125086728119765
OIL,2026-02-24,2026-02-23,-2.372029567847822,False,2.53341957740405
COALINDIA,2026-02-24,2026-02-23,-2.434185867222272,False,0.24852071005916354
BLUESTARCO,2026-02-25,2026-02-24,-2.2213840170392296,False,-2.0275669196963664
MCX,2026-02-27,2026-02-26,-4.267386011522911,False,3.7269185160088147
TORNTPHARM,2026-04-17,2026-04-16,-1.969468624947324,False,3.2289288196168053
POLYCAB,2026-05-04,2026-04-30,6.526744512804861,True,2.3230991398254464
AUROPHARMA,2026-04-06,2026-04-02,11.74975816785908,True,4.720661672908855
GRASIM,2026-05-04,2026-04-30,6.083968272590123,True,2.493601462522843
PIDILITIND,2026-05-19,2026-05-18,4.422735947159273,True,2.1221820205955977
ADANIPORTS,2026-06-10,2026-06-09,-2.62601837214601,False,-0.5235602094240788
MOTHERSON,2026-06-19,2026-06-18,-2.470238972918437,False,3.097911041637058
CUMMINSIND,2026-06-23,2026-06-22,-3.190306574234403,False,1.929092805005217
TORNTPHARM,2026-06-23,2026-06-22,4.905954368391763,True,-1.6474245115452923
CGPOWER,2026-06-15,2026-06-12,4.977952487890169,True,-3.891880364663858
SHRIRAMFIN,2026-07-21,2026-07-20,-2.57204195484384,False,-1.2594218108958888
NYKAA,2026-07-27,2026-07-24,4.658061343543252,True,0.5417118093174356
HAL,2026-07-31,2026-07-30,3.356776881321122,True,-0.010887316276542158
BHEL,2026-08-05,2026-08-04,-2.093006945816433,False,1.3308687615526837
BHARTIARTL,2026-08-05,2026-08-04,-4.350099009900998,False,3.612367231044278
