symbol,entry_date,ret_pct,win,rej13_count,rej21_count,rej_either_count
MOTILALOFS,2021-07-29,-6.353318168741106,False,0,0,0
MPHASIS,2021-09-14,11.505471512135124,True,0,0,0
TCS,2021-09-22,-1.6790472599520712,False,2,0,2
JUBLFOOD,2021-09-22,-4.3084302885530334,False,1,0,1
HINDALCO,2021-10-04,6.1819437761433615,True,1,0,1
ONGC,2021-10-25,-3.0474599860821128,False,0,0,0
GMRAIRPORT,2021-11-08,-3.3955042897456766,False,1,1,2
TMPV,2021-11-02,4.630824372759856,True,1,0,1
BSE,2021-11-30,20.60217846894432,True,0,0,0
PGEL,2021-12-21,18.191403597114373,True,0,0,0
TORNTPHARM,2021-12-21,5.011638777848382,True,1,0,1
CHOLAFIN,2022-02-16,-4.941114588689222,False,1,0,1
JINDALSTEL,2022-03-09,9.71937392921236,True,1,1,1
JINDALSTEL,2022-04-29,-2.921858731643168,False,0,3,3
ADANIPOWER,2022-05-27,-12.243504996156796,False,0,0,0
ASHOKLEY,2022-06-07,-3.0825006421941525,False,0,0,0
BDL,2022-06-07,-5.849526184538645,False,1,0,1
VBL,2022-06-28,14.492878481295769,True,1,3,3
VBL,2022-07-29,6.677048674378305,True,0,0,0
PHOENIXLTD,2022-08-12,6.748796151788206,True,3,0,3
DABUR,2022-08-16,-2.6529317108183403,False,1,0,1
UNOMINDA,2022-09-07,-3.8202979652847135,False,1,1,1
BRITANNIA,2022-10-06,-1.8047064955371672,False,0,1,1
PIIND,2022-12-05,-3.276483490547022,False,1,0,1
PNB,2023-01-06,-3.5626585380111653,False,1,1,1
HDFCBANK,2023-02-14,-1.422774774774771,False,3,0,3
CUMMINSIND,2023-03-06,3.429425883342696,True,1,0,1
HAL,2023-04-06,5.981611450931856,True,1,1,1
PFC,2023-04-06,8.052601059393316,True,1,1,1
ITC,2023-05-15,-1.933652026114252,False,1,0,1
PRESTIGE,2023-05-25,-2.806743330054118,False,2,1,2
OFSS,2023-05-23,4.057473097857667,True,4,1,4
ASTRAL,2023-06-26,-2.67619887701166,False,0,0,0
GODREJPROP,2023-07-06,10.102044636054265,True,0,0,0
OBEROIRLTY,2023-08-04,-4.52520534577906,False,2,0,2
GLENMARK,2023-08-17,-3.673893585280963,False,2,0,2
BEL,2023-08-08,4.8843617964803965,True,1,1,1
COFORGE,2023-08-30,8.05149562847296,True,1,1,1
COFORGE,2023-09-14,-2.518042168401591,False,1,0,1
LICHSGFIN,2023-10-10,-2.807814703857625,False,2,0,2
UNIONBANK,2023-11-12,8.286074354127294,True,0,0,0
NBCC,2023-10-27,13.092932089276577,True,0,2,2
MCX,2024-01-04,-2.077771895199587,False,4,1,4
RECLTD,2024-01-01,9.033138119785722,True,2,1,2
OBEROIRLTY,2024-01-20,-2.067072226593148,False,1,1,2
ADANIPOWER,2024-01-23,-2.768382352941179,False,0,0,0
GODFRYPHLP,2024-02-12,10.221516652704013,True,1,0,1
SIEMENS,2024-03-18,-3.3439338353896897,False,1,1,1
ABB,2024-03-15,5.853806456437338,True,0,0,0
ZYDUSLIFE,2024-03-21,-4.301349758312522,False,0,0,0
BAJAJ-AUTO,2024-04-12,-2.077128037255749,False,2,0,2
ABB,2024-04-30,4.201538461538457,True,2,2,3
MOTILALOFS,2024-05-16,-4.153405201916483,False,0,1,1
PHOENIXLTD,2024-06-06,20.93528888320446,True,1,3,3
M&M,2024-07-08,-2.0367885884815085,False,2,0,2
SIEMENS,2024-07-11,-4.39906353408338,False,1,0,1
GVT&D,2024-07-12,-5.731958340504296,False,1,0,1
PETRONET,2024-07-23,-2.9532869165728948,False,1,0,1
ADANIPOWER,2024-06-06,-18.660724509864124,False,2,0,2
PGEL,2024-07-24,23.66309415539296,True,1,2,2
NAUKRI,2024-07-24,8.983385203995198,True,3,0,3
LUPIN,2024-09-26,-2.003707529499821,False,1,1,1
TECHM,2024-10-21,-5.882200802251091,False,1,1,1
TECHM,2024-12-12,-1.513272809919031,False,0,0,0
BSE,2025-01-03,-3.102284219248308,False,1,2,2
BSE,2025-01-23,-4.2610969936310745,False,0,0,0
BIOCON,2025-01-23,-3.6411108440796536,False,0,0,0
BAJAJFINSV,2025-02-03,19.24544327083748,True,3,1,3
ICICIBANK,2025-05-23,-1.5798123062066516,False,1,0,1
360ONE,2025-07-17,-2.301304774546153,False,4,0,4
CUMMINSIND,2025-08-05,4.71965623418118,True,3,3,4
MUTHOOTFIN,2025-06-30,-3.2717537236147565,False,3,0,3
MFSL,2025-08-12,6.6308987810869136,True,0,0,0
POLYCAB,2025-09-12,-2.239055645302379,False,0,0,0
CUMMINSIND,2025-09-04,6.254624551442145,True,2,0,2
UNOMINDA,2025-10-01,-3.698770581796951,False,1,1,2
POLYCAB,2025-10-06,3.6021141301016524,True,0,1,1
NMDC,2025-10-14,-1.7055699233246455,False,3,0,3
PNB,2025-11-12,-2.483725850630991,False,1,0,1
MUTHOOTFIN,2025-12-23,-1.678453898278076,False,1,1,1
BANKBARODA,2025-11-12,6.3324148838408645,True,0,0,0
NMDC,2026-01-14,-2.1296933618621283,False,0,1,1
BANKBARODA,2026-01-14,-2.0663556376002257,False,3,1,3
APLAPOLLO,2026-01-13,7.27605822174533,True,0,0,0
BAJAJ-AUTO,2026-01-30,-1.9840274201322727,False,3,4,4
SBIN,2026-02-09,0.943747180317267,True,1,0,1
UNIONBANK,2026-02-09,4.704749530179941,True,2,1,3
MCX,2026-02-27,-4.267386011522911,False,2,2,2
LUPIN,2026-03-25,-3.317759439666723,False,1,3,3
POLYCAB,2026-05-04,6.526744512804861,True,0,0,0
AUROPHARMA,2026-04-06,11.74975816785908,True,1,0,1
CGPOWER,2026-06-15,4.977952487890169,True,3,0,3
ADANIGREEN,2026-06-15,5.918966822140881,True,1,0,1
APOLLOHOSP,2026-07-28,-1.6574847897326883,False,2,0,2
