symbol,entry_date,signal_date,volume,vol_sma50,above_sma50,ret_pct
EICHERMOT,2025-08-25,2025-08-21,499089,452862.24,True,3.877909421495218
CUMMINSIND,2025-08-29,2025-08-28,678197,583914.86,True,4.93176313309267
POLYCAB,2025-09-12,2025-09-11,178711,301566.06,False,-2.239055645302379
POLYCAB,2025-09-16,2025-09-15,161143,294015.8,False,4.857742187302039
MUTHOOTFIN,2025-09-24,2025-09-23,576185,613610.92,False,-1.9358555658004484
UNOMINDA,2025-10-01,2025-09-30,1353697,887938.92,True,-3.698770581796951
BANKBARODA,2025-10-03,2025-10-01,10553753,7833486.9,True,5.156576698112758
CANBK,2025-10-03,2025-10-01,38045288,23895173.86,True,6.173030991887907
MCX,2025-10-31,2025-10-29,2099500,2717496.2,False,-2.5859013675031406
PNB,2025-11-12,2025-11-11,13743470,17028417.66,False,-2.483725850630991
EICHERMOT,2025-12-04,2025-12-03,333674,465929.42,False,2.551849770811998
ASHOKLEY,2025-12-11,2025-12-09,13146291,15941937.62,False,6.803048045613491
BANKBARODA,2025-11-12,2025-11-11,9114319,9895765.42,False,6.3324148838408645
CANBK,2026-01-05,2026-01-02,29236511,30032485.74,False,-2.2451544887915897
APLAPOLLO,2026-01-13,2026-01-12,561236,540052.3,True,7.27605822174533
ASHOKLEY,2026-01-28,2026-01-27,23069013,18165274.7,True,-3.639757444712621
SBIN,2026-01-29,2026-01-28,12171257,8670521.92,True,-2.368091584712473
BAJAJ-AUTO,2026-01-30,2026-01-29,390096,342163.7,True,-1.9840274201322727
SBIN,2026-02-09,2026-02-06,7041557,9144476.78,False,0.943747180317267
NATIONALUM,2026-02-12,2026-02-10,8272261,17002916.28,False,-2.5173144285290494
UNIONBANK,2026-02-09,2026-02-06,9274510,16126803.0,False,4.704749530179941
AUBANK,2026-02-09,2026-02-06,1192286,2211885.26,False,3.487518263590772
SHRIRAMFIN,2026-02-25,2026-02-24,2464507,7576667.42,False,-1.9425729472684397
BHARATFORG,2026-03-06,2026-03-05,3038129,1409975.56,True,-3.503778096967747
ONGC,2026-03-09,2026-03-06,30725344,19207897.66,True,-6.364117647058832
OIL,2026-03-09,2026-03-06,8128934,6063244.7,True,-5.814990059642156
NATIONALUM,2026-03-11,2026-03-10,13040542,17666735.6,False,-3.8763637196222778
LUPIN,2026-03-25,2026-03-24,1275818,873278.34,True,-3.317759439666723
INDIANB,2026-04-08,2026-04-07,1423269,1989340.88,False,7.52800351416647
NAM-INDIA,2026-04-10,2026-04-09,1329134,913501.34,True,7.519825263051061
INDIANB,2026-04-20,2026-04-17,2109087,1958185.78,True,-2.1507820408641964
ABB,2026-04-17,2026-04-16,548523,440526.52,True,6.0164275190486505
ABB,2026-05-04,2026-04-30,327820,488881.26,False,-3.2748848272032727
POLYCAB,2026-05-04,2026-04-30,415486,502061.88,False,6.526744512804861
AUROPHARMA,2026-04-06,2026-04-02,1870240,1856263.68,True,11.74975816785908
BAJAJ-AUTO,2026-05-08,2026-05-07,1498254,397933.2,True,-4.3059040105035695
CUMMINSIND,2026-05-04,2026-04-30,448330,798011.16,False,8.036590691696844
CGPOWER,2026-05-07,2026-05-06,8627698,3225458.68,True,9.446711030011468
NAM-INDIA,2026-06-04,2026-06-02,1153544,1215365.12,False,-3.746346150883928
GVT&D,2026-06-03,2026-06-02,1308469,840134.44,True,12.617294150901648
CGPOWER,2026-06-15,2026-06-12,2901434,3943392.98,False,4.977952487890169
ZYDUSLIFE,2026-06-04,2026-06-03,1403453,1452870.04,False,6.878970653774519
DELHIVERY,2026-07-03,2026-07-02,12862727,3827785.32,True,-3.060392935058021
TORNTPHARM,2026-07-08,2026-07-07,536006,467101.28,True,-1.6480702595589536
ZYDUSLIFE,2026-07-07,2026-07-06,2050194,1758173.6,True,-2.17508456924701
ADANIGREEN,2026-06-15,2026-06-12,1975815,5212030.56,False,5.918966822140881
PNBHOUSING,2026-07-20,2026-07-17,464219,911325.24,False,-3.1403424219855203
SIEMENS,2026-07-31,2026-07-30,214869,435454.6,False,4.9100621730946425
APOLLOHOSP,2026-07-28,2026-07-27,135186,371701.84,False,-1.6574847897326883
TITAN,2026-08-06,2026-08-04,1181747,884747.56,True,3.69440350210124
NAM-INDIA,2026-08-13,2026-08-12,639623,950595.94,False,-1.7605678014008808
