symbol,entry_date,signal_date,volume,vol_ema20,above_ema20,ret_pct
EICHERMOT,2025-08-25,2025-08-21,499089,525991.2061894668,False,3.877909421495218
CUMMINSIND,2025-08-29,2025-08-28,678197,621285.850515733,True,4.93176313309267
POLYCAB,2025-09-12,2025-09-11,178711,208929.59596464247,False,-2.239055645302379
POLYCAB,2025-09-16,2025-09-15,161143,205167.82345404974,False,4.857742187302039
MUTHOOTFIN,2025-09-24,2025-09-23,576185,548689.4961992186,True,-1.9358555658004484
UNOMINDA,2025-10-01,2025-09-30,1353697,834580.5468373075,True,-3.698770581796951
BANKBARODA,2025-10-03,2025-10-01,10553753,10755271.560141496,False,5.156576698112758
CANBK,2025-10-03,2025-10-01,38045288,29591893.905095052,True,6.173030991887907
MCX,2025-10-31,2025-10-29,2099500,3037036.035586922,False,-2.5859013675031406
PNB,2025-11-12,2025-11-11,13743470,18897402.60642867,False,-2.483725850630991
EICHERMOT,2025-12-04,2025-12-03,333674,555983.2086282037,False,2.551849770811998
ASHOKLEY,2025-12-11,2025-12-09,13146291,20196283.99231754,False,6.803048045613491
BANKBARODA,2025-11-12,2025-11-11,9114319,11252125.186782688,False,6.3324148838408645
CANBK,2026-01-05,2026-01-02,29236511,26537687.763517305,True,-2.2451544887915897
APLAPOLLO,2026-01-13,2026-01-12,561236,562099.5791763598,False,7.27605822174533
ASHOKLEY,2026-01-28,2026-01-27,23069013,18605952.787483476,True,-3.639757444712621
SBIN,2026-01-29,2026-01-28,12171257,9470181.032869697,True,-2.368091584712473
BAJAJ-AUTO,2026-01-30,2026-01-29,390096,337556.7876798856,True,-1.9840274201322727
SBIN,2026-02-09,2026-02-06,7041557,10265759.350341763,False,0.943747180317267
NATIONALUM,2026-02-12,2026-02-10,8272261,18931143.428192236,False,-2.5173144285290494
UNIONBANK,2026-02-09,2026-02-06,9274510,17486551.377844296,False,4.704749530179941
AUBANK,2026-02-09,2026-02-06,1192286,2073238.3545448466,False,3.487518263590772
SHRIRAMFIN,2026-02-25,2026-02-24,2464507,4654510.927259676,False,-1.9425729472684397
BHARATFORG,2026-03-06,2026-03-05,3038129,1935159.570568642,True,-3.503778096967747
ONGC,2026-03-09,2026-03-06,30725344,27392376.587304015,True,-6.364117647058832
OIL,2026-03-09,2026-03-06,8128934,8253262.135224372,False,-5.814990059642156
NATIONALUM,2026-03-11,2026-03-10,13040542,15536371.410617223,False,-3.8763637196222778
LUPIN,2026-03-25,2026-03-24,1275818,946258.1403572025,True,-3.317759439666723
INDIANB,2026-04-08,2026-04-07,1423269,1913330.8182628187,False,7.52800351416647
NAM-INDIA,2026-04-10,2026-04-09,1329134,1015934.1818741339,True,7.519825263051061
INDIANB,2026-04-20,2026-04-17,2109087,2115388.257903452,False,-2.1507820408641964
ABB,2026-04-17,2026-04-16,548523,445850.4068910129,True,6.0164275190486505
ABB,2026-05-04,2026-04-30,327820,460095.6299298287,False,-3.2748848272032727
POLYCAB,2026-05-04,2026-04-30,415486,448041.7158757844,False,6.526744512804861
AUROPHARMA,2026-04-06,2026-04-02,1870240,1838353.740508639,True,11.74975816785908
BAJAJ-AUTO,2026-05-08,2026-05-07,1498254,525539.572528105,True,-4.3059040105035695
CUMMINSIND,2026-05-04,2026-04-30,448330,652947.2088518036,False,8.036590691696844
CGPOWER,2026-05-07,2026-05-06,8627698,4002155.426568368,True,9.446711030011468
NAM-INDIA,2026-06-04,2026-06-02,1153544,1148426.3477196721,True,-3.746346150883928
GVT&D,2026-06-03,2026-06-02,1308469,1050596.4996542204,True,12.617294150901648
CGPOWER,2026-06-15,2026-06-12,2901434,4127895.326225808,False,4.977952487890169
ZYDUSLIFE,2026-06-04,2026-06-03,1403453,2431242.900708483,False,6.878970653774519
DELHIVERY,2026-07-03,2026-07-02,12862727,6349621.299780775,True,-3.060392935058021
TORNTPHARM,2026-07-08,2026-07-07,536006,497634.6658039619,True,-1.6480702595589536
ZYDUSLIFE,2026-07-07,2026-07-06,2050194,1539736.7060685488,True,-2.17508456924701
ADANIGREEN,2026-06-15,2026-06-12,1975815,4150410.46162332,False,5.918966822140881
PNBHOUSING,2026-07-20,2026-07-17,464219,886459.821234593,False,-3.1403424219855203
SIEMENS,2026-07-31,2026-07-30,214869,322617.5235428927,False,4.9100621730946425
APOLLOHOSP,2026-07-28,2026-07-27,135186,264125.12764961825,False,-1.6574847897326883
TITAN,2026-08-06,2026-08-04,1181747,843205.3827072952,True,3.69440350210124
NAM-INDIA,2026-08-13,2026-08-12,639623,923310.2480527359,False,-1.7605678014008808
