symbol,entry_date,ret_pct,win,pattern,score,grade,rrr,rvol,holding_days
MOTILALOFS,2021-07-29,-6.353318168741106,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.4680552912927865,1
TATAELXSI,2021-08-09,-2.76704908076616,False,Pin Bar (Stopping Vol),80.0,A,2.3057066811416083,0.5697623894244166,2
ADANIENT,2021-08-06,-2.6556249502734053,False,Pin Bar (Stopping Vol),70.0,A,7.156882988675522,0.5861910258594109,17
RADICO,2021-08-12,-6.286247541672263,False,Morning Star,100.0,A+,2.0,2.1928958326995622,11
INOXWIND,2021-08-13,-10.366836058493211,False,Pin Bar (Stopping Vol),80.0,A,2.000000000000001,0.5428000403207047,10
FORTIS,2021-08-30,-9.843353747661451,False,Bullish Engulfing,85.0,A+,2.0,2.084144914872943,18
MPHASIS,2021-09-14,11.505471512135124,True,Pin Bar (Stopping Vol),80.0,A,2.0,0.8072171036697644,9
TCS,2021-09-22,-1.6790472599520712,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.6083777746223363,5
JUBLFOOD,2021-09-22,-4.3084302885530334,False,Pin Bar (Stopping Vol),85.0,A+,2.0,1.031969593616062,6
HINDALCO,2021-09-30,10.436251786823505,True,Bullish Engulfing,70.0,A,2.0,0.8857681778367085,18
GODREJCP,2021-08-23,-5.960606154251769,False,Bullish Engulfing,85.0,A+,2.0,2.508894827819293,59
ADANIENSOL,2021-10-13,-4.872748377761271,False,Pin Bar (Stopping Vol),85.0,A+,3.286404076947677,0.08715149142206213,8
ONGC,2021-10-25,-3.0474599860821128,False,Pin Bar (Stopping Vol),85.0,A+,2.947235576683424,0.7179483919161113,3
GMRAIRPORT,2021-11-08,-3.3955042897456766,False,Pin Bar (Stopping Vol),80.0,A,2.9988238995735896,0.12134975074614059,7
TMPV,2021-11-02,4.630824372759856,True,Pin Bar (Stopping Vol),80.0,A,1.6379054383704938,0.5089137989115566,15
MPHASIS,2021-11-12,-3.5135621834552544,False,Pin Bar (Stopping Vol),85.0,A+,2.5178334922419228,0.4166746888417088,10
PGEL,2021-10-27,18.745565364094308,True,Morning Star,80.0,A,2.0,0.5298139971200845,29
INDUSTOWER,2021-11-24,-4.4633155434901095,False,Pin Bar (Stopping Vol),90.0,A+,2.6064761085175294,1.332879163103314,1
BSE,2021-11-30,20.60217846894432,True,Pin Bar (Stopping Vol),85.0,A+,2.0,1.108339153409905,2
COFORGE,2021-12-03,-2.8870892015833927,False,Pin Bar (Stopping Vol),90.0,A+,3.032628871659326,1.1640821987452488,3
HAVELLS,2021-12-02,-4.6515039858764045,False,Pin Bar (Stopping Vol),85.0,A+,1.9111631961095965,1.2873632544238476,15
DLF,2021-12-10,-2.6582685989635646,False,Pin Bar (Stopping Vol),70.0,A,3.8877289669655593,0.548812692102106,7
PHOENIXLTD,2021-12-13,-5.007546605527036,False,Pin Bar (Stopping Vol),85.0,A+,2.8220438093054208,0.47376116057414397,7
KEI,2021-12-15,-6.919519864909374,False,Bullish Engulfing,70.0,A,2.0,0.8064163229841886,5
PGEL,2021-12-21,18.191403597114373,True,Pin Bar (Stopping Vol),75.0,A,2.0,0.9596110778334279,7
BLUESTARCO,2021-12-24,-3.94867547558323,False,Morning Star,75.0,A,1.961091473163978,0.5749347430432492,4
TORNTPHARM,2021-12-21,5.011638777848382,True,Pin Bar (Stopping Vol),80.0,A,1.5812204218102743,0.40458067166061573,10
BLUESTARCO,2021-12-29,-5.910098194349667,False,Pin Bar (Stopping Vol),90.0,A+,2.0,1.166603138938485,13
DLF,2022-01-07,5.323411305160652,True,Pin Bar (Stopping Vol),80.0,A,1.802261020071816,1.0566570996954678,5
SIEMENS,2022-01-17,-3.4414927158077813,False,Bullish Engulfing,75.0,A,2.250483619439567,1.3597298368316317,1
TITAN,2022-01-18,-2.496576824004837,False,Pin Bar (Stopping Vol),75.0,A,2.0,0.943595641309512,3
BSE,2022-01-07,-4.083363873449441,False,Bullish Engulfing,75.0,A,5.240938142680055,0.4331963700674885,18
PIDILITIND,2022-01-24,-2.2143818170913487,False,Bullish Engulfing,85.0,A+,2.0,2.757887941893722,1
BANKBARODA,2022-01-27,18.75504757973627,True,Morning Star,95.0,A+,2.0,2.060821080082347,12
ADANIENSOL,2022-01-28,-7.403376063655287,False,Pin Bar (Stopping Vol),85.0,A+,2.0,1.2037707188491267,17
NTPC,2022-01-27,-3.815793555099412,False,Bullish Engulfing,70.0,A,3.1075000255873846,0.7601115331081045,19
NATIONALUM,2022-02-16,-6.904043646936775,False,Pin Bar (Stopping Vol),85.0,A+,2.0000000000000018,1.1560761930724721,2
MARUTI,2022-01-27,-9.41663622984461,False,Bullish Engulfing,85.0,A+,2.0,3.1296844908542587,34
CHOLAFIN,2022-02-16,-4.941114588689222,False,Pin Bar (Stopping Vol),80.0,A,2.0,0.6046835446924068,19
CUMMINSIND,2022-03-02,-2.9386553737964505,False,Pin Bar (Stopping Vol),80.0,A,2.2353842550058567,0.27161173092661006,5
JINDALSTEL,2022-03-09,9.71937392921236,True,Pin Bar (Stopping Vol),75.0,A,2.0,0.8660692478751167,12
POWERGRID,2022-03-28,5.601653161435105,True,Pin Bar (Stopping Vol),80.0,A,2.7569017428500295,0.6716210473574353,4
BANKBARODA,2022-03-23,10.908978951451909,True,Pin Bar (Stopping Vol),80.0,A,2.3904629240861577,0.6532375408633349,14
BEL,2022-04-01,6.318551044491172,True,Pin Bar (Stopping Vol),80.0,A,1.9935042271304122,0.8036808081480733,6
NATIONALUM,2022-02-23,-7.300739555834957,False,Bullish Engulfing,70.0,A,1.9999999999999982,1.421860106546802,61
JINDALSTEL,2022-04-29,-2.921858731643168,False,Pin Bar (Stopping Vol),80.0,A,1.659465480486362,0.9029598253996064,3
BAJAJ-AUTO,2022-04-26,-3.771528605031605,False,Bullish Engulfing,70.0,A,2.0,1.3653006447821636,8
VBL,2022-05-11,-4.219801855793859,False,Morning Star,75.0,A,2.0,0.8067316363502856,1
ADANIPOWER,2022-05-27,-12.243504996156796,False,Pin Bar (Stopping Vol),85.0,A+,2.0000000000000013,1.140943819151246,7
NHPC,2022-06-08,-4.3645579318798085,False,Morning Star,80.0,A,2.295372112868451,0.6519408386848822,2
