date,symbol,pattern,grade,score,entry,stop,target,rrr,outcome,ret_pct
2026-06-03,GVT&D,Pin Bar (Stopping Vol),A+,85,4879.68,4344.2,5950.63,2.0,STOP,-10.973670404616708
2026-06-03,VBL,Bullish Engulfing,A,80,539.48,500.32,617.8,2.0,STOP,-7.2588418477052
2026-06-03,ADANIPORTS,Bullish Engulfing,A,75,1829.4,1699.86,2067.28,2.0,STOP,-7.081010167267965
2026-06-04,NAM-INDIA,Pin Bar (Stopping Vol),A+,85,1100.71,1024.47,1253.21,2.0,TARGET,13.854693788554663
2026-06-04,ZYDUSLIFE,Pin Bar (Stopping Vol),A,75,1084.09,1019.01,1214.25,2.0,STILL_OPEN,3.755223274820363
2026-06-04,GRASIM,Pin Bar (Stopping Vol),A,75,3121.67,2992.33,3380.35,2.0,TARGET,8.286590190506992
2026-06-05,GAIL,Bullish Engulfing,A,75,168.61,156.93,191.98,2.0,STILL_OPEN,3.2856888678014284
2026-06-09,ADANIGREEN,None,A,75,1535.78,1372.32,1862.7,2.0,STOP,-10.643451536027293
2026-06-10,FORTIS,None,A,70,1007.25,926.68,1168.38,2.0,STOP,-7.999007197815844
2026-06-10,ADANIPORTS,Pin Bar (Stopping Vol),A,80,1837.06,1747.83,2015.5,2.0,STOP,-4.857217510587574
2026-06-12,MOTHERSON,Pin Bar (Stopping Vol),A,80,142.52,134.32,157.04,2.0,TARGET,10.188043783328649
2026-06-15,CGPOWER,Pin Bar (Stopping Vol),A,80,928.0,868.82,1027.97,2.0,STOP,-6.377155172413785
2026-06-15,ADANIGREEN,Pin Bar (Stopping Vol),A,80,1502.0,1400.26,1694.96,2.0,STOP,-6.773635153129165
2026-06-15,RBLBANK,Pin Bar (Stopping Vol),A,80,370.0,342.12,424.55,2.0,STILL_OPEN,3.7837837837837895
2026-06-15,ADANIPORTS,Pin Bar (Stopping Vol),A,75,1839.0,1733.92,1999.34,2.0,STOP,-5.713974986405656
2026-06-17,SUZLON,None,A,75,59.45,51.84,74.66,2.0,STOP,-12.800672834314552
2026-06-18,LUPIN,Pin Bar (Stopping Vol),A,75,2291.07,2211.38,2494.0,2.55,TARGET,8.857433426302986
2026-06-18,ADANIPORTS,Pin Bar (Stopping Vol),A+,85,1837.17,1764.58,1982.35,2.0,STOP,-3.9511857911897152
2026-06-22,LAURUSLABS,Bullish Engulfing,A,80,1428.38,1326.0,1633.13,2.0,TARGET,14.33442081238885
2026-06-22,KEI,Pin Bar (Stopping Vol),A,70,5666.88,5296.72,6407.19,2.0,STOP,-6.531989383929071
2026-06-22,PNBHOUSING,Pin Bar (Stopping Vol),A,70,1013.17,964.6,1105.0,1.89,TARGET,9.06363196699469
2026-06-22,ABCAPITAL,Bullish Engulfing,A,80,378.34,357.71,419.59,2.0,TARGET,10.902891579003015
2026-06-25,ABCAPITAL,Bullish Engulfing,A,75,397.66,370.22,452.56,2.0,STILL_OPEN,2.348740129759075
2026-06-25,AUBANK,Bullish Engulfing,A,80,1079.15,992.19,1243.26,2.0,STOP,-8.058193948941295
2026-06-25,NBCC,Pin Bar (Stopping Vol),A,80,109.98,103.47,122.98,2.0,STOP,-5.91925804691763
2026-06-25,TVSMOTOR,Pin Bar (Stopping Vol),A,75,3478.31,3292.64,3850.5,2.0,TARGET,10.700311358102077
2026-06-30,CGPOWER,Pin Bar (Stopping Vol),A+,100,968.03,909.51,1085.06,2.0,STOP,-6.045267192132475
2026-06-30,AUBANK,Pin Bar (Stopping Vol),A+,95,1041.97,985.87,1154.18,2.0,STOP,-5.3840321698321425
2026-06-30,GMRAIRPORT,Bullish Engulfing,A,75,111.89,105.46,124.74,2.0,STOP,-5.7467155241755385
2026-07-01,NAM-INDIA,Bullish Engulfing,A+,85,1176.07,1091.79,1344.64,2.0,STOP,-7.166240104755673
2026-07-01,ADANIGREEN,Pin Bar (Stopping Vol),A+,100,1523.22,1419.09,1731.48,2.0,STOP,-6.836175995588301
2026-07-01,INDHOTEL,None,A,70,720.33,685.25,790.5,2.0,STILL_OPEN,1.5506781613982445
2026-07-02,ADANIENT,None,A,70,3158.75,2923.34,3629.56,2.0,STILL_OPEN,-2.043529877324901
2026-07-02,ADANIGREEN,Bullish Engulfing,A,70,1550.95,1432.94,1786.95,2.0,STOP,-7.608884877010869
2026-07-02,SRF,Bullish Engulfing,A,70,2788.6,2593.72,3178.35,2.0,STOP,-6.988452987162019
2026-07-03,DELHIVERY,Pin Bar (Stopping Vol),A,80,514.96,484.61,575.67,2.0,STOP,-5.893661643622805
2026-07-03,SRF,Bullish Engulfing,A,80,2828.0,2660.21,3136.51,2.0,STOP,-5.933168316831683
2026-07-03,GAIL,Pin Bar (Stopping Vol),A,75,175.38,169.12,187.89,2.0,STOP,-3.5693921769871073
2026-07-06,ADANIENT,Pin Bar (Stopping Vol),A,70,3233.13,3014.19,3671.0,2.0,STOP,-6.771766059515083
2026-07-07,ZYDUSLIFE,Pin Bar (Stopping Vol),A,80,1154.45,1106.13,1251.08,2.0,STOP,-4.185542899216066
2026-07-07,PAYTM,Pin Bar (Stopping Vol),A,70,1235.58,1163.47,1379.82,2.0,TARGET,11.673869761569478
2026-07-08,TORNTPHARM,Pin Bar (Stopping Vol),A,75,4889.44,4713.06,5242.22,2.0,STOP,-3.607366078732932
2026-07-10,LAURUSLABS,Bullish Engulfing,A,75,1529.1,1415.01,1757.27,2.0,TARGET,14.92184945392716
2026-07-10,LICI,Bullish Engulfing,A,75,441.89,417.53,490.61,2.0,STOP,-5.512684152164571
2026-07-10,OBEROIRLTY,None,A,70,1925.11,1764.56,2246.22,2.0,STOP,-8.339783181220817
2026-07-15,APOLLOHOSP,Bullish Engulfing,A,80,8948.5,8590.02,9623.16,2.0,STOP,-4.006034530926961
2026-07-16,BAJFINANCE,Bullish Engulfing,A,75,1039.82,981.37,1156.72,2.0,TARGET,11.24233040333904
2026-07-20,PNBHOUSING,Pin Bar (Stopping Vol),A,80,1105.26,1041.06,1233.66,2.0,STOP,-5.808588024537221
2026-07-20,OBEROIRLTY,Bullish Engulfing,A,75,1904.47,1801.36,2110.69,2.0,STOP,-5.414104711547052
2026-07-20,IDFCFIRSTB,Bullish Engulfing,A,75,80.97,77.07,88.77,2.0,STILL_OPEN,5.162405829319505
2026-07-21,TORNTPHARM,Bullish Engulfing,A,80,5044.32,4591.9,5949.17,2.0,STILL_OPEN,-2.702445522885144
2026-07-21,BAJFINANCE,Pin Bar (Stopping Vol),A,70,1070.2,1013.2,1184.19,2.0,STOP,-5.326107269669222
2026-07-21,PRESTIGE,Bullish Engulfing,A+,85,1703.32,1579.08,1951.8,2.0,STOP,-7.293990559612995
2026-07-21,SHRIRAMFIN,Pin Bar (Stopping Vol),A,75,1042.78,990.15,1148.05,2.0,TARGET,10.095130324708945
2026-07-21,UNIONBANK,Bullish Engulfing,A+,90,177.82,162.45,208.56,2.0,STILL_OPEN,5.162523900573612
2026-07-22,HAL,Bullish Engulfing,A+,85,4603.59,4365.48,5079.82,2.0,TARGET,10.344752682145874
2026-07-27,NYKAA,Pin Bar (Stopping Vol),A,80,325.0,309.32,354.34,2.0,STILL_OPEN,2.2615384615384704
2026-07-27,IDFCFIRSTB,Bullish Engulfing,A,75,86.3,77.13,89.54,2.0,STILL_OPEN,-1.332560834298946
2026-07-28,SUNPHARMA,None,A,70,1980.17,1901.26,2137.99,2.0,STOP,-3.9850113879111415
2026-07-28,APOLLOHOSP,Pin Bar (Stopping Vol),A,70,8873.59,8613.1,9394.58,2.0,STOP,-2.935564974266336
2026-07-29,NESTLEIND,None,A,70,1510.67,1413.84,1704.31,2.0,STILL_OPEN,-2.9238682174134722
2026-07-29,TVSMOTOR,Bullish Engulfing,A,75,4013.0,3750.54,4533.57,2.0,STILL_OPEN,9.892848243209574
2026-07-30,MARICO,Bullish Engulfing,A,70,888.05,839.77,984.59,2.0,STOP,-5.436630820336685
2026-07-30,OIL,Pin Bar (Stopping Vol),A,70,451.03,428.45,531.0,3.54,STILL_OPEN,3.6294703234818204
2026-07-31,NYKAA,Bullish Engulfing,A,70,336.2,319.34,366.13,2.0,STILL_OPEN,-1.1451516954193885
2026-07-31,HAL,Pin Bar (Stopping Vol),A,75,4606.44,4448.82,4921.66,2.0,TARGET,6.8430284558140375
2026-07-31,M&M,Bullish Engulfing,A+,90,3379.9,3117.9,3769.09,2.0,STILL_OPEN,1.7781591171336375
2026-08-03,TORNTPHARM,None,A,70,5250.0,4754.01,5956.2,2.0,STILL_OPEN,-6.514285714285717
2026-08-03,EICHERMOT,Pin Bar (Stopping Vol),A,80,7946.45,7565.49,8708.38,2.0,STILL_OPEN,1.3030976096244151
2026-08-03,ABCAPITAL,None,A,75,414.08,385.26,471.74,2.0,STILL_OPEN,-1.7098145285935007
2026-08-03,COFORGE,Bullish Engulfing,A,75,1770.34,1641.31,2028.39,2.0,STILL_OPEN,6.708315916716567
2026-08-03,HEROMOTOCO,Pin Bar (Stopping Vol),A,70,5425.0,5181.22,5856.54,2.0,TARGET,7.954654377880188
2026-08-03,BHARTIARTL,Pin Bar (Stopping Vol),A,70,1987.4,1914.83,2109.32,2.0,STOP,-3.6515044782127526
2026-08-04,SIEMENS,None,A,70,3919.6,3586.65,4573.96,2.0,STILL_OPEN,3.837126237371158
2026-08-05,PIDILITIND,None,A,70,1662.47,1567.29,1852.83,2.0,STILL_OPEN,-1.0508460303043088
2026-08-05,BHEL,Pin Bar (Stopping Vol),A,80,414.1,393.7,446.5,1.59,STILL_OPEN,0.4950495049504733
2026-08-05,MANAPPURAM,None,A,70,367.82,340.85,421.76,2.0,STOP,-7.33239084334728
2026-08-05,BHARTIARTL,Pin Bar (Stopping Vol),A,75,2020.0,1901.83,2146.6,2.0,STOP,-5.85
2026-08-06,PNBHOUSING,Bullish Engulfing,A+,90,1157.6,1034.24,1404.31,2.0,STILL_OPEN,1.8745680718728508
2026-08-06,PIDILITIND,None,A,70,1668.59,1578.02,1849.73,2.0,STILL_OPEN,-1.413768511138147
2026-08-06,TITAN,Pin Bar (Stopping Vol),A,70,4943.59,4776.06,5278.67,2.0,STILL_OPEN,3.4066336407347686
2026-08-06,NATIONALUM,Pin Bar (Stopping Vol),A,70,385.01,364.02,427.0,2.0,STILL_OPEN,2.841484636762681
2026-08-10,AUROPHARMA,Bullish Engulfing,A+,90,1668.0,1536.15,1928.03,2.0,STILL_OPEN,-3.2434052757793763
2026-08-10,PNBHOUSING,Pin Bar (Stopping Vol),A,70,1155.43,1083.17,1299.95,2.0,STILL_OPEN,2.065897544637041
2026-08-10,MANAPPURAM,Pin Bar (Stopping Vol),A,75,369.62,347.32,414.22,2.0,STOP,-6.033223310426927
2026-08-10,M&M,Bullish Engulfing,A,70,3513.15,3319.65,3900.15,2.0,STILL_OPEN,-2.0821769636935494
2026-08-10,GRASIM,Bullish Engulfing,A+,90,3356.96,3109.36,3852.18,2.0,STILL_OPEN,-1.6967732710547634
2026-08-12,SIEMENS,None,A,75,4051.06,3744.01,4665.17,2.0,STILL_OPEN,0.46753195459954267
2026-08-13,360ONE,Pin Bar (Stopping Vol),A,80,1170.72,1107.82,1296.52,2.0,STILL_OPEN,2.441232745660793
2026-08-13,BAJAJFINSV,Pin Bar (Stopping Vol),A,75,2033.01,1959.96,2179.13,2.0,STILL_OPEN,-1.5745126684079236
2026-08-17,MOTILALOFS,Pin Bar (Stopping Vol),A,70,908.38,865.68,989.75,1.91,TARGET,8.95770492525154
2026-08-17,M&M,Pin Bar (Stopping Vol),A,75,3437.34,3304.89,3702.25,2.0,STILL_OPEN,0.07738542012136751
