date,symbol,pattern,grade,score,entry,stop,target,rrr,outcome,ret_pct
2026-06-03,GVT&D,Pin Bar (Stopping Vol),A+,85,4879.68,4571.84,5495.36,2.0,TARGET,12.617220801364004
2026-06-03,VBL,Bullish Engulfing,A,80,539.48,514.12,590.21,2.0,STOP,-4.700823014754951
2026-06-03,ADANIPORTS,Bullish Engulfing,A,75,1829.4,1741.71,1983.58,2.0,STOP,-4.79337487700886
2026-06-04,NAM-INDIA,Pin Bar (Stopping Vol),A+,85,1100.71,1059.48,1183.19,2.0,STOP,-3.745764097718751
2026-06-04,ZYDUSLIFE,Pin Bar (Stopping Vol),A,75,1084.09,1046.8,1158.66,2.0,TARGET,6.878580191681527
2026-06-04,GRASIM,Pin Bar (Stopping Vol),A,75,3121.67,3053.88,3257.24,2.0,STOP,-2.17159405062034
2026-06-05,AMBER,Bullish Engulfing,A,70,7694.69,7445.58,8974.0,5.14,STOP,-3.237427368743895
2026-06-05,GAIL,Bullish Engulfing,A,75,168.61,161.22,183.4,2.0,STILL_OPEN,3.2856888678014284
2026-06-09,ADANIGREEN,None,A,75,1535.78,1427.24,1752.86,2.0,STOP,-7.067418510463741
2026-06-10,FORTIS,None,A,70,1007.25,952.24,1117.26,2.0,STOP,-5.461404815090587
2026-06-10,ADANIPORTS,Pin Bar (Stopping Vol),A,80,1837.06,1788.82,1933.54,2.0,STOP,-2.6259349177490177
2026-06-12,MOTHERSON,Pin Bar (Stopping Vol),A,80,142.52,138.99,147.7,2.0,TARGET,3.6345776031434074
2026-06-15,CGPOWER,Pin Bar (Stopping Vol),A,80,928.0,895.71,974.2,2.0,TARGET,4.9784482758620685
2026-06-15,ADANIGREEN,Pin Bar (Stopping Vol),A,80,1502.0,1452.29,1590.9,2.0,TARGET,5.918774966711049
2026-06-15,RBLBANK,Pin Bar (Stopping Vol),A,80,370.0,352.84,403.09,2.0,STOP,-4.637837837837844
2026-06-15,ADANIPORTS,Pin Bar (Stopping Vol),A,75,1839.0,1774.34,1918.5,2.0,STOP,-3.5160413268080504
2026-06-17,SUZLON,None,A,75,59.45,53.79,70.75,2.0,STOP,-9.520605550883099
2026-06-18,LUPIN,Pin Bar (Stopping Vol),A,75,2291.07,2250.59,2494.0,5.01,TARGET,8.857433426302986
2026-06-18,ADANIPORTS,Pin Bar (Stopping Vol),A+,85,1837.17,1802.69,1906.14,2.0,STOP,-1.8767996429290723
2026-06-19,ADANIPOWER,Bullish Engulfing,A+,85,233.03,218.96,254.2,1.51,STOP,-6.037849203965151
