date,equity
2021-07-27,1000196.9072460771
2021-07-28,999722.607246077
2021-07-29,1001437.0474252113
2021-07-30,993658.0418200954
2021-08-02,999472.5141174188
2021-08-03,1000013.4141174189
2021-08-04,999562.6641174189
2021-08-05,996227.1141174189
2021-08-06,1001636.1141174189
2021-08-09,991147.0388174189
2021-08-10,988190.0978174189
2021-08-11,988190.0978174189
2021-08-12,995759.8526640161
2021-08-13,1002824.6026640161
2021-08-16,996821.152664016
2021-08-17,1004114.8526640161
2021-08-18,1003969.302664016
2021-08-20,993720.6526640161
2021-08-23,990938.666664016
2021-08-24,989000.0666640161
2021-08-25,993936.474684262
2021-08-26,991653.824684262
2021-08-27,995528.574684262
2021-08-30,994461.2938746836
2021-08-31,1002204.7938746836
2021-09-01,998321.1438746835
2021-09-02,1003956.3565025766
2021-09-03,1017050.8565025766
2021-09-06,1013264.3565025766
2021-09-07,1010483.3565025766
2021-09-08,1020239.4579489711
2021-09-09,1016309.0202860495
2021-09-13,1012279.1508599361
2021-09-14,1018659.8648484537
2021-09-15,1023297.6148484536
2021-09-16,1020435.8148484536
2021-09-17,1020664.9688484535
2021-09-20,1010133.0688484536
2021-09-21,1016182.8255484535
2021-09-22,1017565.1828937542
2021-09-23,1022705.6424670422
2021-09-24,1018124.2212670422
2021-09-27,1020909.9696670423
2021-09-28,1030973.3696670423
2021-09-29,1033642.7696670423
2021-09-30,1032039.0696670423
2021-10-01,1027550.7696670423
2021-10-04,1046697.1797440771
2021-10-05,1048961.0586938015
2021-10-06,1030952.1563929335
2021-10-07,1041022.3348464082
2021-10-08,1037874.9348464082
2021-10-11,1045081.7198464082
2021-10-12,1047793.3198464082
2021-10-13,1055201.2198464083
2021-10-14,1070139.8514981866
2021-10-18,1068621.4514981864
2021-10-19,1067937.5881945859
2021-10-20,1063602.1361945858
2021-10-21,1063602.1361945858
2021-10-22,1063602.1361945858
2021-10-25,1063602.1361945858
2021-10-26,1059053.3206959593
2021-10-27,1064915.7706959595
2021-10-28,1063316.9206959594
2021-10-29,1059966.2706959592
2021-11-01,1051997.2706959592
2021-11-02,1033817.8688006182
2021-11-03,1026047.4140006183
2021-11-04,1031924.3640006182
2021-11-08,1051339.8640006182
2021-11-09,1056935.1168025616
2021-11-10,1059196.5168025615
2021-11-11,1051802.8749025615
2021-11-12,1058867.619310162
2021-11-15,1064437.9193101618
2021-11-16,1070710.9905546252
2021-11-17,1075582.390554625
2021-11-18,1062291.7405546252
2021-11-22,1050630.290924962
2021-11-23,1056124.6777941578
2021-11-24,1052511.6189941578
2021-11-25,1054681.818994158
2021-11-26,1028834.4332941577
2021-11-29,1014745.5532941577
2021-11-30,1014541.6694672235
2021-12-01,1018014.1194672234
2021-12-02,1022874.5111704508
2021-12-03,1025131.6301752576
2021-12-06,1014553.6801752576
2021-12-07,1027372.8801752576
2021-12-08,1037959.0301752576
2021-12-09,1037818.9801752575
2021-12-10,1037681.7917548161
2021-12-13,1031254.391754816
2021-12-14,1010046.645754816
2021-12-15,1003425.445754816
2021-12-16,1000076.3457548161
2021-12-17,985448.1207548161
2021-12-20,980708.2521548162
2021-12-21,979419.7566523255
2021-12-22,979955.2566523255
2021-12-23,985039.3566523255
2021-12-24,977712.4566523255
2021-12-27,984169.9566523255
2021-12-28,983773.0566523254
2021-12-29,982404.1754619138
2021-12-30,987086.5754619138
2021-12-31,986608.6754619139
2022-01-03,987277.1754619139
2022-01-04,989607.3754619139
2022-01-05,984030.1754619139
2022-01-06,987563.6754619139
2022-01-07,984240.2754619139
2022-01-10,982947.3613100715
2022-01-11,984284.6253100715
2022-01-12,984160.4253100716
2022-01-13,984419.1753100716
2022-01-14,989697.6753100716
2022-01-17,989697.6753100716
2022-01-18,988957.3030822399
2022-01-19,988079.8030822399
2022-01-20,986234.8030822399
2022-01-21,984809.74308224
2022-01-24,984809.74308224
2022-01-25,984809.74308224
2022-01-27,987663.7023745611
2022-01-28,981740.2023745611
2022-01-31,982759.9023745611
2022-02-01,981926.1023745611
2022-02-02,980954.8023745611
2022-02-03,982679.6023745611
2022-02-04,981731.4023745611
2022-02-07,980875.6023745611
2022-02-08,982807.2023745611
2022-02-09,990507.2023745611
2022-02-10,987339.2023745611
2022-02-11,985836.6023745611
2022-02-14,977680.1023745611
2022-02-15,983318.7023745611
2022-02-16,974483.3858391303
2022-02-17,967162.5358391304
2022-02-18,961032.0871391303
2022-02-21,962294.7371391304
2022-02-22,967559.9871391304
2022-02-23,967123.3871391304
2022-02-24,945837.9371391303
2022-02-25,959438.3871391304
2022-02-28,960581.8371391303
2022-03-02,947658.1210143735
2022-03-03,944231.1710143734
2022-03-04,938947.7710143735
2022-03-07,931242.2587143735
2022-03-08,931242.2587143735
2022-03-09,932355.4760697824
2022-03-10,939864.2760697824
2022-03-11,944627.4760697824
2022-03-14,943421.0760697824
2022-03-15,933499.4760697824
2022-03-16,938741.0760697824
2022-03-17,943753.8760697824
2022-03-21,949318.6208035555
2022-03-22,949318.6208035555
2022-03-23,949318.6208035555
2022-03-24,949318.6208035555
2022-03-25,949318.6208035555
2022-03-28,949318.6208035555
2022-03-29,949318.6208035555
2022-03-30,949318.6208035555
2022-03-31,949318.6208035555
2022-04-01,949318.6208035555
2022-04-04,949318.6208035555
2022-04-05,949318.6208035555
2022-04-06,949318.6208035555
2022-04-07,949318.6208035555
2022-04-08,949318.6208035555
2022-04-11,947846.2122974523
2022-04-12,944312.8122974522
2022-04-13,941554.8867823915
