symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pattern,grade,pnl,ret_pct,holding_days
OBEROIRLTY,2021-07-29,2021-07-30,709.6377239021402,680.5861,283,stop,Pin Bar (Stopping Vol),A,-8221.60956430569,-4.093866901887888,1
MOTILALOFS,2021-07-29,2021-07-30,263.76268242485736,247.005,758,stop,Pin Bar (Stopping Vol),A,-12702.323278041882,-6.353318168741106,1
BAJAJHLDNG,2021-07-27,2021-08-02,3899.4390736063333,4061.122220819,51,target,Pin Bar (Stopping Vol),A,8245.840507846011,4.146318077054523,6
GODREJPROP,2021-07-29,2021-08-02,1556.7958967326988,1644.9506901980965,129,target,Pin Bar (Stopping Vol),A+,11371.968357036301,5.662578739474533,4
OIL,2021-07-30,2021-08-09,109.9181430422163,107.33489999999999,1803,stop,Pin Bar (Stopping Vol),A+,-4657.587205116007,-2.350151640775233,10
TORNTPHARM,2021-08-09,2021-08-10,1559.5,1513.467,127,stop,Pin Bar (Stopping Vol),A+,-5846.190999999988,-2.9517794164796385,1
RADICO,2021-08-12,2021-08-23,906.2682666321173,849.298,218,stop,Morning Star,A+,-12419.518125801565,-6.286247541672263,11
DMART,2021-08-12,2021-08-25,3581.9685334560363,3829.7656003681086,55,target,Pin Bar (Stopping Vol),A,13628.838680163975,6.917901835195273,13
BAJAJHLDNG,2021-08-12,2021-08-30,4028.933330722201,4266.372192166602,49,target,Pin Bar (Stopping Vol),A+,11634.50421077565,5.89334302540665,18
JUBLFOOD,2021-08-30,2021-09-02,769.9688871957109,819.9924615871324,257,target,Pin Bar (Stopping Vol),A,12856.058618595342,6.496830615274796,3
ICICIPRULI,2021-08-12,2021-09-08,662.8355349404384,723.3420048213151,300,target,Pin Bar (Stopping Vol),A,18151.94096426301,9.128428801921995,27
FORTIS,2021-08-30,2021-09-17,298.2156182334989,268.8612,670,stop,Bullish Engulfing,A,-19667.460216444266,-9.843353747661453,18
TATACONSUM,2021-09-09,2021-09-21,872.3733376091058,843.3598999999999,233,stop,Pin Bar (Stopping Vol),A,-6760.130962921659,-3.32580517518134,12
MPHASIS,2021-09-14,2021-09-23,2835.9906480490495,3162.284744147149,71,target,Pin Bar (Stopping Vol),A,23166.880822965068,11.505471512135124,9
COLPAL,2021-09-13,2021-09-24,1741.7273226389077,1691.9593,116,stop,Bullish Engulfing,A,-5773.090626113296,-2.8573946100531766,11
TCS,2021-09-22,2021-09-27,3879.139281821142,3814.0067,52,stop,Pin Bar (Stopping Vol),A,-3386.8942546993912,-1.6790472599520712,5
SUPREMEIND,2021-09-23,2021-10-05,2255.058529443423,2430.661988330269,90,target,Pin Bar (Stopping Vol),A+,15804.311299816145,7.787090959904575,12
VOLTAS,2021-10-04,2021-10-07,1223.509886101528,1275.429458304584,169,target,Pin Bar (Stopping Vol),A+,8774.40770231644,4.2434942939846065,3
NAUKRI,2021-10-08,2021-10-11,1331.0,1303.887,155,stop,Pin Bar (Stopping Vol),A+,-4202.5150000000085,-2.0370398196844497,3
PFC,2021-09-23,2021-10-14,110.8486400927689,119.57272027830672,1846,target,Morning Star,A,16104.652022502807,7.8702636119276415,21
HINDALCO,2021-10-04,2021-10-14,487.5738712953211,517.7154138859635,426,target,Pin Bar (Stopping Vol),A,12840.297143613645,6.1819437761433615,10
HDFCBANK,2021-10-06,2021-10-14,800.1869739333382,827.5133218000145,257,target,Pin Bar (Stopping Vol),A,7022.8714017358125,3.4149953394458477,8
BHARTIARTL,2021-10-06,2021-10-19,705.75,679.0391999999999,292,stop,Morning Star,A+,-7799.553600000018,-3.7847396386822663,13
BAJAJHLDNG,2021-10-19,2021-10-20,4810.784311445469,4707.067,44,stop,Pin Bar (Stopping Vol),A+,-4563.561703600637,-2.155933517923725,1
RADICO,2021-10-26,2021-11-03,1134.0252165701952,1044.6066,187,stop,Pin Bar (Stopping Vol),A,-16721.281298626487,-7.885064217587456,8
JINDALSTEL,2021-11-02,2021-11-03,435.9677718670521,419.659,479,stop,Morning Star,A,-7811.90172431795,-3.7408205191886146,1
BAJAJHLDNG,2021-10-29,2021-11-11,4850.0,5100.0,43,target,Pin Bar (Stopping Vol),A+,10750.0,5.154639175257736,13
ASTRAL,2021-11-09,2021-11-11,1714.2296520167215,1664.3147000000001,123,stop,Pin Bar (Stopping Vol),A+,-6139.539098056729,-2.9118007589005623,2
TMPV,2021-11-02,2021-11-17,348.75,364.9,603,target,Pin Bar (Stopping Vol),A,9738.449999999986,4.630824372759856,15
SHRIRAMFIN,2021-11-16,2021-11-22,326.38561642066685,314.9189,655,stop,Pin Bar (Stopping Vol),A,-7510.6992555367815,-3.5132419579077867,6
INFY,2021-11-12,2021-11-24,1706.4528909951184,1669.4543999999999,123,stop,Pin Bar (Stopping Vol),A+,-4550.814392399585,-2.1681519126814486,12
HAVELLS,2021-11-22,2021-11-26,1385.953173044128,1337.6692999999998,151,stop,Pin Bar (Stopping Vol),A,-7290.8648296633755,-3.4838026264680244,4
IEX,2021-11-02,2021-11-29,251.55465918813493,234.53,824,stop,Morning Star,A,-14028.319171023184,-6.7677773264387735,27
COFORGE,2021-12-03,2021-12-06,1091.8991010382617,1060.375,188,stop,Pin Bar (Stopping Vol),A+,-5926.530995193206,-2.8870892015833927,3
TVSMOTOR,2021-12-10,2021-12-14,688.1448292067599,672.652,302,stop,Pin Bar (Stopping Vol),A+,-4678.834420441488,-2.2513907754881823,4
HINDZINC,2021-11-30,2021-12-17,332.9468535746048,321.855,609,stop,Pin Bar (Stopping Vol),A,-6754.9388269343135,-3.3314186500096765,17
HAVELLS,2021-12-02,2021-12-17,1381.6264074106261,1317.36,148,stop,Pin Bar (Stopping Vol),A+,-9511.428296772683,-4.6515039858764045,15
ADANIENT,2021-11-23,2021-12-20,1655.8662451244409,1557.7782000000002,127,stop,Pin Bar (Stopping Vol),A,-12457.181730803964,-5.923669584620905,27
TORNTPHARM,2021-12-21,2021-12-31,1546.8761547816719,1624.4,126,target,Pin Bar (Stopping Vol),A,9768.004497509357,5.011638777848382,10
BLUESTARCO,2021-12-29,2022-01-11,516.0245580900828,485.527,382,stop,Pin Bar (Stopping Vol),A+,-11650.067190411632,-5.910098194349667,13
CUMMINSIND,2022-01-10,2022-01-14,948.4307446948904,1000.95,207,target,Pin Bar (Stopping Vol),A,10871.485848157687,5.537489753350933,4
TITAN,2022-01-18,2022-01-21,2610.471629704422,2545.2992,75,stop,Pin Bar (Stopping Vol),A,-4887.932227831652,-2.496576824004837,3
NATIONALUM,2022-02-16,2022-02-18,120.91225484929045,112.56442000000001,1625,stop,Pin Bar (Stopping Vol),A,-13565.231630096958,-6.904043646936775,2
BIOCON,2022-02-16,2022-02-18,405.96444923329625,391.81480000000005,481,stop,Bullish Engulfing,A,-6805.981281215473,-3.4854404763814184,2
MARUTI,2022-01-27,2022-03-02,8690.474577621766,7872.124199999999,22,stop,Bullish Engulfing,A,-18003.70830767887,-9.41663622984461,34
CHOLAFIN,2022-02-16,2022-03-07,675.6474128862224,642.2629,289,stop,Pin Bar (Stopping Vol),A,-9648.124224118277,-4.941114588689222,19
CUMMINSIND,2022-03-02,2022-03-07,962.6155536977392,934.3276000000001,196,stop,Pin Bar (Stopping Vol),A+,-5544.438924756866,-2.9386553737964505,5
JINDALSTEL,2022-03-09,2022-03-21,447.0739967418054,490.52679022541616,416,target,Pin Bar (Stopping Vol),A,18076.362089182083,9.71937392921236,12
RELIANCE,2022-04-11,2022-04-13,1253.7510497092928,1217.6598,151,stop,Bullish Engulfing,A,-5449.778706103231,-2.8786615746133504,2
OBEROIRLTY,2022-04-13,2022-04-19,1009.9406199734455,958.8783999999999,186,stop,Pin Bar (Stopping Vol),A,-9497.572915060864,-5.055962594591756,6
CHOLAFIN,2022-04-19,2022-04-20,732.3811186754298,709.8774,255,stop,Pin Bar (Stopping Vol),A,-5738.448262234601,-3.0726787053343974,1
OBEROIRLTY,2022-04-19,2022-04-20,1009.0,960.7247,185,stop,Pin Bar (Stopping Vol),A,-8930.930500000002,-4.784469772051536,1
BAJAJ-AUTO,2022-04-26,2022-05-04,3641.311089332358,3503.978,50,stop,Bullish Engulfing,A,-6866.654466617888,-3.7715286050316044,8
TATACONSUM,2022-05-04,2022-05-05,820.7067400200605,798.4499,222,stop,Pin Bar (Stopping Vol),A,-4941.018484453432,-2.711911445922388,1
ADANIPOWER,2022-05-27,2022-06-03,65.05,57.0856,2791,stop,Pin Bar (Stopping Vol),A,-22228.640399999993,-12.243504996156796,7
HAL,2022-06-15,2022-06-16,949.75,921.154,186,stop,Bullish Engulfing,A,-5318.856000000001,-3.0108976046328007,1
BDL,2022-06-07,2022-06-20,401.0,377.5434,441,stop,Pin Bar (Stopping Vol),A,-10344.36059999999,-5.849526184538645,13
VBL,2022-06-28,2022-07-20,156.66115544286407,179.36586632859223,1110,target,Pin Bar (Stopping Vol),A,25202.229083158258,14.492878481295769,22
PHOENIXLTD,2022-07-25,2022-07-26,627.6995362692376,601.3448999999999,285,stop,Morning Star,A,-7511.071336732724,-4.198606936350102,1
ASHOKLEY,2022-07-18,2022-07-29,70.5,74.68563883940747,2514,target,Bullish Engulfing,A,10522.69604227039,5.937076367953864,11
ASHOKLEY,2022-08-04,2022-08-05,72.3483566413328,69.86,2483,stop,Pin Bar (Stopping Vol),A+,-6178.5895404293415,-3.439410038943713,1
PHOENIXLTD,2022-08-12,2022-08-22,665.5,710.4132383901506,268,target,Pin Bar (Stopping Vol),A+,12036.747888560356,6.748796151788206,10
CIPLA,2022-08-19,2022-08-29,1036.1848817391478,1005.3353000000001,173,stop,Pin Bar (Stopping Vol),A+,-5336.977640872564,-2.9772275472085052,10
NESTLEIND,2022-08-25,2022-08-29,987.6728691297825,966.4632,183,stop,Pin Bar (Stopping Vol),A+,-3881.369450750192,-2.1474386705053305,4
SBILIFE,2022-08-25,2022-08-29,1314.429838369179,1269.7055,137,stop,Morning Star,A,-6127.234356577508,-3.4025656648717484,4
AXISBANK,2022-08-25,2022-08-29,755.9873119236458,740.516,238,stop,Morning Star,A,-3682.172237827721,-2.046504177997166,4
FEDERALBNK,2022-08-24,2022-09-05,111.54557355175474,124.65752065526424,1621,target,Morning Star,A,21254.466254788887,11.754789263265408,12
SBILIFE,2022-09-06,2022-09-07,1299.1159530988143,1334.7,139,target,Pin Bar (Stopping Vol),A,4946.182519264817,2.739097061837037,1
SIEMENS,2022-09-07,2022-09-15,2260.9062194985313,2389.223258495594,80,target,Pin Bar (Stopping Vol),A,10265.363119765025,5.675469326875637,8
ASIANPAINT,2022-09-01,2022-09-16,3417.1646932356402,3324.338,52,stop,Morning Star,A+,-4826.988048253283,-2.716482861343872,15
BAJFINANCE,2022-09-09,2022-09-20,730.0,764.0,249,target,Morning Star,A+,8466.0,4.657534246575334,11
TIINDIA,2022-09-20,2022-09-23,2594.5362241117737,2823.5486723353206,71,target,Pin Bar (Stopping Vol),A,16259.88382387183,8.826720016289169,3
BAJAJHLDNG,2022-10-19,2022-10-20,6773.256850966894,6611.75,27,stop,Morning Star,A+,-4360.684976106127,-2.3844784646523176,1
BAJAJHLDNG,2022-10-28,2022-11-23,6624.1206793869715,6487.0,28,stop,Pin Bar (Stopping Vol),A+,-3839.379022835201,-2.0700208529362274,26
BEL,2022-10-27,2022-12-15,105.83690513749565,103.3429,1794,stop,Pin Bar (Stopping Vol),A+,-4474.245216667193,-2.356460758424117,49
COCHINSHIP,2022-11-23,2022-12-22,332.2231079658911,296.20640000000003,579,stop,Bullish Engulfing,A+,-20853.673912250913,-10.841120651242854,29
NESTLEIND,2022-12-21,2022-12-27,1010.3227746537731,990.6148000000001,186,stop,Pin Bar (Stopping Vol),A+,-3665.683285601782,-1.9506612290836167,6
AXISBANK,2022-12-27,2023-01-25,937.7498175860173,903.2898,199,stop,Morning Star,A,-6857.543499617448,-3.674755989260048,29
SUPREMEIND,2022-11-01,2023-02-06,2197.9153548171794,2697.154864451538,87,target,Bullish Engulfing,A+,43433.83733818919,22.714228213573982,97
BRITANNIA,2023-02-16,2023-02-17,4607.664317898275,4521.1395999999995,40,stop,Pin Bar (Stopping Vol),A+,-3460.9887159310165,-1.8778433481400514,1
ULTRACEMCO,2023-02-17,2023-02-20,7063.827996828255,7241.0,26,target,Pin Bar (Stopping Vol),A+,4606.4720824653705,2.508158511947034,3
INDIANB,2022-12-27,2023-02-23,280.0065990540982,256.13669999999996,669,stop,Morning Star,A,-15968.962467191732,-8.524763035847782,58
OIL,2023-03-01,2023-03-08,167.73841626142777,180.76144878428332,1093,target,Morning Star,A,14234.17454748111,7.763893813423506,7
CUMMINSIND,2023-03-06,2023-03-08,1611.1952529636749,1666.45,115,target,Pin Bar (Stopping Vol),A+,6354.295909177395,3.429425883342696,2
GODREJCP,2023-02-02,2023-03-10,941.0242313139117,896.7529,197,stop,Pin Bar (Stopping Vol),A+,-8721.452268840621,-4.704589939421389,36
SIEMENS,2023-03-17,2023-04-26,2500.214986212048,2628.9079586361445,74,target,Pin Bar (Stopping Vol),A+,9523.279959383126,5.1472762595936805,40
GODREJCP,2023-04-05,2023-04-28,971.8876277130457,942.3615,193,stop,Pin Bar (Stopping Vol),A,-5698.54264861783,-3.0380186835512912,23
HAL,2023-04-06,2023-04-28,1374.7667921378725,1457.0,137,target,Pin Bar (Stopping Vol),A,11265.949477111471,5.981611450931856,22
COALINDIA,2023-05-09,2023-05-17,218.6,225.50204761304497,883,target,Pin Bar (Stopping Vol),A+,6094.508042318709,3.157386831219111,8
ONGC,2023-05-02,2023-05-31,144.71280408923764,139.6701,1325,stop,Pin Bar (Stopping Vol),A+,-6681.58291823988,-3.4846288280946047,29
HAVELLS,2023-05-25,2023-06-01,1278.5633000384616,1356.158900115385,153,target,Bullish Engulfing,A,11872.126811769273,6.068968198491942,7
ICICIBANK,2023-06-01,2023-06-02,954.25,938.619,206,stop,Pin Bar (Stopping Vol),A+,-3219.9859999999944,-1.6380403458213233,1
OFSS,2023-05-18,2023-06-13,3138.7324669329196,3287.479400798759,62,target,Pin Bar (Stopping Vol),A+,9222.309899682037,4.739076535923781,26
TIINDIA,2023-06-15,2023-06-16,2844.860920741237,2988.0,69,target,Pin Bar (Stopping Vol),A+,9876.596468854654,5.031496556305037,1
HCLTECH,2023-06-15,2023-06-21,1140.4088812515572,1173.6308437546716,173,target,Pin Bar (Stopping Vol),A,5747.399513038783,2.91316237967687,6
SBIN,2023-05-11,2023-06-22,576.0907830513271,562.1235,336,stop,Pin Bar (Stopping Vol),A+,-4693.007105245892,-2.424493406637729,42
SUNPHARMA,2023-06-22,2023-06-23,995.3384651450599,981.6328,200,stop,Pin Bar (Stopping Vol),A+,-2741.133029011985,-1.3769853798489051,1
INDUSINDBK,2023-06-26,2023-07-19,1320.7048243650702,1443.1624730952108,151,target,Bullish Engulfing,A+,18491.104958251228,9.27214366684941,23
AUROPHARMA,2023-06-26,2023-07-21,702.7202947073707,779.3238841221122,284,target,Bullish Engulfing,A+,21755.419393786575,10.901007127827578,25
CIPLA,2023-07-19,2023-07-26,1036.9206122523442,1075.8398367570326,201,target,Pin Bar (Stopping Vol),A+,7822.764125442363,3.753346596143947,7
CUMMINSIND,2023-06-26,2023-07-31,1859.543057832552,1971.6575734976561,107,target,Pin Bar (Stopping Vol),A+,11996.253176166143,6.029143299095363,35
HEROMOTOCO,2023-07-21,2023-07-31,2933.376271198726,3030.8,71,target,Pin Bar (Stopping Vol),A+,6917.084744890464,3.3212148662217666,10
SUPREMEIND,2023-08-02,2023-08-03,3595.546291340098,3483.02,59,stop,Pin Bar (Stopping Vol),A+,-6639.051189065778,-3.1296020749647546,1
NAUKRI,2023-08-07,2023-08-11,989.4480947445339,906.184,215,stop,Morning Star,A+,-17901.7803700748,-8.415205930133396,4
ICICIPRULI,2023-07-25,2023-08-14,574.7176708319229,550.1973999999999,368,stop,Morning Star,A+,-9023.459666147653,-4.266489804712126,20
OBEROIRLTY,2023-08-02,2023-08-14,1116.9140833072815,1063.868,191,stop,Pin Bar (Stopping Vol),A+,-10131.801911690787,-4.749343221656533,12
360ONE,2023-08-14,2023-08-16,519.358676483897,505.487,395,stop,Morning Star,A,-5479.312211139329,-2.670924182457002,2
NMDC,2023-08-14,2023-08-22,33.45,34.72175469808604,6097,target,Pin Bar (Stopping Vol),A+,7753.888394230554,3.8019572439044413,8
ASHOKLEY,2023-08-16,2023-09-01,91.71258226226888,88.4228,2215,stop,Pin Bar (Stopping Vol),A,-7286.867710925583,-3.5870566296575923,16
VBL,2023-08-29,2023-09-04,351.9383974224173,369.98959226725196,581,target,Pin Bar (Stopping Vol),A+,10487.744204848927,5.129077979851271,6
BHARTIARTL,2022-09-08,2023-09-15,764.0163733142642,922.3939199427925,238,target,Pin Bar (Stopping Vol),A+,37693.856097589734,20.729601113323604,372
CGPOWER,2023-09-15,2023-09-18,447.9284187909133,433.2817,475,stop,Pin Bar (Stopping Vol),A,-6957.19142568383,-3.269879332606085,3
DIXON,2023-09-01,2023-09-22,5026.673181932691,4805.4199,41,stop,Pin Bar (Stopping Vol),A,-9071.38455924032,-4.401584784305024,21
UNOMINDA,2023-09-04,2023-09-22,616.0,595.806,339,stop,Pin Bar (Stopping Vol),A+,-6845.765999999987,-3.2782467532467496,18
TCS,2023-09-22,2023-09-29,3610.031996448496,3520.944,57,stop,Pin Bar (Stopping Vol),A+,-5078.01579756428,-2.4677896632533947,7
ADANIPOWER,2023-09-22,2023-10-03,77.34215912462088,72.75420000000001,2685,stop,Bullish Engulfing,A,-12318.670249607027,-5.932028762254127,11
DALBHARAT,2023-09-26,2023-10-05,2357.334097739695,2240.5599,87,stop,Morning Star,A+,-10159.355203353462,-4.95365497201532,9
FORTIS,2023-10-18,2023-10-19,339.33335641444563,333.8809,596,stop,Pin Bar (Stopping Vol),A,-3249.664023009598,-1.6068141582244788,1
