symbol,old_sector_constituents_based,new_sector_indexlist_based,category,weight_available,chosen_weightage,n_sectoral_candidates,n_thematic_candidates,changed,newly_filled
360ONE,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,2.71,2,2,False,False
ABB,NIFTY ENERGY,NIFTY ENERGY,THEMATIC INDICES,True,2.45,0,3,False,False
ABCAPITAL,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,2.97,2,0,False,False
ADANIENSOL,NIFTY COMMODITIES,NIFTY COMMODITIES,THEMATIC INDICES,True,2.45,0,4,False,False
ADANIENT,NIFTY METAL,NIFTY METAL,SECTORAL INDICES,True,10.17,1,0,False,False
ADANIGREEN,NIFTY COMMODITIES,NIFTY COMMODITIES,THEMATIC INDICES,True,2.08,0,6,False,False
ADANIPORTS,NIFTY MOBILITY,NIFTY MOBILITY,THEMATIC INDICES,True,6.14,0,6,False,False
ADANIPOWER,NIFTY COMMODITIES,NIFTY COMMODITIES,THEMATIC INDICES,True,4.03,0,6,False,False
ALKEM,NIFTY MIDSML HLTH,NIFTY MIDSML HLTH,SECTORAL INDICES,True,4.81,4,3,False,False
AMBER,NIFTY CONSR DURBL,NIFTY CONSR DURBL,SECTORAL INDICES,True,4.21,1,3,False,False
AMBUJACEM,NIFTY CEMENT,NIFTY CEMENT,SECTORAL INDICES,True,13.96,1,6,False,False
ANGELONE,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,1.68,2,3,False,False
APLAPOLLO,NIFTY METAL,NIFTY METAL,SECTORAL INDICES,True,4.47,1,3,False,False
APOLLOHOSP,NIFTY HEALTHCARE,NIFTY HEALTHCARE,SECTORAL INDICES,True,7.78,2,4,False,False
ASHOKLEY,NIFTY AUTO,NIFTY AUTO,SECTORAL INDICES,True,3.85,1,9,False,False
ASIANPAINT,NIFTY COREHOUSING,NIFTY COREHOUSING,THEMATIC INDICES,True,11.98,0,5,False,False
ASTRAL,NIFTY MULTI MFG,NIFTY MULTI MFG,THEMATIC INDICES,True,0.56,0,3,False,False
AUBANK,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,5.5,1,0,False,False
AUROPHARMA,NIFTY MIDSML HLTH,NIFTY MIDSML HLTH,SECTORAL INDICES,True,6.94,4,2,False,False
AXISBANK,NIFTY PVT BANK,NIFTY PVT BANK,SECTORAL INDICES,True,18.34,2,2,False,False
BAJAJ-AUTO,NIFTY AUTO,NIFTY AUTO,SECTORAL INDICES,True,9.86,1,8,False,False
BAJAJFINSV,NIFTY FINSEREXBNK,NIFTY FINSEREXBNK,SECTORAL INDICES,True,6.52,2,1,False,False
BAJAJHLDNG,NIFTY FINSEREXBNK,NIFTY FINSEREXBNK,SECTORAL INDICES,True,2.77,1,0,False,False
BAJFINANCE,NIFTY FINSEREXBNK,NIFTY FINSEREXBNK,SECTORAL INDICES,True,16.26,2,2,False,False
BANDHANBNK,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,1.42,2,1,False,False
BANKBARODA,NIFTY PSU BANK,NIFTY PSU BANK,SECTORAL INDICES,True,12.29,1,2,False,False
BANKINDIA,NIFTY PSU BANK,NIFTY PSU BANK,SECTORAL INDICES,True,4.7,2,1,False,False
BDL,NIFTY IND DEFENCE,NIFTY IND DEFENCE,THEMATIC INDICES,True,3.11,0,2,False,False
BEL,NIFTY IND DEFENCE,NIFTY IND DEFENCE,THEMATIC INDICES,True,19.14,0,5,False,False
BHARATFORG,NIFTY AUTO,NIFTY AUTO,SECTORAL INDICES,True,4.25,1,8,False,False
BHARTIARTL,NIFTY INFRA,NIFTY INFRA,THEMATIC INDICES,True,15.4,0,9,False,False
BHEL,NIFTY ENERGY,NIFTY ENERGY,THEMATIC INDICES,True,3.71,0,6,False,False
BIOCON,NIFTY MIDSML HLTH,NIFTY MIDSML HLTH,SECTORAL INDICES,True,4.52,4,0,False,False
BLUESTARCO,NIFTY CONSR DURBL,NIFTY CONSR DURBL,SECTORAL INDICES,True,5.28,1,6,False,False
BPCL,NIFTY OIL AND GAS,NIFTY OIL AND GAS,SECTORAL INDICES,True,10.39,1,7,False,False
BRITANNIA,NIFTY FMCG,NIFTY FMCG,SECTORAL INDICES,True,6.58,1,3,False,False
BSE,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,12.66,3,2,False,False
CAMS,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,1.64,2,1,False,False
