date,equity
2021-07-27,997152.85
2021-07-28,995746.85
2021-07-29,998005.6
2021-07-30,993261.9
2021-08-02,994316.4
2021-08-03,992496.0
2021-08-04,990901.3
2021-08-05,989944.8500000001
2021-08-06,987660.1000000001
2021-08-09,983342.2000000001
2021-08-10,977836.6000000001
2021-08-11,982509.7
2021-08-12,986092.0
2021-08-13,984740.2
2021-08-16,983486.3
2021-08-17,981931.25
2021-08-18,980033.05
2021-08-20,974004.4
2021-08-23,969046.9500000001
2021-08-24,970234.65
2021-08-25,971422.3500000001
2021-08-26,972066.15
2021-08-27,969879.4500000001
2021-08-30,968104.65
2021-08-31,968725.2000000001
2021-09-01,967440.9
2021-09-02,967099.65
2021-09-03,970745.7000000001
2021-09-06,971145.0
2021-09-07,965935.2000000001
2021-09-08,966383.25
2021-09-09,966724.5
2021-09-13,964953.6000000001
2021-09-14,969821.5
2021-09-15,975508.3500000001
2021-09-16,976880.4
2021-09-17,977801.5
2021-09-20,977258.35
2021-09-21,975332.8999999999
2021-09-22,976962.0499999999
2021-09-23,980897.1000000001
2021-09-24,980149.15
2021-09-27,979728.05
2021-09-28,980244.2
2021-09-29,978074.15
2021-09-30,975252.3
2021-10-01,979122.05
2021-10-04,994410.8300000001
2021-10-05,988982.8800000001
2021-10-06,983989.99
2021-10-07,985642.59
2021-10-08,985537.72
2021-10-11,991349.62
2021-10-12,998485.5899999999
2021-10-13,1002365.5499999999
2021-10-14,1004764.45
2021-10-18,1008686.1299999999
2021-10-19,1008686.1299999999
2021-10-20,1008686.1299999999
2021-10-21,1005848.1299999999
2021-10-22,1003246.6299999999
2021-10-25,1003246.6299999999
2021-10-26,1003246.6299999999
2021-10-27,1000615.4799999999
2021-10-28,999056.2799999998
2021-10-29,1000615.4799999999
2021-11-01,1002369.5799999998
2021-11-02,996406.1799999998
2021-11-03,995087.7299999999
2021-11-04,1005991.9299999998
2021-11-08,1011355.6799999998
2021-11-09,1016281.7799999998
2021-11-10,1012735.0799999998
2021-11-11,1009027.7799999998
2021-11-12,1009342.6799999999
2021-11-15,1012804.4799999999
2021-11-16,1011989.9799999999
2021-11-17,1013948.9799999999
2021-11-18,1010122.4799999999
2021-11-22,996017.6799999998
2021-11-23,1001954.4799999999
2021-11-24,1003748.7799999998
2021-11-25,1016997.3299999998
2021-11-26,1002817.2799999998
2021-11-29,994144.2299999999
2021-11-30,996483.0299999998
2021-12-01,1005101.1299999999
2021-12-02,1036787.8299999998
2021-12-03,1032937.6799999999
2021-12-06,1028260.0799999998
2021-12-07,1030403.9799999999
2021-12-08,1040148.9799999999
2021-12-09,1039369.3799999999
2021-12-10,1037810.1799999999
2021-12-13,1046678.1299999999
2021-12-14,1046678.1299999999
2021-12-15,1040791.9299999999
2021-12-16,1043445.1299999999
2021-12-17,1037389.6799999999
2021-12-20,1032281.83
2021-12-21,1031899.03
2021-12-22,1032179.53
2021-12-23,1034842.63
2021-12-24,1031004.73
2021-12-27,1034387.23
2021-12-28,1034179.33
2021-12-29,1035608.23
2021-12-30,1035779.83
2021-12-31,1037779.63
2022-01-03,1037779.63
2022-01-04,1037779.63
2022-01-05,1037779.63
2022-01-06,1037779.63
2022-01-07,1037779.6299999999
2022-01-10,1042544.6799999999
2022-01-11,1047839.1799999999
2022-01-12,1051015.88
2022-01-13,1051015.88
2022-01-14,1051015.88
2022-01-17,1047732.0799999998
2022-01-18,1041793.88
2022-01-19,1041325.88
2022-01-20,1039783.88
2022-01-21,1034263.2799999999
2022-01-24,1031502.98
2022-01-25,1031502.98
2022-01-27,1032687.9299999999
