symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pattern,score,pnl,ret_pct,holding_days
MOTILALOFS,2021-07-29,2021-07-30,262.5,247.45,379,stop,Pin Bar,9.0,-5703.950000000004,-5.733333333333334,1
BSE,2021-07-27,2021-08-10,142.05,125.45,703,stop,Bullish Engulfing,10.0,-11669.800000000007,-11.686026047166498,14
INOXWIND,2021-08-12,2021-08-23,31.740000000000002,28.63,3110,stop,Pin Bar,9.0,-9672.10000000001,-9.798361688720869,11
FORTIS,2021-08-30,2021-09-17,297.0,269.34999999999997,327,stop,Bullish Engulfing,10.0,-9041.550000000012,-9.309764309764324,18
COFORGE,2021-09-03,2021-09-20,1040.05,1106.2499999999998,93,target,Pin Bar,9.0,6156.599999999983,6.3650786019902705,17
MPHASIS,2021-09-14,2021-09-23,2826.25,3122.4500000000007,34,target,Pin Bar,9.0,10070.800000000025,10.48031844316677,9
TCS,2021-09-22,2021-09-27,3871.6000000000004,3821.6,25,stop,Pin Bar,9.0,-1250.0000000000114,-1.291455728897628,5
HINDALCO,2021-10-04,2021-10-07,486.05,473.4,203,stop,Pin Bar,9.0,-2567.950000000007,-2.6026128999074194,3
RADICO,2021-07-30,2021-10-12,893.0999999999999,1039.3999999999996,111,target,Morning Star,7.0,16239.29999999997,16.381144328742558,74
NATIONALUM,2021-09-30,2021-10-18,93.64999999999999,109.10999999999997,1043,target,Bullish Engulfing,8.0,16124.779999999979,16.50827549386009,18
GMRAIRPORT,2021-10-21,2021-10-22,42.65,40.35,2365,stop,Pin Bar,9.0,-5439.499999999994,-5.392731535756146,1
TMPV,2021-11-02,2021-11-17,348.75,364.8,287,target,Pin Bar,9.0,4606.350000000003,4.60215053763442,15
PHOENIXLTD,2021-11-12,2021-11-22,555.05,510.75,182,stop,Bullish Engulfing,10.0,-8062.599999999991,-7.98126294928384,10
INDHOTEL,2021-11-02,2021-11-26,201.5,186.54999999999998,495,stop,Bullish Engulfing,8.0,-7400.250000000008,-7.41935483870969,24
BSE,2021-12-01,2021-12-03,177.55,215.75000000000006,564,target,Morning Star,7.0,21544.800000000025,21.515066178541286,2
PGEL,2021-10-27,2021-12-13,51.449999999999996,68.24999999999997,1949,target,Morning Star,10.0,32743.199999999953,32.65306122448975,47
GMRAIRPORT,2021-12-15,2021-12-17,43.5,41.7,2399,stop,Pin Bar,9.0,-4318.199999999993,-4.137931034482756,2
KEI,2021-12-15,2021-12-20,1150.3999999999999,1079.05,90,stop,Bullish Engulfing,10.0,-6421.499999999992,-6.202190542420016,5
SRF,2021-12-16,2021-12-20,2184.8,2107.0,47,stop,Pin Bar,8.0,-3656.6000000000085,-3.5609666788722127,4
TORNTPHARM,2021-12-21,2021-12-31,1542.45,1625.7500000000002,66,target,Pin Bar,9.0,5497.800000000012,5.400499205808962,10
SUZLON,2022-01-07,2022-01-12,9.8,11.050000000000004,10589,target,Bullish Engulfing,7.0,13236.250000000038,12.755102040816357,5
GMRAIRPORT,2022-01-17,2022-01-18,46.0,44.2,2284,stop,Bullish Engulfing,8.0,-4111.199999999993,-3.913043478260858,1
OBEROIRLTY,2022-01-17,2022-01-18,981.8499999999999,935.0500000000001,106,stop,Bullish Engulfing,7.0,-4960.799999999983,-4.766512196363992,1
TITAN,2022-01-18,2022-01-20,2604.3500000000004,2550.35,40,stop,Pin Bar,9.0,-2160.000000000018,-2.0734540288363856,2
SUZLON,2022-01-21,2022-01-24,11.3,10.399999999999999,9201,stop,Bullish Engulfing,10.0,-8280.90000000002,-7.964601769911528,3
NTPC,2022-01-27,2022-02-15,135.70000000000002,130.95,761,stop,Bullish Engulfing,10.0,-3614.750000000022,-3.5003684598378992,19
NATIONALUM,2022-02-16,2022-02-18,120.63,112.74000000000001,851,stop,Pin Bar,9.0,-6714.3899999999885,-6.540661526983326,2
CHOLAFIN,2022-02-16,2022-02-24,675.0,643.5,151,stop,Pin Bar,9.0,-4756.5,-4.666666666666663,8
