symbol,entry_date,is_loss,entry_rsi14,atr_pct,vol_surge,entry_month,entry_year,holding_days,sector,ret_pct,mfe_r_multiple
GODREJPROP,2021-01-06,True,69.9,3.73,1.23,1,2021,8,NIFTY REALTY,-2.803023038943253,1.23
PERSISTENT,2021-01-08,False,75.9,3.69,0.95,1,2021,7,NIFTY MS IT TELCM,2.731014321306602,2.22
LTM,2021-01-08,False,71.6,3.78,1.33,1,2021,7,NIFTY IT,3.5481680952557104,2.53
JINDALSTEL,2021-01-13,True,68.7,4.22,1.01,1,2021,5,NIFTY METAL,-4.111122749500462,0.47
MPHASIS,2021-01-14,True,70.6,4.02,1.13,1,2021,4,NIFTY MS IT TELCM,-3.980449460311664,0.59
HINDZINC,2021-01-19,True,67.3,5.05,2.02,1,2021,2,NIFTY METAL,-5.049936600909999,1.07
DLF,2021-01-19,True,79.4,4.38,2.18,1,2021,3,NIFTY REALTY,-3.750324788273873,0.83
ADANIENT,2021-01-20,True,70.9,3.72,1.19,1,2021,2,NIFTY METAL,-3.721848757271984,0.3
JINDALSTEL,2021-01-20,True,63.8,4.29,1.1,1,2021,2,NIFTY METAL,-4.287888533812978,0.42
WIPRO,2021-01-20,True,69.4,3.27,1.06,1,2021,8,NIFTY IT,-2.9259317084016634,0.68
TVSMOTOR,2021-01-29,False,70.9,3.69,6.54,1,2021,7,NIFTY AUTO,12.114290047899168,4.7
TMPV,2021-02-01,False,70.0,5.66,1.02,2,2021,4,NIFTY AUTO,11.99379704279493,3.94
UNOMINDA,2021-02-02,False,69.3,4.9,0.66,2,2021,8,NIFTY AUTO,14.25178864287544,4.7
APLAPOLLO,2021-02-08,True,62.7,3.7,2.96,2,2021,2,NIFTY METAL,-3.688698216784769,0.33
TATAELXSI,2021-01-27,False,68.9,5.74,1.43,1,2021,16,NIFTY MS IT TELCM,6.011851041232141,2.56
HAVELLS,2021-02-02,False,63.9,4.4,1.17,2,2021,16,NIFTY CONSR DURBL,3.64785030468211,2.04
LICHSGFIN,2021-02-15,True,69.8,4.19,2.24,2,2021,4,NIFTY MS FIN SERV,-3.4657703054622235,0.58
TMPV,2021-02-23,False,61.4,4.89,1.21,2,2021,10,NIFTY AUTO,2.779645819323018,2.09
JINDALSTEL,2021-02-23,True,67.5,4.5,1.06,2,2021,10,NIFTY METAL,-1.0092015434847057,1.18
NMDC,2021-03-08,True,69.7,3.79,0.9,3,2021,1,NIFTY METAL,-3.785374279637865,0.32
MFSL,2021-02-25,False,76.6,5.22,2.96,2,2021,15,NIFTY MS FIN SERV,0.4472509185367457,1.39
NMDC,2021-03-15,True,63.0,4.11,0.93,3,2021,3,NIFTY METAL,-3.640812226175283,0.3
ADANIPOWER,2021-03-16,False,77.4,4.81,1.47,3,2021,3,NIFTY COMMODITIES,2.524846017277249,2.5
JSWSTEEL,2021-03-19,True,63.2,3.7,1.37,3,2021,6,NIFTY METAL,-2.357429951418488,0.52
PGEL,2021-03-23,True,64.2,5.43,1.09,3,2021,2,NIFTY CONSR DURBL,-6.8627450980392135,0.86
SHRIRAMFIN,2021-03-26,True,60.4,4.41,1.43,3,2021,10,NIFTY FINSEREXBNK,-1.051288163882813,0.79
ADANIENT,2021-03-30,False,71.8,4.75,1.1,3,2021,8,NIFTY METAL,13.50687417787757,4.49
PERSISTENT,2021-04-08,True,67.3,3.97,1.59,4,2021,4,NIFTY MS IT TELCM,-0.8438713348047577,1.08
ADANIENT,2021-04-09,True,74.6,5.12,1.05,4,2021,3,NIFTY METAL,-5.11766064051894,0.43
JSWSTEEL,2021-03-26,False,63.2,3.39,1.49,3,2021,24,NIFTY METAL,34.77088948787062,13.16
SAIL,2021-04-15,True,64.1,5.63,1.65,4,2021,4,NIFTY METAL,-5.980603448275856,0.49
JINDALSTEL,2021-04-15,False,70.3,4.7,1.08,4,2021,15,NIFTY METAL,5.125679131172478,2.31
TATASTEEL,2021-04-22,False,68.2,4.16,1.22,4,2021,20,NIFTY METAL,29.961632913805225,8.84
SUPREMEIND,2021-05-18,True,70.2,2.92,2.02,5,2021,2,NIFTY MULTI MFG,-2.924194316225115,1.11
ADANIENSOL,2021-05-18,False,72.9,4.67,1.83,5,2021,7,NIFTY COMMODITIES,16.257783463807062,5.6
CGPOWER,2021-05-27,True,65.8,4.07,3.12,5,2021,5,NIFTY ENERGY,-3.9929233670389808,0.37
PERSISTENT,2021-05-17,False,72.6,4.77,1.23,5,2021,17,NIFTY MS IT TELCM,1.6420137747324537,1.43
KEI,2021-05-27,False,73.4,4.07,1.08,5,2021,11,NIFTY EV,8.569516710059233,3.75
ADANIENT,2021-06-01,False,70.1,3.93,1.28,6,2021,6,NIFTY METAL,15.31345367877439,5.41
BHEL,2021-06-04,True,68.0,4.64,0.68,6,2021,10,NIFTY ENERGY,-6.0893098782138,1.65
KEI,2021-06-15,True,69.9,4.41,2.59,6,2021,2,NIFTY EV,-5.172894590072508,0.44
BSE,2021-06-15,True,73.5,3.69,1.04,6,2021,2,NIFTY MS FIN SERV,-3.5965547460725555,0.39
NTPC,2021-06-16,True,72.6,2.33,1.17,6,2021,1,NIFTY COMMODITIES,-2.3303332988805936,0.29
NBCC,2021-06-22,True,69.1,4.96,1.7,6,2021,2,NIFTY MULTI INFRA,-4.840030897082737,0.68
KEI,2021-06-25,False,63.2,4.71,1.27,6,2021,10,NIFTY EV,1.5043737902576515,1.66
COFORGE,2021-05-26,False,63.9,4.29,0.99,5,2021,44,NIFTY MS IT TELCM,24.38751036495385,6.92
CDSL,2021-07-02,False,70.6,3.09,2.92,7,2021,17,NIFTY MS FIN SERV,34.52654006668061,17.04
MPHASIS,2021-07-14,True,75.8,3.43,3.21,7,2021,6,NIFTY MS IT TELCM,-2.76339461171089,0.58
NATIONALUM,2021-07-16,True,69.5,3.87,1.18,7,2021,4,NIFTY METAL,-3.187454694372649,0.79
PERSISTENT,2021-07-23,False,74.1,3.29,6.26,7,2021,5,NIFTY MS IT TELCM,3.128852198317156,2.59
INOXWIND,2021-07-27,False,75.2,6.75,2.29,7,2021,7,NIFTY ENERGY,8.705617496176288,2.64
PRESTIGE,2021-08-02,True,74.7,3.97,3.12,8,2021,3,NIFTY REALTY,-1.7918685536415957,0.93
DLF,2021-07-29,False,67.9,3.3,1.06,7,2021,8,NIFTY REALTY,1.2063178980147526,1.71
SAIL,2021-08-05,True,67.1,3.92,1.55,8,2021,4,NIFTY METAL,-3.844558648377916,0.22
TATASTEEL,2021-08-05,True,73.0,3.11,1.37,8,2021,5,NIFTY METAL,-3.020863594537881,0.24
OFSS,2021-07-26,False,65.1,3.35,1.19,7,2021,16,NIFTY MS IT TELCM,5.8519815142589415,3.92
VEDL,2021-08-11,False,71.9,3.68,2.48,8,2021,6,NIFTY METAL,0.1530001049970808,1.53
MPHASIS,2021-07-23,False,78.8,3.93,6.61,7,2021,33,NIFTY MS IT TELCM,9.508837581793772,4.84
HCLTECH,2021-08-23,True,75.9,2.44,1.74,8,2021,10,NIFTY IT,-0.5696309155162838,1.07
LTM,2021-08-12,False,76.6,2.71,1.0,8,2021,27,NIFTY IT,9.12490265502177,5.0
GODREJCP,2021-08-25,False,67.3,2.86,1.92,8,2021,15,NIFTY FMCG,5.333513194214112,3.18
MPHASIS,2021-09-03,True,68.2,3.55,1.45,9,2021,10,NIFTY MS IT TELCM,-0.8622757053075136,1.23
PERSISTENT,2021-08-17,False,65.0,3.24,1.44,8,2021,31,NIFTY MS IT TELCM,12.217969750391354,5.25
HINDALCO,2021-09-13,True,65.4,3.05,1.37,9,2021,4,NIFTY METAL,-1.1022083547932549,0.66
TATACONSUM,2021-08-26,False,71.6,2.25,0.79,8,2021,25,NIFTY FMCG,1.428178028352778,1.86
INDHOTEL,2021-10-04,True,71.3,4.66,0.75,10,2021,2,NIFTY IND TOURISM,-1.5667992663056185,1.47
KEI,2021-10-01,False,70.8,4.46,0.76,10,2021,6,NIFTY EV,2.061411185815576,2.05
COALINDIA,2021-10-11,True,74.6,3.71,1.21,10,2021,2,NIFTY ENERGY,-3.71059587689776,0.57
GMRAIRPORT,2021-10-11,True,77.8,4.63,1.83,10,2021,8,NIFTY IND TOURISM,-1.343666192573345,1.53
ONGC,2021-10-25,True,64.9,3.34,0.91,10,2021,2,NIFTY OIL AND GAS,-2.2057047100907945,0.48
BANKBARODA,2021-10-21,False,70.7,3.86,2.55,10,2021,7,NIFTY PSU BANK,3.698710056947752,2.46
INDIANB,2021-10-21,False,72.4,4.45,1.96,10,2021,7,NIFTY PSU BANK,3.742578385324613,2.68
BHEL,2021-10-26,True,60.3,5.19,0.72,10,2021,2,NIFTY ENERGY,-5.107740451358311,0.39
TECHM,2021-10-26,True,66.6,3.59,3.74,10,2021,3,NIFTY IT,-3.3158720361388005,1.21
BANKBARODA,2021-11-02,False,69.8,4.36,0.86,11,2021,8,NIFTY PSU BANK,0.0518393412786366,1.37
INDIGO,2021-11-12,True,72.8,3.89,4.1,11,2021,6,NIFTY IND TOURISM,-1.130959217154981,0.82
TECHM,2021-11-12,True,61.1,3.2,0.9,11,2021,6,NIFTY IT,-0.7928967022526323,0.8
POWERGRID,2021-11-30,False,68.6,2.69,2.43,11,2021,3,NIFTY ENERGY,1.0404424639511634,1.79
BAJAJHLDNG,2021-11-26,False,60.8,2.97,2.81,11,2021,10,NIFTY FINSEREXBNK,4.531781382307742,3.27
BSE,2021-12-01,False,67.7,4.79,2.33,12,2021,15,NIFTY MS FIN SERV,31.742794865453416,9.17
PGEL,2021-12-08,False,65.0,7.0,2.64,12,2021,9,NIFTY CONSR DURBL,3.0555018040689275,2.09
UNOMINDA,2021-12-21,False,73.7,4.92,2.15,12,2021,8,NIFTY AUTO,6.867897133858447,2.76
GMRAIRPORT,2022-01-03,True,65.8,4.2,1.5,1,2022,4,NIFTY IND TOURISM,-2.4412162908180046,0.88
PGEL,2022-01-05,True,72.0,6.07,1.33,1,2022,7,NIFTY CONSR DURBL,-5.621459802002205,0.55
TCS,2022-01-07,True,67.9,1.66,1.23,1,2022,5,NIFTY IT,-0.154834365177281,1.95
SUZLON,2022-01-07,False,73.2,4.39,1.4,1,2022,6,NIFTY ENERGY,9.80523987927715,3.37
HCLTECH,2022-01-11,True,71.0,2.24,1.59,1,2022,2,NIFTY IT,-1.588397667954633,0.52
BANKBARODA,2022-01-25,False,66.7,3.64,2.06,1,2022,7,NIFTY PSU BANK,5.843782452160196,3.27
OIL,2022-01-27,False,65.6,3.94,1.86,1,2022,7,NIFTY OIL AND GAS,0.4088540788952599,1.29
TATAELXSI,2022-01-28,False,66.8,4.55,1.01,1,2022,6,NIFTY MS IT TELCM,1.0923193933561004,2.39
ONGC,2022-01-28,True,65.9,2.8,1.84,1,2022,6,NIFTY OIL AND GAS,-0.5649535337160394,1.3
TATAELXSI,2022-02-07,True,68.2,4.42,0.56,2,2022,4,NIFTY MS IT TELCM,-3.6135103708127336,0.57
BSE,2022-02-09,True,63.3,4.98,3.42,2,2022,5,NIFTY MS FIN SERV,-3.0515894997928394,0.81
MARUTI,2022-02-09,True,69.9,3.27,1.52,2,2022,5,NIFTY AUTO,-5.022096329942071,0.34
JINDALSTEL,2022-02-10,True,65.8,3.79,2.17,2,2022,4,NIFTY METAL,-4.207303243365834,0.23
CHOLAFIN,2022-02-22,True,63.9,3.84,1.82,2,2022,2,NIFTY FINSEREXBNK,-4.135338345864669,0.46
BEL,2022-03-09,True,65.3,3.91,1.3,3,2022,5,NIFTY IND DEFENCE,-3.8435336519639263,0.47
TATASTEEL,2022-03-10,True,62.0,3.84,1.29,3,2022,5,NIFTY METAL,-3.731834305892212,0.64
VOLTAS,2022-03-23,True,63.9,3.57,1.65,3,2022,2,NIFTY CONSR DURBL,-3.5296122915994155,0.75
ADANIENSOL,2022-03-16,False,60.6,5.09,1.95,3,2022,14,NIFTY COMMODITIES,2.3820730698849824,2.38
JINDALSTEL,2022-03-17,False,63.2,4.47,0.93,3,2022,26,NIFTY METAL,15.61434459555311,4.72
JSWSTEEL,2022-04-08,True,66.5,2.99,1.29,4,2022,4,NIFTY METAL,-1.527395871670334,0.81
BDL,2022-04-01,False,63.6,4.55,0.99,4,2022,17,NIFTY IND DEFENCE,27.498670311013186,12.18
NTPC,2022-04-13,False,77.6,2.37,1.13,4,2022,7,NIFTY COMMODITIES,3.356729586377627,3.4
VBL,2022-04-25,True,69.3,4.08,1.91,4,2022,2,NIFTY FMCG,-4.081604580750431,1.17
ADANIENT,2022-04-21,False,74.7,3.08,1.1,4,2022,8,NIFTY METAL,1.63278080707836,1.91
NTPC,2022-04-28,True,66.0,2.61,1.15,4,2022,4,NIFTY COMMODITIES,-3.193487789605509,0.31
VBL,2022-05-02,True,65.4,4.67,1.34,5,2022,3,NIFTY FMCG,-4.642564231241297,0.52
ADANIENSOL,2022-04-26,True,66.2,5.72,1.65,4,2022,13,NIFTY COMMODITIES,-5.285117224271685,0.54
NTPC,2022-05-04,True,62.1,2.74,0.97,5,2022,6,NIFTY COMMODITIES,-2.46919172218939,0.75
POWERGRID,2022-05-04,False,61.7,2.8,1.71,5,2022,8,NIFTY ENERGY,0.2722431112079704,1.65
ASHOKLEY,2022-06-02,True,66.8,3.65,0.95,6,2022,4,NIFTY AUTO,-3.6487560143267816,0.34
RELIANCE,2022-06-09,True,63.4,2.64,0.93,6,2022,1,NIFTY OIL AND GAS,-2.638851835514411,0.06
BEL,2022-06-07,True,62.2,3.25,1.59,6,2022,6,NIFTY IND DEFENCE,-2.6879341781403943,0.58
KEI,2022-06-07,True,62.8,4.69,1.12,6,2022,6,NIFTY EV,-4.398693292902944,0.53
CGPOWER,2022-07-05,False,65.2,3.61,1.73,7,2022,7,NIFTY ENERGY,2.694568999420466,2.47
PHOENIXLTD,2022-07-07,True,68.4,4.87,2.74,7,2022,7,NIFTY REALTY,-2.0858155612132223,0.7
BRITANNIA,2022-07-15,True,69.1,2.35,1.67,7,2022,4,NIFTY FMCG,-2.346773174887762,0.34
VBL,2022-07-19,True,68.4,3.59,1.27,7,2022,3,NIFTY FMCG,-1.8873418578084111,1.0
CGPOWER,2022-07-21,False,78.2,3.48,5.63,7,2022,4,NIFTY ENERGY,0.0287153610571966,1.34
SIEMENS,2022-07-21,True,76.6,2.36,2.12,7,2022,4,NIFTY ENERGY,-2.344200916859696,0.14
HINDUNILVR,2022-07-13,False,67.0,2.46,1.23,7,2022,13,NIFTY FMCG,3.3780557918788867,2.55
SIEMENS,2022-08-01,True,65.6,2.38,1.53,8,2022,2,NIFTY ENERGY,-3.2212018841889845,0.85
BDL,2022-08-08,True,70.6,3.92,2.87,8,2022,4,NIFTY IND DEFENCE,-1.7083056661835294,1.01
CGPOWER,2022-07-29,False,68.5,3.82,0.76,7,2022,21,NIFTY ENERGY,4.260538390154367,2.67
VBL,2022-08-01,False,72.5,3.31,3.13,8,2022,18,NIFTY FMCG,8.634269688054053,5.17
HAL,2022-08-08,False,77.7,2.87,3.3,8,2022,11,NIFTY IND DEFENCE,4.135621797028999,3.08
COALINDIA,2022-08-08,False,69.0,2.6,1.67,8,2022,11,NIFTY ENERGY,1.1155257193626866,2.05
ADANIPORTS,2022-08-16,False,73.0,2.38,1.93,8,2022,6,NIFTY MOBILITY,3.2235662720874414,3.45
EICHERMOT,2022-08-23,True,74.7,2.75,1.54,8,2022,3,NIFTY AUTO,-2.261996228126717,0.51
ADANIENSOL,2022-08-24,True,71.9,4.25,2.69,8,2022,5,NIFTY COMMODITIES,-4.821100421576052,1.38
PHOENIXLTD,2022-08-25,True,66.6,4.5,2.19,8,2022,4,NIFTY REALTY,-6.087445522283142,0.37
KEI,2022-08-30,False,74.1,3.47,1.12,8,2022,14,NIFTY EV,4.925696375289412,2.64
HAL,2022-08-26,False,70.4,2.84,1.31,8,2022,19,NIFTY IND DEFENCE,11.865770196907889,5.65
ITC,2022-08-30,False,70.0,1.56,1.45,8,2022,17,NIFTY FMCG,3.121693637337364,3.7
SIEMENS,2022-09-01,False,63.2,2.61,1.5,9,2022,15,NIFTY ENERGY,3.8545525149940696,2.85
ADANIENSOL,2022-09-15,True,73.0,3.56,1.4,9,2022,1,NIFTY COMMODITIES,-3.5642372243184783,0.9
EICHERMOT,2022-09-15,True,71.8,2.55,1.66,9,2022,4,NIFTY AUTO,-2.550530255246808,0.54
VBL,2022-08-30,False,61.1,4.29,0.69,8,2022,27,NIFTY FMCG,9.220443645930509,3.62
COCHINSHIP,2022-09-19,False,69.5,3.59,1.89,9,2022,7,NIFTY IND DEFENCE,4.277785699760339,2.59
ITC,2022-09-19,False,70.9,1.51,1.2,9,2022,7,NIFTY FMCG,1.5492549859893456,2.76
TIINDIA,2022-09-20,True,69.5,3.98,1.45,9,2022,6,NIFTY AUTO,-2.016698210118628,1.26
BAJAJHLDNG,2022-09-20,True,74.4,3.98,0.67,9,2022,6,NIFTY FINSEREXBNK,-3.6080503680565257,0.27
COCHINSHIP,2022-09-29,False,70.2,3.65,1.1,9,2022,12,NIFTY IND DEFENCE,16.525533769694256,8.03
IDFCFIRSTB,2022-10-12,False,66.2,3.88,1.4,10,2022,13,NIFTY MS FIN SERV,2.524383909578898,2.03
FEDERALBNK,2022-10-21,True,67.6,2.94,1.14,10,2022,7,NIFTY MS FIN SERV,-1.1048824544750424,0.87
COCHINSHIP,2022-11-02,True,72.4,4.21,1.74,11,2022,7,NIFTY IND DEFENCE,-0.4908577300266059,1.41
ITC,2022-10-31,False,62.9,1.77,1.05,10,2022,10,NIFTY FMCG,1.7012694622991376,2.07
NESTLEIND,2022-11-07,True,62.8,1.98,1.21,11,2022,3,NIFTY FMCG,-1.982242578987814,0.89
INDIANB,2022-11-03,False,72.8,3.86,1.73,11,2022,11,NIFTY PSU BANK,2.248460308261313,1.88
COCHINSHIP,2022-11-11,False,75.7,4.8,2.32,11,2022,10,NIFTY IND DEFENCE,1.424249208178452,1.5
HDFCBANK,2022-11-24,True,70.9,1.65,1.18,11,2022,4,NIFTY PVT BANK,-1.6100896147922317,0.25
NMDC,2022-11-18,False,73.3,3.94,1.16,11,2022,18,NIFTY METAL,7.749632388528926,2.81
UNIONBANK,2022-11-16,False,75.7,4.2,1.11,11,2022,23,NIFTY PSU BANK,30.46474242456152,9.62
JINDALSTEL,2022-11-30,False,68.4,2.64,2.53,11,2022,9,NIFTY METAL,3.758970287882968,2.67
HINDUNILVR,2022-12-06,False,61.4,1.87,0.99,12,2022,8,NIFTY FMCG,0.8437224163976076,1.76
HDFCBANK,2022-12-01,False,65.8,1.55,1.39,12,2022,14,NIFTY PVT BANK,1.2952182374829757,1.98
UNIONBANK,2022-12-13,True,76.7,4.7,1.64,12,2022,2,NIFTY PSU BANK,-4.209199090009818,0.63
VBL,2022-11-30,False,65.2,4.43,9.16,11,2022,16,NIFTY FMCG,8.271127570762516,3.3
TATASTEEL,2023-01-10,False,62.7,2.76,1.1,1,2023,14,NIFTY METAL,1.560594282226524,1.71
HINDZINC,2023-01-25,True,60.1,3.27,0.91,1,2023,2,NIFTY METAL,-3.2669768262381105,0.09
HCLTECH,2023-01-30,True,66.6,1.92,0.98,1,2023,8,NIFTY IT,-0.6178900154963141,1.0
ZYDUSLIFE,2023-02-16,True,67.4,2.43,1.04,2,2023,4,NIFTY PHARMA,-2.400411174236128,0.23
BAJAJ-AUTO,2023-02-13,True,63.4,2.05,0.98,2,2023,8,NIFTY AUTO,-1.195482432684325,0.64
PERSISTENT,2023-02-16,True,72.0,2.87,0.84,2,2023,6,NIFTY MS IT TELCM,-0.6842382282683523,1.37
ITC,2023-02-14,True,74.0,2.44,1.48,2,2023,13,NIFTY FMCG,-1.812331710242976,0.8
NTPC,2023-02-27,False,60.1,1.9,1.43,2,2023,15,NIFTY COMMODITIES,2.914104044900468,3.0
PETRONET,2023-03-15,True,67.0,2.26,1.73,3,2023,2,NIFTY OIL AND GAS,-1.721961575806985,0.58
ZYDUSLIFE,2023-03-29,False,65.8,2.1,1.35,3,2023,22,NIFTY PHARMA,3.507977254150063,2.82
NESTLEIND,2023-04-17,False,69.9,1.75,2.85,4,2023,8,NIFTY FMCG,0.5106816750074961,1.93
ALKEM,2023-04-21,False,65.1,2.18,2.35,4,2023,14,NIFTY MIDSML HLTH,1.3218469644002306,1.82
INDIANB,2023-04-24,False,61.8,3.7,1.2,4,2023,14,NIFTY PSU BANK,3.493093081075904,1.87
NHPC,2023-04-26,True,64.5,2.98,1.92,4,2023,14,NIFTY COMMODITIES,-0.2333055588197186,2.73
KEI,2023-05-05,False,70.6,3.22,1.92,5,2023,5,NIFTY EV,3.453498528624599,2.54
AUROPHARMA,2023-05-16,True,74.2,2.54,2.71,5,2023,1,NIFTY MIDSML HLTH,-2.539166193562281,0.41
BAJAJ-AUTO,2023-04-20,False,74.3,1.85,0.97,4,2023,29,NIFTY AUTO,4.0939821894472095,3.94
IDFCFIRSTB,2023-05-11,False,76.3,2.39,0.84,5,2023,8,NIFTY MS FIN SERV,1.6354111513617653,2.19
GLENMARK,2023-05-19,True,79.5,2.43,2.02,5,2023,3,NIFTY MIDSML HLTH,-5.814512253724169,0.37
KEI,2023-05-19,True,61.0,3.73,2.56,5,2023,5,NIFTY EV,-3.6237423568515448,0.28
INDIGO,2023-05-25,False,75.4,2.09,1.64,5,2023,6,NIFTY IND TOURISM,0.6904195118844214,2.24
MARICO,2023-05-26,False,66.7,1.89,1.37,5,2023,10,NIFTY FMCG,0.3287275427759972,1.42
COFORGE,2023-05-26,False,69.4,2.49,1.77,5,2023,11,NIFTY MS IT TELCM,0.5610300374778499,1.71
IDFCFIRSTB,2023-05-25,False,76.0,2.12,0.88,5,2023,14,NIFTY MS FIN SERV,6.470707360097272,4.34
HEROMOTOCO,2023-06-13,True,72.6,2.15,1.42,6,2023,2,NIFTY AUTO,-2.1041625929703045,0.25
KEI,2023-06-14,False,67.1,3.2,3.68,6,2023,5,NIFTY EV,1.2643583195119934,2.4
AUROPHARMA,2023-06-23,False,68.4,2.46,1.98,6,2023,10,NIFTY MIDSML HLTH,3.115818019950045,2.48
IDFCFIRSTB,2023-06-28,True,66.6,2.9,1.18,6,2023,6,NIFTY MS FIN SERV,-0.1013650265608512,1.04
GODREJPROP,2023-07-06,True,69.3,2.66,1.76,7,2023,4,NIFTY REALTY,-2.664093166704262,0.52
HAL,2023-06-30,False,65.8,2.98,0.71,6,2023,12,NIFTY IND DEFENCE,0.6572228633028532,1.35
RECLTD,2023-06-27,False,69.1,2.78,1.32,6,2023,16,NIFTY FINSEREXBNK,2.682856717069293,2.27
BEL,2023-07-06,True,61.2,2.69,0.88,7,2023,8,NIFTY IND DEFENCE,-0.3345828440453946,1.19
PFC,2023-06-27,False,69.0,2.77,1.51,6,2023,21,NIFTY FINSEREXBNK,6.547575521287041,3.91
HEROMOTOCO,2023-07-14,True,67.6,2.35,0.86,7,2023,6,NIFTY AUTO,-2.284521809124862,0.3
ITC,2023-07-19,False,72.1,1.5,1.66,7,2023,5,NIFTY FMCG,1.11756789708104,2.9
IDFCFIRSTB,2023-07-31,True,67.2,2.69,2.25,7,2023,2,NIFTY MS FIN SERV,-1.190613758654202,0.96
OBEROIRLTY,2023-08-04,True,68.4,3.16,1.4,8,2023,4,NIFTY REALTY,-3.151326033042124,0.46
NAUKRI,2023-08-04,True,68.5,2.5,4.09,8,2023,4,NIFTY INTERNET,-2.504444751441348,0.8
BSE,2023-07-26,False,74.5,3.06,1.04,7,2023,15,NIFTY MS FIN SERV,16.306462976123036,6.69
ALKEM,2023-08-03,False,76.2,2.07,1.64,8,2023,7,NIFTY MIDSML HLTH,2.8813331403786835,2.64
AUROPHARMA,2023-08-03,False,74.7,2.64,1.85,8,2023,11,NIFTY MIDSML HLTH,1.919585067634788,2.14
MOTILALOFS,2023-08-10,False,70.2,3.52,1.13,8,2023,7,NIFTY CAPITAL MKT,4.329647322108143,2.78
PFC,2023-08-17,True,75.8,3.08,1.36,8,2023,8,NIFTY FINSEREXBNK,-1.912438008279516,0.76
LICHSGFIN,2023-09-01,False,66.4,2.23,1.43,9,2023,11,NIFTY MS FIN SERV,2.6637631684289342,2.69
RECLTD,2023-09-07,False,68.1,3.23,0.8,9,2023,5,NIFTY FINSEREXBNK,6.19197040477526,4.93
CANBK,2023-09-22,True,71.6,2.99,3.12,9,2023,4,NIFTY PSU BANK,-2.977572339383372,0.27
BANKINDIA,2023-10-03,True,70.0,4.0,0.83,10,2023,1,NIFTY PSU BANK,-4.004488112654203,0.22
LICHSGFIN,2023-10-03,True,70.1,2.46,1.65,10,2023,1,NIFTY MS FIN SERV,-2.4556218434238497,0.32
BAJFINANCE,2023-10-06,True,73.6,1.95,2.37,10,2023,6,NIFTY FINSEREXBNK,-1.8429794288659096,0.13
MCX,2023-10-06,False,67.1,4.03,2.1,10,2023,17,NIFTY MS FIN SERV,9.724796614004848,4.56
PRESTIGE,2023-10-18,True,73.5,3.86,0.67,10,2023,5,NIFTY REALTY,-2.294027253273756,0.89
BSE,2023-10-06,False,74.4,4.76,1.67,10,2023,20,NIFTY MS FIN SERV,22.114298408362632,6.43
PERSISTENT,2023-10-27,False,66.2,2.63,2.13,10,2023,11,NIFTY MS IT TELCM,0.9705365122926636,1.64
OBEROIRLTY,2023-11-09,True,68.9,2.66,1.38,11,2023,4,NIFTY REALTY,-1.98181434334358,0.39
PRESTIGE,2023-10-31,False,68.9,5.08,0.55,10,2023,17,NIFTY REALTY,14.174045796195056,4.09
OBEROIRLTY,2023-11-15,False,70.4,2.73,3.24,11,2023,7,NIFTY REALTY,4.906473487133534,3.16
PERSISTENT,2023-11-16,False,70.4,2.07,1.01,11,2023,7,NIFTY MS IT TELCM,0.9754391621249026,1.72
AUROPHARMA,2023-11-17,False,75.3,2.56,1.05,11,2023,6,NIFTY MIDSML HLTH,2.075405488061821,1.96
TATAELXSI,2023-11-21,True,68.1,2.21,0.89,11,2023,7,NIFTY MS IT TELCM,-2.1364729062675947,0.47
CDSL,2023-11-23,False,70.4,3.95,0.7,11,2023,15,NIFTY MS FIN SERV,4.066167996148318,2.26
BSE,2023-11-28,False,68.0,5.49,1.31,11,2023,13,NIFTY MS FIN SERV,1.992394011766696,1.91
