symbol,entry_date,exit_date,entry_price,exit_price,initial_stop,risk_per_share,mfe_price,mfe_r_multiple,hit_1to2,never_hit_initial_stop,is_loss,pnl,ret_pct,holding_days,sector
GODREJPROP,2021-01-06,2021-01-14,1460.6,1419.6590454931948,1406.1,54.5,1527.9,1.23,False,True,True,-5567.969812925501,-2.803023038943253,8,NIFTY REALTY
PERSISTENT,2021-01-08,2021-01-15,785.45,806.9007519867027,756.43,29.02,850.0,2.22,True,True,False,5448.491004622485,2.731014321306602,7,NIFTY MS IT TELCM
LTM,2021-01-08,2021-01-15,4092.2,4237.398134794054,3937.71,154.49,4483.0,2.53,True,True,False,6969.510470114619,3.5481680952557104,7,NIFTY IT
JINDALSTEL,2021-01-13,2021-01-18,299.75,287.4269095583724,287.1,12.65,305.75,0.47,False,True,True,-8379.701500306797,-4.111122749500462,5,NIFTY METAL
MPHASIS,2021-01-14,2021-01-18,1567.0,1504.6263569569162,1504.02,62.98,1604.1,0.59,False,True,True,-8046.19995255781,-3.980449460311664,4,NIFTY MS IT TELCM
HINDZINC,2021-01-19,2021-01-21,298.8,283.7107894364809,283.71,15.09,315.0,1.07,False,False,True,-9898.522129668523,-5.049936600909999,2,NIFTY METAL
DLF,2021-01-19,2021-01-22,289.0,278.1615613618885,276.33,12.67,299.5,0.83,False,True,True,-7424.330467106366,-3.750324788273873,3,NIFTY REALTY
ADANIENT,2021-01-20,2021-01-22,530.1,510.37047973770126,510.37,19.73,536.1,0.3,False,False,True,-7359.111057837438,-3.721848757271984,2,NIFTY METAL
JINDALSTEL,2021-01-20,2021-01-22,305.05,291.96979602760354,291.97,13.08,310.5,0.42,False,False,True,-8475.972174112916,-4.287888533812978,2,NIFTY METAL
WIPRO,2021-01-20,2021-01-28,212.65,206.42800622208387,205.69,6.96,217.35,0.68,False,True,True,-5786.45421346201,-2.9259317084016634,8,NIFTY IT
