symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,ema13_gt_ema21
CGPOWER,2021-01-01,2021-01-06,44.65,43.25,2687,rebalance,NIFTY ENERGY,-3761.799999999996,-3.135498320268759,5,True
LAURUSLABS,2021-01-01,2021-01-11,353.4795258620689,350.1,232,rebalance,NIFTY MIDSML HLTH,-784.0499999999788,-0.956074005651919,10,True
COFORGE,2021-01-01,2021-01-12,544.5,554.5,149,rebalance,NIFTY MS IT TELCM,1490.0,1.8365472910927492,11,True
SAIL,2021-01-11,2021-01-14,74.85,67.84006357972231,1086,stop,NIFTY METAL,-7612.790952421563,-9.365312518741064,3,True
PGEL,2021-01-12,2021-01-15,14.350034728251432,13.8,5759,rebalance,NIFTY CONSR DURBL,-3167.64999999999,-3.8329853458023866,3,False
CGPOWER,2021-01-15,2021-01-18,43.65,42.0,1820,rebalance,NIFTY ENERGY,-3002.9999999999973,-3.7800687285223344,3,True
TATASTEEL,2021-01-01,2021-01-19,59.32,60.33091339578134,2022,stop,NIFTY METAL,2044.0668862698635,1.7041695815599,18,True
LTM,2021-01-01,2021-01-20,3699.3,4090.95,21,rebalance,NIFTY IT,8224.649999999992,10.58713810720946,19,True
TATASTEEL,2021-01-19,2021-01-27,63.03,57.91865090501086,1936,stop,NIFTY METAL,-9895.571847898984,-8.10939091700642,8,True
JINDALSTEL,2021-01-06,2021-01-28,284.2,263.0,409,stop,NIFTY METAL,-8670.799999999996,-7.459535538353268,22,True
VEDL,2021-01-14,2021-01-28,74.55,66.8,988,stop,NIFTY METAL,-7657.0,-10.395707578806167,14,True
JSWSTEEL,2021-01-01,2021-01-29,389.7,369.3591309245477,205,stop,NIFTY METAL,-4169.878160467722,-5.219622549513037,28,True
MPHASIS,2021-01-01,2021-01-29,1408.0245614035086,1392.2437745009863,57,stop,NIFTY MS IT TELCM,-899.5048534437594,-1.1207749733280203,28,True
PERSISTENT,2021-01-18,2021-02-02,796.2,786.0,96,rebalance,NIFTY MS IT TELCM,-979.2000000000044,-1.2810851544838076,15,True
ASHOKLEY,2021-01-28,2021-02-16,53.9,61.9,1538,rebalance,NIFTY AUTO,12304.0,14.842300556586263,19,True
HAVELLS,2021-01-29,2021-02-23,1044.75,1124.45,69,rebalance,NIFTY CONSR DURBL,5499.300000000003,7.628619286910743,25,True
SHRIRAMFIN,2021-02-02,2021-02-24,273.35,275.6,276,rebalance,NIFTY FINSEREXBNK,621.0,0.823120541430411,22,True
TATAELXSI,2021-01-01,2021-02-26,1867.95,2615.485534491973,64,stop,NIFTY MS IT TELCM,47842.27420748626,40.01903340517534,56,True
TMPV,2021-01-27,2021-03-09,184.15,217.0,608,rebalance,NIFTY AUTO,19972.8,17.838718436057555,41,True
APLAPOLLO,2021-01-01,2021-03-15,429.9,608.0590518882157,279,stop,NIFTY METAL,49706.37547681218,41.441975317100656,73,True
DLF,2021-01-28,2021-03-17,261.0,290.117776366365,348,stop,NIFTY REALTY,10132.986175495013,11.156236155695389,48,True
SBIN,2021-02-23,2021-03-17,395.6,366.9869701550746,196,stop,NIFTY PSU BANK,-5608.153849605388,-7.232818464339097,22,True
PGEL,2021-01-20,2021-03-18,14.25,40.75,6028,stop,NIFTY CONSR DURBL,159742.0,185.96491228070172,57,False
IDFCFIRSTB,2021-01-29,2021-03-18,47.21132879045997,60.16343114126318,1761,stop,NIFTY MS FIN SERV,22808.65223976445,27.434310117152314,48,True
PGEL,2021-03-18,2021-03-19,40.75,38.7,4156,rebalance,NIFTY CONSR DURBL,-8519.799999999988,-5.03067484662576,1,True
NATIONALUM,2021-03-17,2021-03-25,55.06978713110789,49.74276768828552,2067,stop,NIFTY METAL,-11010.949188313836,-9.673215968930515,8,True
ADANIPOWER,2021-03-15,2021-03-30,15.85,18.047692089117263,10707,stop,NIFTY COMMODITIES,23530.68919817857,13.865565231023758,15,True
CHOLAFIN,2021-02-16,2021-04-09,528.05,557.9,180,rebalance,NIFTY FINSEREXBNK,5373.000000000004,5.652873780891965,52,True
ADANIENT,2021-01-01,2021-04-12,476.2,1029.546745958861,251,stop,NIFTY METAL,138890.0332356741,116.20049264150798,101,True
VEDL,2021-02-24,2021-04-12,90.52268842268845,95.66412762657708,1287,stop,NIFTY METAL,6617.032255404695,5.679724380125695,47,True
ADANIENSOL,2021-03-09,2021-04-12,757.65,939.3695646157512,174,stop,NIFTY COMMODITIES,31619.20424314071,23.984632035339693,34,True
APLAPOLLO,2021-03-18,2021-04-15,609.8,593.909239025073,277,stop,NIFTY METAL,-4401.7407900547605,-2.605897175291394,28,True
CGPOWER,2021-03-25,2021-04-15,67.09947814742335,68.16624295810401,1533,stop,NIFTY ENERGY,1635.35045477344,1.589825793185562,21,True
ADANIPOWER,2021-04-09,2021-04-19,19.54538312318138,17.5,5155,rebalance,NIFTY COMMODITIES,-10543.95000000002,-10.46478910283165,10,True
HINDALCO,2021-03-17,2021-05-14,326.5491758241758,374.0346290232858,182,stop,NIFTY METAL,8642.35248223802,14.541593338663828,58,True
SAIL,2021-03-19,2021-05-14,73.5,124.89891524802611,2188,stop,NIFTY METAL,112460.82656268116,69.93049693608997,56,True
JINDALSTEL,2021-04-12,2021-05-14,389.0,431.9144246745226,472,stop,NIFTY METAL,20255.608446374663,11.031985777512231,32,True
NATIONALUM,2021-04-19,2021-05-14,56.1,69.08983301294597,1608,stop,NIFTY METAL,20887.651484817125,23.154782554270906,25,True
SAIL,2021-05-14,2021-05-20,127.15,121.45,1577,rebalance,NIFTY METAL,-8988.900000000005,-4.482894219425882,6,True
JINDALSTEL,2021-05-14,2021-05-20,417.3,401.05,364,rebalance,NIFTY METAL,-5915.0,-3.89408099688473,6,True
NMDC,2021-04-12,2021-05-21,16.2,21.447626431807077,10991,stop,NIFTY METAL,57676.66211199155,32.39275575189553,39,True
TATASTEEL,2021-03-30,2021-05-24,74.66,103.227402880947,2403,stop,NIFTY METAL,68647.46912291567,38.26333094153096,55,True
SAIL,2021-05-24,2021-05-25,124.75,123.95,1862,rebalance,NIFTY METAL,-1489.599999999995,-0.6412825651302634,1,True
