,equity
2023-08-29,1000000.0
2023-08-30,1017682.9000000001
2023-08-31,1037575.8500000001
2023-09-01,1057344.4341970445
2023-09-04,1064213.7841970446
2023-09-05,1059636.7841970446
2023-09-06,1046542.5841970447
2023-09-07,1074467.5841970446
2023-09-08,1118705.2341970445
2023-09-11,1125408.6841970445
2023-09-12,1065930.632988456
2023-09-13,1058214.182988456
2023-09-14,1068146.8329884561
2023-09-15,1076273.2857408659
2023-09-18,1075213.1857408658
2023-09-20,1070621.585740866
2023-09-21,1061744.9193005632
2023-09-22,1077900.6093869247
2023-09-25,1075561.897068406
2023-09-26,1080039.6970684058
2023-09-27,1106590.397068406
2023-09-28,1092812.297068406
2023-09-29,1112944.347068406
2023-10-03,1118169.647068406
2023-10-04,1084361.4596246409
2023-10-05,1088502.2096246409
2023-10-06,1103868.559624641
2023-10-09,1078354.759624641
2023-10-10,1114169.059624641
2023-10-11,1115831.6096246408
2023-10-12,1111907.0596246407
2023-10-13,1120617.1096246408
2023-10-16,1125723.1596246408
2023-10-17,1131157.6596246408
2023-10-18,1113653.509624641
2023-10-19,1121292.2096246409
2023-10-20,1108464.6646052436
2023-10-23,1077235.4017856093
2023-10-25,1065694.0908447911
2023-10-26,1052460.2857363287
2023-10-27,1083939.1357363285
2023-10-30,1097387.4357363286
2023-10-31,1095685.6823894216
2023-11-01,1082336.1123894218
2023-11-02,1109350.8223894218
2023-11-03,1120710.7123894216
2023-11-06,1139393.0123894217
2023-11-07,1165337.5123894217
2023-11-08,1180346.1723894218
2023-11-09,1173554.0623894217
2023-11-10,1192517.9323894216
2023-11-12,1221616.2123894219
2023-11-13,1250306.1823894219
2023-11-15,1248791.482389422
2023-11-16,1242015.8823894218
2023-11-17,1259846.4723894217
2023-11-20,1255290.1723894218
2023-11-21,1248759.6623894218
2023-11-22,1240721.5123894217
2023-11-23,1244295.9723894217
2023-11-24,1241219.0823894218
2023-11-28,1276825.3823894218
2023-11-29,1286043.5123894217
2023-11-30,1311478.8323894218
2023-12-01,1346113.7623894217
2023-12-04,1357444.3123894215
2023-12-05,1349581.1623894216
2023-12-06,1362180.8123894215
2023-12-07,1357092.9123894216
2023-12-08,1342614.9065118919
2023-12-11,1349765.9065118919
2023-12-12,1346946.256511892
2023-12-13,1382567.6565118919
2023-12-14,1408058.8565118918
2023-12-15,1405421.006511892
2023-12-18,1411491.456511892
2023-12-19,1415418.3065118918
2023-12-20,1363637.6065118918
2023-12-21,1396727.8565118918
2023-12-22,1401622.1565118919
2023-12-26,1418941.3565118918
2023-12-27,1417947.1565118919
2023-12-28,1431057.3065118918
2023-12-29,1441713.3065118918
2024-01-01,1457833.6065118918
2024-01-02,1459541.0565118918
2024-01-03,1460420.506511892
2024-01-04,1491421.5565118918
2024-01-05,1495777.8565118918
2024-01-08,1498495.706511892
2024-01-09,1503111.756511892
2024-01-10,1496879.5565118918
2024-01-11,1519179.1565118919
2024-01-12,1533398.9065118919
2024-01-15,1561950.3822926388
2024-01-16,1537938.9809323368
2024-01-17,1528702.2309323368
2024-01-18,1533640.7309323365
2024-01-19,1593262.3309323366
2024-01-20,1627783.4809323368
2024-01-23,1533383.7001490602
2024-01-24,1591056.7001490602
2024-01-25,1607620.7501490603
2024-01-29,1646666.1501490602
2024-01-30,1649720.0501490603
2024-01-31,1656922.1001490601
2024-02-01,1646357.0786721779
2024-02-02,1682692.928672178
2024-02-05,1689184.978672178
2024-02-06,1700005.878672178
2024-02-07,1713574.328672178
2024-02-08,1725453.678672178
2024-02-09,1671082.528672178
2024-02-12,1561731.8256006646
2024-02-13,1573647.9756006647
2024-02-14,1617492.801728064
2024-02-15,1658437.551728064
2024-02-16,1664477.301728064
2024-02-19,1664363.401728064
2024-02-20,1656266.851728064
2024-02-21,1616452.151728064
2024-02-22,1642456.765606814
2024-02-23,1640727.415606814
2024-02-26,1622025.265606814
2024-02-27,1609624.775606814
2024-02-28,1588068.096668238
2024-02-29,1580361.186330887
2024-03-01,1622131.576330887
2024-03-02,1628962.206330887
2024-03-04,1660786.826330887
2024-03-05,1682616.456330887
2024-03-06,1692523.3263308872
2024-03-07,1708962.136330887
2024-03-11,1684569.316330887
2024-03-12,1663894.636330887
2024-03-13,1590119.7908568224
2024-03-14,1626100.0008568226
2024-03-15,1616559.3108568224
2024-03-18,1621052.6908568225
2024-03-19,1601519.6601214898
2024-03-20,1614289.8201214897
2024-03-21,1653404.4201214898
2024-03-22,1658340.1001214897
2024-03-26,1683533.7701214897
2024-03-27,1685778.8701214897
2024-03-28,1697942.9801214896
2024-04-01,1709310.5701214897
2024-04-02,1739897.1701214898
2024-04-03,1744470.4901214896
2024-04-04,1749338.6601214898
2024-04-05,1754488.4701214896
2024-04-08,1736575.9901214896
2024-04-09,1722664.5801214897
2024-04-10,1741460.8701214897
2024-04-12,1727703.2901214897
2024-04-15,1710377.146374505
2024-04-16,1716207.7389909767
2024-04-18,1704168.5389909765
2024-04-19,1698816.1481383976
2024-04-22,1711688.7981383975
2024-04-23,1727483.4481383977
2024-04-24,1744756.7481383975
2024-04-25,1750224.9481383974
2024-04-26,1760901.8481383973
2024-04-29,1733625.0726440493
2024-04-30,1745000.3726440493
2024-05-02,1776148.1726440492
2024-05-03,1782387.7726440493
2024-05-06,1754407.8216950875
2024-05-07,1721889.9216950876
2024-05-08,1734606.5716950877
2024-05-09,1691322.0966082513
2024-05-10,1708435.8966082514
2024-05-13,1718180.1966082514
2024-05-14,1749984.4966082515
2024-05-15,1765805.7966082515
2024-05-16,1810215.7966082515
2024-05-17,1824893.5966082513
2024-05-18,1847265.2966082515
2024-05-21,1865275.5466082515
2024-05-22,1854410.0966082513
2024-05-23,1874778.4466082514
2024-05-24,1882423.3966082514
2024-05-27,1882115.4466082514
2024-05-28,1863590.0466082513
2024-05-29,1860806.5466082515
2024-05-30,1825995.4966082515
2024-05-31,1836228.6057509934
2024-06-03,1901767.1057509934
2024-06-04,1738235.6355670702
2024-06-05,1768956.9120211527
2024-06-06,1816907.6620211527
2024-06-07,1826650.1620211527
2024-06-10,1831107.3520211526
2024-06-11,1855125.9120211527
2024-06-12,1866501.7720211528
2024-06-13,1883924.4320211527
2024-06-14,1940567.6620211527
2024-06-18,1982888.3520211526
2024-06-19,1945363.6920211527
2024-06-20,1949555.8620211526
2024-06-21,1942069.0420211526
2024-06-24,1962026.9420211527
2024-06-25,1952790.3020211528
2024-06-26,1954132.3220211526
2024-06-27,1966320.6420211527
2024-06-28,1960095.6020211526
2024-07-01,1967190.652021153
2024-07-02,1960765.5520211528
2024-07-03,2025396.2520211528
2024-07-04,2138655.452021153
2024-07-05,2196534.252021153
2024-07-08,2201038.652021153
2024-07-09,2174898.252021153
2024-07-10,2174176.202021153
2024-07-11,2229186.552021153
2024-07-12,2208681.9589257864
2024-07-15,2195913.6089257863
2024-07-16,2178722.2589257862
2024-07-18,2095230.4088349012
2024-07-19,2061928.7645540219
2024-07-22,2093393.2145540218
2024-07-23,2029943.3659807695
2024-07-24,2043388.8459807695
2024-07-25,2015140.6259807695
2024-07-26,2023491.7959807694
2024-07-29,2128111.9859807696
2024-07-30,2159548.4359807693
2024-07-31,2136450.0759807695
2024-08-01,2118184.5359807694
2024-08-02,2094367.3359807695
2024-08-05,1990514.5419748195
2024-08-06,1962290.1990266405
2024-08-07,2036350.8490266404
2024-08-08,2036526.1490266405
2024-08-09,2099878.6990266405
2024-08-12,2103059.1990266405
2024-08-13,2079557.5990266404
2024-08-14,2069377.2564163164
2024-08-16,2130230.9064163165
2024-08-19,2178509.506416316
2024-08-20,2179844.0717422552
2024-08-21,2172703.521742255
2024-08-22,2162274.8217422552
2024-08-23,2166503.271742255
2024-08-26,2178210.771742255
2024-08-27,2203380.221742255
2024-08-28,2189302.721742255
2024-08-29,2175979.971742255
2024-08-30,2231508.8217422552
2024-09-02,2203786.971742255
2024-09-03,2223045.1717422553
2024-09-04,2217556.1717422553
2024-09-05,2210397.621742255
2024-09-06,2180924.5717422552
2024-09-09,2171781.451839069
2024-09-10,2163773.0518390695
2024-09-11,2173131.801839069
2024-09-12,2196810.751839069
2024-09-13,2225153.1018390693
2024-09-16,2248140.10739559
2024-09-17,2260194.85739559
2024-09-18,2265518.5073955897
2024-09-19,2251873.30739559
2024-09-20,2300826.5073955897
2024-09-23,2331542.6573955896
2024-09-24,2338154.1573955896
2024-09-25,2333670.1573955896
2024-09-26,2313901.5073955897
2024-09-27,2297291.6573955896
2024-09-30,2272415.7573955897
2024-10-01,2284454.55739559
2024-10-03,2229785.40739559
2024-10-04,2203269.55739559
2024-10-07,2149115.1266800812
2024-10-08,2239440.1766800815
2024-10-09,2296023.8266800814
2024-10-10,2294265.1266800817
2024-10-11,2341117.5266800816
2024-10-14,2402869.9266800815
