,equity
2023-08-29,1000000.0
2023-08-30,1017682.9000000001
2023-08-31,1037575.8500000001
2023-09-01,1048744.2341970447
2023-09-04,1055573.5341970446
2023-09-05,1051066.7841970446
2023-09-06,1038066.5841970447
2023-09-07,1066996.4341970445
2023-09-08,1112714.0841970446
2023-09-11,1122516.1341970447
2023-09-12,1065379.0811627423
2023-09-13,1049019.4777224713
2023-09-14,1055661.0777224712
2023-09-15,1057813.330474881
2023-09-18,1049851.0304748812
2023-09-20,1043148.980474881
2023-09-21,1029678.630474881
2023-09-22,1043854.4488861205
2023-09-25,1050514.9688861205
2023-09-26,1048000.2388861205
2023-09-27,1078590.4588861205
2023-09-28,1069658.9088861204
2023-09-29,1090165.9688861205
2023-10-03,1102554.7388861205
2023-10-04,1082270.9988861205
2023-10-05,1079614.9888861205
2023-10-06,1095438.5988861204
2023-10-09,1065901.773196377
2023-10-10,1101408.0831963771
2023-10-11,1114602.4831963773
2023-10-12,1110871.0931963772
2023-10-13,1118091.7231963773
2023-10-16,1131998.0831963771
2023-10-17,1142682.2231963773
2023-10-18,1131595.5931963774
2023-10-19,1141778.3931963774
2023-10-20,1150229.9431963773
2023-10-23,1099702.8359938124
2023-10-25,1090903.8339591306
2023-10-26,1085380.6639591306
2023-10-27,1104369.0139591307
2023-10-30,1114830.5824100494
2023-10-31,1120393.5824100494
2023-11-01,1122220.1024100494
2023-11-02,1144343.5424100496
2023-11-03,1161013.2024100495
2023-11-06,1181668.7024100495
2023-11-07,1206166.4524100493
2023-11-08,1229007.1024100494
2023-11-09,1241520.7224100495
2023-11-10,1251876.6824100495
2023-11-12,1272817.3224100494
2023-11-13,1279285.7324100495
2023-11-15,1288119.5824100494
2023-11-16,1281075.288068244
2023-11-17,1284413.088068244
2023-11-20,1288142.588068244
2023-11-21,1294635.588068244
2023-11-22,1284348.6927760006
2023-11-23,1298862.0927760005
2023-11-24,1310880.5427760005
2023-11-28,1342023.0427760007
2023-11-29,1347674.3427760005
2023-11-30,1368408.7927760005
2023-12-01,1398317.4927760004
2023-12-04,1410632.1927760006
2023-12-05,1429523.4927760006
2023-12-06,1434891.0427760007
2023-12-07,1440126.9427760006
2023-12-08,1424739.6427760005
2023-12-11,1424464.9427760006
2023-12-12,1413800.6927760006
2023-12-13,1430801.7427760004
2023-12-14,1448619.8927760005
2023-12-15,1440471.3927760005
2023-12-18,1456528.4927760004
2023-12-19,1455604.7427760004
2023-12-20,1410062.5548270326
2023-12-21,1414900.9450744076
2023-12-22,1420664.8950744078
2023-12-26,1437299.3950744076
2023-12-27,1441393.1950744076
2023-12-28,1451637.9950744077
2023-12-29,1465671.8950744076
2024-01-01,1484303.045074408
2024-01-02,1488041.6450744078
2024-01-03,1497736.6450744078
2024-01-04,1528103.0950744078
2024-01-05,1531542.1450744076
2024-01-08,1536600.7450744077
2024-01-09,1539704.3450744078
2024-01-10,1533551.0450744077
2024-01-11,1555782.8450744075
2024-01-12,1565861.0550744077
2024-01-15,1575594.2670946543
2024-01-16,1525379.7177852376
2024-01-17,1505867.7977852374
2024-01-18,1503652.9591825362
2024-01-19,1538007.8091825363
2024-01-20,1536168.1091825361
2024-01-23,1467236.3783992599
2024-01-24,1524944.98839926
2024-01-25,1562409.88839926
2024-01-29,1606205.5883992596
2024-01-30,1588858.5293688772
2024-01-31,1617591.9293688773
2024-02-01,1612395.0793688772
2024-02-02,1650180.1793688773
2024-02-05,1649143.6293688773
2024-02-06,1656633.4293688773
2024-02-07,1666047.8293688772
2024-02-08,1685324.5293688774
2024-02-09,1638942.2216734805
2024-02-12,1554274.5844963857
2024-02-13,1559555.720505907
2024-02-14,1595935.8705059069
2024-02-15,1623161.7005059067
2024-02-16,1614600.3805059067
2024-02-19,1605040.1405059067
2024-02-20,1602775.8005059068
2024-02-21,1553370.3600599333
2024-02-22,1576030.2000599334
2024-02-23,1560116.6500599333
2024-02-26,1547918.6300599333
2024-02-27,1542343.0100599334
2024-02-28,1508763.983196787
2024-02-29,1492648.327940901
2024-03-01,1522064.9679409012
2024-03-02,1529201.397940901
2024-03-04,1560388.617940901
2024-03-05,1579846.347940901
2024-03-06,1584030.1783742127
2024-03-07,1597115.9183742125
2024-03-11,1570609.2083742125
2024-03-12,1546192.6783742125
2024-03-13,1483523.0155677705
2024-03-14,1504127.7569161307
2024-03-15,1467290.459054186
2024-03-18,1475295.489054186
2024-03-19,1458069.6690541862
2024-03-20,1463186.8290541861
2024-03-21,1503081.2190541863
2024-03-22,1512437.2590541863
2024-03-26,1532051.4190541862
2024-03-27,1541510.0790541861
2024-03-28,1552927.5990541861
2024-04-01,1545799.749054186
2024-04-02,1562444.299054186
2024-04-03,1567616.399054186
2024-04-04,1560910.399054186
2024-04-05,1568139.8490541861
2024-04-08,1560830.899054186
2024-04-09,1539406.249054186
2024-04-10,1554757.399054186
2024-04-12,1551175.749054186
2024-04-15,1530598.499054186
2024-04-16,1543669.4697146914
2024-04-18,1530126.6697146916
2024-04-19,1527815.5757456755
2024-04-22,1543929.5757456755
2024-04-23,1557564.1757456753
2024-04-24,1576752.2257456754
2024-04-25,1594593.0257456754
2024-04-26,1599518.7257456754
2024-04-29,1571341.1908935236
2024-04-30,1565771.5408935237
2024-05-02,1583628.2908935237
2024-05-03,1585091.7908935237
2024-05-06,1564989.7858811137
2024-05-07,1542965.1799551598
2024-05-08,1560208.62995516
2024-05-09,1524464.3379090282
2024-05-10,1528763.5879090282
2024-05-13,1549527.5379090281
2024-05-14,1586593.8379090282
2024-05-15,1603064.3379090282
2024-05-16,1642124.8379090282
2024-05-17,1667549.1379090282
2024-05-18,1678909.6379090282
2024-05-21,1673244.0879090282
2024-05-22,1667455.2879090281
2024-05-23,1686551.5879090282
2024-05-24,1685151.237909028
2024-05-27,1702497.587909028
2024-05-28,1688214.6879090283
2024-05-29,1693650.5000568065
2024-05-30,1672046.8500568066
2024-05-31,1665444.8480838416
2024-06-03,1763333.5980838418
2024-06-04,1582952.9839694311
2024-06-05,1578750.7989652427
2024-06-06,1610044.4989652426
2024-06-07,1649162.2489652426
2024-06-10,1668475.8989652426
2024-06-11,1689624.9489652426
2024-06-12,1722048.6489652428
2024-06-13,1756444.3989652428
2024-06-14,1806988.6489652428
2024-06-18,1832893.0989652427
2024-06-19,1806026.3989652428
2024-06-20,1812833.5989652427
2024-06-21,1808654.6989652428
2024-06-24,1826655.8989652428
2024-06-25,1812780.0489652427
2024-06-26,1804932.2989652427
2024-06-27,1842423.3489652427
2024-06-28,1825491.1989652426
2024-07-01,1851458.0489652427
2024-07-02,1837802.6507230783
2024-07-03,1880575.3007230784
2024-07-04,1951011.1507230783
2024-07-05,2004637.0407230782
2024-07-08,2002405.3907230783
2024-07-09,1992517.2507230784
2024-07-10,1985739.3107230784
2024-07-11,1999078.1707230783
2024-07-12,1981135.7307230784
2024-07-15,1978939.6407230783
2024-07-16,1952550.1107230783
2024-07-18,1884942.9964958197
2024-07-19,1838913.9378289324
2024-07-22,1848226.1349460534
2024-07-23,1788319.1171873033
2024-07-24,1822403.1471873033
2024-07-25,1830585.6771873033
2024-07-26,1821746.3271873032
2024-07-29,1896512.9671873034
2024-07-30,1896494.9771873034
2024-07-31,1884150.0471873034
2024-08-01,1864028.2471873034
2024-08-02,1848421.6971873033
2024-08-05,1761825.3522351726
2024-08-06,1750172.6622351727
2024-08-07,1811289.7222351728
2024-08-08,1796411.5522351726
2024-08-09,1824855.421834479
2024-08-12,1824536.181834479
2024-08-13,1819988.581834479
2024-08-14,1818704.921834479
2024-08-16,1898456.931834479
2024-08-19,1975167.391834479
2024-08-20,2003992.1918344793
2024-08-21,1998995.8318344792
2024-08-22,2008268.6518344793
2024-08-23,2005480.5618344792
2024-08-26,2001037.7718344794
2024-08-27,2022450.5618344792
2024-08-28,2015841.3718344793
2024-08-29,1997331.3218344792
2024-08-30,2036782.1818344793
2024-09-02,2021679.111834479
2024-09-03,2044712.4618344791
2024-09-04,2047750.5618344792
2024-09-05,2050187.8618344793
2024-09-06,2055026.8118344792
2024-09-09,2044588.2618344792
2024-09-10,2041872.6118344793
2024-09-11,2043192.6118344793
2024-09-12,2063511.7618344792
2024-09-13,2098915.511834479
2024-09-16,2133524.711834479
2024-09-17,2118553.1142810886
2024-09-18,2129890.7142810887
2024-09-19,2104794.2642810885
2024-09-20,2137108.6142810886
2024-09-23,2151337.8142810883
2024-09-24,2165979.6142810886
2024-09-25,2164347.8642810886
2024-09-26,2136947.8142810883
2024-09-27,2120132.5642810888
2024-09-30,2094294.7142810884
2024-10-01,2133097.5642810888
2024-10-03,2088273.6142810886
2024-10-04,2056268.5412547884
2024-10-07,1976354.041610326
2024-10-08,2050522.4916103259
2024-10-09,2071791.841610326
2024-10-10,2066668.3916103258
