,equity
2021-01-01,1000000.0
2021-01-04,1000000.0
2021-01-05,997482.47
2021-01-06,1004443.8799999999
2021-01-07,1031400.1699999999
2021-01-08,1039278.3399999999
2021-01-11,1040293.8
2021-01-12,1050334.5
2021-01-13,1073519.23
2021-01-14,1072627.5672673462
2021-01-15,1053163.8172673464
2021-01-18,1030967.8772673463
2021-01-19,1065427.3772673463
2021-01-20,1089128.3272673462
2021-01-21,1063017.9772673463
2021-01-22,1041302.4772673462
2021-01-25,1020850.0141431576
2021-01-27,1029408.6615605599
2021-01-28,1020579.6115605598
2021-01-29,1017204.1415442347
2021-02-01,1046935.0907771983
2021-02-02,1086255.4407771984
2021-02-03,1109530.5407771985
2021-02-04,1126664.3907771981
2021-02-05,1133145.5407771985
2021-02-08,1168903.2907771983
2021-02-09,1165902.0407771983
2021-02-10,1176244.8407771983
2021-02-11,1183837.4407771984
2021-02-12,1173023.9407771984
2021-02-15,1176886.3907771984
2021-02-16,1172905.4464037172
2021-02-17,1175763.996403717
2021-02-18,1168616.146403717
2021-02-19,1163030.8964037169
2021-02-22,1140897.5032343827
2021-02-23,1144632.3332343826
2021-02-24,1170717.5132343825
2021-02-25,1210417.6332343826
2021-02-26,1197694.3332343826
2021-03-01,1216396.8132343825
2021-03-02,1230070.7832343825
2021-03-03,1262634.3632343826
2021-03-04,1261923.7032343827
2021-03-05,1240677.9332343824
2021-03-08,1268052.4232343826
2021-03-09,1257906.3932343826
2021-03-10,1274189.0032343825
2021-03-12,1272645.1032343826
2021-03-15,1281431.3132343825
2021-03-16,1255425.5596829928
2021-03-17,1223289.4396829926
2021-03-18,1205201.5445456097
2021-03-19,1214538.7945456097
2021-03-22,1241491.8945456096
2021-03-23,1260446.1945456096
2021-03-24,1242909.9945456097
2021-03-25,1221773.3945456096
2021-03-26,1241738.6945456096
2021-03-30,1252555.0112613894
2021-03-31,1254627.4612613893
2021-04-01,1300000.1012613894
2021-04-05,1301907.2412613893
2021-04-06,1330348.3512613894
2021-04-07,1341813.2212613893
2021-04-08,1366659.7712613894
2021-04-09,1384131.6612613893
2021-04-12,1298313.059202291
2021-04-13,1313670.9397960247
2021-04-15,1311329.3940467606
2021-04-16,1324627.6040467608
2021-04-19,1300322.7559155198
2021-04-20,1308672.4359155197
2021-04-22,1327185.6759155197
2021-04-23,1326766.7659155198
2021-04-26,1358663.7359155198
2021-04-27,1384070.9459155197
2021-04-28,1386297.5659155198
2021-04-29,1442988.4759155198
2021-04-30,1443770.1759155197
2021-05-03,1479954.3059155198
2021-05-04,1471795.3059155198
2021-05-05,1508339.2359155198
2021-05-06,1540913.9659155197
2021-05-07,1612978.6859155197
2021-05-10,1655620.3559155199
2021-05-11,1636353.9659155197
2021-05-12,1592909.2959155198
2021-05-14,1512783.5370014086
2021-05-17,1550858.0470014086
2021-05-18,1579847.2270014086
2021-05-19,1567802.3670014087
2021-05-20,1533400.7070014086
2021-05-21,1541022.720683021
2021-05-24,1541615.240141964
2021-05-25,1540471.020141964
2021-05-26,1516640.920141964
2021-05-27,1531806.160141964
2021-05-28,1522695.280141964
2021-05-31,1537624.760141964
2021-06-01,1559407.480141964
2021-06-02,1588877.990141964
2021-06-03,1603618.400141964
2021-06-04,1635643.190141964
2021-06-07,1642260.720141964
2021-06-08,1651784.740141964
2021-06-09,1637321.290141964
2021-06-10,1661704.040141964
2021-06-11,1670973.1401419642
2021-06-14,1617757.8680905432
2021-06-15,1627364.8680905432
2021-06-16,1615928.588090543
2021-06-17,1594383.9045479705
2021-06-18,1574318.398474719
2021-06-21,1582961.1984747187
2021-06-22,1592779.0484747188
2021-06-23,1575962.4484747187
2021-06-24,1579031.0484747188
