,equity
2021-01-01,1000000.0
2021-01-04,1021827.41
2021-01-05,1025200.37
2021-01-06,1034902.2
2021-01-07,1057444.42
2021-01-08,1067049.93
2021-01-11,1073694.5599999998
2021-01-12,1080237.96
2021-01-13,1100877.95
2021-01-14,1110332.0999999999
2021-01-15,1088581.25
2021-01-18,1062036.8800000001
2021-01-19,1105182.83
2021-01-20,1131991.53
2021-01-21,1112871.03
2021-01-22,1089586.1800000002
2021-01-25,1065078.4213877316
2021-01-27,1065364.1001277345
2021-01-28,1058456.0501277347
2021-01-29,1040477.7664375457
2021-02-01,1072346.3639778087
2021-02-02,1119132.0439778087
2021-02-03,1143160.5339778087
2021-02-04,1158224.4139778086
2021-02-05,1158491.1939778086
2021-02-08,1195975.3839778085
2021-02-09,1193423.7939778087
2021-02-10,1206445.2939778087
2021-02-11,1215319.0939778087
2021-02-12,1218105.8939778085
2021-02-15,1236974.6939778086
2021-02-16,1242646.2939778087
2021-02-17,1250542.8439778087
2021-02-18,1248327.8439778087
2021-02-19,1232529.1439778085
2021-02-22,1201738.0439778087
2021-02-23,1208010.8839778085
2021-02-24,1233976.1239778087
2021-02-25,1275808.2839778084
2021-02-26,1262104.7339778086
2021-03-01,1292860.0239778087
2021-03-02,1316780.1239778085
2021-03-03,1353805.4739778086
2021-03-04,1361250.5739778085
2021-03-05,1349667.5939778085
2021-03-08,1375396.4539778086
2021-03-09,1369927.3039778084
2021-03-10,1384907.6539778085
2021-03-12,1391006.5739778087
2021-03-15,1390272.5430192784
2021-03-16,1368618.9853938974
2021-03-17,1334528.3853938973
2021-03-18,1311850.456997029
2021-03-19,1319262.4469970288
2021-03-22,1346300.356997029
2021-03-23,1368476.6569970287
2021-03-24,1342277.5369970289
2021-03-25,1317876.0369970289
2021-03-26,1340339.686997029
2021-03-30,1365138.967005028
2021-03-31,1362785.6270050278
2021-04-01,1401319.647005028
2021-04-05,1396346.967005028
2021-04-06,1432808.5470050278
2021-04-07,1440161.057005028
2021-04-08,1477609.557005028
2021-04-09,1488888.8270050278
2021-04-12,1393922.3119958728
2021-04-13,1409707.4255538592
2021-04-15,1419204.7416144896
2021-04-16,1438502.9216144898
2021-04-19,1420958.7016144895
2021-04-20,1427372.1416144895
2021-04-22,1451525.7116144896
2021-04-23,1450034.5816144897
2021-04-26,1485689.0916144897
2021-04-27,1510443.4216144895
2021-04-28,1514882.1816144895
2021-04-29,1575868.7616144896
2021-04-30,1579610.9616144896
2021-05-03,1625460.7516144896
2021-05-04,1617963.5016144896
2021-05-05,1654037.3416144897
2021-05-06,1692235.0816144897
2021-05-07,1773539.5916144897
2021-05-10,1815981.4516144895
2021-05-11,1793574.9316144895
2021-05-12,1747363.4216144895
2021-05-14,1657621.62989576
2021-05-17,1705033.1598957598
2021-05-18,1738406.04989576
2021-05-19,1725624.4698957598
2021-05-20,1692979.06989576
2021-05-21,1704556.2914998892
2021-05-24,1709278.1351884045
2021-05-25,1695596.5451884046
2021-05-26,1664903.4851884046
2021-05-27,1683134.2251884046
2021-05-28,1672765.5151884046
2021-05-31,1693188.7951884046
2021-06-01,1715105.4651884045
2021-06-02,1754771.9251884045
2021-06-03,1770455.3151884044
2021-06-04,1810579.3051884044
2021-06-07,1808489.1751884045
2021-06-08,1811566.0651884046
2021-06-09,1792365.6251884047
2021-06-10,1821140.1751884045
2021-06-11,1839864.2251884046
2021-06-14,1776551.3384705505
2021-06-15,1755496.5384705507
2021-06-16,1729405.4984705504
2021-06-17,1711197.0656303624
2021-06-18,1676678.371901878
2021-06-21,1694124.421901878
2021-06-22,1695290.521901878
2021-06-23,1676849.521901878
2021-06-24,1685555.521901878
2021-06-25,1701842.021901878
2021-06-28,1712158.321901878
2021-06-29,1736614.971901878
2021-06-30,1774851.521901878
2021-07-01,1796620.8219018779
2021-07-02,1795917.171901878
2021-07-05,1789463.721901878
2021-07-06,1767143.241901878
2021-07-07,1770425.791901878
2021-07-08,1774838.411901878
2021-07-09,1776531.701901878
2021-07-12,1771521.681901878
2021-07-13,1752256.081901878
2021-07-14,1786189.1643037326
2021-07-15,1818744.9443037326
2021-07-16,1823810.4443037324
2021-07-19,1822341.7143037324
2021-07-20,1808873.4443037324
2021-07-22,1855759.7343037324
2021-07-23,1911060.2543037324
2021-07-26,1940048.4443037324
2021-07-27,1952065.3143037325
2021-07-28,1952135.4943037326
2021-07-29,2010899.4043037328
2021-07-30,1989295.4048802338
2021-08-02,1998777.794880234
2021-08-03,1997852.8848802338
2021-08-04,1976687.138595066
2021-08-05,1983044.5085950657
2021-08-06,1990894.9685950656
2021-08-09,1963294.814734335
2021-08-10,1925168.1847343347
2021-08-11,1905990.0495450716
2021-08-12,1943937.4195450717
2021-08-13,1941582.3595450716
2021-08-16,1961900.3395450716
2021-08-17,1959316.895683649
2021-08-18,1947305.7956836491
2021-08-20,1904097.5883835403
2021-08-23,1898432.5383835405
2021-08-24,1905883.5383835405
2021-08-25,1916762.1883835404
2021-08-26,1912682.5383835405
2021-08-27,1949018.6883835404
2021-08-30,1952981.9883835404
2021-08-31,1978364.2383835404
2021-09-01,1968596.9383835404
2021-09-02,1993907.6383835403
2021-09-03,2014500.1883835404
2021-09-06,2039026.6883835404
2021-09-07,2014781.1883835404
2021-09-08,1998195.3383835403
2021-09-09,2009879.4383835404
2021-09-13,2037495.3883835403
2021-09-14,2052770.7383835402
2021-09-15,2095835.0883835405
2021-09-16,2102583.08838354
2021-09-17,2101269.43838354
2021-09-20,2077333.1383835403
2021-09-21,2096339.2883835402
2021-09-22,2126297.8383835405
2021-09-23,2172344.8883835403
2021-09-24,2196017.0883835405
2021-09-27,2146136.53838354
2021-09-28,2088232.3577908622
2021-09-29,2105520.007790862
2021-09-30,2121826.807790862
2021-10-01,2101658.707790862
2021-10-04,2128880.057790862
2021-10-05,2121498.957790862
2021-10-06,2106179.285223307
2021-10-07,2168421.085223307
2021-10-08,2173682.185223307
2021-10-11,2185523.985223307
2021-10-12,2187684.335223307
2021-10-13,2212637.1352233067
2021-10-14,2245239.735223307
2021-10-18,2228275.935223307
2021-10-19,2159862.7352233073
2021-10-20,2151438.085223307
2021-10-21,2110976.485223307
2021-10-22,2078713.6238902623
2021-10-25,2056596.0407344522
2021-10-26,2089120.6907344523
2021-10-27,2096525.9907344521
2021-10-28,2010295.3916393109
2021-10-29,1973563.4664694436
2021-11-01,2008233.1164694438
2021-11-02,2017377.0664694435
2021-11-03,2028744.1164694435
2021-11-04,2044085.0164694437
2021-11-08,2072320.9664694436
2021-11-09,2080180.4164694436
2021-11-10,2048076.7664694434
2021-11-11,2044668.7164694434
2021-11-12,2071667.6664694434
2021-11-15,2054919.9664694436
2021-11-16,2051693.2164694436
2021-11-17,2044514.7164694436
2021-11-18,1998240.9664694436
2021-11-22,1918965.5656622187
2021-11-23,1943631.1156622188
2021-11-24,1923445.965662219
2021-11-25,1952496.9656622189
2021-11-26,1860840.215662219
2021-11-29,1821552.015662219
2021-11-30,1822512.765662219
2021-12-01,1842730.1656622188
2021-12-02,1914651.315662219
2021-12-03,1884231.565662219
2021-12-06,1842875.3756622188
2021-12-07,1855370.295662219
2021-12-08,1895660.345662219
2021-12-09,1873806.757615441
2021-12-10,1874296.3167390313
2021-12-13,1879338.7667390313
2021-12-14,1917761.8167390313
2021-12-15,1894477.4167390312
2021-12-16,1861142.6167390312
2021-12-17,1826020.74389992
2021-12-20,1779458.1034415734
2021-12-21,1783741.9034415735
2021-12-22,1815720.2034415735
2021-12-23,1820110.4534415735
2021-12-24,1820456.4534415733
2021-12-27,1851647.5534415736
2021-12-28,1874067.3034415736
2021-12-29,1894319.8034415736
2021-12-30,1913629.2034415735
2021-12-31,1923308.3034415734
2022-01-03,1935929.7034415735
2022-01-04,1936190.4534415735
2022-01-05,1917731.8534415734
2022-01-06,1891676.5534415734
2022-01-07,1896524.3534415734
2022-01-10,1901505.2425130124
2022-01-11,1913620.7225130124
2022-01-12,1911494.4725130121
2022-01-13,1920624.9825130121
2022-01-14,1945278.132513012
2022-01-17,1951766.030617442
2022-01-18,1924400.040617442
2022-01-19,1910150.720617442
2022-01-20,1920542.7845738037
2022-01-21,1858575.512962746
2022-01-24,1780406.6251310324
2022-01-25,1783848.2685155456
2022-01-27,1804193.2685155456
2022-01-28,1793190.8185155457
2022-01-31,1830461.8685155457
2022-02-01,1833510.7185155458
2022-02-02,1829409.3185155457
2022-02-03,1819412.5685155457
2022-02-04,1820608.2185155458
2022-02-07,1811859.3685155457
2022-02-08,1803763.568515546
2022-02-09,1825444.3556351375
2022-02-10,1826194.9156351376
2022-02-11,1796716.7556351377
2022-02-14,1717354.6056351378
2022-02-15,1732752.2520309316
2022-02-16,1731812.0420309317
2022-02-17,1727271.512030932
2022-02-18,1709767.5020309319
2022-02-21,1671593.952030932
2022-02-22,1665219.352030932
2022-02-23,1658277.0020309319
2022-02-24,1593261.302030932
2022-02-25,1593261.302030932
2022-02-28,1623081.902030932
2022-03-02,1633440.752030932
2022-03-03,1645266.7920309321
2022-03-04,1603873.9820309319
2022-03-07,1618825.082030932
2022-03-08,1601087.7320309319
2022-03-09,1595425.082030932
2022-03-10,1617973.332030932
2022-03-11,1624273.882030932
2022-03-14,1614893.922030932
2022-03-15,1560694.632030932
2022-03-16,1582183.582030932
2022-03-17,1597488.332030932
2022-03-21,1589062.682030932
2022-03-22,1602301.432030932
2022-03-23,1623753.372030932
2022-03-24,1629031.3220309322
2022-03-25,1650067.1964219213
2022-03-28,1677406.351281872
2022-03-29,1688558.961281872
2022-03-30,1666779.4212818719
2022-03-31,1671627.8118148828
2022-04-01,1705758.4518148827
2022-04-04,1735955.5218148828
2022-04-05,1750975.9718148827
2022-04-06,1791486.3918148826
2022-04-07,1756613.1918148827
2022-04-08,1778233.7418148827
2022-04-11,1816256.9818148827
2022-04-12,1775547.7218148827
2022-04-13,1774519.2718148828
2022-04-18,1774429.2414339215
2022-04-19,1755104.6914339215
2022-04-20,1765791.5414339215
2022-04-21,1784455.3414339214
2022-04-22,1775077.1414339214
2022-04-25,1740483.6608791968
2022-04-26,1793634.310879197
2022-04-27,1769731.4608791969
2022-04-28,1774659.0108791967
2022-04-29,1744440.9108791968
2022-05-02,1743874.760879197
2022-05-04,1706313.6675271369
2022-05-05,1694105.3131041578
2022-05-06,1704977.413104158
2022-05-09,1695148.4131041577
2022-05-10,1663257.2131041577
2022-05-11,1640000.8631041576
2022-05-12,1635073.7131041577
2022-05-13,1639225.4131041577
2022-05-16,1649789.8131041576
2022-05-17,1664038.0131041575
2022-05-18,1666199.8131041576
2022-05-19,1654769.5131041575
2022-05-20,1686270.3131041578
2022-05-23,1704079.9131041574
2022-05-24,1683748.2131041577
2022-05-25,1668813.0631041578
2022-05-26,1684966.5131041575
2022-05-27,1700867.7131041577
2022-05-30,1715927.2131041577
2022-05-31,1707792.0131041575
2022-06-01,1694260.2131041577
2022-06-02,1685885.8131041578
2022-06-03,1670190.5131041575
2022-06-06,1664516.6631041577
2022-06-07,1669293.0631041578
2022-06-08,1650103.4131041577
2022-06-09,1668924.0631041576
2022-06-10,1673990.4131041577
2022-06-13,1638598.0668392912
2022-06-14,1630247.9668392912
2022-06-15,1632561.2668392914
2022-06-16,1600994.4029611452
2022-06-17,1588844.6529611452
2022-06-20,1553516.696434914
2022-06-21,1550128.696434914
2022-06-22,1549761.8964349139
2022-06-23,1553453.596434914
2022-06-24,1560766.946434914
2022-06-27,1563108.346434914
2022-06-28,1580300.8964349139
2022-06-29,1585648.9464349141
2022-06-30,1579733.696434914
2022-07-01,1582218.996434914
2022-07-04,1576964.946434914
2022-07-05,1578714.6464349139
2022-07-06,1595998.596434914
2022-07-07,1612986.596434914
2022-07-08,1610023.196434914
2022-07-11,1631607.096434914
2022-07-12,1611970.6964349141
2022-07-13,1616601.7964349138
2022-07-14,1602965.6464349139
2022-07-15,1610168.596434914
2022-07-18,1623574.246434914
2022-07-19,1655041.496434914
2022-07-20,1646317.2964349138
2022-07-21,1666855.696434914
2022-07-22,1672968.5464349138
2022-07-25,1660045.696434914
2022-07-26,1650023.5464349138
2022-07-27,1652305.5964349138
2022-07-28,1661770.3464349138
2022-07-29,1675199.3464349138
2022-08-01,1690338.5964349138
2022-08-02,1696339.7465164482
2022-08-03,1707980.4965164482
2022-08-04,1729868.2965164483
2022-08-05,1724041.6465164481
2022-08-08,1750673.9965164482
2022-08-10,1749526.2465164482
2022-08-11,1757698.9465164482
2022-08-12,1760059.596516448
2022-08-16,1789005.4965164482
2022-08-17,1798312.3965164481
2022-08-18,1795465.4965164482
2022-08-19,1767532.5465164483
2022-08-22,1731835.773480889
2022-08-23,1747245.6734808888
2022-08-24,1748130.6734808886
2022-08-25,1748220.9234808888
2022-08-26,1754597.8234808887
2022-08-29,1750269.7734808887
2022-08-30,1783919.6234808888
2022-09-01,1789341.9234808886
2022-09-02,1792628.6734808886
2022-09-05,1800742.4234808886
2022-09-06,1812069.1234808888
2022-09-07,1825602.523480889
2022-09-08,1844083.573480889
2022-09-09,1843298.8734808888
2022-09-12,1869832.273480889
2022-09-13,1874599.2234808889
2022-09-14,1871359.773480889
2022-09-15,1885148.0734808887
2022-09-16,1882422.4734808889
2022-09-19,1899598.823480889
2022-09-20,1927554.8734808888
2022-09-21,1912966.9734808886
2022-09-22,1936510.7734808887
2022-09-23,1905345.7234808889
2022-09-26,1829232.6987194377
2022-09-27,1810259.8629768714
2022-09-28,1809606.5890168517
2022-09-29,1806530.6841215543
2022-09-30,1824160.1341215542
2022-10-03,1812473.234121554
2022-10-04,1829486.0841215542
2022-10-06,1833425.9341215543
2022-10-07,1845143.0341215543
2022-10-10,1829742.4341215543
2022-10-11,1782972.6444583584
2022-10-12,1793413.9944583585
2022-10-13,1795411.1444583586
2022-10-14,1780881.1444583586
2022-10-17,1818017.0944583584
2022-10-18,1828341.9444583585
2022-10-19,1820204.6444583586
2022-10-20,1818199.8444583586
2022-10-21,1837114.6444583586
2022-10-24,1857840.2944583585
2022-10-25,1896971.1944583585
2022-10-27,1918192.9944583587
2022-10-28,1892427.8444583586
2022-10-31,1893740.7444583587
2022-11-01,1912118.6444583586
2022-11-02,1909899.1944583585
2022-11-03,1929400.2444583587
2022-11-04,1934277.464641259
2022-11-07,1974974.5646412591
2022-11-09,1969892.214641259
2022-11-10,1955492.464641259
2022-11-11,1979260.3946412592
2022-11-14,2004450.5846412592
2022-11-15,2007055.5346412591
2022-11-16,2014136.624641259
2022-11-17,2054282.344641259
2022-11-18,2069355.234641259
2022-11-21,2069935.744641259
2022-11-22,2113903.554641259
2022-11-23,2104218.554641259
2022-11-24,2114884.024641259
2022-11-25,2087869.244641259
2022-11-28,2108868.014641259
2022-11-29,2122206.824641259
2022-11-30,2129476.544641259
2022-12-01,2163283.1846412593
2022-12-02,2169085.604641259
2022-12-05,2176963.364641259
2022-12-06,2202686.174641259
2022-12-07,2198105.4546412593
2022-12-08,2277119.064641259
2022-12-09,2223156.034641259
2022-12-12,2273398.334641259
2022-12-13,2322764.254641259
2022-12-14,2328044.2846412593
2022-12-15,2291650.9746412593
2022-12-16,2219771.274641259
2022-12-19,2249431.9546412593
2022-12-20,2235543.3180711535
2022-12-21,2156369.5226252144
2022-12-22,2112749.3066710723
2022-12-23,2047315.8372818432
2022-12-26,2040306.687281843
2022-12-27,2030685.237281843
2022-12-28,2021290.7872818431
2022-12-29,2035567.6372818432
2022-12-30,2027550.287281843
2023-01-02,2059168.337281843
2023-01-03,2079131.5172818431
2023-01-04,2041246.127281843
2023-01-05,2051664.877281843
2023-01-06,2038137.417281843
2023-01-09,2068650.8372818432
2023-01-10,2031788.507281843
2023-01-11,2030278.8572818432
2023-01-12,2027417.5472818431
2023-01-13,2054779.557281843
2023-01-16,2036741.5172818431
2023-01-17,2009988.947281843
2023-01-18,2029754.387281843
2023-01-19,2045234.127281843
2023-01-20,2007737.197281843
2023-01-23,1993033.5272818431
2023-01-24,1978535.6938643844
2023-01-25,1961021.3273168758
2023-01-27,1930452.2656014126
2023-01-30,1919925.5038433913
2023-01-31,1924727.233843391
2023-02-01,1892755.6783727212
2023-02-02,1893276.316867668
2023-02-03,1900047.526867668
2023-02-06,1894009.1568676678
2023-02-07,1890156.656867668
2023-02-08,1896729.256867668
2023-02-09,1894678.1568676678
2023-02-10,1905279.056867668
2023-02-13,1884727.2288316945
2023-02-14,1886972.0288316945
2023-02-15,1877644.9288316946
