,equity
2021-08-30,1000000.0000000001
2021-08-31,1025646.3500000001
2021-09-01,1017827.1500000001
2021-09-02,1013031.6500000001
2021-09-03,1024776.2000000001
2021-09-06,1029466.3500000001
2021-09-07,1018529.7500000001
2021-09-08,1022571.0
2021-09-09,1030372.6000000001
2021-09-13,1050351.65
2021-09-14,1059691.55
2021-09-15,1071111.9500000002
2021-09-16,1078934.3000000003
2021-09-17,1081024.9000000001
2021-09-20,1048641.75
2021-09-21,1042796.7500000001
2021-09-22,1055893.4
2021-09-23,1073321.75
2021-09-24,1071603.65
2021-09-27,1063651.9500000002
2021-09-28,1045933.8
2021-09-29,1062340.9500000002
2021-09-30,1078655.2500000002
2021-10-01,1074795.8
2021-10-04,1079100.35
2021-10-05,1076485.05
2021-10-06,1066965.9974348126
2021-10-07,1083181.9474348126
2021-10-08,1097125.7474348126
2021-10-11,1109872.6974348128
2021-10-12,1107197.0474348126
2021-10-13,1129426.8974348127
2021-10-14,1139933.1974348126
2021-10-18,1135777.1974348126
2021-10-19,1114214.8474348127
2021-10-20,1085967.5787894165
2021-10-21,1061534.4206028862
2021-10-22,1054748.6706028862
2021-10-25,1041387.3598825336
2021-10-26,1049271.6098825336
2021-10-27,1059309.3398825335
2021-10-28,1018253.5635028163
2021-10-29,1010222.9062254627
2021-11-01,1017788.5162254627
2021-11-02,1025139.7562254628
2021-11-03,1018797.7286778237
2021-11-04,1027756.0086778237
2021-11-08,1052919.7186778237
2021-11-09,1061315.9086778236
2021-11-10,1049708.6386778238
2021-11-11,1046609.1386778237
2021-11-12,1061653.3786778236
2021-11-15,1053799.6186778238
2021-11-16,1047209.2486778238
2021-11-17,1050236.4886778237
2021-11-18,1029087.9486778236
2021-11-22,989686.51594602
2021-11-23,1004923.9677783697
2021-11-24,1000754.6177783696
2021-11-25,1003453.2677783697
2021-11-26,965451.4642182817
2021-11-29,934983.2922786449
2021-11-30,956721.3288868647
2021-12-01,965404.8288868647
2021-12-02,982556.5788868647
2021-12-03,984580.2288868647
2021-12-06,969593.2288868647
2021-12-07,980091.3288868647
2021-12-08,1003594.2788868648
2021-12-09,999935.1619397992
2021-12-10,1011216.5119397992
2021-12-13,1013813.1119397993
2021-12-14,1027924.1619397993
2021-12-15,1006121.5219397992
2021-12-16,1007259.8219397991
2021-12-17,979542.7719397992
2021-12-20,936382.8444574593
2021-12-21,949090.2444574593
2021-12-22,973771.4444574593
2021-12-23,986890.1444574592
2021-12-24,992857.6944574593
2021-12-27,1014663.8944574592
2021-12-28,1029125.0444574592
2021-12-29,1030294.3944574591
2021-12-30,1042312.0944574592
2021-12-31,1052954.3944574592
2022-01-03,1048401.9444574591
2022-01-04,1047296.4944574592
2022-01-05,1034913.6444574592
2022-01-06,1030287.9764071171
2022-01-07,1051389.5935331006
2022-01-10,1049387.2435331005
2022-01-11,1041695.2435331006
2022-01-12,1043770.7435331006
2022-01-13,1047345.4435331005
2022-01-14,1052576.1435331006
2022-01-17,1060958.5642325827
2022-01-18,1044497.4991359726
2022-01-19,1044833.3000661293
2022-01-20,1057458.3000661293
2022-01-21,1024132.172852698
2022-01-24,984550.428747953
2022-01-25,986551.7634288943
2022-01-27,981336.9331048477
2022-01-28,977215.2331048477
2022-01-31,992652.9331048477
2022-02-01,996004.4331048477
2022-02-02,1001699.7331048477
2022-02-03,1002487.8331048477
2022-02-04,996981.5331048478
2022-02-07,1004378.9331048477
2022-02-08,987736.0331048478
2022-02-09,990893.2331048477
2022-02-10,995099.7331048478
2022-02-11,977915.7831048477
2022-02-14,935742.1034360874
2022-02-15,954209.6116923846
2022-02-16,954915.0816923846
2022-02-17,962638.3416923846
2022-02-18,954522.1616923845
2022-02-21,933631.3328714427
2022-02-22,919553.9312572893
2022-02-23,926421.5512572892
2022-02-24,878763.8612572893
2022-02-25,900595.1712572894
2022-02-28,913878.4012572893
2022-03-02,915917.1800563402
2022-03-03,928201.4500563401
2022-03-04,899368.42005634
2022-03-07,901500.7413086421
2022-03-08,889889.331308642
2022-03-09,890095.9913086421
2022-03-10,913916.4389883728
2022-03-11,922131.1389883729
2022-03-14,927366.0489883729
2022-03-15,899462.8589883728
2022-03-16,921708.2089883728
2022-03-17,937814.5589883728
2022-03-21,931213.0589883728
2022-03-22,938484.1089883728
2022-03-23,948745.6262752939
2022-03-24,951948.6262752939
2022-03-25,963571.2262752939
2022-03-28,975704.2762752939
2022-03-29,971097.3762752939
2022-03-30,960699.5762752938
2022-03-31,956128.2762752939
2022-04-01,971161.8762752939
2022-04-04,991172.6762752939
2022-04-05,989112.1762752939
2022-04-06,1006414.0262752939
2022-04-07,998271.2262752939
2022-04-08,1033699.9762752939
2022-04-11,1074940.9262752938
2022-04-12,1049026.5737366448
2022-04-13,1047088.8237366448
2022-04-18,1040365.0237366448
2022-04-19,1018907.818201606
2022-04-20,1020686.918201606
2022-04-21,1033368.468201606
2022-04-22,1047589.9182016059
2022-04-25,1031779.168201606
2022-04-26,1061477.5182016059
2022-04-27,1042356.170302717
2022-04-28,1047804.870302717
2022-04-29,1031124.4262539679
2022-05-02,1020388.4141327484
2022-05-04,986361.9823491243
2022-05-05,993389.9323491243
2022-05-06,979280.7823491242
2022-05-09,958148.8823491243
2022-05-10,927615.2626693702
2022-05-11,904079.3621676872
2022-05-12,881620.1483202099
2022-05-13,886601.3483202099
2022-05-16,889781.7983202101
2022-05-17,909496.9483202099
2022-05-18,911291.19832021
2022-05-19,902799.2483202099
2022-05-20,928421.19832021
2022-05-23,931575.0983202099
2022-05-24,913538.54832021
2022-05-25,893843.3983202099
2022-05-26,902860.59832021
2022-05-27,913784.6983202099
2022-05-30,919544.79832021
2022-05-31,922516.6483202099
2022-06-01,925117.3983202099
2022-06-02,924721.19832021
2022-06-03,907908.9983202099
2022-06-06,917435.4483202099
2022-06-07,927175.5983202099
2022-06-08,918472.2483202099
2022-06-09,929458.0983202099
2022-06-10,934545.94832021
2022-06-13,911602.59832021
2022-06-14,906468.3674242718
2022-06-15,902380.6674242717
2022-06-16,882843.4940954391
2022-06-17,878076.3440954392
2022-06-20,851237.0821215818
2022-06-21,860013.7321215819
2022-06-22,854047.6321215818
2022-06-23,863936.5821215818
2022-06-24,868668.0321215818
2022-06-27,872488.8821215818
2022-06-28,882941.0821215819
2022-06-29,884565.7821215818
2022-06-30,876674.4821215818
2022-07-01,878173.0821215819
2022-07-04,877110.7821215818
2022-07-05,879506.4821215818
2022-07-06,893784.4321215817
2022-07-07,900373.0321215818
2022-07-08,904367.7321215818
2022-07-11,921222.3321215818
2022-07-12,913355.8821215818
2022-07-13,917172.9321215817
