,equity
2021-08-30,999999.9999999999
2021-08-31,1012615.5299999999
2021-09-01,1002290.6
2021-09-02,1009513.08
2021-09-03,1016038.2599999999
2021-09-06,1024935.6699999999
2021-09-07,1012299.24
2021-09-08,1013146.11
2021-09-09,1024917.55
2021-09-13,1040915.26
2021-09-14,1048363.9199999999
2021-09-15,1058355.41
2021-09-16,1057096.33
2021-09-17,1065456.41
2021-09-20,1035836.3624270923
2021-09-21,1042941.5124270922
2021-09-22,1054069.6124270924
2021-09-23,1073177.3124270923
2021-09-24,1085576.9124270922
2021-09-27,1071590.2124270923
2021-09-28,1038303.5886169361
2021-09-29,1051392.1886169363
2021-09-30,1061237.9886169364
2021-10-01,1052111.3386169362
2021-10-04,1070878.4386169363
2021-10-05,1068313.9886169361
2021-10-06,1056292.5886169362
2021-10-07,1092811.1886169363
2021-10-08,1096671.4386169363
2021-10-11,1108989.8386169362
2021-10-12,1107306.7886169362
2021-10-13,1117821.0386169362
2021-10-14,1129243.9386169363
2021-10-18,1124382.438616936
2021-10-19,1088889.688616936
2021-10-20,1083438.9886169361
2021-10-21,1062115.993710205
2021-10-22,1049005.6994990408
2021-10-25,1036018.7883933103
2021-10-26,1052356.1883933102
2021-10-27,1056127.6383933104
2021-10-28,1013232.9383933102
2021-10-29,994971.8421905546
2021-11-01,1011879.1921905546
2021-11-02,1016444.6921905546
2021-11-03,1021570.6421905545
2021-11-04,1029459.0921905546
2021-11-08,1044224.3921905545
2021-11-09,1048249.1421905545
2021-11-10,1032399.2921905546
2021-11-11,1024207.8421905546
2021-11-12,1036255.5421905546
2021-11-15,1024012.7421905546
2021-11-16,1021275.8921905545
2021-11-17,1017690.5746038267
2021-11-18,989077.7746038267
2021-11-22,950654.4061463077
2021-11-23,963425.6061463077
2021-11-24,958729.5061463077
2021-11-25,964526.7061463078
2021-11-26,922864.2708330029
2021-11-29,897109.7208330028
2021-11-30,900843.20877594
2021-12-01,916577.10877594
2021-12-02,951203.15877594
2021-12-03,939706.45877594
2021-12-06,922133.67877594
2021-12-07,928758.21877594
2021-12-08,950809.16877594
2021-12-09,941878.3176762278
2021-12-10,940993.8629472806
2021-12-13,944267.9629472806
2021-12-14,955606.9629472807
2021-12-15,943560.1129472805
2021-12-16,933547.3629472805
2021-12-17,916093.8475646107
2021-12-20,889694.4396709868
2021-12-21,890785.1896709867
2021-12-22,908770.8396709868
2021-12-23,914872.9396709868
2021-12-24,916680.4396709867
2021-12-27,935747.7896709868
2021-12-28,947781.4896709868
2021-12-29,951783.8396709868
2021-12-30,960945.4396709868
2021-12-31,964142.0396709868
2022-01-03,964226.4896709869
2022-01-04,968712.7896709868
2022-01-05,961980.1396709868
