,equity
2021-01-01,1000000.0
2021-01-04,1019861.01
2021-01-05,1021183.57
2021-01-06,1023669.0
2021-01-07,1045900.22
2021-01-08,1059720.9800000002
2021-01-11,1062823.9100000001
2021-01-12,1072980.56
2021-01-13,1071486.5
2021-01-14,1051190.278276267
2021-01-15,1038841.2782762672
2021-01-18,1014236.5346734297
2021-01-19,1047511.9846734299
2021-01-20,1063406.8346734298
2021-01-21,1041907.3846734298
2021-01-22,1017212.5841000304
2021-01-25,995850.6307104147
2021-01-27,989812.0818653071
2021-01-28,985802.0818653071
2021-01-29,980217.578987909
2021-02-01,991364.674969825
2021-02-02,1020888.274969825
2021-02-03,1035820.4749698249
2021-02-04,1055196.124969825
2021-02-05,1055902.424969825
2021-02-08,1092388.924969825
2021-02-09,1091189.3249698249
2021-02-10,1107636.3249698249
2021-02-11,1113525.674969825
2021-02-12,1095788.3249698249
2021-02-15,1109256.2749698248
2021-02-16,1109458.974969825
2021-02-17,1124588.4749698248
2021-02-18,1134323.124969825
2021-02-19,1118373.1949698247
2021-02-22,1107041.7431717594
2021-02-23,1119308.6731717594
2021-02-24,1145641.6531717593
2021-02-25,1169861.0231717594
2021-02-26,1144100.8731717593
2021-03-01,1156663.1731717594
2021-03-02,1165697.0731717593
2021-03-03,1191994.9231717594
2021-03-04,1187775.4231717594
2021-03-05,1161799.4811668687
2021-03-08,1178623.9311668687
2021-03-09,1162708.0311668685
2021-03-10,1162834.7811668685
2021-03-12,1164505.0811668686
2021-03-15,1153737.3560241968
2021-03-16,1147607.0069300071
2021-03-17,1129643.3328568672
2021-03-18,1123312.586436974
2021-03-19,1121502.540852656
2021-03-22,1133463.1408526557
2021-03-23,1140509.686201608
2021-03-24,1116653.0562016082
2021-03-25,1089830.586201608
2021-03-26,1106933.186201608
2021-03-30,1124653.786201608
2021-03-31,1120826.3562016082
2021-04-01,1157037.226201608
2021-04-05,1166213.5562016082
2021-04-06,1191966.426201608
2021-04-07,1215493.316201608
2021-04-08,1246467.616201608
2021-04-09,1237241.446201608
2021-04-12,1163472.7484010295
2021-04-13,1172413.2514693085
2021-04-15,1182991.3147162574
2021-04-16,1203370.0347162574
2021-04-19,1188290.6547162572
2021-04-20,1195671.9647162573
2021-04-22,1218437.3447162574
2021-04-23,1218160.0747162572
2021-04-26,1245890.5147162573
2021-04-27,1268147.8847162572
2021-04-28,1270003.1247162574
2021-04-29,1312456.6947162573
2021-04-30,1318388.9447162573
2021-05-03,1360204.7547162573
2021-05-04,1348327.0347162574
2021-05-05,1374172.8347162574
2021-05-06,1401347.8747162574
2021-05-07,1457888.2347162573
2021-05-10,1480136.0947162572
2021-05-11,1468193.192414905
2021-05-12,1438293.1424149047
2021-05-14,1401289.5628892488
2021-05-17,1445042.8128892486
2021-05-18,1479571.0628892488
2021-05-19,1480522.4128892487
2021-05-20,1458746.9628892487
2021-05-21,1468042.9128892487
2021-05-24,1465654.1628892487
2021-05-25,1467986.5328892488
2021-05-26,1450314.0728892488
2021-05-27,1465192.5928892489
2021-05-28,1455653.7028892487
2021-05-31,1473870.7428892488
2021-06-01,1490430.2028892487
2021-06-02,1523701.8328892488
2021-06-03,1535480.1628892487
2021-06-04,1569777.9828892488
2021-06-07,1572118.6228892487
2021-06-08,1563203.0828892486
2021-06-09,1542290.132889249
2021-06-10,1563132.1828892487
2021-06-11,1590748.7828892488
2021-06-14,1554028.1518495202
2021-06-15,1543567.3018495203
2021-06-16,1513477.1718495202
2021-06-17,1504734.2432493109
2021-06-18,1461486.9199131462
2021-06-21,1479791.5199131463
2021-06-22,1469690.7316126772
2021-06-23,1454584.8816126774
2021-06-24,1463587.6316126774
2021-06-25,1469713.4316126774
2021-06-28,1475842.8816126774
2021-06-29,1494865.4816126772
2021-06-30,1534361.8816126774
2021-07-01,1562809.6316126771
2021-07-02,1560977.781612677
2021-07-05,1555079.0816126773
2021-07-06,1535175.4316126774
2021-07-07,1533678.4316126774
2021-07-08,1541624.8316126773
2021-07-09,1549315.4316126772
2021-07-12,1543691.9816126772
2021-07-13,1529121.2316126772
2021-07-14,1555808.663485329
2021-07-15,1582658.8734853289
2021-07-16,1588752.173485329
2021-07-19,1586052.113485329
2021-07-20,1574758.4234853287
2021-07-22,1597561.6434853289
2021-07-23,1609239.153485329
2021-07-26,1651710.8734853289
2021-07-27,1664368.983485329
2021-07-28,1667183.3734853289
2021-07-29,1717692.353485329
2021-07-30,1688477.1541292397
2021-08-02,1713127.2941292396
2021-08-03,1712213.4841292398
2021-08-04,1687980.7041292398
2021-08-05,1699571.7241292398
2021-08-06,1695930.33412924
2021-08-09,1661341.1254499038
2021-08-10,1625992.7075126406
2021-08-11,1599553.2739630574
2021-08-12,1631608.6939630574
2021-08-13,1637275.3839630573
2021-08-16,1662357.2639630572
2021-08-17,1641048.9065117466
2021-08-18,1631350.9065117466
2021-08-20,1593936.4581372887
2021-08-23,1588768.2081372885
2021-08-24,1585040.7081372885
2021-08-25,1597769.3581372886
2021-08-26,1595445.7081372885
2021-08-27,1632008.5081372885
2021-08-30,1635528.7581372885
2021-08-31,1653167.8581372886
2021-09-01,1641728.5081372887
2021-09-02,1658185.3581372886
2021-09-03,1669704.1081372886
2021-09-06,1691399.8581372886
2021-09-07,1670171.8381372886
2021-09-08,1668295.5381372885
2021-09-09,1684139.7681372885
2021-09-13,1705990.7181372885
2021-09-14,1721299.3181372883
2021-09-15,1741911.4381372887
2021-09-16,1742315.0381372888
2021-09-17,1756979.0081372885
2021-09-20,1711632.9053081311
2021-09-21,1723752.3553081308
2021-09-22,1747468.155308131
2021-09-23,1777420.555308131
2021-09-24,1793577.205308131
2021-09-27,1773083.7553081308
2021-09-28,1722181.8602704948
2021-09-29,1757084.9102704949
2021-09-30,1771701.260270495
2021-10-01,1749486.810270495
2021-10-04,1784230.8102704948
2021-10-05,1780666.460270495
2021-10-06,1760833.1602704949
2021-10-07,1817647.1102704948
2021-10-08,1839111.6102704948
2021-10-11,1877444.5602704948
2021-10-12,1879486.4602704947
2021-10-13,1898344.510270495
2021-10-14,1907300.0602704948
2021-10-18,1896594.1102704948
2021-10-19,1828614.7136459835
2021-10-20,1819538.6136459834
2021-10-21,1787708.4636459835
2021-10-22,1763854.4555334782
2021-10-25,1739767.9762305818
2021-10-26,1766588.2762305816
2021-10-27,1771634.8262305816
2021-10-28,1700838.3762305817
2021-10-29,1670462.387405262
2021-11-01,1698550.0374052622
2021-11-02,1706216.837405262
2021-11-03,1714861.537405262
2021-11-04,1727965.137405262
2021-11-08,1752829.137405262
2021-11-09,1759578.337405262
2021-11-10,1733073.8874052619
2021-11-11,1719517.037405262
2021-11-12,1739417.7374052622
2021-11-15,1718748.1874052621
2021-11-16,1713914.987405262
2021-11-17,1708013.9789654945
2021-11-18,1660236.0289654946
2021-11-22,1595687.2332108647
2021-11-23,1617316.7332108647
2021-11-24,1609522.2332108647
2021-11-25,1619277.0332108648
2021-11-26,1549446.1468869834
2021-11-29,1505979.0968869836
2021-11-30,1512521.3526929475
2021-12-01,1538857.4526929476
2021-12-02,1596458.7026929476
2021-12-03,1577276.2526929476
2021-12-06,1547732.4926929474
2021-12-07,1558910.3726929475
2021-12-08,1595806.6226929475
2021-12-09,1580835.8255776428
2021-12-10,1579341.228929202
2021-12-13,1585061.128929202
2021-12-14,1604076.4789292018
2021-12-15,1583894.478929202
2021-12-16,1567306.928929202
2021-12-17,1538130.8119905235
2021-12-20,1493769.9988344838
2021-12-21,1495602.1988344837
2021-12-22,1525765.2488344838
2021-12-23,1536049.5988344834
2021-12-24,1539183.3488344837
2021-12-27,1571368.8988344837
2021-12-28,1591693.6988344835
2021-12-29,1598346.5988344837
2021-12-30,1613507.9488344835
2021-12-31,1618855.2988344836
2022-01-03,1619062.8988344835
2022-01-04,1626504.7988344836
2022-01-05,1615197.6488344835
2022-01-06,1606050.8488344837
2022-01-07,1630253.5488344836
2022-01-10,1641232.340650252
2022-01-11,1651472.790650252
2022-01-12,1646245.590650252
2022-01-13,1661877.790650252
2022-01-14,1680999.540650252
2022-01-17,1690853.7340390175
2022-01-18,1670330.7340390177
2022-01-19,1660223.3548386998
2022-01-20,1668229.5048387
