,equity
2021-01-01,1000000.0
2021-01-04,1019861.01
2021-01-05,1021183.57
2021-01-06,1023669.0
2021-01-07,1045900.22
2021-01-08,1059840.43
2021-01-11,1057401.21
2021-01-12,1066209.46
2021-01-13,1083483.85
2021-01-14,1093653.0999999999
2021-01-15,1074450.2
2021-01-18,1056147.03
2021-01-19,1094346.38
2021-01-20,1113372.3299999998
2021-01-21,1095151.5799999998
2021-01-22,1067331.1013262644
2021-01-25,1038638.2370684205
2021-01-27,1039362.0122935427
2021-01-28,1030530.0622935427
2021-01-29,1020923.0566919305
2021-02-01,1040995.7496115916
2021-02-02,1069839.7696115915
2021-02-03,1086527.8296115915
2021-02-04,1097518.9996115915
2021-02-05,1096166.5696115915
2021-02-08,1135970.6296115916
2021-02-09,1134645.2496115917
2021-02-10,1149095.1496115916
2021-02-11,1161320.0996115915
2021-02-12,1153937.6996115916
2021-02-15,1165460.9996115917
2021-02-16,1165090.4496115914
2021-02-17,1175922.2996115915
2021-02-18,1179155.2496115915
2021-02-19,1165353.4996115915
2021-02-22,1140766.4496115916
2021-02-23,1146743.3996115914
2021-02-24,1179936.6996115914
2021-02-25,1217871.8496115915
2021-02-26,1196057.9996115915
2021-03-01,1210842.3496115915
2021-03-02,1228216.0496115915
2021-03-03,1260852.7996115915
2021-03-04,1270782.2496115915
2021-03-05,1261557.1496115914
2021-03-08,1285931.6796115916
2021-03-09,1279389.3796115916
2021-03-10,1287354.6196115916
2021-03-12,1299472.8296115915
2021-03-15,1303551.1696115916
2021-03-16,1278760.2748882207
2021-03-17,1253086.4248882206
2021-03-18,1243041.139615973
2021-03-19,1244984.7041707903
2021-03-22,1261354.9541707903
2021-03-23,1281359.5444034908
2021-03-24,1261671.914403491
2021-03-25,1227016.694403491
2021-03-26,1241067.894403491
2021-03-30,1259580.3657350924
2021-03-31,1251110.3357350924
2021-04-01,1279540.6057350924
2021-04-05,1282341.0357350924
2021-04-06,1317481.9057350922
2021-04-07,1335528.5457350921
2021-04-08,1354725.7457350923
2021-04-09,1351419.1757350923
2021-04-12,1274480.8903678162
2021-04-13,1285700.083641939
2021-04-15,1294345.5840475461
2021-04-16,1309269.9540475463
2021-04-19,1293645.4740475463
2021-04-20,1304675.8340475464
2021-04-22,1330441.2640475463
2021-04-23,1330827.0940475462
2021-04-26,1357881.6840475462
2021-04-27,1378117.5540475461
2021-04-28,1377495.5440475463
2021-04-29,1426520.6140475464
2021-04-30,1425994.2140475463
2021-05-03,1467803.9240475462
2021-05-04,1461003.3740475462
2021-05-05,1489653.6840475462
2021-05-06,1522047.4940475463
2021-05-07,1585933.4840475463
2021-05-10,1619561.0740475461
2021-05-11,1608908.0440475463
2021-05-12,1571397.504047546
2021-05-14,1504649.2949306124
2021-05-17,1552477.2649306124
2021-05-18,1581726.6249306123
2021-05-19,1570907.4049306123
2021-05-20,1547245.8749306123
2021-05-21,1557573.5637505439
2021-05-24,1560833.0989580816
2021-05-25,1544444.1989580817
2021-05-26,1513395.2289580815
2021-05-27,1532708.3189580815
2021-05-28,1527301.9789580817
2021-05-31,1546066.1089580816
2021-06-01,1560613.1789580816
2021-06-02,1599892.8289580815
2021-06-03,1612288.4889580815
2021-06-04,1646888.9389580816
2021-06-07,1644937.0689580815
2021-06-08,1647158.3589580816
2021-06-09,1628427.7089580817
2021-06-10,1652309.8089580815
2021-06-11,1669512.4089580816
2021-06-14,1609894.9216364936
2021-06-15,1592283.071636494
2021-06-16,1570643.9116364936
2021-06-17,1549868.951793511
2021-06-18,1517284.8996021328
2021-06-21,1536875.499602133
2021-06-22,1527968.4876953172
2021-06-23,1512463.8376953169
2021-06-24,1519360.6376953172
2021-06-25,1524992.8876953172
2021-06-28,1532031.3876953172
2021-06-29,1554535.337695317
2021-06-30,1597034.5376953173
2021-07-01,1620073.4876953172
2021-07-02,1613548.1876953172
2021-07-05,1607896.537695317
2021-07-06,1585457.9676953172
2021-07-07,1586955.7176953172
2021-07-08,1589671.0976953171
2021-07-09,1591111.2076953172
2021-07-12,1587428.4776953172
2021-07-13,1569686.507695317
2021-07-14,1606622.911689499
2021-07-15,1642732.8116894988
2021-07-16,1652960.7816894986
2021-07-19,1669520.7616894986
2021-07-20,1662079.0016894988
2021-07-22,1691240.0416894988
2021-07-23,1738145.931689499
2021-07-26,1769749.7460195636
2021-07-27,1783575.0060195639
2021-07-28,1784582.606019564
2021-07-29,1830992.016019564
2021-07-30,1805654.929180277
2021-08-02,1808072.7791802771
2021-08-03,1807913.699180277
2021-08-04,1790503.791210678
2021-08-05,1797192.811210678
2021-08-06,1806109.421210678
2021-08-09,1780971.7241447268
2021-08-10,1748883.9741447265
2021-08-11,1725939.1956585634
2021-08-12,1766385.4656585634
2021-08-13,1769372.2756585635
2021-08-16,1795068.3556585633
2021-08-17,1797883.9667072326
2021-08-18,1789656.1167072328
2021-08-20,1738777.592926001
2021-08-23,1730130.842926001
2021-08-24,1730785.064075545
2021-08-25,1740227.4640755448
2021-08-26,1734215.5140755451
2021-08-27,1770606.2140755448
2021-08-30,1771963.064075545
2021-08-31,1792591.164075545
2021-09-01,1783063.564075545
2021-09-02,1803580.1140755452
2021-09-03,1818450.064075545
2021-09-06,1844399.7140755448
2021-09-07,1823785.664075545
2021-09-08,1807757.1140755452
2021-09-09,1817598.064075545
2021-09-13,1841148.9640755448
2021-09-14,1850469.8640755452
2021-09-15,1887039.8640755452
2021-09-16,1888117.764075545
2021-09-17,1893319.264075545
2021-09-20,1885231.3640755452
2021-09-21,1892266.5140755451
2021-09-22,1914300.5140755451
2021-09-23,1955274.0140755451
2021-09-24,1975553.3640755452
2021-09-27,1940515.2640755451
2021-09-28,1904319.3240116292
2021-09-29,1936380.5240116292
2021-09-30,1942441.674011629
2021-10-01,1925588.874011629
2021-10-04,1940180.174011629
2021-10-05,1935311.324011629
2021-10-06,1922046.7846968044
2021-10-07,1969211.5846968044
2021-10-08,1951309.8346968044
2021-10-11,1967181.5846968044
2021-10-12,1967512.9846968045
2021-10-13,1986886.1846968045
2021-10-14,2001833.0346968044
2021-10-18,1997321.6346968047
2021-10-19,1937780.8846968045
2021-10-20,1928396.5846968046
2021-10-21,1892829.3846968047
2021-10-22,1873733.4590615337
2021-10-25,1852301.3743244268
2021-10-26,1880471.1243244268
2021-10-27,1886974.8743244268
2021-10-28,1809468.395651178
2021-10-29,1778092.3371672444
2021-11-01,1808528.2371672443
2021-11-02,1816505.9871672443
2021-11-03,1825266.2871672444
2021-11-04,1840448.4871672445
2021-11-08,1867508.1371672445
2021-11-09,1874225.9871672445
2021-11-10,1845466.0871672444
2021-11-11,1830676.1871672445
2021-11-12,1851331.8871672445
2021-11-15,1829443.9871672445
2021-11-16,1824070.4871672445
2021-11-17,1816990.105328195
2021-11-18,1766866.805328195
2021-11-22,1698333.3117834632
2021-11-23,1721271.4617834631
2021-11-24,1712913.7117834631
2021-11-25,1723236.5617834632
2021-11-26,1648880.569890299
2021-11-29,1602665.819890299
2021-11-30,1609443.5930315005
2021-12-01,1637420.2930315004
2021-12-02,1698412.2930315004
2021-12-03,1678114.8930315003
2021-12-06,1646717.9430315003
2021-12-07,1658380.4430315003
2021-12-08,1697482.8930315005
2021-12-09,1681470.924221489
2021-12-10,1679791.3669600738
2021-12-13,1684648.5169600737
2021-12-14,1719329.9169600736
2021-12-15,1695416.9669600737
2021-12-16,1675430.1669600736
2021-12-17,1639808.822633966
2021-12-20,1593082.1588201243
2021-12-21,1595488.908820124
2021-12-22,1627402.0088201244
2021-12-23,1638664.5088201244
2021-12-24,1642471.358820124
2021-12-27,1677011.9588201244
2021-12-28,1698554.5088201244
2021-12-29,1705508.3088201242
2021-12-30,1722186.4088201243
2021-12-31,1727905.5088201244
2022-01-03,1727946.9088201243
2022-01-04,1735814.0588201242
2022-01-05,1723714.2088201244
2022-01-06,1713556.4588201242
2022-01-07,1739626.1088201243
2022-01-10,1756970.7358150317
2022-01-11,1760343.0858150318
2022-01-12,1755294.9858150317
2022-01-13,1755933.1358150318
2022-01-14,1769829.4858150317
2022-01-17,1790678.6916248153
2022-01-18,1763927.581624815
2022-01-19,1738181.1586844318
2022-01-20,1745364.6997146201
