,equity
2021-08-30,1000000.0
2021-08-31,1014304.52
2021-09-01,1002443.3300000001
2021-09-02,1009199.42
2021-09-03,1016061.26
2021-09-06,1025374.24
2021-09-07,1014004.65
2021-09-08,1014797.37
2021-09-09,1025943.85
2021-09-13,1040841.01
2021-09-14,1052805.3699999999
2021-09-15,1071118.17
2021-09-16,1069647.59
2021-09-17,1074223.78
2021-09-20,1049232.88
2021-09-21,1057332.8800000001
2021-09-22,1070623.8299999998
2021-09-23,1093006.23
2021-09-24,1097767.23
2021-09-27,1077435.68
2021-09-28,1042846.205956712
2021-09-29,1047721.705956712
2021-09-30,1050955.055956712
2021-10-01,1042881.855956712
2021-10-04,1056495.205956712
2021-10-05,1054104.9059567119
2021-10-06,1040540.605956712
2021-10-07,1078691.855956712
2021-10-08,1078346.805956712
2021-10-11,1091303.805956712
2021-10-12,1090366.055956712
2021-10-13,1105155.505956712
2021-10-14,1114519.305956712
2021-10-18,1115433.855956712
2021-10-19,1088468.7059567121
2021-10-20,1077674.6059567123
2021-10-21,1055067.736881587
2021-10-22,1041741.4779333683
2021-10-25,1018197.1400955357
2021-10-26,1032317.0400955358
2021-10-27,1035410.5900955359
2021-10-28,995675.1900955357
2021-10-29,992888.8451176621
2021-11-01,1011300.2451176621
2021-11-02,1021746.8951176621
2021-11-03,1023749.4951176621
2021-11-04,1034266.5951176622
2021-11-08,1060493.5451176623
2021-11-09,1061541.6451176621
2021-11-10,1044865.6951176622
2021-11-11,1043255.8951176621
2021-11-12,1048740.045117662
2021-11-15,1047901.4451176622
2021-11-16,1046199.7951176622
2021-11-17,1045615.7951176622
2021-11-18,1021201.1451176621
2021-11-22,981042.4156673672
2021-11-23,991999.9656673672
2021-11-24,988016.1156673671
2021-11-25,993922.9656673672
2021-11-26,946006.6041817573
2021-11-29,927118.6041817574
2021-11-30,936944.8541817574
2021-12-01,952534.5041817573
2021-12-02,986857.1541817572
2021-12-03,975728.9541817574
2021-12-06,958605.3041817573
2021-12-07,962974.2314062773
2021-12-08,984733.6814062772
2021-12-09,980295.4514062773
2021-12-10,980951.0614062771
2021-12-13,982598.0514062772
2021-12-14,992811.2114062773
2021-12-15,979176.5214062772
2021-12-16,971698.1214062772
2021-12-17,953985.9080687161
2021-12-20,924657.0580687161
2021-12-21,927565.758068716
2021-12-22,946119.179995787
2021-12-23,952956.829995787
2021-12-24,952963.229995787
2021-12-27,973332.729995787
2021-12-28,984906.179995787
2021-12-29,987141.679995787
2021-12-30,994783.629995787
2021-12-31,998231.779995787
2022-01-03,999228.879995787
2022-01-04,1004088.879995787
2022-01-05,997735.079995787
2022-01-06,993083.829995787
2022-01-07,1006549.1799957869
2022-01-10,1009047.4959158605
2022-01-11,1010117.3459158605
2022-01-12,1012397.5959158605
2022-01-13,1022777.4959158606
2022-01-14,1029141.2959158606
2022-01-17,1036621.8349048898
2022-01-18,1023457.1349048899
2022-01-19,1018562.9849048898
2022-01-20,1022628.5083461571
2022-01-21,1000695.7083461572
2022-01-24,958770.1408555416
2022-01-25,977007.2908555416
2022-01-27,981867.2408555415
2022-01-28,981213.9908555415
2022-01-31,1000630.1408555416
2022-02-01,997849.4408555416
2022-02-02,997544.8408555415
2022-02-03,993914.5408555416
2022-02-04,992422.8408555415
2022-02-07,999748.7908555415
2022-02-08,985908.5408555416
2022-02-09,991495.4308555416
2022-02-10,986359.8808555416
2022-02-11,971079.3908555415
2022-02-14,924647.267351219
2022-02-15,927201.45536574
2022-02-16,925798.42536574
2022-02-17,931249.38536574
2022-02-18,922081.4253657401
2022-02-21,901136.12536574
2022-02-22,899209.5753657401
2022-02-23,896665.8753657399
2022-02-24,858877.72536574
2022-02-25,858877.72536574
2022-02-28,870199.97536574
2022-03-02,881514.4753657401
2022-03-03,888540.74536574
2022-03-04,862302.3153657401
2022-03-07,870290.06536574
2022-03-08,852011.08536574
2022-03-09,846865.45536574
2022-03-10,845660.71536574
2022-03-11,851339.97536574
2022-03-14,840369.2853657401
2022-03-15,819342.0953657401
2022-03-16,844270.88536574
2022-03-17,860654.4353657401
2022-03-21,842063.7871106288
2022-03-22,850240.4871106287
2022-03-23,859869.6371106287
2022-03-24,861343.1871106287
2022-03-25,873743.0871106288
2022-03-28,883665.9971106288
2022-03-29,882176.8571106289
2022-03-30,876553.0871106288
2022-03-31,875177.0703098695
2022-04-01,888441.1003098694
2022-04-04,902225.2403098694
2022-04-05,897252.4403098695
2022-04-06,909512.7303098694
2022-04-07,908088.0803098694
2022-04-08,937248.1803098695
2022-04-11,957666.7603098694
2022-04-12,935093.9903098694
2022-04-13,934402.4903098694
2022-04-18,945821.5708530745
2022-04-19,930305.5208530745
2022-04-20,932036.2708530746
2022-04-21,948272.7708530746
2022-04-22,948121.1208530746
2022-04-25,931012.8318009933
2022-04-26,958479.1318009931
2022-04-27,936362.3818009931
2022-04-28,947103.9818009932
2022-04-29,929344.8924873215
2022-05-02,925906.5318417987
2022-05-04,902900.968499489
2022-05-05,909660.618499489
2022-05-06,914400.6058016722
2022-05-09,894354.0558016723
2022-05-10,861734.5315483968
2022-05-11,846756.7201038143
2022-05-12,844229.1201038143
2022-05-13,846224.7201038143
2022-05-16,851640.0701038144
2022-05-17,858878.2201038144
2022-05-18,858833.9201038145
2022-05-19,849424.5701038144
2022-05-20,872501.3701038144
2022-05-23,873659.3701038144
2022-05-24,856891.4701038143
2022-05-25,837253.7701038143
2022-05-26,848921.6701038143
2022-05-27,856350.6201038143
2022-05-30,866058.7701038143
2022-05-31,867946.7701038143
2022-06-01,853950.4701038143
2022-06-02,847783.9201038145
2022-06-03,836633.9705483324
2022-06-06,844358.2705483322
2022-06-07,850806.3205483324
2022-06-08,840603.0705483323
2022-06-09,851379.9205483324
2022-06-10,855102.4705483323
2022-06-13,832876.5205483322
2022-06-14,825499.3205483323
2022-06-15,827530.7205483324
2022-06-16,808763.5568226203
2022-06-17,803210.2568226203
2022-06-20,784092.8406334778
2022-06-21,782291.5906334778
2022-06-22,782106.7906334777
2022-06-23,783966.9906334778
2022-06-24,787629.7406334777
